Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1903,453,8,"[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2, 453], 0.0016, 98, 4, 'Success']","[[1903, 48, 2861, 1358, 2573, 2, 453], 0.0016, 218, 7, 'Success']"
1368,11046,49,"[[1368, 1347, 26, 169, 6621, 11046], 0.03965, 270, 6, 'Success']","[[1368, 1347, 26, 169, 6621, 11046], 0.03965, 270, 6, 'Success']","[[1368, 21, 5773, 6621, 11046], 1.00716, 154, 5, 'Success']","[[1368, 32, 8384, 11045, 11046], 1.0369599999999999, 252, 5, 'Success']","[[1368, 21, 5773, 6621, 11046], 1.00716, 154, 5, 'Success']","[[1368, 21, 5773, 6621, 11046], 1.00716, 154, 5, 'Success']","[[1368, 1347, 26, 12325, 3093, 12157, 3372, 11045, 11046], 0.00104, 400, 9, 'Success']"
453,11046,906,"[[453, 2, 48, 6621, 11046], 0.19027, 138, 5, 'Success']","[[453, 2, 48, 6621, 11046], 0.19027, 138, 5, 'Success']","[[453, 2, 48, 6621, 11046], 0.19027, 138, 5, 'Success']","[[453, 600, 11461, 11046], 2.76344, 120, 4, 'Success']","[[453, 2, 48, 6621, 11046], 0.19027, 138, 5, 'Success']","[[453, 2, 48, 6621, 11046], 0.19027, 138, 5, 'Success']","[[453, 36, 609, 19, 215, 137, 12325, 3093, 12157, 3372, 11045, 11046], 0.010879999999999999, 448, 12, 'Success']"
1228,1755,6503,"[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 21, 1369, 1755], 3.37214, 120, 4, 'Success']","[[1228, 609, 19, 215, 137, 12325, 3622, 1369, 1755], 2.41118, 302, 9, 'Success']"
10170,1298,12329,"[[10170, 609, 1298], 0.01233, 80, 3, 'Success']","[[10170, 609, 1298], 0.01233, 80, 3, 'Success']","[[10170, 609, 1298], 0.01233, 80, 3, 'Failure']","[[10170, 609, 1298], 0.01233, 80, 3, 'Failure']","[[10170, 609, 1298], 0.01233, 80, 3, 'Failure']","[[10170, 609, 1298], 0.01233, 80, 3, 'Failure']","[[10170, 609, 19, 215, 137, 12325, 6722, 18, 1298], 1.0369899999999999, 302, 9, 'Success']"
10922,643,156764,"[[10922, 855, 4, 643], 33.92095, 224, 4, 'Failure']","[[10922, 207, 18, 643], 12.16032, 120, 4, 'Failure']","[[10922, 207, 18, 643], 12.16032, 120, 4, 'Failure']","[[10922, 10, 628, 18, 643], 7.23266, 154, 5, 'Failure']","[[10922, 207, 18, 643], 12.16032, 120, 4, 'Failure']","[[10922, 207, 18, 643], 12.16032, 120, 4, 'Failure']","[[10922, 207, 18, 643], 12.16032, 120, 4, 'Failure']"
5438,7971,10,"[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6622, 7971], 0.002, 120, 4, 'Success']","[[5438, 855, 6876, 167, 6722, 12325, 4090, 4744, 7971], 7.000000000000001e-05, 314, 9, 'Success']"
2665,10322,24,"[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 609, 63, 10322], 2.25395, 120, 4, 'Success']","[[2665, 60, 175, 70, 10322], 2.25132, 116, 5, 'Success']"
4374,10006,633,"[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 5949, 10006], 0.0019, 120, 4, 'Success']","[[4374, 1139, 6324, 5199, 4277, 5949, 10006], 0.00253, 240, 7, 'Success']"
6635,1298,1740,"[[6635, 609, 1361, 1298], 0.00348, 120, 4, 'Success']","[[6635, 609, 1298], 0.00174, 80, 3, 'Success']","[[6635, 609, 1298], 0.00174, 80, 3, 'Success']","[[6635, 609, 1298], 0.00174, 80, 3, 'Success']","[[6635, 609, 1298], 0.00174, 80, 3, 'Success']","[[6635, 609, 1298], 0.00174, 80, 3, 'Failure']","[[6635, 609, 1298], 0.00174, 80, 3, 'Failure']"
