Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1368,11356,9,"[[1368, 1347, 26, 12315, 11356], 0.009099999999999999, 356, 5, 'Success']","[[1368, 1347, 26, 12315, 11356], 0.009099999999999999, 356, 5, 'Success']","[[1368, 21, 11356], 1.00001, 74, 3, 'Success']","[[1368, 21, 11356], 1.00001, 74, 3, 'Success']","[[1368, 21, 11356], 1.00001, 74, 3, 'Success']","[[1368, 21, 11356], 1.00001, 74, 3, 'Success']","[[1368, 1347, 26, 12325, 48, 11356], 0.001, 286, 6, 'Success']"
7971,12546,13,"[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 12546], 0.0026, 120, 4, 'Success']","[[7971, 6622, 855, 6876, 167, 3892, 12546], 0.00074, 230, 7, 'Success']"
5438,2639,785,"[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 12325, 2639], 0.157, 114, 4, 'Success']","[[5438, 855, 6876, 167, 6722, 12325, 2639], 0.0055000000000000005, 234, 7, 'Success']"
643,1217,1674,"[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 32, 1217], 1.83533, 184, 3, 'Success']","[[643, 2, 3781, 609, 19, 215, 137, 12325, 855, 1217], 0.34316, 320, 10, 'Success']"
6177,8557,17022,"[[6177, 167, 8557], 0.01702, 70, 3, 'Success']","[[6177, 167, 8557], 0.01702, 70, 3, 'Success']","[[6177, 167, 8557], 0.01702, 70, 3, 'Success']","[[6177, 167, 8557], 0.01702, 70, 3, 'Success']","[[6177, 167, 8557], 0.01702, 70, 3, 'Success']","[[6177, 167, 8557], 0.01702, 70, 3, 'Failure']","[[6177, 1139, 6324, 5199, 12325, 4482, 149, 9515, 21, 8557], 1.10313, 458, 10, 'Success']"
9272,3134,152014,"[[9272, 9292, 21, 11741, 3134], 2.45604, 154, 5, 'Failure']","[[9272, 6857, 9278, 445, 3134], 3.4560500000000003, 154, 5, 'Failure']","[[9272, 6857, 9278, 445, 3134], 3.4560500000000003, 154, 5, 'Failure']","[[9272, 6857, 9278, 445, 3134], 3.4560500000000003, 154, 5, 'Failure']","[[9272, 6857, 9278, 445, 3134], 3.4560500000000003, 154, 5, 'Failure']","[[9272, 6857, 9278, 445, 3134], 3.4560500000000003, 154, 5, 'Failure']","[[9272, 9292, 5973, 56, 177, 321, 3134], 14.0669, 212, 7, 'Failure']"
9268,1373,5,"[[9268, 1881, 1559, 6010, 609, 1373], 0.00026000000000000003, 200, 6, 'Success']","[[9268, 1881, 1559, 6010, 609, 1373], 0.00026000000000000003, 200, 6, 'Success']","[[9268, 423, 1385, 609, 1373], 1.00025, 154, 5, 'Success']","[[9268, 2651, 547, 609, 1373], 1.002, 521, 5, 'Success']","[[9268, 423, 1385, 609, 1373], 1.00025, 154, 5, 'Success']","[[9268, 423, 1385, 609, 1373], 1.00025, 154, 5, 'Success']","[[9268, 1881, 1559, 12325, 4438, 609, 1373], 0.00021, 234, 7, 'Success']"
6896,12111,63,"[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 48, 12111], 0.0063, 80, 3, 'Success']","[[6896, 8353, 4433, 12325, 12111], 0.0, 154, 5, 'Success']"
10922,8368,732,"[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 8368], 0.1464, 80, 3, 'Success']","[[10922, 855, 6876, 167, 6722, 12325, 3292, 6423, 8368], 0.07099999999999998, 294, 9, 'Success']"
10006,686,4229,"[[10006, 5949, 32, 686], 3.95669, 224, 4, 'Success']","[[10006, 5949, 32, 686], 3.95669, 224, 4, 'Success']","[[10006, 5949, 8523, 1782, 686], 1.2326000000000001, 160, 5, 'Success']","[[10006, 5949, 32, 686], 3.95669, 224, 4, 'Success']","[[10006, 5949, 32, 686], 3.95669, 224, 4, 'Success']","[[10006, 5949, 32, 686], 3.95669, 224, 4, 'Success']","[[10006, 5949, 3372, 4792, 167, 29, 567, 1782, 686], 0.16071000000000002, 320, 9, 'Success']"
2952,5558,96323,"[[2952, 32, 5558], 49.06518, 184, 3, 'Failure']","[[2952, 32, 5558], 49.06518, 184, 3, 'Failure']","[[2952, 32, 12325, 5558], 49.06518, 218, 4, 'Failure']","[[2952, 32, 167, 5558], 49.16155, 224, 4, 'Failure']","[[2952, 32, 5558], 49.06518, 184, 3, 'Failure']","[[2952, 32, 5558], 49.06518, 184, 3, 'Failure']","[[2952, 32, 3642, 167, 5558], 49.16155, 264, 5, 'Failure']"
8560,6503,152929,"[[8560, 21, 12497, 6503], 2.30586, 120, 4, 'Failure']","[[8560, 6982, 12325, 141, 6503], 51.39602, 154, 5, 'Failure']","[[8560, 6982, 9880, 9753, 6503], 20.369200000000003, 160, 5, 'Failure']","[[8560, 6982, 13034, 314, 11837, 167, 6503], 2.4607900000000003, 312, 7, 'Failure']","[[8560, 6982, 9459, 167, 6503], 34.811989999999994, 150, 5, 'Failure']","[[8560, 6982, 9459, 167, 6503], 34.811989999999994, 150, 5, 'Failure']","[[8560, 6982, 9880, 8523, 10113, 1983, 60, 173, 141, 6503], 32.33768, 316, 10, 'Failure']"
568,111,7,"[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 131, 111], 1.00001, 80, 3, 'Success']","[[568, 1273, 1275, 547, 1236, 600, 6010, 1559, 12325, 167, 111], 0.99954, 764, 11, 'Success']"
11325,2919,95,"[[11325, 855, 2919], 0.019, 80, 3, 'Success']","[[11325, 855, 2919], 0.019, 80, 3, 'Success']","[[11325, 855, 2919], 0.019, 80, 3, 'Success']","[[11325, 32, 2919], 1.0474, 184, 3, 'Success']","[[11325, 855, 2919], 0.019, 80, 3, 'Success']","[[11325, 855, 2919], 0.019, 80, 3, 'Success']","[[11325, 855, 6876, 167, 6722, 48, 2919], 0.010179999999999998, 240, 7, 'Success']"
2610,8639,568,"[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 8639], 0.11928000000000001, 120, 4, 'Success']","[[2610, 3056, 855, 6876, 167, 29, 8639], 0.0108, 240, 7, 'Success']"
10787,12186,8862,"[[10787, 18, 8756, 12186], 1.0177200000000002, 120, 4, 'Success']","[[10787, 18, 8756, 12186], 1.0177200000000002, 120, 4, 'Success']","[[10787, 18, 8756, 12186], 1.0177200000000002, 120, 4, 'Success']","[[10787, 18, 6980, 12186], 1.4519600000000001, 120, 4, 'Success']","[[10787, 18, 8756, 12186], 1.0177200000000002, 120, 4, 'Success']","[[10787, 18, 8756, 12186], 1.0177200000000002, 120, 4, 'Failure']","[[10787, 609, 19, 215, 137, 12325, 3093, 12157, 8756, 12186], 0.02658, 342, 10, 'Failure']"
9854,5364,54931,"[[9854, 18, 5545, 5364], 6.17476, 120, 4, 'Failure']","[[9854, 21, 5439, 5364], 7.64666, 120, 4, 'Success']","[[9854, 21, 5439, 5364], 7.64666, 120, 4, 'Success']","[[9854, 18, 5545, 5364], 6.17476, 120, 4, 'Failure']","[[9854, 21, 5439, 5364], 7.64666, 120, 4, 'Success']","[[9854, 21, 5439, 5364], 7.64666, 120, 4, 'Success']","[[9854, 21, 1577, 167, 11654, 308, 11837, 314, 5364], 1.38652, 370, 9, 'Success']"
1368,3257,227934,"[[1368, 32, 3257], 114.73907, 178, 3, 'Failure']","[[1368, 21, 353, 56, 3257], 17.24227, 154, 5, 'Failure']","[[1368, 21, 353, 56, 3257], 17.24227, 154, 5, 'Failure']","[[1368, 21, 1577, 167, 56, 3257], 17.38202, 184, 6, 'Failure']","[[1368, 21, 353, 56, 3257], 17.24227, 154, 5, 'Failure']","[[1368, 21, 353, 56, 3257], 17.24227, 154, 5, 'Failure']","[[1368, 21, 1577, 167, 57, 177, 56, 3257], 17.38202, 220, 8, 'Failure']"
