Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2434,7976,9,"[[2434, 609, 6867, 6562, 7976], 1.00111, 160, 5, 'Success']","[[2434, 167, 11188, 6562, 7976], 1.0000200000000001, 150, 5, 'Success']","[[2434, 167, 11188, 6562, 7976], 1.0000200000000001, 150, 5, 'Success']","[[2434, 167, 32, 6562, 7976], 2.00501, 254, 5, 'Success']","[[2434, 167, 11188, 6562, 7976], 1.0000200000000001, 150, 5, 'Success']","[[2434, 167, 11188, 6562, 7976], 1.0000200000000001, 150, 5, 'Success']","[[2434, 167, 11188, 6562, 7976], 1.0000200000000001, 150, 5, 'Success']"
7334,10774,23,"[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']","[[7334, 3083, 5965, 855, 10774], 0.07361000000000001, 264, 5, 'Success']"
6721,6655,616,"[[6721, 314, 6470, 609, 6655], 0.0636, 245, 5, 'Success']","[[6721, 314, 6470, 609, 6655], 0.0636, 245, 5, 'Success']","[[6721, 314, 6470, 609, 6655], 0.0636, 245, 5, 'Success']","[[6721, 9968, 12295, 609, 6655], 0.18481999999999998, 160, 5, 'Success']","[[6721, 314, 4438, 609, 6655], 0.0636, 264, 5, 'Success']","[[6721, 314, 4438, 609, 6655], 0.0636, 264, 5, 'Success']","[[6721, 9968, 12325, 4438, 609, 6655], 0.0616, 194, 6, 'Success']"
11724,1755,4524,"[[11724, 855, 1778, 1755], 2.35749, 120, 4, 'Success']","[[11724, 855, 1778, 1755], 2.35749, 120, 4, 'Success']","[[11724, 855, 1778, 1755], 2.35749, 120, 4, 'Success']","[[11724, 855, 1369, 1755], 2.85523, 120, 4, 'Success']","[[11724, 855, 1778, 1755], 2.35749, 120, 4, 'Success']","[[11724, 855, 1778, 1755], 2.35749, 120, 4, 'Success']","[[11724, 855, 6876, 167, 3622, 1369, 1755], 2.0043599999999997, 230, 7, 'Success']"
3657,10774,60405,"[[3657, 3177, 21, 4044, 10774], 2.12082, 160, 5, 'Failure']","[[3657, 3177, 3300, 855, 10774], 28.2457, 160, 5, 'Failure']","[[3657, 3177, 21, 4044, 10774], 2.12082, 160, 5, 'Failure']","[[3657, 2627, 2178, 12325, 6755, 1446, 10774], 6.0238, 234, 7, 'Failure']","[[3657, 3177, 3300, 855, 10774], 28.2457, 160, 5, 'Failure']","[[3657, 3177, 3300, 855, 10774], 28.2457, 160, 5, 'Failure']","[[3657, 2627, 2178, 167, 6722, 12325, 6755, 1446, 10774], 3.48668, 314, 9, 'Failure']"
11919,9854,249094,"[[11919, 1067, 124, 21, 9854], 307.69354, 264, 5, 'Failure']","[[11919, 5977, 32, 10274, 21, 9854], 165.29407, 304, 6, 'Failure']","[[11919, 1067, 233, 8683, 21, 9854], 13.786389999999999, 194, 6, 'Failure']","[[11919, 1067, 233, 131, 10274, 21, 9854], 5.857060000000001, 234, 7, 'Failure']","[[11919, 5977, 4848, 11748, 21, 9854], 38.61462, 200, 6, 'Failure']","[[11919, 5977, 4848, 11748, 21, 9854], 38.61462, 200, 6, 'Failure']","[[11919, 5977, 5634, 149, 1659, 131, 10274, 21, 9854], 5.60897, 424, 9, 'Failure']"
1345,7976,6,"[[1345, 12315, 29, 6562, 7976], 1.00702, 264, 5, 'Success']","[[1345, 12315, 29, 6562, 7976], 1.00702, 264, 5, 'Success']","[[1345, 12315, 29, 6562, 7976], 1.00702, 264, 5, 'Success']","[[1345, 59, 8534, 6562, 7976], 3.25141, 160, 5, 'Success']","[[1345, 12315, 29, 6562, 7976], 1.00702, 264, 5, 'Success']","[[1345, 12315, 29, 6562, 7976], 1.00702, 264, 5, 'Success']","[[1345, 3127, 10171, 12325, 3974, 6562, 7976], 1.0001600000000002, 234, 7, 'Success']"
6541,9268,98,"[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']","[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']","[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']","[[6541, 5280, 855, 1881, 9268], 2.14367, 160, 5, 'Success']","[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']","[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']","[[6541, 5280, 11840, 1881, 9268], 2.0002, 160, 5, 'Success']"
7404,9272,882,"[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 2223, 5961, 9272], 4.35272, 264, 5, 'Success']","[[7404, 7218, 8301, 137, 12325, 5965, 3297, 6324, 5199, 9265, 9292, 9272], 3.66122, 548, 12, 'Success']"
7098,7971,6659,"[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3281, 3111, 7971], 20.99436, 264, 5, 'Failure']","[[7098, 6274, 3083, 5965, 6722, 12325, 4090, 4744, 7971], 19.977, 522, 9, 'Success']"
13021,643,85702,"[[13021, 612, 2, 643], 9.65591, 98, 4, 'Failure']","[[13021, 855, 4, 643], 18.99779, 224, 4, 'Failure']","[[13021, 612, 2, 643], 9.65591, 98, 4, 'Failure']","[[13021, 612, 10113, 4, 643], 2.94272, 264, 5, 'Failure']","[[13021, 855, 4, 643], 18.99779, 224, 4, 'Failure']","[[13021, 855, 4, 643], 18.99779, 224, 4, 'Failure']","[[13021, 612, 10113, 4, 643], 2.94272, 264, 5, 'Failure']"
12456,643,101338,"[[12456, 638, 11423, 32, 643], 53.77044, 264, 5, 'Failure']","[[12456, 638, 15, 4, 643], 40.40952, 274, 5, 'Failure']","[[12456, 638, 10195, 12325, 10113, 4, 643], 4.216060000000001, 338, 7, 'Failure']","[[12456, 2651, 131, 10113, 4, 643], 19.315890000000003, 304, 6, 'Failure']","[[12456, 638, 15, 4, 643], 40.40952, 274, 5, 'Failure']","[[12456, 638, 15, 4, 643], 40.40952, 274, 5, 'Failure']","[[12456, 638, 10228, 1139, 6324, 3297, 10113, 4, 643], 4.62242, 424, 9, 'Failure']"
3500,5365,8,"[[3500, 600, 6010, 609, 5365], 0.0008200000000000001, 160, 5, 'Success']","[[3500, 600, 2654, 2, 5365], 0.0008300000000000001, 138, 5, 'Success']","[[3500, 600, 2654, 2, 5365], 0.0008300000000000001, 138, 5, 'Success']","[[3500, 600, 18, 5365], 1.02701, 120, 4, 'Success']","[[3500, 600, 18, 5365], 1.02701, 120, 4, 'Success']","[[3500, 600, 18, 5365], 1.02701, 120, 4, 'Success']","[[3500, 600, 2654, 2, 5365], 0.0008300000000000001, 138, 5, 'Success']"
10983,9272,52,"[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 2223, 5961, 9272], 1.20076, 264, 5, 'Success']","[[10983, 10294, 7218, 8301, 137, 12325, 6722, 12423, 2390, 9275, 9272], 1.1596800000000003, 612, 11, 'Success']"
2122,1228,278,"[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']","[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']","[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']","[[2122, 2081, 1104, 609, 1228], 0.86857, 154, 5, 'Success']","[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']","[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']","[[2122, 2081, 19, 609, 1228], 0.8342799999999999, 138, 5, 'Success']"
10827,6268,4044,"[[10827, 3083, 194, 1609, 6268], 13.54477, 264, 5, 'Success']","[[10827, 3083, 194, 1609, 6268], 13.54477, 264, 5, 'Success']","[[10827, 3083, 2223, 1609, 6268], 13.849060000000001, 264, 5, 'Success']","[[10827, 3083, 2223, 1609, 6268], 13.849060000000001, 264, 5, 'Success']","[[10827, 3083, 194, 1609, 6268], 13.54477, 264, 5, 'Success']","[[10827, 3083, 194, 1609, 6268], 13.54477, 264, 5, 'Failure']","[[10827, 3083, 5965, 167, 11654, 308, 11837, 314, 11532, 6390, 6263, 6268], 13.283069999999999, 594, 12, 'Success']"
