Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4677,11957,7,"[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 4682, 56, 11957], 2.27828, 258, 5, 'Success']","[[4677, 3083, 60, 177, 56, 11957], 2.27813, 260, 6, 'Success']"
7583,4348,67,"[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 21, 4349, 4348], 2.20714, 264, 5, 'Success']","[[7583, 7218, 8301, 137, 12325, 167, 9515, 21, 4349, 4348], 2.20721, 458, 10, 'Success']"
7306,5564,518,"[[7306, 7218, 36, 600, 5564], 3.11266, 296, 5, 'Success']","[[7306, 7218, 36, 600, 5564], 3.11266, 296, 5, 'Success']","[[7306, 7218, 2223, 600, 5564], 3.11579, 264, 5, 'Success']","[[7306, 7218, 2223, 600, 5564], 3.11579, 264, 5, 'Success']","[[7306, 7218, 36, 600, 5564], 3.11266, 296, 5, 'Success']","[[7306, 7218, 36, 600, 5564], 3.11266, 296, 5, 'Success']","[[7306, 7218, 8301, 137, 12325, 600, 5564], 3.11266, 348, 7, 'Success']"
4447,2491,2512,"[[4447, 3083, 6693, 410, 2491], 15.09461, 264, 5, 'Success']","[[4447, 3083, 6693, 410, 2491], 15.09461, 264, 5, 'Success']","[[4447, 3083, 6693, 410, 2491], 15.09461, 264, 5, 'Success']","[[4447, 3083, 3386, 410, 2491], 15.29425, 264, 5, 'Success']","[[4447, 3083, 6693, 410, 2491], 15.09461, 264, 5, 'Success']","[[4447, 3083, 6693, 410, 2491], 15.09461, 264, 5, 'Success']","[[4447, 3083, 5965, 12325, 10113, 410, 2491], 15.09461, 338, 7, 'Success']"
2114,3495,15061,"[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 18, 3495], 2.10543, 160, 5, 'Success']","[[2114, 2081, 3974, 3221, 3892, 3495], 1.7831700000000001, 200, 6, 'Success']"
11560,6895,389636,"[[11560, 600, 32, 6895], 585.2597900000001, 202, 4, 'Failure']","[[11560, 600, 6057, 855, 6895], 80.48606, 138, 5, 'Failure']","[[11560, 600, 61, 177, 57, 6895], 24.84896, 134, 6, 'Failure']","[[11560, 600, 61, 177, 57, 6895], 24.84896, 134, 6, 'Success']","[[11560, 600, 6057, 855, 6895], 80.48606, 138, 5, 'Failure']","[[11560, 600, 6057, 855, 6895], 80.48606, 138, 5, 'Failure']","[[11560, 600, 61, 177, 57, 6895], 24.84896, 134, 6, 'Failure']"
12316,326,2543646,"[[12316, 3119, 12315, 321, 326], 2802.8124099999995, 368, 5, 'Failure']","[[12316, 3119, 84, 445, 321, 326], 265.99631, 304, 6, 'Failure']","[[12316, 3119, 84, 445, 321, 326], 265.99631, 304, 6, 'Failure']","[[12316, 3119, 84, 445, 321, 326], 265.99631, 304, 6, 'Failure']","[[12316, 3119, 84, 445, 321, 326], 265.99631, 304, 6, 'Failure']","[[12316, 3119, 84, 445, 321, 326], 265.99631, 304, 6, 'Failure']","[[12316, 10435, 3119, 84, 445, 321, 326], 269.54022, 344, 7, 'Failure']"
726,12787,12998611,"[[726, 301, 6722, 12325, 12787], 13.99861, 154, 5, 'Failure']","[[726, 301, 445, 6722, 12325, 12787], 27.997230000000002, 194, 6, 'Failure']","[[726, 301, 6722, 12325, 12787], 13.99861, 154, 5, 'Failure']","[[726, 301, 6722, 12325, 12787], 13.99861, 154, 5, 'Failure']","[[726, 301, 445, 6722, 12325, 12787], 27.997230000000002, 194, 6, 'Failure']","[[726, 301, 445, 6722, 12325, 12787], 27.997230000000002, 194, 6, 'Failure']","[[726, 301, 445, 6722, 12325, 12787], 27.997230000000002, 194, 6, 'Failure']"
8938,11101,3,"[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']","[[8938, 8768, 6274, 11057, 11101], 0.0, 472, 5, 'Success']"
9253,8939,12,"[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']","[[9253, 8768, 8939], 0.0, 184, 3, 'Success']"
