Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
7676,1356,5,"[[7676, 6274, 9281, 609, 1356], 0.015, 264, 5, 'Success']","[[7676, 6274, 36, 609, 1356], 0.015, 296, 5, 'Success']","[[7676, 6274, 4764, 609, 1356], 0.01503, 264, 5, 'Success']","[[7676, 6274, 21, 1356], 1.018, 224, 4, 'Success']","[[7676, 6274, 21, 1356], 1.018, 224, 4, 'Success']","[[7676, 6274, 21, 1356], 1.018, 224, 4, 'Success']","[[7676, 6274, 3083, 5965, 609, 1356], 0.015, 408, 6, 'Success']"
5125,6640,26,"[[5125, 4822, 169, 6640], 0.08186, 202, 4, 'Success']","[[5125, 4822, 169, 6640], 0.08186, 202, 4, 'Success']","[[5125, 4822, 169, 6640], 0.08186, 202, 4, 'Success']","[[5125, 4822, 21, 6640], 1.08103, 224, 4, 'Success']","[[5125, 4822, 169, 6640], 0.08186, 202, 4, 'Success']","[[5125, 4822, 169, 6640], 0.08186, 202, 4, 'Success']","[[5125, 4822, 10113, 12325, 4482, 149, 6640], 0.07906, 442, 7, 'Success']"
11282,2242,235,"[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 1372, 48, 2242], 1.12245, 160, 5, 'Success']","[[11282, 1373, 609, 19, 215, 137, 12325, 3292, 2242], 1.00072, 282, 9, 'Success']"
2149,3158,2771,"[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']","[[2149, 609, 19, 3158], 0.00277, 98, 4, 'Success']"
2002,4844,16525,"[[2002, 1139, 4844], 49.575, 80, 3, 'Success']","[[2002, 1139, 3065, 3771, 4844], 6.77603, 160, 5, 'Success']","[[2002, 1139, 5949, 3372, 6621, 4844], 0.21483000000000002, 200, 6, 'Success']","[[2002, 1139, 3065, 3771, 4844], 6.77603, 160, 5, 'Success']","[[2002, 1139, 3065, 3771, 4844], 6.77603, 160, 5, 'Success']","[[2002, 1139, 3065, 3771, 4844], 6.77603, 160, 5, 'Success']","[[2002, 1139, 6324, 5199, 12325, 3093, 12157, 3372, 6621, 4844], 0.21483000000000002, 354, 10, 'Success']"
12289,1562,598957,"[[12289, 12325, 2169, 1562], 119.29244, 98, 4, 'Failure']","[[12289, 12325, 2169, 1562], 119.29244, 98, 4, 'Failure']","[[12289, 12325, 4289, 3838, 1562], 0.59996, 126, 5, 'Failure']","[[12289, 12325, 4289, 3838, 1562], 0.59996, 126, 5, 'Failure']","[[12289, 12325, 2169, 1562], 119.29244, 98, 4, 'Failure']","[[12289, 12325, 2169, 1562], 119.29244, 98, 4, 'Failure']","[[12289, 12325, 2169, 1562], 119.29244, 98, 4, 'Failure']"
8316,5197,1297726,"[[8316, 3866, 8523, 3591, 5197], 133.07370000000003, 160, 5, 'Failure']","[[8316, 3866, 32, 2918, 5197], 901.53918, 264, 5, 'Failure']","[[8316, 3866, 8523, 10113, 12325, 612, 5197], 6.893190000000001, 234, 7, 'Failure']","[[8316, 3866, 8523, 10113, 12325, 612, 5197], 6.893190000000001, 234, 7, 'Failure']","[[8316, 3866, 32, 5644, 5197], 762.22835, 264, 5, 'Failure']","[[8316, 3866, 32, 5644, 5197], 762.22835, 264, 5, 'Failure']","[[8316, 3866, 8523, 9488, 2877, 175, 50, 5197], 155.4937, 258, 8, 'Failure']"
12773,12,15022056,"[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']","[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']","[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']","[[12773, 21, 356, 321, 12], 48.066219999999994, 160, 5, 'Failure']","[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']","[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']","[[12773, 60, 173, 12], 828.46308, 98, 4, 'Failure']"
4886,10117,10,"[[4886, 4822, 2537, 10117], 0.0303, 224, 4, 'Success']","[[4886, 4822, 2537, 10117], 0.0303, 224, 4, 'Success']","[[4886, 4822, 2537, 10117], 0.0303, 224, 4, 'Success']","[[4886, 4822, 4764, 855, 10117], 0.03347, 264, 5, 'Success']","[[4886, 4822, 2537, 10117], 0.0303, 224, 4, 'Success']","[[4886, 4822, 2537, 10117], 0.0303, 224, 4, 'Success']","[[4886, 4822, 10113, 5916, 10117], 0.0301, 264, 5, 'Success']"
4769,11836,88,"[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 233, 11836], 0.02174, 74, 3, 'Success']","[[4769, 855, 6876, 167, 11654, 308, 11837, 314, 11836], 0.0027999999999999995, 370, 9, 'Success']"
2275,8578,521,,,,,,,
5053,3285,2321,"[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 3285], 0.00232, 80, 3, 'Success']","[[5053, 609, 19, 215, 137, 12325, 3292, 3285], 0.013919999999999998, 242, 8, 'Success']"
826,12024,12596,"[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 6020, 1983, 12024], 2.65505, 160, 5, 'Success']","[[826, 801, 2680, 600, 6010, 1559, 12325, 1983, 12024], 1.05039, 314, 9, 'Success']"
6987,6838,256938,"[[6987, 3896, 6922, 6838], 64.4915, 120, 4, 'Success']","[[6987, 3896, 6922, 6838], 64.4915, 120, 4, 'Success']","[[6987, 3896, 4816, 3742, 6838], 5.652640000000001, 154, 5, 'Success']","[[6987, 3896, 351, 2909, 2290, 6838], 3.31245, 214, 6, 'Success']","[[6987, 3896, 6922, 6838], 64.4915, 120, 4, 'Success']","[[6987, 3896, 6922, 6838], 64.4915, 120, 4, 'Success']","[[6987, 3896, 351, 2909, 2290, 6838], 3.31245, 214, 6, 'Success']"
11181,10917,4008879,,,,,,,
2176,8289,22028617,"[[2176, 2177, 321, 796, 6980, 8289], 1170.5200699999998, 200, 6, 'Failure']","[[2176, 2177, 321, 58, 8289], 6925.23852, 154, 5, 'Failure']","[[2176, 2177, 321, 58, 8289], 6925.23852, 154, 5, 'Failure']","[[2176, 2177, 321, 2706, 1446, 8289], 69.08592, 200, 6, 'Failure']","[[2176, 2177, 321, 58, 8289], 6925.23852, 154, 5, 'Failure']","[[2176, 2177, 321, 58, 8289], 6925.23852, 154, 5, 'Failure']","[[2176, 2177, 321, 58, 8289], 6925.23852, 154, 5, 'Failure']"
2127,2969,3,"[[2127, 2081, 2537, 5914, 2969], 0.00954, 160, 5, 'Success']","[[2127, 2081, 2537, 5914, 2969], 0.00954, 160, 5, 'Success']","[[2127, 2081, 2537, 5914, 2969], 0.00954, 160, 5, 'Success']","[[2127, 2081, 1104, 32, 2969], 1.0140000000000002, 258, 5, 'Success']","[[2127, 2081, 2537, 5914, 2969], 0.00954, 160, 5, 'Success']","[[2127, 2081, 2537, 5914, 2969], 0.00954, 160, 5, 'Success']","[[2127, 2081, 600, 6010, 1559, 2969], 0.00904, 200, 6, 'Success']"
11812,3456,29,"[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 21, 233, 3456], 1.00009, 218, 4, 'Success']","[[11812, 18, 10113, 11067, 3456], 1.00003, 160, 5, 'Success']"
2860,6354,783,"[[2860, 149, 855, 6354], 0.15838, 224, 4, 'Success']","[[2860, 149, 855, 6354], 0.15838, 224, 4, 'Success']","[[2860, 3374, 855, 6354], 0.23492, 120, 4, 'Success']","[[2860, 3374, 855, 6354], 0.23492, 120, 4, 'Success']","[[2860, 149, 855, 6354], 0.15838, 224, 4, 'Success']","[[2860, 149, 855, 6354], 0.15838, 224, 4, 'Success']","[[2860, 149, 3414, 1358, 2573, 2, 6354], 0.08008, 322, 7, 'Success']"
11913,5544,5383,"[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 4764, 5544], 2.31221, 154, 5, 'Success']","[[11913, 1424, 21, 12634, 6764, 3297, 9510, 167, 3892, 6011, 5544], 2.0269, 378, 11, 'Failure']"
