Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9773,8668,8,"[[9773, 12091, 233, 8202, 8668], 1.0003600000000001, 154, 5, 'Success']","[[9773, 12091, 233, 8202, 8668], 1.0003600000000001, 154, 5, 'Success']","[[9773, 12091, 233, 8202, 8668], 1.0003600000000001, 154, 5, 'Success']","[[9773, 11854, 314, 9726, 8668], 1.00208, 264, 5, 'Success']","[[9773, 12091, 233, 8202, 8668], 1.0003600000000001, 154, 5, 'Success']","[[9773, 12091, 233, 8202, 8668], 1.0003600000000001, 154, 5, 'Success']","[[9773, 4976, 4734, 12325, 233, 8202, 8668], 1.0000900000000001, 228, 7, 'Success']"
173,6153,58,"[[173, 12325, 29, 6153], 0.00012, 114, 4, 'Success']","[[173, 12325, 29, 6153], 0.00012, 114, 4, 'Success']","[[173, 18, 6153], 1.00006, 80, 3, 'Success']","[[173, 52, 6153], 2.25319, 58, 3, 'Success']","[[173, 18, 6153], 1.00006, 80, 3, 'Success']","[[173, 18, 6153], 1.00006, 80, 3, 'Success']","[[173, 12325, 29, 6153], 0.00012, 114, 4, 'Success']"
9505,453,106,"[[9505, 855, 6093, 2, 453], 0.0318, 138, 5, 'Success']","[[9505, 855, 2573, 2, 453], 0.0318, 138, 5, 'Success']","[[9505, 21, 453], 1.00011, 80, 3, 'Success']","[[9505, 21, 453], 1.00011, 80, 3, 'Success']","[[9505, 21, 453], 1.00011, 80, 3, 'Success']","[[9505, 21, 453], 1.00011, 80, 3, 'Success']","[[9505, 855, 6876, 167, 8733, 9416, 2, 453], 0.01135, 248, 8, 'Success']"
229,11046,3741,"[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 4839, 6621, 11046], 1.03629, 160, 5, 'Success']","[[229, 7042, 12325, 3093, 12157, 3372, 11045, 11046], 0.03742, 268, 8, 'Success']"
8698,6268,10897,"[[8698, 5059, 11315, 6268], 10.1025, 120, 4, 'Failure']","[[8698, 5059, 11315, 6268], 10.1025, 120, 4, 'Failure']","[[8698, 3292, 489, 1609, 6268], 1.05449, 140, 5, 'Success']","[[8698, 5059, 11315, 6268], 10.1025, 120, 4, 'Failure']","[[8698, 5059, 11315, 6268], 10.1025, 120, 4, 'Failure']","[[8698, 5059, 11315, 6268], 10.1025, 120, 4, 'Failure']","[[8698, 3292, 3642, 167, 11654, 308, 11837, 314, 11532, 6390, 6263, 6268], 1.39434, 470, 12, 'Success']"
2969,10170,119445,"[[2969, 2740, 609, 10170], 13.06396, 120, 4, 'Failure']","[[2969, 233, 459, 609, 10170], 18.69288, 154, 5, 'Failure']","[[2969, 233, 11607, 609, 10170], 12.661249999999999, 154, 5, 'Failure']","[[2969, 233, 11607, 609, 10170], 12.661249999999999, 154, 5, 'Failure']","[[2969, 233, 11607, 609, 10170], 12.661249999999999, 154, 5, 'Failure']","[[2969, 233, 11607, 609, 10170], 12.661249999999999, 154, 5, 'Failure']","[[2969, 233, 131, 2938, 609, 10170], 13.661240000000001, 194, 6, 'Failure']"
6607,1368,9,"[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 9403, 26, 1347, 1368], 0.0045, 258, 5, 'Success']","[[6607, 1314, 6708, 5199, 12325, 26, 1347, 1368], 0.00428, 372, 8, 'Success']"
5043,1228,17,"[[5043, 8688, 609, 1228], 2e-05, 120, 4, 'Success']","[[5043, 6480, 609, 1228], 4e-05, 120, 4, 'Success']","[[5043, 6480, 609, 1228], 4e-05, 120, 4, 'Success']","[[5043, 855, 1219, 1228], 0.0095, 120, 4, 'Success']","[[5043, 6480, 609, 1228], 4e-05, 120, 4, 'Success']","[[5043, 6480, 609, 1228], 4e-05, 120, 4, 'Success']","[[5043, 4298, 12325, 4438, 609, 1228], 2e-05, 194, 6, 'Success']"
1593,6268,916,"[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 48, 11527, 6268], 1.41795, 160, 5, 'Success']","[[1593, 12111, 167, 11654, 308, 11837, 314, 11532, 6390, 6263, 6268], 1.0396100000000001, 450, 11, 'Success']"
5972,10170,8193,"[[5972, 11178, 10056, 10170], 0.75377, 120, 4, 'Success']","[[5972, 2938, 609, 10170], 0.83569, 120, 4, 'Success']","[[5972, 2938, 609, 10170], 0.83569, 120, 4, 'Failure']","[[5972, 2938, 609, 10170], 0.83569, 120, 4, 'Failure']","[[5972, 2938, 609, 10170], 0.83569, 120, 4, 'Failure']","[[5972, 2938, 609, 10170], 0.83569, 120, 4, 'Failure']","[[5972, 3292, 10171, 12325, 4438, 609, 10170], 0.8193, 214, 7, 'Failure']"
