Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6507,13128,6,"[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6948, 4789, 12768, 13128], 0.05031, 160, 5, 'Success']","[[6507, 6622, 855, 6876, 167, 6722, 3928, 12768, 13128], 5e-05, 320, 9, 'Success']"
8088,12482,90,"[[8088, 12111, 12325, 12482], 0.009, 114, 4, 'Success']","[[8088, 12111, 12325, 12482], 0.009, 114, 4, 'Success']","[[8088, 12111, 12325, 12482], 0.009, 114, 4, 'Success']","[[8088, 32, 12325, 12482], 1.04491, 218, 4, 'Success']","[[8088, 12111, 12325, 12482], 0.009, 114, 4, 'Success']","[[8088, 12111, 12325, 12482], 0.009, 114, 4, 'Success']","[[8088, 12111, 609, 19, 215, 137, 12325, 12482], 0.00018, 262, 8, 'Success']"
11564,1766,523,"[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 855, 6628, 1766], 0.14645, 114, 4, 'Success']","[[11564, 12325, 6722, 6628, 1766], 0.04184, 148, 5, 'Success']"
11576,7099,5141,"[[11576, 12325, 36, 6274, 7099], 0.0, 290, 5, 'Failure']","[[11576, 167, 2223, 6274, 7099], 0.00514, 254, 5, 'Failure']","[[11576, 167, 2223, 6274, 7099], 0.00514, 254, 5, 'Failure']","[[11576, 12325, 3520, 6274, 7099], 0.22106, 258, 5, 'Failure']","[[11576, 167, 2223, 6274, 7099], 0.00514, 254, 5, 'Failure']","[[11576, 167, 2223, 6274, 7099], 0.00514, 254, 5, 'Failure']","[[11576, 167, 2223, 6274, 7099], 0.00514, 254, 5, 'Failure']"
11755,11208,61344,"[[11755, 600, 6184, 1579, 11208], 1.05209, 160, 5, 'Failure']","[[11755, 173, 2606, 1579, 11208], 7.34164, 160, 5, 'Failure']","[[11755, 600, 6184, 1579, 11208], 1.05209, 160, 5, 'Failure']","[[11755, 600, 6184, 1579, 11208], 1.05209, 160, 5, 'Failure']","[[11755, 173, 2606, 1579, 11208], 7.34164, 160, 5, 'Failure']","[[11755, 173, 2606, 1579, 11208], 7.34164, 160, 5, 'Failure']","[[11755, 173, 53, 6184, 1579, 11208], 6.49203, 178, 6, 'Failure']"
10195,11182,490280,,,,,,,
2374,11328,1183011,"[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Success']","[[2374, 321, 11067, 11328], 61.33362, 120, 4, 'Failure']"
3190,12302,11815553,"[[3190, 167, 12119, 12302], 35.44869, 208, 4, 'Failure']","[[3190, 321, 1877, 3067, 12119, 12302], 2484.6052, 390, 6, 'Failure']","[[3190, 321, 3642, 167, 12119, 12302], 48.26428, 288, 6, 'Failure']","[[3190, 167, 12119, 12302], 35.44869, 208, 4, 'Failure']","[[3190, 321, 1877, 3067, 12119, 12302], 2484.6052, 390, 6, 'Failure']","[[3190, 321, 1877, 3067, 12119, 12302], 2484.6052, 390, 6, 'Failure']","[[3190, 321, 1877, 3067, 12119, 12302], 2484.6052, 390, 6, 'Failure']"
5826,5792,1,"[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 3642, 4822, 5792], 5e-05, 224, 4, 'Success']","[[5826, 12325, 10113, 4822, 5792], 0.0, 258, 5, 'Success']"
2740,1225,48,"[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']","[[2740, 609, 1225], 5e-05, 80, 3, 'Success']"
6262,1185,707,"[[6262, 5043, 1139, 1185], 2.14369, 120, 4, 'Success']","[[6262, 5043, 1139, 1185], 2.14369, 120, 4, 'Success']","[[6262, 5043, 1139, 1185], 2.14369, 120, 4, 'Success']","[[6262, 32, 1139, 1185], 3.47485, 224, 4, 'Success']","[[6262, 5043, 1139, 1185], 2.14369, 120, 4, 'Success']","[[6262, 5043, 1139, 1185], 2.14369, 120, 4, 'Success']","[[6262, 3642, 36, 1139, 1185], 2.121, 192, 5, 'Success']"
5881,8879,9307,"[[5881, 308, 6020, 8768, 8879], 0.0, 264, 5, 'Failure']","[[5881, 3297, 10113, 8768, 8879], 0.01031, 264, 5, 'Failure']","[[5881, 308, 6020, 8768, 8879], 0.0, 264, 5, 'Failure']","[[5881, 855, 2223, 8768, 8879], 1.8614, 264, 5, 'Failure']","[[5881, 3297, 10113, 8768, 8879], 0.01031, 264, 5, 'Failure']","[[5881, 3297, 10113, 8768, 8879], 0.01031, 264, 5, 'Failure']","[[5881, 3297, 9510, 167, 2223, 8768, 8879], 0.00931, 334, 7, 'Failure']"
154,11206,21244,"[[154, 26, 8688, 11206], 2.59418, 108, 4, 'Failure']","[[154, 612, 8688, 11206], 2.91297, 114, 4, 'Failure']","[[154, 26, 8688, 11206], 2.59418, 108, 4, 'Failure']","[[154, 612, 8688, 11206], 2.91297, 114, 4, 'Failure']","[[154, 612, 8688, 11206], 2.91297, 114, 4, 'Failure']","[[154, 612, 8688, 11206], 2.91297, 114, 4, 'Failure']","[[154, 12325, 10113, 12768, 11414, 11206], 1.02124, 188, 6, 'Success']"
265,5884,221777,"[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']","[[265, 321, 7, 5884], 2218.99399, 214, 4, 'Failure']"
7067,12113,1706889,"[[7067, 233, 1983, 313, 12113], 527.9689099999999, 154, 5, 'Success']","[[7067, 32, 53, 313, 12113], 1462.26542, 264, 5, 'Success']","[[7067, 233, 1983, 313, 12113], 527.9689099999999, 154, 5, 'Failure']","[[7067, 233, 1983, 313, 12113], 527.9689099999999, 154, 5, 'Failure']","[[7067, 32, 53, 313, 12113], 1462.26542, 264, 5, 'Failure']","[[7067, 32, 53, 313, 12113], 1462.26542, 264, 5, 'Failure']","[[7067, 233, 1983, 313, 12113], 527.9689099999999, 154, 5, 'Failure']"
