Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6938,11338,5,"[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 314, 11338], 0.00201, 184, 3, 'Failure']","[[6938, 5642, 6807, 167, 11338], 0.0, 150, 5, 'Success']"
3313,3336,10,"[[3313, 3782, 2255, 855, 3336], 0.0023, 160, 5, 'Success']","[[3313, 3782, 2255, 855, 3336], 0.0023, 160, 5, 'Success']","[[3313, 32, 3336], 1.00499, 184, 3, 'Success']","[[3313, 32, 3336], 1.00499, 184, 3, 'Success']","[[3313, 32, 3336], 1.00499, 184, 3, 'Success']","[[3313, 32, 3336], 1.00499, 184, 3, 'Success']","[[3313, 3782, 1579, 3778, 12325, 855, 3336], 0.00202, 234, 7, 'Success']"
6405,3274,972,"[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 32, 3274], 1.48503, 184, 3, 'Success']","[[6405, 6478, 12325, 5965, 3297, 6764, 3896, 3758, 3274], 0.59401, 308, 9, 'Success']"
8289,1559,4810,"[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']","[[8289, 11317, 12325, 1559], 0.0, 114, 4, 'Success']"
559,8783,94738,"[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 18, 8783], 1.09474, 80, 3, 'Success']","[[559, 11, 11268, 167, 6722, 18, 8783], 2.37896, 240, 7, 'Success']"
2263,12218,778496,"[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Success']","[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Success']","[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Failure']","[[2263, 1565, 8301, 321, 173, 12218], 48.124359999999996, 200, 6, 'Failure']","[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Failure']","[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Failure']","[[2263, 4076, 173, 12218], 140.82783, 120, 4, 'Failure']"
12265,3587,3223711,"[[12265, 57, 167, 1815, 3587], 247.25583, 150, 5, 'Failure']","[[12265, 57, 321, 1815, 3587], 248.25588000000002, 160, 5, 'Failure']","[[12265, 57, 167, 1815, 3587], 247.25583, 150, 5, 'Failure']","[[12265, 612, 3642, 167, 1815, 3587], 71.92178000000001, 190, 6, 'Failure']","[[12265, 57, 321, 1815, 3587], 248.25588000000002, 160, 5, 'Failure']","[[12265, 57, 321, 1815, 3587], 248.25588000000002, 160, 5, 'Failure']","[[12265, 57, 173, 60, 3065, 3587], 560.97298, 156, 6, 'Failure']"
3769,239,20514074,"[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']","[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']","[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']","[[3769, 233, 2904, 239], 71.74226, 114, 4, 'Failure']","[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']","[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']","[[3769, 4017, 239], 2565.25925, 80, 3, 'Failure']"
2938,9287,9,"[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']","[[2938, 855, 9287], 0.0018, 80, 3, 'Success']"
12809,5059,42,"[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 351, 5059], 0.00054, 114, 4, 'Success']","[[12809, 1579, 8260, 167, 897, 5059], 8e-05, 190, 6, 'Success']"
7035,2849,458,"[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 6472, 314, 2849], 0.07025, 214, 4, 'Success']","[[7035, 4789, 12768, 4792, 167, 11654, 308, 11837, 314, 2849], 0.0038399999999999997, 400, 10, 'Success']"
