Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
8668,5243,1,"[[8668, 8202, 6780, 2757, 1139, 2537, 4623, 5243], 0.00311, 280, 8, 'Success']","[[8668, 8202, 6780, 2757, 1139, 2537, 4623, 5243], 0.00311, 280, 8, 'Success']","[[8668, 739, 855, 5101, 5243], 1.0002, 160, 5, 'Success']","[[8668, 8202, 233, 11336, 5243], 1.12538, 144, 5, 'Success']","[[8668, 739, 855, 5101, 5243], 1.0002, 160, 5, 'Success']","[[8668, 739, 855, 5101, 5243], 1.0002, 160, 5, 'Success']","[[8668, 8202, 6780, 2757, 1139, 6324, 3297, 9510, 167, 5101, 5243], 0.0, 390, 11, 'Success']"
6177,5384,100,"[[6177, 167, 2706, 4822, 5384], 0.0001, 254, 5, 'Success']","[[6177, 167, 2223, 4822, 5384], 0.0001, 254, 5, 'Success']","[[6177, 167, 2223, 4822, 5384], 0.0001, 254, 5, 'Success']","[[6177, 167, 4682, 4822, 5384], 0.0015, 248, 5, 'Success']","[[6177, 600, 6079, 4822, 5384], 0.00039999999999999996, 264, 5, 'Success']","[[6177, 600, 6079, 4822, 5384], 0.00039999999999999996, 264, 5, 'Success']","[[6177, 600, 6079, 4822, 5384], 0.00039999999999999996, 264, 5, 'Success']"
6635,8997,967,"[[6635, 167, 2223, 8768, 8997], 0.00097, 254, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']","[[6635, 609, 2223, 8768, 8997], 0.00097, 264, 5, 'Success']"
704,2873,9680,"[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 21, 2873], 1.00968, 80, 3, 'Failure']","[[704, 609, 19, 215, 137, 12325, 167, 9515, 21, 2873], 1.0387199999999996, 332, 10, 'Failure']"
10006,3373,34654,"[[10006, 5949, 855, 3373], 23.862989999999996, 120, 4, 'Failure']","[[10006, 6982, 12325, 855, 3373], 18.09603, 154, 5, 'Failure']","[[10006, 5949, 9456, 855, 3373], 9.31207, 154, 5, 'Failure']","[[10006, 5949, 9456, 855, 3373], 9.31207, 154, 5, 'Failure']","[[10006, 6982, 9415, 855, 3373], 12.95788, 160, 5, 'Failure']","[[10006, 6982, 9415, 855, 3373], 12.95788, 160, 5, 'Failure']","[[10006, 6982, 13034, 314, 11837, 12325, 855, 3373], 9.00212, 356, 8, 'Failure']"
453,1153,104669,"[[453, 2, 32, 1153], 53.22983, 202, 4, 'Failure']","[[453, 36, 93, 32, 1153], 54.686499999999995, 296, 5, 'Failure']","[[453, 21, 2602, 32, 1153], 54.33555, 242, 5, 'Failure']","[[453, 21, 4972, 32, 1153], 55.43927, 264, 5, 'Failure']","[[453, 36, 93, 32, 1153], 54.686499999999995, 296, 5, 'Failure']","[[453, 36, 93, 32, 1153], 54.686499999999995, 296, 5, 'Failure']","[[453, 36, 93, 32, 1153], 54.686499999999995, 296, 5, 'Failure']"
8728,851,4,"[[8728, 2, 36, 634, 851], 5.004, 274, 5, 'Success']","[[8728, 2, 36, 634, 851], 5.004, 274, 5, 'Success']","[[8728, 2, 3781, 634, 851], 5.004029999999999, 242, 5, 'Success']","[[8728, 600, 4682, 634, 851], 5.0310299999999994, 258, 5, 'Success']","[[8728, 2, 3781, 634, 851], 5.004029999999999, 242, 5, 'Success']","[[8728, 2, 3781, 634, 851], 5.004029999999999, 242, 5, 'Success']","[[8728, 2, 3781, 634, 851], 5.004029999999999, 242, 5, 'Success']"
2610,12405,82,"[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 12405], 0.017220000000000003, 120, 4, 'Success']","[[2610, 3056, 855, 6876, 167, 11654, 308, 11837, 314, 12314, 12405], 0.0076500000000000005, 450, 11, 'Success']"
7971,156,667,"[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 463, 84, 156], 1.8476, 100, 4, 'Success']","[[7971, 6622, 855, 6876, 6781, 609, 19, 215, 333, 156], 0.25602, 442, 10, 'Success']"
6896,7345,8122,"[[6896, 600, 6184, 7218, 7345], 0.56498, 264, 5, 'Success']","[[6896, 600, 6184, 7218, 7345], 0.56498, 264, 5, 'Success']","[[6896, 48, 2, 7218, 7345], 0.8122, 242, 5, 'Failure']","[[6896, 48, 2223, 7218, 7345], 0.8122, 264, 5, 'Failure']","[[6896, 600, 6184, 7218, 7345], 0.56498, 264, 5, 'Failure']","[[6896, 600, 6184, 7218, 7345], 0.56498, 264, 5, 'Failure']","[[6896, 1139, 6324, 3297, 9510, 167, 2223, 7218, 7345], 0.03249, 414, 9, 'Failure']"
