Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
5120,896,8,"[[5120, 600, 12206, 5978, 896], 0.12840000000000001, 154, 5, 'Success']","[[5120, 600, 12206, 5978, 896], 0.12840000000000001, 154, 5, 'Success']","[[5120, 600, 12206, 5978, 896], 0.12840000000000001, 154, 5, 'Success']","[[5120, 32, 634, 896], 6.01449, 328, 4, 'Success']","[[5120, 600, 12206, 5978, 896], 0.12840000000000001, 154, 5, 'Success']","[[5120, 600, 12206, 5978, 896], 0.12840000000000001, 154, 5, 'Success']","[[5120, 600, 6010, 1559, 12325, 29, 12206, 5978, 896], 0.10413000000000001, 308, 9, 'Success']"
977,8219,51,"[[977, 600, 48, 8572, 8219], 0.16372, 160, 5, 'Success']","[[977, 600, 2654, 2, 8572, 8219], 0.010890000000000002, 178, 6, 'Success']","[[977, 600, 48, 8572, 8219], 0.16372, 160, 5, 'Success']","[[977, 600, 48, 8572, 8219], 0.16372, 160, 5, 'Success']","[[977, 600, 48, 8572, 8219], 0.16372, 160, 5, 'Success']","[[977, 600, 48, 8572, 8219], 0.16372, 160, 5, 'Success']","[[977, 600, 6010, 1559, 12325, 8192, 8572, 8219], 0.00579, 274, 8, 'Success']"
1878,6661,861,"[[1878, 1407, 91, 6661], 1.36372, 270, 4, 'Success']","[[1878, 1407, 12325, 167, 6661], 0.00086, 154, 5, 'Success']","[[1878, 1407, 12325, 167, 6661], 0.00086, 154, 5, 'Success']","[[1878, 1407, 91, 6661], 1.36372, 270, 4, 'Success']","[[1878, 1407, 91, 6661], 1.36372, 270, 4, 'Success']","[[1878, 1407, 91, 6661], 1.36372, 270, 4, 'Success']","[[1878, 1407, 12325, 167, 6661], 0.00086, 154, 5, 'Success']"
8663,1767,2323,"[[8663, 8617, 18, 1767], 2.02556, 114, 4, 'Success']","[[8663, 8617, 21, 1767], 2.02556, 114, 4, 'Success']","[[8663, 8617, 21, 1767], 2.02556, 114, 4, 'Success']","[[8663, 8617, 32, 1767], 3.18243, 218, 4, 'Success']","[[8663, 8617, 21, 1767], 2.02556, 114, 4, 'Success']","[[8663, 8617, 21, 1767], 2.02556, 114, 4, 'Success']","[[8663, 6236, 11729, 3093, 12325, 1573, 1566, 2, 1767], 0.302, 282, 9, 'Success']"
6241,3084,66493,"[[6241, 1276, 32, 3084], 34.74654, 224, 4, 'Failure']","[[6241, 2928, 32, 3084], 35.24654, 224, 4, 'Success']","[[6241, 2928, 3292, 3065, 3084], 2.73142, 140, 5, 'Success']","[[6241, 2928, 3292, 3065, 3084], 2.73142, 140, 5, 'Success']","[[6241, 2928, 32, 3084], 35.24654, 224, 4, 'Success']","[[6241, 2928, 32, 3084], 35.24654, 224, 4, 'Success']","[[6241, 2928, 3292, 3065, 3084], 2.73142, 140, 5, 'Success']"
6950,7994,553659,"[[6950, 623, 7994], 6.53659, 80, 3, 'Failure']","[[6950, 6951, 6941, 7994], 156.03459, 120, 4, 'Failure']","[[6950, 623, 7994], 6.53659, 80, 3, 'Failure']","[[6950, 623, 7994], 6.53659, 80, 3, 'Failure']","[[6950, 623, 7994], 6.53659, 80, 3, 'Failure']","[[6950, 623, 7994], 6.53659, 80, 3, 'Failure']","[[6950, 6951, 57, 177, 55, 4038, 7994], 165.59469, 196, 7, 'Failure']"
10125,3616,1238073,"[[10125, 32, 3616], 1237.83493, 184, 3, 'Failure']","[[10125, 10516, 10153, 445, 3616], 311.54326, 368, 5, 'Failure']","[[10125, 10516, 6876, 167, 796, 3616], 133.4748, 200, 6, 'Success']","[[10125, 2633, 2359, 796, 3616], 46.57092, 160, 5, 'Failure']","[[10125, 10516, 10153, 445, 3616], 311.54326, 368, 5, 'Failure']","[[10125, 10516, 10153, 445, 3616], 311.54326, 368, 5, 'Failure']","[[10125, 10516, 6876, 167, 796, 3616], 133.4748, 200, 6, 'Success']"
200,2178,12384282,"[[200, 87, 26, 12325, 2178], 747.0631099999999, 148, 5, 'Failure']","[[200, 87, 26, 321, 2734, 2178], 31724.5319, 298, 6, 'Failure']","[[200, 87, 26, 12325, 2178], 747.0631099999999, 148, 5, 'Failure']","[[200, 87, 445, 6722, 12325, 2178], 632.64905, 194, 6, 'Failure']","[[200, 87, 26, 12325, 2178], 747.0631099999999, 148, 5, 'Failure']","[[200, 87, 26, 12325, 2178], 747.0631099999999, 148, 5, 'Failure']","[[200, 87, 26, 12325, 2178], 747.0631099999999, 148, 5, 'Failure']"
6950,12310,6,"[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 855, 12310], 0.0029899999999999996, 120, 4, 'Success']","[[6950, 5778, 6011, 3892, 167, 12310], 0.0006100000000000001, 200, 6, 'Success']"
5513,8160,65,"[[5513, 4822, 10113, 12325, 8160], 0.195, 258, 5, 'Success']","[[5513, 4822, 10113, 12325, 8160], 0.195, 258, 5, 'Success']","[[5513, 4822, 3642, 167, 8160], 0.19506, 254, 5, 'Success']","[[5513, 4822, 2584, 8160], 1.19956, 224, 4, 'Success']","[[5513, 4822, 2584, 8160], 1.19956, 224, 4, 'Success']","[[5513, 4822, 2584, 8160], 1.19956, 224, 4, 'Success']","[[5513, 4822, 10113, 12325, 8160], 0.195, 258, 5, 'Success']"
4888,3336,146,"[[4888, 4822, 3159, 855, 3336], 0.46875, 264, 5, 'Success']","[[4888, 4822, 3159, 855, 3336], 0.46875, 264, 5, 'Success']","[[4888, 4822, 3159, 855, 3336], 0.46875, 264, 5, 'Success']","[[4888, 4822, 194, 32, 3336], 1.52882, 368, 5, 'Success']","[[4888, 4822, 3159, 855, 3336], 0.46875, 264, 5, 'Success']","[[4888, 4822, 3159, 855, 3336], 0.46875, 264, 5, 'Success']","[[4888, 4822, 10113, 12325, 855, 3336], 0.46729, 298, 6, 'Success']"
