Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
7797,7137,4,"[[7797, 7218, 21, 7137], 1.015, 224, 4, 'Success']","[[7797, 7218, 21, 7137], 1.015, 224, 4, 'Success']","[[7797, 7218, 21, 7137], 1.015, 224, 4, 'Success']","[[7797, 7218, 21, 7137], 1.015, 224, 4, 'Success']","[[7797, 7218, 21, 7137], 1.015, 224, 4, 'Success']","[[7797, 7218, 8301, 137, 12325, 167, 9515, 21, 7137], 1.015, 418, 9, 'Success']"
666,3539,84,"[[666, 32, 3539], 2.04201, 184, 3, 'Success']","[[666, 32, 3539], 2.04201, 184, 3, 'Success']","[[666, 32, 3539], 2.04201, 184, 3, 'Success']","[[666, 32, 3539], 2.04201, 184, 3, 'Success']","[[666, 32, 3539], 2.04201, 184, 3, 'Success']","[[666, 32, 3539], 2.04201, 184, 3, 'Success']"
5102,11535,7778,"[[5102, 6214, 32, 11535], 6.50012, 224, 4, 'Success']","[[5102, 6214, 32, 11535], 6.50012, 224, 4, 'Success']","[[5102, 6214, 167, 32, 11535], 5.2859300000000005, 254, 5, 'Success']","[[5102, 6214, 32, 11535], 6.50012, 224, 4, 'Success']","[[5102, 6214, 32, 11535], 6.50012, 224, 4, 'Success']","[[5102, 6214, 167, 32, 11535], 5.2859300000000005, 254, 5, 'Success']"
7902,10749,1,"[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']","[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']","[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']","[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']","[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']","[[7902, 7218, 10294, 10749], 0.0, 328, 4, 'Success']"
2545,6064,1,"[[2545, 1297, 6064], 6.00042, 80, 3, 'Success']","[[2545, 1297, 9472, 2537, 6064], 1.00115, 160, 5, 'Success']","[[2545, 1297, 9472, 723, 351, 6064], 1.00123, 188, 6, 'Success']","[[2545, 1297, 9472, 2537, 6064], 1.00115, 160, 5, 'Success']","[[2545, 1297, 9472, 2537, 6064], 1.00115, 160, 5, 'Success']","[[2545, 1297, 9472, 12325, 5583, 6059, 6064], 1.00107, 234, 7, 'Success']"
11045,3086,1013,"[[11045, 11207, 3086], 0.07597000000000001, 74, 3, 'Success']","[[11045, 11207, 3086], 0.07597000000000001, 74, 3, 'Success']","[[11045, 11207, 3086], 0.07597000000000001, 74, 3, 'Success']","[[11045, 11207, 3086], 0.07597000000000001, 74, 3, 'Success']","[[11045, 11207, 3086], 0.07597000000000001, 74, 3, 'Success']","[[11045, 3372, 4792, 167, 3086], 0.01115, 144, 5, 'Success']"
2415,5264,819,"[[2415, 1139, 124, 5264], 6.649229999999999, 120, 4, 'Success']","[[2415, 1139, 124, 5264], 6.649229999999999, 120, 4, 'Success']","[[2415, 1139, 6219, 314, 124, 5264], 4.19693, 304, 6, 'Success']","[[2415, 1139, 124, 5264], 6.649229999999999, 120, 4, 'Success']","[[2415, 1139, 124, 5264], 6.649229999999999, 120, 4, 'Success']","[[2415, 1139, 6324, 3297, 9510, 167, 9869, 3868, 6720, 3674, 5264], 4.01248, 390, 11, 'Success']"
2692,6286,18,"[[2692, 626, 124, 6274, 6286], 2.00418, 264, 5, 'Success']","[[2692, 626, 124, 6274, 6286], 2.00418, 264, 5, 'Success']","[[2692, 626, 124, 6274, 6286], 2.00418, 264, 5, 'Success']","[[2692, 626, 124, 6274, 6286], 2.00418, 264, 5, 'Success']","[[2692, 626, 124, 6274, 6286], 2.00418, 264, 5, 'Success']","[[2692, 626, 10113, 12325, 36, 6274, 6286], 2.00004, 370, 7, 'Success']"
3736,11154,2,"[[3736, 1139, 1121, 11057, 11154], 1.006, 368, 5, 'Success']","[[3736, 1139, 3642, 11057, 11154], 1.0061, 264, 5, 'Success']","[[3736, 1139, 1121, 11057, 11154], 1.006, 368, 5, 'Success']","[[3736, 1139, 1121, 11057, 11154], 1.006, 368, 5, 'Success']","[[3736, 1139, 1121, 11057, 11154], 1.006, 368, 5, 'Success']","[[3736, 6897, 3221, 3892, 167, 2223, 6274, 11057, 11154], 1.0, 518, 9, 'Success']"
8521,8766,13,"[[8521, 11178, 32, 8766], 301.01984, 224, 4, 'Success']","[[8521, 11178, 32, 8766], 301.01984, 224, 4, 'Success']","[[8521, 11178, 32, 8766], 301.01984, 224, 4, 'Success']","[[8521, 11178, 12325, 3544, 8766], 300.00231, 154, 5, 'Success']","[[8521, 11178, 12325, 3544, 8766], 300.00231, 154, 5, 'Success']","[[8521, 11178, 11317, 12325, 1573, 3457, 8766], 300.00195, 234, 7, 'Success']"
