Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
5519,11136,5,"[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']","[[5519, 4822, 11057, 11136], 0.0, 328, 4, 'Success']"
12811,13101,35,"[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']","[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']","[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']","[[12811, 609, 1104, 1236, 624, 13101], 1.1125200000000002, 194, 6, 'Success']","[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']","[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']","[[12811, 609, 19, 15, 624, 13101], 1.00281, 154, 6, 'Success']"
11504,11485,304,"[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']","[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']","[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']","[[11504, 177, 48, 11485], 2.29712, 120, 4, 'Success']","[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']","[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']","[[11504, 177, 167, 11485], 2.26702, 110, 4, 'Success']"
6045,10254,3910,"[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6184, 7218, 10254], 0.53128, 264, 5, 'Success']","[[6045, 600, 6010, 609, 2223, 7218, 10254], 0.01564, 344, 7, 'Success']"
1223,2560,43520,"[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']","[[1223, 18, 985, 2560], 1.08704, 120, 4, 'Success']"
1032,8449,299488,"[[1032, 2081, 3974, 8449], 4.294370000000001, 120, 4, 'Success']","[[1032, 3065, 32, 8449], 174.22788, 224, 4, 'Success']","[[1032, 2081, 3974, 8449], 4.294370000000001, 120, 4, 'Failure']","[[1032, 2081, 3974, 8449], 4.294370000000001, 120, 4, 'Failure']","[[1032, 3065, 32, 8449], 174.22788, 224, 4, 'Success']","[[1032, 3065, 32, 8449], 174.22788, 224, 4, 'Success']","[[1032, 3065, 6184, 18, 8534, 8449], 8.59136, 200, 6, 'Success']"
12503,3958,8319640,"[[12503, 534, 66, 131, 3958], 2966.1830999999997, 154, 5, 'Failure']","[[12503, 534, 66, 173, 172, 3958], 2956.86015, 150, 6, 'Failure']","[[12503, 534, 66, 173, 172, 3958], 2956.86015, 150, 6, 'Failure']","[[12503, 534, 6035, 131, 3958], 2506.21444, 148, 5, 'Failure']","[[12503, 534, 66, 173, 172, 3958], 2956.86015, 150, 6, 'Failure']","[[12503, 534, 66, 173, 172, 3958], 2956.86015, 150, 6, 'Failure']","[[12503, 534, 66, 173, 172, 3958], 2956.86015, 150, 6, 'Failure']"
5186,97,20393325,"[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']","[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']","[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']","[[5186, 4822, 3642, 167, 97], 61200.429500000006, 254, 5, 'Failure']","[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']","[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']","[[5186, 4822, 2, 97], 63225.4255, 202, 4, 'Failure']"
7035,11901,3,"[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 21, 11901], 1.0, 70, 3, 'Success']","[[7035, 4789, 12768, 10113, 12325, 1573, 1566, 2706, 1446, 11901], 1.0, 334, 10, 'Success']"
6952,7070,75,"[[6952, 6901, 6587, 3642, 6274, 7070], 0.036, 298, 6, 'Success']","[[6952, 6901, 6587, 3642, 6274, 7070], 0.036, 298, 6, 'Success']","[[6952, 6614, 21, 6274, 7070], 1.0076800000000001, 264, 5, 'Success']","[[6952, 6614, 21, 6274, 7070], 1.0076800000000001, 264, 5, 'Success']","[[6952, 6614, 21, 6274, 7070], 1.0076800000000001, 264, 5, 'Success']","[[6952, 6614, 21, 6274, 7070], 1.0076800000000001, 264, 5, 'Success']","[[6952, 6614, 604, 4479, 3221, 3892, 167, 2223, 6274, 7070], 0.0075899999999999995, 558, 10, 'Success']"
