Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
980,9355,10,"[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']","[[980, 600, 4863, 9355], 0.00078, 120, 4, 'Success']"
678,5691,33,"[[678, 184, 2, 4822, 5691], 0.00103, 230, 5, 'Success']","[[678, 184, 2, 4822, 5691], 0.00103, 230, 5, 'Success']","[[678, 21, 4822, 5691], 1.00003, 218, 4, 'Success']","[[678, 21, 4822, 5691], 1.00003, 218, 4, 'Success']","[[678, 21, 4822, 5691], 1.00003, 218, 4, 'Success']","[[678, 21, 4822, 5691], 1.00003, 218, 4, 'Success']","[[678, 855, 6876, 167, 2223, 4822, 5691], 0.00023, 328, 7, 'Success']"
12999,11961,332,"[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']","[[12999, 6855, 167, 11961], 0.19952999999999999, 110, 4, 'Success']"
3062,1025,5731,"[[3062, 5995, 6145, 600, 1025], 19.2045, 160, 5, 'Success']","[[3062, 5995, 12258, 600, 1025], 19.53669, 154, 5, 'Success']","[[3062, 5995, 19, 233, 600, 1025], 17.526400000000002, 172, 6, 'Success']","[[3062, 5995, 12258, 600, 1025], 19.53669, 154, 5, 'Success']","[[3062, 5995, 12258, 600, 1025], 19.53669, 154, 5, 'Success']","[[3062, 5995, 12258, 600, 1025], 19.53669, 154, 5, 'Failure']","[[3062, 5995, 19, 215, 600, 1025], 17.52065, 178, 6, 'Failure']"
7744,7338,27375,"[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Success']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']","[[7744, 6274, 3083, 7218, 7338], 0.0, 472, 5, 'Failure']"
3056,7376,407849,"[[3056, 2702, 36, 7218, 7376], 9.38053, 296, 5, 'Failure']","[[3056, 32, 345, 7218, 7376], 209.59768, 362, 5, 'Failure']","[[3056, 32, 345, 7218, 7376], 209.59768, 362, 5, 'Failure']","[[3056, 855, 131, 3065, 7218, 7376], 5.35495, 304, 6, 'Failure']","[[3056, 32, 345, 7218, 7376], 209.59768, 362, 5, 'Failure']","[[3056, 32, 345, 7218, 7376], 209.59768, 362, 5, 'Failure']","[[3056, 32, 345, 7218, 7376], 209.59768, 362, 5, 'Failure']"
9324,170,1131348,"[[9324, 855, 547, 170], 612.13643, 500, 4, 'Failure']","[[9324, 855, 547, 170], 612.13643, 500, 4, 'Failure']","[[9324, 1139, 70, 173, 88, 170], 67.86838, 156, 6, 'Failure']","[[9324, 855, 6876, 167, 4682, 170], 13.57622, 184, 6, 'Failure']","[[9324, 855, 547, 170], 612.13643, 500, 4, 'Failure']","[[9324, 855, 547, 170], 612.13643, 500, 4, 'Failure']","[[9324, 1139, 70, 173, 88, 170], 67.86838, 156, 6, 'Failure']"
7114,5687,39475180,"[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']","[[7114, 6274, 3083, 4822, 5687], 0.0, 472, 5, 'Failure']"
4896,10491,8,"[[4896, 855, 2584, 10491], 1.0098, 120, 4, 'Success']","[[4896, 855, 2584, 10491], 1.0098, 120, 4, 'Success']","[[4896, 855, 2584, 10491], 1.0098, 120, 4, 'Success']","[[4896, 233, 2584, 10491], 1.01774, 114, 4, 'Success']","[[4896, 855, 2584, 10491], 1.0098, 120, 4, 'Success']","[[4896, 855, 2584, 10491], 1.0098, 120, 4, 'Success']","[[4896, 12325, 3292, 2584, 10491], 1.008, 134, 5, 'Success']"
3713,12779,28,"[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 267, 4976, 12779], 0.08717, 264, 5, 'Success']","[[3713, 3083, 5965, 12325, 10113, 12768, 12779], 0.084, 338, 7, 'Success']"
5846,10568,747,"[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 2778, 2223, 10294, 10568], 0.24342, 264, 5, 'Success']","[[5846, 5847, 6134, 12325, 167, 2223, 10294, 10568], 0.00075, 472, 8, 'Success']"
9755,10638,2341,"[[9755, 11652, 314, 2223, 10294, 10638], 1.00434, 408, 6, 'Success']","[[9755, 11652, 314, 2223, 10294, 10638], 1.00434, 408, 6, 'Success']","[[9755, 11652, 3183, 3520, 10294, 10638], 1.19962, 304, 6, 'Success']","[[9755, 11652, 314, 2223, 10294, 10638], 1.00434, 408, 6, 'Success']","[[9755, 11652, 314, 2223, 10294, 10638], 1.00434, 408, 6, 'Success']","[[9755, 11652, 314, 2223, 10294, 10638], 1.00434, 408, 6, 'Success']","[[9755, 11652, 6807, 167, 2223, 10294, 10638], 1.00702, 334, 7, 'Success']"
12664,4923,32237,"[[12664, 356, 21, 2263, 4923], 3.0967200000000004, 155, 5, 'Success']","[[12664, 356, 21, 2263, 4923], 3.0967200000000004, 155, 5, 'Success']","[[12664, 356, 21, 2263, 4923], 3.0967200000000004, 155, 5, 'Success']","[[12664, 2255, 6980, 4076, 2263, 4923], 6.67413, 195, 6, 'Success']","[[12664, 356, 21, 2263, 4923], 3.0967200000000004, 155, 5, 'Success']","[[12664, 356, 21, 2263, 4923], 3.0967200000000004, 155, 5, 'Success']","[[12664, 2255, 167, 6722, 12325, 5899, 5552, 3380, 2263, 4923], 2.48359, 453, 10, 'Success']"
11648,8765,766617,"[[11648, 612, 3974, 6562, 8765], 3.53324, 160, 5, 'Failure']","[[11648, 18, 3315, 6562, 8765], 41.86422, 160, 5, 'Failure']","[[11648, 18, 3315, 6562, 8765], 41.86422, 160, 5, 'Failure']","[[11648, 612, 2189, 6562, 8765], 5.299860000000001, 160, 5, 'Failure']","[[11648, 18, 3315, 6562, 8765], 41.86422, 160, 5, 'Failure']","[[11648, 18, 3315, 6562, 8765], 41.86422, 160, 5, 'Failure']","[[11648, 18, 3315, 6562, 8765], 41.86422, 160, 5, 'Failure']"
9162,5785,4933680,"[[9162, 8768, 7218, 4822, 5785], 0.0, 472, 5, 'Failure']","[[9162, 8768, 1875, 4822, 5785], 14806.99148, 368, 5, 'Failure']","[[9162, 8768, 1875, 4822, 5785], 14806.99148, 368, 5, 'Failure']","[[9162, 8768, 7218, 4822, 5785], 0.0, 472, 5, 'Failure']","[[9162, 8768, 1875, 4822, 5785], 14806.99148, 368, 5, 'Failure']","[[9162, 8768, 1875, 4822, 5785], 14806.99148, 368, 5, 'Failure']","[[9162, 8768, 1875, 4822, 5785], 14806.99148, 368, 5, 'Failure']"
8242,12885,85159294,"[[8242, 59, 321, 12885], 18830.22293, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']","[[8242, 576, 1983, 12885], 172.31867, 120, 4, 'Failure']"
10686,189,3,"[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 124, 189], 0.009689999999999999, 224, 4, 'Success']","[[10686, 10294, 7218, 8301, 137, 12325, 3292, 3099, 189], 0.009, 512, 9, 'Success']"
10233,7374,28,"[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']","[[10233, 7218, 7374], 0.0, 184, 3, 'Success']"
8423,7992,586,"[[8423, 18, 7992], 1.00059, 80, 3, 'Success']","[[8423, 18, 7992], 1.00059, 80, 3, 'Success']","[[8423, 18, 7992], 1.00059, 80, 3, 'Success']","[[8423, 18, 7992], 1.00059, 80, 3, 'Success']","[[8423, 18, 7992], 1.00059, 80, 3, 'Success']","[[8423, 18, 7992], 1.00059, 80, 3, 'Failure']","[[8423, 18, 7992], 1.00059, 80, 3, 'Failure']"
11059,7348,8337,"[[11059, 184, 2, 7218, 7348], 0.00934, 236, 5, 'Failure']","[[11059, 184, 2, 7218, 7348], 0.00934, 236, 5, 'Failure']","[[11059, 184, 2, 7218, 7348], 0.00934, 236, 5, 'Failure']","[[11059, 173, 3642, 7218, 7348], 3.12541, 264, 5, 'Failure']","[[11059, 184, 2, 7218, 7348], 0.00934, 236, 5, 'Failure']","[[11059, 184, 2, 7218, 7348], 0.00934, 236, 5, 'Failure']","[[11059, 184, 9928, 12325, 167, 2223, 7218, 7348], 0.10105, 362, 8, 'Failure']"
11074,5113,26200,"[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Success']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Success']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Failure']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Failure']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Failure']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Failure']","[[11074, 11057, 4822, 5113], 0.0, 328, 4, 'Failure']"
6534,13097,250027,"[[6534, 5861, 5857, 6910, 4302, 2910, 11314, 13097], 1305.14743, 280, 8, 'Success']","[[6534, 5861, 5857, 6910, 4302, 2910, 11314, 13097], 1305.14743, 280, 8, 'Success']","[[6534, 5861, 5857, 6910, 11837, 18, 2910, 11314, 13097], 1281.2683399999999, 298, 9, 'Success']","[[6534, 5861, 5857, 6910, 11837, 182, 2030, 11314, 13097], 1285.03793, 320, 9, 'Success']","[[6534, 5861, 5857, 6910, 4302, 2910, 11314, 13097], 1305.14743, 280, 8, 'Success']","[[6534, 5861, 5857, 6910, 4302, 2910, 11314, 13097], 1305.14743, 280, 8, 'Success']","[[6534, 5861, 5857, 6910, 11837, 182, 2030, 11314, 13097], 1285.03793, 320, 9, 'Failure']"
1101,747,3010970,"[[1101, 18, 747], 4.01097, 80, 3, 'Failure']","[[1101, 18, 747], 4.01097, 80, 3, 'Failure']","[[1101, 18, 747], 4.01097, 80, 3, 'Failure']","[[1101, 445, 84, 747], 8.02194, 120, 4, 'Failure']","[[1101, 18, 747], 4.01097, 80, 3, 'Failure']","[[1101, 18, 747], 4.01097, 80, 3, 'Failure']","[[1101, 18, 747], 4.01097, 80, 3, 'Failure']"
