Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12941,7289,2,"[[12941, 3152, 124, 6274, 7289], 4.001965346960345, 264, 5, 'Failure']","[[12941, 3152, 124, 6274, 7289], 4.001965346960345, 264, 5, 'Failure']","[[12941, 3152, 124, 6274, 7289], 4.001965346960345, 264, 5, 'Failure']","[[12941, 3152, 124, 6274, 7289], 4.001965346960345, 264, 5, 'Failure']","[[12941, 3152, 124, 6274, 7289], 4.001965346960345, 264, 5, 'Failure']","[[12941, 3152, 4311, 4792, 167, 2223, 6274, 7289], 2.0001070003060004, 374, 8, 'Failure']"
325,10930,65,"[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']","[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']","[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']","[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']","[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']","[[325, 321, 2223, 10294, 10930], 2.000131000065, 264, 5, 'Success']"
935,13081,116,"[[935, 930, 2359, 203, 6974, 13081], 3.225021690677307, 200, 6, 'Success']","[[935, 930, 2359, 203, 6974, 13081], 3.225021690677307, 200, 6, 'Success']","[[935, 930, 2359, 203, 6974, 13081], 3.225021690677307, 200, 6, 'Success']","[[935, 930, 2359, 203, 6974, 13081], 3.225021690677307, 200, 6, 'Success']","[[935, 930, 2359, 203, 6974, 13081], 3.225021690677307, 200, 6, 'Success']","[[935, 930, 2359, 2654, 5199, 3729, 6974, 13081], 3.1453993457831064, 280, 8, 'Success']"
12702,3183,9625,"[[12702, 1609, 600, 3183], 32.91197065231375, 120, 4, 'Success']","[[12702, 1609, 600, 3183], 32.91197065231375, 120, 4, 'Success']","[[12702, 1609, 600, 3183], 32.91197065231375, 120, 4, 'Success']","[[12702, 1609, 12206, 4433, 3183], 3.0010126077702513, 154, 5, 'Success']","[[12702, 1609, 12206, 4433, 3183], 3.0010126077702513, 154, 5, 'Success']","[[12702, 1609, 9709, 12325, 167, 3183], 2.0288760288750094, 184, 6, 'Success']"
5937,12128,10513,"[[5937, 5975, 32, 12128], 6.66675683948, 224, 4, 'Success']","[[5937, 5975, 32, 12128], 6.66675683948, 224, 4, 'Success']","[[5937, 5975, 32, 12128], 6.66675683948, 224, 4, 'Success']","[[5937, 5975, 32, 12128], 6.66675683948, 224, 4, 'Success']","[[5937, 5975, 32, 12128], 6.66675683948, 224, 4, 'Success']","[[5937, 5975, 3183, 32, 12128], 6.5099681746749996, 264, 5, 'Success']"
2025,9524,538023,"[[2025, 600, 3974, 6562, 9524], 4.614073614070538, 160, 5, 'Failure']","[[2025, 600, 3974, 6562, 9524], 4.614073614070538, 160, 5, 'Failure']","[[2025, 600, 3974, 6562, 9524], 4.614073614070538, 160, 5, 'Failure']","[[2025, 600, 6057, 855, 9524], 112.29526078991884, 160, 5, 'Failure']","[[2025, 600, 6057, 855, 9524], 112.29526078991884, 160, 5, 'Failure']","[[2025, 600, 6184, 18, 321, 855, 9524], 117.02408025217957, 240, 7, 'Failure']"
3555,4345,1063591,"[[3555, 3398, 3281, 66, 4345], 74.51235831775736, 160, 5, 'Failure']","[[3555, 233, 66, 4345], 6642.788400703937, 114, 4, 'Failure']","[[3555, 3398, 3281, 66, 4345], 74.51235831775736, 160, 5, 'Failure']","[[3555, 233, 131, 66, 4345], 92.59354323392978, 154, 5, 'Failure']","[[3555, 233, 131, 66, 4345], 92.59354323392978, 154, 5, 'Failure']","[[3555, 233, 2877, 175, 66, 4345], 92.02987533142775, 172, 6, 'Failure']"
11263,10762,6,"[[11263, 463, 124, 10294, 10762], 1.00438669438069, 264, 5, 'Failure']","[[11263, 463, 124, 10294, 10762], 1.00438669438069, 264, 5, 'Failure']","[[11263, 463, 124, 10294, 10762], 1.00438669438069, 264, 5, 'Failure']","[[11263, 463, 124, 10294, 10762], 1.00438669438069, 264, 5, 'Failure']","[[11263, 463, 124, 10294, 10762], 1.00438669438069, 264, 5, 'Failure']","[[11263, 463, 3642, 167, 2223, 10294, 10762], 1.003012006006003, 334, 7, 'Failure']"
6857,7619,79,"[[6857, 9542, 301, 7218, 7619], 1.07909882901975, 264, 5, 'Success']","[[6857, 9542, 301, 7218, 7619], 1.07909882901975, 264, 5, 'Success']","[[6857, 9542, 301, 7218, 7619], 1.07909882901975, 264, 5, 'Success']","[[6857, 9542, 301, 7218, 7619], 1.07909882901975, 264, 5, 'Success']","[[6857, 9542, 301, 7218, 7619], 1.07909882901975, 264, 5, 'Success']","[[6857, 560, 561, 207, 1566, 1573, 12325, 36, 7218, 7619], 1.00165900158, 480, 10, 'Success']"
11889,8250,706,"[[11889, 609, 2537, 8204, 8250], 1.6125189201580055, 154, 5, 'Success']","[[11889, 609, 2537, 8204, 8250], 1.6125189201580055, 154, 5, 'Success']","[[11889, 609, 1104, 32, 8250], 2.440713211466104, 258, 5, 'Success']","[[11889, 609, 2537, 8204, 8250], 1.6125189201580055, 154, 5, 'Success']","[[11889, 609, 2537, 8204, 8250], 1.6125189201580055, 154, 5, 'Success']","[[11889, 609, 19, 215, 137, 12325, 167, 8204, 8250], 1.5927343638715423, 286, 9, 'Success']"
