Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
363,11325,5,"[[363, 723, 254, 855, 11325], 0.00128, 148, 5, 'Success']","[[363, 723, 254, 855, 11325], 0.00128, 148, 5, 'Success']","[[363, 48, 84, 11325], 1.0006, 114, 4, 'Success']","[[363, 723, 32, 11325], 1.00655, 212, 4, 'Success']","[[363, 48, 84, 11325], 1.0006, 114, 4, 'Success']","[[363, 48, 84, 11325], 1.0006, 114, 4, 'Success']","[[363, 723, 600, 6010, 855, 11325], 0.0011, 188, 6, 'Success']"
6655,1755,92,"[[6655, 609, 2223, 1354, 1755], 1.00809, 160, 5, 'Success']","[[6655, 609, 2223, 1354, 1755], 1.00809, 160, 5, 'Success']","[[6655, 609, 2223, 1354, 1755], 1.00809, 160, 5, 'Success']","[[6655, 609, 194, 1369, 1755], 1.0379200000000002, 160, 5, 'Success']","[[6655, 609, 2223, 1354, 1755], 1.00809, 160, 5, 'Success']","[[6655, 609, 2223, 1354, 1755], 1.00809, 160, 5, 'Success']","[[6655, 609, 19, 215, 137, 12325, 10113, 5916, 529, 1354, 1755], 1.0031299999999999, 376, 11, 'Success']"
4374,2610,446,"[[4374, 600, 6010, 609, 10295, 2610], 0.04739, 194, 6, 'Success']","[[4374, 600, 6010, 609, 10295, 2610], 0.04739, 194, 6, 'Success']","[[4374, 600, 6010, 18, 2610], 1.00179, 160, 5, 'Success']","[[4374, 600, 18, 2610], 2.34145, 120, 4, 'Success']","[[4374, 600, 18, 2610], 2.34145, 120, 4, 'Success']","[[4374, 600, 18, 2610], 2.34145, 120, 4, 'Success']","[[4374, 600, 6010, 609, 10295, 2610], 0.04739, 194, 6, 'Success']"
643,8560,9094,"[[643, 4, 21, 8560], 2.10004, 224, 4, 'Success']","[[643, 4, 21, 8560], 2.10004, 224, 4, 'Failure']","[[643, 18, 9261, 9420, 8560], 1.21825, 160, 5, 'Failure']","[[643, 4, 58, 6982, 8560], 3.00985, 154, 5, 'Success']","[[643, 4, 21, 8560], 2.10004, 224, 4, 'Failure']","[[643, 4, 21, 8560], 2.10004, 224, 4, 'Failure']","[[643, 2, 3781, 609, 19, 215, 137, 12325, 4289, 3804, 7927, 9420, 8560], 0.20557999999999996, 428, 13, 'Success']"
8668,10922,70916,"[[8668, 8202, 10, 10922], 108.40996, 120, 4, 'Success']","[[8668, 8202, 8617, 855, 10922], 17.60182, 154, 5, 'Failure']","[[8668, 8202, 8617, 6320, 10922], 11.5101, 154, 5, 'Failure']","[[8668, 8202, 8617, 6320, 10922], 11.5101, 154, 5, 'Failure']","[[8668, 8202, 8617, 6320, 10922], 11.5101, 154, 5, 'Failure']","[[8668, 8202, 8617, 6320, 10922], 11.5101, 154, 5, 'Failure']","[[8668, 8202, 8617, 233, 6876, 167, 6722, 12325, 855, 10922], 18.169269999999997, 342, 10, 'Failure']"
2952,11046,124467,"[[2952, 32, 7067, 6621, 11046], 64.35432, 264, 5, 'Failure']","[[2952, 600, 11461, 11046], 379.64302, 120, 4, 'Failure']","[[2952, 600, 11461, 11046], 379.64302, 120, 4, 'Failure']","[[2952, 32, 321, 11045, 11046], 64.85671, 258, 5, 'Failure']","[[2952, 600, 11461, 11046], 379.64302, 120, 4, 'Failure']","[[2952, 600, 11461, 11046], 379.64302, 120, 4, 'Failure']","[[2952, 600, 11461, 11046], 379.64302, 120, 4, 'Failure']"
4374,6635,2,"[[4374, 1139, 1560, 6635], 0.00602, 120, 4, 'Success']","[[4374, 1139, 1560, 6635], 0.00602, 120, 4, 'Success']","[[4374, 1139, 1560, 6635], 0.00602, 120, 4, 'Success']","[[4374, 600, 48, 6635], 0.0062, 120, 4, 'Success']","[[4374, 1139, 1560, 6635], 0.00602, 120, 4, 'Success']","[[4374, 1139, 1560, 6635], 0.00602, 120, 4, 'Success']","[[4374, 1139, 6324, 3297, 9510, 167, 6635], 1e-05, 230, 7, 'Success']"
11463,7971,25,"[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6622, 7971], 0.005, 120, 4, 'Success']","[[11463, 855, 6876, 167, 6722, 12325, 4090, 4744, 7971], 0.00017999999999999998, 314, 9, 'Success']"
11325,1515,864,"[[11325, 32, 2, 1515], 1.51758, 202, 4, 'Success']","[[11325, 855, 2573, 2, 1515], 0.25922, 138, 5, 'Success']","[[11325, 855, 237, 2, 1515], 0.26786, 132, 5, 'Success']","[[11325, 32, 2, 1515], 1.51758, 202, 4, 'Success']","[[11325, 32, 2, 1515], 1.51758, 202, 4, 'Success']","[[11325, 32, 2, 1515], 1.51758, 202, 4, 'Success']","[[11325, 855, 6876, 167, 8733, 9416, 2, 1515], 0.09244000000000001, 248, 8, 'Success']"
10922,10322,4448,"[[10922, 207, 167, 70, 10322], 2.84062, 150, 5, 'Success']","[[10922, 855, 173, 70, 10322], 3.38474, 138, 5, 'Success']","[[10922, 207, 167, 57, 10322], 2.84062, 150, 5, 'Success']","[[10922, 855, 351, 70, 10322], 3.53609, 154, 5, 'Success']","[[10922, 855, 173, 70, 10322], 3.38474, 138, 5, 'Success']","[[10922, 855, 173, 70, 10322], 3.38474, 138, 5, 'Success']","[[10922, 855, 6876, 167, 57, 10322], 2.5257899999999998, 190, 6, 'Success']"
