Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6153,5878,6,"[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 29, 55, 5878], 3.25036, 120, 4, 'Success']","[[6153, 52, 177, 55, 5878], 3.25034, 116, 5, 'Success']"
6655,4643,95,"[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']","[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']","[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']","[[6655, 609, 4682, 3083, 4643], 1.01672, 258, 5, 'Success']","[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']","[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']","[[6655, 609, 2223, 3083, 4643], 1.0002, 264, 5, 'Success']"
568,12722,297,"[[568, 1273, 167, 10541, 470, 12722], 1.20239, 200, 6, 'Success']","[[568, 1273, 167, 10541, 470, 12722], 1.20239, 200, 6, 'Success']","[[568, 1273, 167, 10541, 470, 12722], 1.20239, 200, 6, 'Success']","[[568, 551, 32, 470, 12722], 2.37837, 264, 5, 'Success']","[[568, 1273, 167, 10541, 470, 12722], 1.20239, 200, 6, 'Success']","[[568, 1273, 167, 10541, 470, 12722], 1.20239, 200, 6, 'Success']","[[568, 11798, 855, 6876, 167, 10541, 470, 12722], 2.10418, 280, 8, 'Success']"
704,8865,6795,"[[704, 21, 8768, 8865], 2.0136, 224, 4, 'Success']","[[704, 21, 8768, 8865], 2.0136, 224, 4, 'Success']","[[704, 609, 2223, 8768, 8865], 1.0135999999999998, 264, 5, 'Failure']","[[704, 609, 2223, 8768, 8865], 1.0135999999999998, 264, 5, 'Success']","[[704, 21, 8768, 8865], 2.0136, 224, 4, 'Failure']","[[704, 21, 8768, 8865], 2.0136, 224, 4, 'Failure']","[[704, 609, 2223, 8768, 8865], 1.0135999999999998, 264, 5, 'Failure']"
5489,3060,22732,"[[5489, 207, 167, 3060], 2.6666999999999996, 110, 4, 'Failure']","[[5489, 73, 167, 3060], 4.54573, 110, 4, 'Success']","[[5489, 612, 11837, 167, 3060], 2.0681899999999995, 128, 5, 'Success']","[[5489, 73, 167, 3060], 4.54573, 110, 4, 'Success']","[[5489, 73, 167, 3060], 4.54573, 110, 4, 'Success']","[[5489, 73, 167, 3060], 4.54573, 110, 4, 'Success']","[[5489, 612, 3642, 167, 3060], 2.0681899999999995, 150, 5, 'Success']"
7976,12357,233224,"[[7976, 6562, 6944, 72, 12357], 4.93291, 160, 5, 'Failure']","[[7976, 6562, 8523, 10113, 72, 12357], 4.93291, 200, 6, 'Failure']","[[7976, 6562, 8523, 10113, 72, 12357], 4.93291, 200, 6, 'Failure']","[[7976, 6562, 8523, 10113, 72, 12357], 4.93291, 200, 6, 'Failure']","[[7976, 6562, 8523, 10113, 72, 12357], 4.93291, 200, 6, 'Failure']","[[7976, 6562, 8523, 10113, 72, 12357], 4.93291, 200, 6, 'Failure']","[[7976, 6562, 2189, 321, 10113, 72, 12357], 6.1661399999999995, 240, 7, 'Failure']"
5489,11051,9,,,,,,,
2610,948,73,"[[2610, 10295, 609, 2938, 736, 948], 2.00898, 194, 6, 'Success']","[[2610, 10295, 609, 2938, 736, 948], 2.00898, 194, 6, 'Success']","[[2610, 18, 2938, 736, 948], 3.0005900000000003, 160, 5, 'Success']","[[2610, 18, 32, 736, 948], 4.03716, 264, 5, 'Success']","[[2610, 18, 2938, 736, 948], 3.0005900000000003, 160, 5, 'Success']","[[2610, 18, 2938, 736, 948], 3.0005900000000003, 160, 5, 'Success']","[[2610, 3056, 855, 6876, 167, 2225, 736, 948], 2.00139, 270, 8, 'Success']"
453,1690,849,"[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 21, 967, 1032, 1690], 5.38925, 160, 5, 'Success']","[[453, 36, 609, 19, 215, 137, 12325, 8496, 967, 1032, 1690], 4.39436, 414, 11, 'Success']"
6635,10734,2169,"[[6635, 167, 2223, 10294, 10734], 0.89234, 254, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']","[[6635, 609, 2223, 10294, 10734], 0.89234, 264, 5, 'Success']"
9854,471,10179,"[[9854, 18, 118, 471], 3.1221500000000004, 114, 4, 'Success']","[[9854, 18, 118, 471], 3.1221500000000004, 114, 4, 'Success']","[[9854, 2, 118, 471], 3.12998, 92, 4, 'Failure']","[[9854, 2, 118, 471], 3.12998, 92, 4, 'Failure']","[[9854, 18, 118, 471], 3.1221500000000004, 114, 4, 'Success']","[[9854, 18, 118, 471], 3.1221500000000004, 114, 4, 'Success']","[[9854, 2, 3781, 609, 19, 215, 137, 12325, 29, 8290, 118, 471], 2.2850300000000003, 394, 12, 'Failure']"
5489,8281,143393,"[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']","[[5489, 612, 3951, 8281], 3.43018, 120, 4, 'Failure']"
3178,3619,4,"[[3178, 609, 1969, 855, 3619], 1.0008, 160, 5, 'Success']","[[3178, 609, 1969, 855, 3619], 1.0008, 160, 5, 'Success']","[[3178, 609, 1969, 855, 3619], 1.0008, 160, 5, 'Success']","[[3178, 609, 194, 32, 3619], 2.0030099999999997, 264, 5, 'Success']","[[3178, 609, 1969, 855, 3619], 1.0008, 160, 5, 'Success']","[[3178, 609, 1969, 855, 3619], 1.0008, 160, 5, 'Success']","[[3178, 609, 19, 215, 137, 12325, 855, 3619], 1.0008, 262, 8, 'Success']"
453,446,83,"[[453, 600, 42, 446], 1.29471, 122, 4, 'Success']","[[453, 2, 8683, 15, 446], 0.9954799999999999, 122, 5, 'Success']","[[453, 600, 42, 446], 1.29471, 122, 4, 'Success']","[[453, 36, 42, 446], 1.86918, 154, 4, 'Success']","[[453, 600, 42, 446], 1.29471, 122, 4, 'Success']","[[453, 600, 42, 446], 1.29471, 122, 4, 'Success']","[[453, 36, 609, 19, 15, 446], 0.9941399999999999, 194, 6, 'Success']"
4374,4201,182,"[[4374, 1139, 3905, 604, 2818, 4201], 1.0294800000000002, 304, 6, 'Success']","[[4374, 1139, 3905, 604, 2818, 4201], 1.0294800000000002, 304, 6, 'Success']","[[4374, 1139, 4997, 2818, 4201], 1.5644300000000002, 160, 5, 'Success']","[[4374, 1139, 4997, 2818, 4201], 1.5644300000000002, 160, 5, 'Success']","[[4374, 1139, 4997, 2818, 4201], 1.5644300000000002, 160, 5, 'Success']","[[4374, 1139, 4997, 2818, 4201], 1.5644300000000002, 160, 5, 'Success']","[[4374, 600, 6010, 6011, 4714, 4713, 4201], 1.00309, 240, 7, 'Success']"
1228,1537,8868,"[[1228, 609, 19, 1236, 1537], 27.62178, 138, 5, 'Success']","[[1228, 21, 5058, 1236, 1537], 28.73068, 180, 5, 'Success']","[[1228, 609, 19, 1236, 1537], 27.62178, 138, 5, 'Success']","[[1228, 21, 456, 1236, 1537], 28.82637, 160, 5, 'Success']","[[1228, 609, 2778, 1236, 1537], 27.757360000000002, 160, 5, 'Success']","[[1228, 609, 2778, 1236, 1537], 27.757360000000002, 160, 5, 'Failure']","[[1228, 21, 12634, 6764, 3297, 10113, 12325, 29, 570, 1236, 1537], 28.658360000000002, 368, 11, 'Failure']"
2665,6704,14173,"[[2665, 609, 1969, 855, 6704], 2.86296, 160, 5, 'Failure']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']","[[2665, 154, 12325, 855, 6704], 3.97636, 148, 5, 'Success']"
9301,6594,348511,"[[9301, 8617, 21, 6594], 7.18215, 114, 4, 'Failure']","[[9301, 609, 10924, 5783, 6594], 199.83606, 160, 5, 'Failure']","[[9301, 609, 19, 62, 175, 5783, 6594], 76.09187, 196, 7, 'Failure']","[[9301, 609, 392, 21, 6594], 6.630669999999999, 160, 5, 'Failure']","[[9301, 609, 10924, 5783, 6594], 199.83606, 160, 5, 'Failure']","[[9301, 609, 10924, 5783, 6594], 199.83606, 160, 5, 'Failure']","[[9301, 609, 2359, 796, 177, 175, 5783, 6594], 80.18339, 258, 8, 'Failure']"
1298,4522,10,"[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']","[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']","[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']","[[1298, 609, 4682, 3083, 4522], 0.00275, 258, 5, 'Success']","[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']","[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']","[[1298, 609, 2223, 3083, 4522], 0.00101, 264, 5, 'Success']"
6177,5281,60,"[[6177, 600, 233, 5281], 1.18018, 114, 4, 'Success']","[[6177, 167, 10171, 233, 5281], 1.00024, 144, 5, 'Success']","[[6177, 1139, 233, 5281], 1.18018, 114, 4, 'Success']","[[6177, 1139, 233, 5281], 1.18018, 114, 4, 'Success']","[[6177, 1139, 233, 5281], 1.18018, 114, 4, 'Success']","[[6177, 1139, 233, 5281], 1.18018, 114, 4, 'Success']","[[6177, 1139, 6324, 233, 5281], 1.00036, 154, 5, 'Success']"
9949,4908,770,"[[9949, 8716, 2031, 4822, 4908], 0.58471, 264, 5, 'Success']","[[9949, 8716, 2031, 4822, 4908], 0.58471, 264, 5, 'Success']","[[9949, 8716, 2031, 4822, 4908], 0.58471, 264, 5, 'Success']","[[9949, 1067, 194, 4822, 4908], 0.84785, 368, 5, 'Success']","[[9949, 1067, 2223, 4822, 4908], 0.7707700000000001, 368, 5, 'Success']","[[9949, 1067, 2223, 4822, 4908], 0.7707700000000001, 368, 5, 'Success']","[[9949, 8716, 8702, 12325, 10113, 4822, 4908], 0.0077, 338, 7, 'Success']"
9268,9201,2823,"[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 2223, 8768, 9201], 2.00564, 264, 5, 'Success']","[[9268, 1881, 1559, 12325, 167, 2223, 8768, 9201], 1.1242100000000002, 368, 8, 'Success']"
4374,9581,29342,"[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 600, 3974, 398, 9581], 3.0880199999999998, 160, 5, 'Failure']","[[4374, 1139, 6324, 3297, 4792, 398, 9581], 2.17705, 240, 7, 'Failure']"
7976,7992,169464,"[[7976, 2626, 6519, 21, 3572, 7992], 4.67787, 200, 6, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']","[[7976, 6562, 2189, 18, 7992], 4.67787, 160, 5, 'Failure']"
5489,9988,10,"[[5489, 73, 2, 7218, 9988], 3.25056, 242, 5, 'Success']","[[5489, 207, 124, 7218, 9988], 1.00251, 264, 5, 'Success']","[[5489, 207, 124, 7218, 9988], 1.00251, 264, 5, 'Success']","[[5489, 612, 6000, 7218, 9988], 2.0005, 264, 5, 'Success']","[[5489, 207, 124, 7218, 9988], 1.00251, 264, 5, 'Success']","[[5489, 207, 124, 7218, 9988], 1.00251, 264, 5, 'Success']","[[5489, 207, 1566, 1573, 12325, 36, 7218, 9988], 1.00021, 400, 8, 'Success']"
