Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6177,8475,1,"[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 167, 3968, 8475], 1.0001, 110, 4, 'Success']","[[6177, 1139, 6324, 5199, 7011, 8475], 1.0, 200, 6, 'Success']"
9854,130,89,"[[9854, 463, 87, 130], 1.14909, 120, 4, 'Success']","[[9854, 463, 87, 130], 1.14909, 120, 4, 'Success']","[[9854, 21, 130], 2.00018, 184, 3, 'Success']","[[9854, 21, 130], 2.00018, 184, 3, 'Success']","[[9854, 21, 130], 2.00018, 184, 3, 'Success']","[[9854, 21, 130], 2.00018, 184, 3, 'Success']","[[9854, 2, 3781, 609, 858, 87, 130], 1.10499, 218, 7, 'Success']"
1001,3044,987,"[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 10345, 3044], 1.59324, 120, 4, 'Success']","[[1001, 609, 19, 215, 137, 12325, 3093, 2618, 3029, 3044], 1.00496, 342, 10, 'Success']"
6896,261,1864,"[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 18, 261], 1.00186, 80, 3, 'Success']","[[6896, 8353, 4433, 12325, 3292, 261], 0.0, 174, 6, 'Failure']"
6655,5885,22340,"[[6655, 609, 2537, 6722, 5885], 1.7372200000000002, 160, 5, 'Success']","[[6655, 609, 2537, 6722, 5885], 1.7372200000000002, 160, 5, 'Success']","[[6655, 609, 2537, 6722, 5885], 1.7372200000000002, 160, 5, 'Success']","[[6655, 609, 5965, 6722, 5885], 3.2786799999999996, 160, 5, 'Success']","[[6655, 609, 2537, 6722, 5885], 1.7372200000000002, 160, 5, 'Success']","[[6655, 609, 2537, 6722, 5885], 1.7372200000000002, 160, 5, 'Success']","[[6655, 609, 19, 215, 137, 12325, 6722, 5885], 1.08936, 262, 8, 'Success']"
643,770,167045,"[[643, 2, 2904, 770], 2.3340899999999998, 98, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']","[[643, 18, 175, 770], 13.7716, 120, 4, 'Failure']"
11325,1273,2,"[[11325, 855, 1275, 1273], 1.00053, 120, 4, 'Success']","[[11325, 855, 1275, 1273], 1.00053, 120, 4, 'Success']","[[11325, 855, 1275, 1273], 1.00053, 120, 4, 'Success']","[[11325, 32, 48, 1273], 2.0012, 224, 4, 'Success']","[[11325, 855, 1275, 1273], 1.00053, 120, 4, 'Success']","[[11325, 855, 1275, 1273], 1.00053, 120, 4, 'Success']","[[11325, 855, 6876, 167, 1273], 1.00001, 160, 5, 'Success']"
9272,3815,47,"[[9272, 9275, 2390, 600, 3814, 3815], 1.47847, 194, 6, 'Success']","[[9272, 9275, 2390, 600, 3814, 3815], 1.47847, 194, 6, 'Success']","[[9272, 9275, 2390, 600, 3814, 3815], 1.47847, 194, 6, 'Success']","[[9272, 5961, 12325, 600, 3814, 3815], 1.4801399999999998, 188, 6, 'Success']","[[9272, 9275, 2390, 600, 3814, 3815], 1.47847, 194, 6, 'Success']","[[9272, 9275, 2390, 600, 3814, 3815], 1.47847, 194, 6, 'Success']","[[9272, 9275, 8702, 12325, 600, 3814, 3815], 1.47842, 228, 7, 'Success']"
1137,6674,544,"[[1137, 8688, 855, 6674], 1.15877, 120, 4, 'Success']","[[1137, 8688, 855, 6674], 1.15877, 120, 4, 'Success']","[[1137, 8688, 855, 6674], 1.15877, 120, 4, 'Success']","[[1137, 968, 855, 6674], 1.22959, 120, 4, 'Success']","[[1137, 8688, 855, 6674], 1.15877, 120, 4, 'Success']","[[1137, 8688, 855, 6674], 1.15877, 120, 4, 'Success']","[[1137, 8688, 600, 6010, 855, 6674], 1.11197, 200, 6, 'Success']"
5438,138,4219,"[[5438, 5439, 21, 138], 3.48135, 224, 4, 'Success']","[[5438, 5439, 21, 138], 3.48135, 224, 4, 'Success']","[[5438, 855, 237, 2, 138], 2.94103, 132, 5, 'Success']","[[5438, 5439, 21, 138], 3.48135, 224, 4, 'Success']","[[5438, 5439, 21, 138], 3.48135, 224, 4, 'Success']","[[5438, 5439, 21, 138], 3.48135, 224, 4, 'Success']","[[5438, 855, 6876, 167, 3642, 36, 138], 1.8649300000000002, 262, 7, 'Success']"
