Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6219,9400,100000,"[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Success']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Success']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Failure']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Success']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Failure']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Failure']","[[6219, 314, 9400], 0.30200000000000005, 184, 3, 'Failure']"
10806,4599,100000,"[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Success']","[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Success']","[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Failure']","[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Success']","[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Failure']","[[10806, 173, 4694, 4599], 9.95007, 120, 4, 'Failure']","[[10806, 612, 3642, 167, 321, 4694, 4599], 4.5, 230, 7, 'Failure']"
391,6270,100000,"[[391, 855, 32, 6270], 102.02555, 224, 4, 'Failure']","[[391, 126, 32, 6270], 102.82394, 328, 4, 'Failure']","[[391, 21, 2602, 32, 6270], 53.1011, 242, 5, 'Success']","[[391, 126, 8230, 32, 6270], 57.502359999999996, 264, 5, 'Failure']","[[391, 126, 32, 6270], 102.82394, 328, 4, 'Failure']","[[391, 126, 32, 6270], 102.82394, 328, 4, 'Failure']","[[391, 126, 4792, 167, 32, 6270], 53.20015000000001, 294, 6, 'Failure']"
9496,6658,100000,"[[9496, 32, 6658], 86.91782, 184, 3, 'Failure']","[[9496, 32, 6658], 86.91782, 184, 3, 'Failure']","[[9496, 855, 131, 10274, 21, 6658], 39.91838, 200, 6, 'Failure']","[[9496, 855, 131, 10274, 21, 6658], 39.91838, 200, 6, 'Failure']","[[9496, 32, 6658], 86.91782, 184, 3, 'Failure']","[[9496, 32, 6658], 86.91782, 184, 3, 'Failure']","[[9496, 855, 131, 10274, 21, 6658], 39.91838, 200, 6, 'Failure']"
2784,3949,100000,"[[2784, 855, 10, 3949], 201.0533, 120, 4, 'Failure']","[[2784, 855, 10, 3949], 201.0533, 120, 4, 'Failure']","[[2784, 4339, 11821, 10, 3949], 184.01901, 160, 5, 'Failure']","[[2784, 4339, 11821, 10, 3949], 184.01901, 160, 5, 'Failure']","[[2784, 855, 10, 3949], 201.0533, 120, 4, 'Failure']","[[2784, 855, 10, 3949], 201.0533, 120, 4, 'Failure']","[[2784, 4339, 1981, 12325, 10, 3949], 183.11738, 194, 6, 'Failure']"
2200,5603,100000,"[[2200, 172, 56, 5603], 8.85001, 98, 4, 'Failure']","[[2200, 18, 56, 5603], 9.950019999999999, 224, 4, 'Failure']","[[2200, 172, 56, 5603], 8.85001, 98, 4, 'Failure']","[[2200, 18, 56, 5603], 9.950019999999999, 224, 4, 'Failure']","[[2200, 18, 56, 5603], 9.950019999999999, 224, 4, 'Failure']","[[2200, 18, 56, 5603], 9.950019999999999, 224, 4, 'Failure']","[[2200, 600, 61, 177, 56, 5603], 9.15003, 156, 6, 'Failure']"
3145,2839,100000,"[[3145, 174, 182, 2839], 9.95007, 120, 4, 'Success']","[[3145, 174, 182, 2839], 9.95007, 120, 4, 'Success']","[[3145, 174, 177, 52, 2839], 8.85001, 116, 5, 'Success']","[[3145, 174, 177, 52, 2839], 8.85001, 116, 5, 'Success']","[[3145, 174, 182, 2839], 9.95007, 120, 4, 'Success']","[[3145, 174, 182, 2839], 9.95007, 120, 4, 'Failure']","[[3145, 174, 177, 52, 2839], 8.85001, 116, 5, 'Success']"
8561,5318,100000,"[[8561, 1874, 21, 5313, 5318], 22.20124, 140, 5, 'Failure']","[[8561, 795, 6020, 5452, 5318], 29.602140000000002, 160, 5, 'Failure']","[[8561, 1874, 612, 5773, 5452, 5318], 13.50035, 200, 6, 'Success']","[[8561, 1874, 612, 6221, 5913, 5318], 17.00071, 200, 6, 'Success']","[[8561, 1874, 612, 6221, 5913, 5318], 17.00071, 200, 6, 'Success']","[[8561, 1874, 612, 6221, 5913, 5318], 17.00071, 200, 6, 'Success']","[[8561, 1874, 612, 6221, 5913, 5318], 17.00071, 200, 6, 'Success']"
468,12816,100000,"[[468, 10, 12816], 101.3003, 80, 3, 'Success']","[[468, 10, 12816], 101.3003, 80, 3, 'Success']","[[468, 4734, 18, 12816], 1.5000000000000002, 120, 4, 'Failure']","[[468, 4734, 18, 12816], 1.5000000000000002, 120, 4, 'Failure']","[[468, 4734, 18, 12816], 1.5000000000000002, 120, 4, 'Failure']","[[468, 4734, 18, 12816], 1.5000000000000002, 120, 4, 'Failure']","[[468, 3893, 2290, 18, 12816], 2.40003, 160, 5, 'Failure']"
12452,1581,100000,"[[12452, 612, 11321, 1581], 10.200019999999999, 120, 4, 'Success']","[[12452, 612, 11321, 1581], 10.200019999999999, 120, 4, 'Success']","[[12452, 612, 570, 84, 1581], 5.90001, 122, 5, 'Success']","[[12452, 612, 10113, 84, 1581], 5.699999999999999, 140, 5, 'Success']","[[12452, 612, 11321, 1581], 10.200019999999999, 120, 4, 'Success']","[[12452, 612, 11321, 1581], 10.200019999999999, 120, 4, 'Success']","[[12452, 612, 10113, 84, 1581], 5.699999999999999, 140, 5, 'Success']"
