Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10774,1137,71470,"[[10774, 855, 8688, 1137], 28.80617, 120, 4, 'Failure']","[[10774, 855, 8688, 1137], 28.80617, 120, 4, 'Failure']","[[10774, 4044, 314, 1121, 1137], 9.22058, 368, 5, 'Failure']","[[10774, 855, 1815, 1212, 1137], 30.664050000000003, 160, 5, 'Failure']","[[10774, 855, 1815, 1212, 1137], 30.664050000000003, 160, 5, 'Failure']","[[10774, 855, 6876, 167, 1815, 1212, 1137], 16.867379999999997, 230, 7, 'Failure']"
453,7976,1492,"[[453, 2, 2699, 6562, 7976], 2.08007, 138, 5, 'Success']","[[453, 2, 2699, 6562, 7976], 2.08007, 138, 5, 'Success']","[[453, 2, 3067, 351, 3086, 6562, 7976], 2.6276, 200, 7, 'Success']","[[453, 2, 2699, 6562, 7976], 2.08007, 138, 5, 'Success']","[[453, 2, 2699, 6562, 7976], 2.08007, 138, 5, 'Success']","[[453, 36, 609, 19, 215, 137, 12325, 3974, 6562, 7976], 1.9949599999999998, 374, 10, 'Success']"
6153,1047,84525,"[[6153, 18, 600, 1047], 255.74455999999998, 120, 4, 'Failure']","[[6153, 18, 600, 1047], 255.74455999999998, 120, 4, 'Failure']","[[6153, 29, 137, 84, 2441, 1047], 3.42263, 210, 6, 'Failure']","[[6153, 52, 392, 634, 1047], 98.59809, 264, 5, 'Failure']","[[6153, 52, 392, 634, 1047], 98.59809, 264, 5, 'Failure']","[[6153, 52, 175, 64, 634, 1047], 97.51342000000001, 260, 6, 'Failure']"
1041,4374,30475,"[[1041, 36, 1139, 4374], 94.45107999999999, 152, 4, 'Failure']","[[1041, 36, 1139, 4374], 94.45107999999999, 152, 4, 'Failure']","[[1041, 36, 1139, 4374], 94.45107999999999, 152, 4, 'Failure']","[[1041, 32, 600, 4374], 110.70534, 224, 4, 'Failure']","[[1041, 32, 600, 4374], 110.70534, 224, 4, 'Failure']","[[1041, 2, 3781, 1139, 4374], 94.54279, 138, 5, 'Success']"
1298,1137,29931,"[[1298, 609, 1137], 3.02303, 80, 3, 'Failure']","[[1298, 609, 1137], 3.02303, 80, 3, 'Failure']","[[1298, 609, 1137], 3.02303, 80, 3, 'Failure']","[[1298, 18, 968, 1137], 10.63855, 120, 4, 'Failure']","[[1298, 18, 968, 1137], 10.63855, 120, 4, 'Failure']","[[1298, 18, 6722, 12325, 4289, 1212, 1137], 7.047470000000001, 228, 7, 'Failure']"
1847,10505,11273,"[[1847, 600, 2561, 10505], 3.0338199999999995, 120, 4, 'Failure']","[[1847, 600, 2561, 10505], 3.0338199999999995, 120, 4, 'Failure']","[[1847, 600, 2561, 10505], 3.0338199999999995, 120, 4, 'Failure']","[[1847, 600, 2561, 10505], 3.0338199999999995, 120, 4, 'Failure']","[[1847, 600, 2561, 10505], 3.0338199999999995, 120, 4, 'Failure']","[[1847, 600, 6010, 1559, 12325, 4482, 149, 9515, 21, 2561, 10505], 3.0912100000000002, 498, 11, 'Failure']"
11325,6177,102730,"[[11325, 84, 29, 6177], 4.86279, 100, 4, 'Failure']","[[11325, 84, 29, 6177], 4.86279, 100, 4, 'Failure']","[[11325, 21, 233, 600, 6177], 2.7191099999999997, 258, 5, 'Failure']","[[11325, 84, 6587, 6425, 6177], 14.50589, 148, 5, 'Success']","[[11325, 84, 6587, 6425, 6177], 14.50589, 148, 5, 'Failure']","[[11325, 84, 10113, 12325, 6722, 167, 6425, 6177], 13.581220000000002, 258, 8, 'Failure']"
6268,11325,15288,"[[6268, 6263, 21, 11325], 3.04587, 120, 4, 'Failure']","[[6268, 6263, 21, 11325], 3.04587, 120, 4, 'Failure']","[[6268, 6263, 21, 11325], 3.04587, 120, 4, 'Failure']","[[6268, 11527, 84, 11325], 3.04587, 120, 4, 'Success']","[[6268, 11527, 84, 11325], 3.04587, 120, 4, 'Success']","[[6268, 11315, 13001, 12325, 10113, 84, 11325], 3.1233200000000005, 228, 7, 'Success']"
6655,11463,12293,"[[6655, 6410, 18, 11463], 3.03688, 120, 4, 'Failure']","[[6655, 6410, 18, 11463], 3.03688, 120, 4, 'Failure']","[[6655, 6410, 18, 11463], 3.03688, 120, 4, 'Failure']","[[6655, 609, 858, 18, 11463], 2.0491599999999996, 160, 5, 'Success']","[[6655, 609, 858, 18, 11463], 2.0491599999999996, 160, 5, 'Success']","[[6655, 609, 19, 215, 137, 12325, 6722, 18, 11463], 2.0491599999999996, 302, 9, 'Success']"
9272,9854,3073,"[[9272, 9275, 21, 9854], 2.69327, 114, 4, 'Success']","[[9272, 9275, 21, 9854], 2.69327, 114, 4, 'Success']","[[9272, 9275, 21, 9854], 2.69327, 114, 4, 'Success']","[[9272, 9275, 21, 9854], 2.69327, 114, 4, 'Success']","[[9272, 9275, 21, 9854], 2.69327, 114, 4, 'Success']","[[9272, 9268, 9275, 2390, 2, 9854], 1.4960699999999998, 172, 6, 'Success']"
9854,9949,45858,"[[9854, 21, 9889, 9949], 2.38758, 120, 4, 'Failure']","[[9854, 21, 9889, 9949], 2.38758, 120, 4, 'Failure']","[[9854, 21, 9889, 9949], 2.38758, 120, 4, 'Failure']","[[9854, 21, 9889, 9949], 2.38758, 120, 4, 'Failure']","[[9854, 21, 9889, 9949], 2.38758, 120, 4, 'Failure']","[[9854, 21, 1577, 167, 6722, 12325, 6760, 9889, 9949], 2.70859, 314, 9, 'Failure']"
9854,1228,33337,"[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']","[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']","[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']","[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']","[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']","[[9854, 21, 1228], 2.06668, 80, 3, 'Failure']"
1228,8668,11844,"[[1228, 21, 233, 8202, 8668], 3.14215, 258, 5, 'Success']","[[1228, 21, 8148, 8202, 8668], 4.04739, 160, 5, 'Success']","[[1228, 21, 233, 8202, 8668], 3.14215, 258, 5, 'Success']","[[1228, 21, 233, 8202, 8668], 3.14215, 258, 5, 'Success']","[[1228, 21, 233, 8202, 8668], 3.14215, 258, 5, 'Success']","[[1228, 21, 12634, 6764, 3297, 10113, 12325, 233, 8202, 8668], 3.16685, 342, 10, 'Success']"
11463,9301,48401,"[[11463, 18, 8617, 9301], 3.58081, 114, 4, 'Failure']","[[11463, 18, 8617, 9301], 3.58081, 114, 4, 'Failure']","[[11463, 18, 8617, 9301], 3.58081, 114, 4, 'Failure']","[[11463, 18, 2938, 609, 9301], 7.03373, 160, 5, 'Success']","[[11463, 18, 2938, 609, 9301], 7.03373, 160, 5, 'Success']","[[11463, 18, 10113, 609, 9301], 6.936920000000001, 160, 5, 'Success']"
1001,1368,19163,"[[1001, 53, 62, 1368], 14.23504, 98, 4, 'Failure']","[[1001, 53, 62, 1368], 14.23504, 98, 4, 'Failure']","[[1001, 609, 19, 21, 1368], 2.05748, 138, 5, 'Success']","[[1001, 609, 392, 21, 1368], 2.34912, 160, 5, 'Success']","[[1001, 609, 392, 21, 1368], 2.34912, 160, 5, 'Success']","[[1001, 609, 19, 215, 137, 12325, 4482, 149, 9515, 21, 1368], 2.1159600000000003, 486, 11, 'Success']"
5489,3178,6735,"[[5489, 207, 858, 609, 3178], 1.5216699999999999, 160, 5, 'Failure']","[[5489, 207, 858, 609, 3178], 1.5216699999999999, 160, 5, 'Failure']","[[5489, 612, 4682, 609, 3178], 2.12798, 154, 5, 'Failure']","[[5489, 612, 5965, 609, 3178], 2.02022, 160, 5, 'Failure']","[[5489, 612, 5965, 609, 3178], 2.02022, 160, 5, 'Failure']","[[5489, 207, 1566, 1573, 12325, 4438, 609, 3178], 1.14818, 264, 8, 'Failure']"
5489,2610,52048,"[[5489, 207, 18, 2610], 5.7775300000000005, 120, 4, 'Failure']","[[5489, 207, 18, 2610], 5.7775300000000005, 120, 4, 'Failure']","[[5489, 612, 2433, 2869, 2610], 3.77663, 148, 5, 'Failure']","[[5489, 73, 18, 2610], 7.216799999999999, 120, 4, 'Success']","[[5489, 73, 18, 2610], 7.216799999999999, 120, 4, 'Failure']","[[5489, 612, 11837, 18, 2610], 3.15615, 138, 5, 'Failure']"
11463,1755,47113,"[[11463, 18, 1369, 1755], 12.987969999999999, 120, 4, 'Failure']","[[11463, 18, 1369, 1755], 12.987969999999999, 120, 4, 'Failure']","[[11463, 18, 529, 1354, 1755], 3.61348, 154, 5, 'Failure']","[[11463, 18, 1369, 1755], 12.987969999999999, 120, 4, 'Failure']","[[11463, 18, 1369, 1755], 12.987969999999999, 120, 4, 'Failure']","[[11463, 18, 3974, 6562, 1778, 1755], 8.852659999999998, 200, 6, 'Success']"
3178,5438,2958,"[[3178, 609, 6079, 5439, 5438], 1.56797, 160, 5, 'Success']","[[3178, 609, 6079, 5439, 5438], 1.56797, 160, 5, 'Success']","[[3178, 609, 1104, 855, 5438], 1.96143, 154, 5, 'Success']","[[3178, 609, 6079, 5439, 5438], 1.56797, 160, 5, 'Success']","[[3178, 609, 6079, 5439, 5438], 1.56797, 160, 5, 'Success']","[[3178, 609, 19, 215, 600, 6079, 5439, 5438], 1.2869300000000001, 258, 8, 'Success']"
704,8728,30027,"[[704, 21, 8728], 2.06006, 80, 3, 'Failure']","[[704, 21, 8728], 2.06006, 80, 3, 'Failure']","[[704, 21, 8728], 2.06006, 80, 3, 'Failure']","[[704, 609, 2359, 2, 8728], 5.21291, 138, 5, 'Success']","[[704, 609, 2359, 2, 8728], 5.21291, 138, 5, 'Success']","[[704, 609, 19, 215, 137, 12325, 3292, 489, 2, 8728], 4.42312, 300, 10, 'Success']"
6635,9949,28088,"[[6635, 9919, 10006, 9949], 4.57299, 120, 4, 'Failure']","[[6635, 9919, 10006, 9949], 4.57299, 120, 4, 'Failure']","[[6635, 167, 6830, 314, 9889, 9949], 1.44645, 294, 6, 'Failure']","[[6635, 609, 9656, 9889, 9949], 6.7840300000000004, 160, 5, 'Success']","[[6635, 609, 9656, 9889, 9949], 6.7840300000000004, 160, 5, 'Failure']","[[6635, 609, 19, 215, 137, 12325, 6760, 9889, 9949], 1.2784499999999999, 302, 9, 'Failure']"
1298,10922,21358,"[[1298, 1361, 21, 6320, 10922], 6.31474, 160, 5, 'Failure']","[[1298, 18, 6320, 10922], 6.29338, 120, 4, 'Failure']","[[1298, 18, 6320, 10922], 6.29338, 120, 4, 'Failure']","[[1298, 18, 6320, 10922], 6.29338, 120, 4, 'Failure']","[[1298, 18, 6320, 10922], 6.29338, 120, 4, 'Failure']","[[1298, 18, 6320, 10922], 6.29338, 120, 4, 'Failure']"
9272,1228,12777,"[[9272, 9292, 9265, 609, 1228], 3.28801, 154, 5, 'Success']","[[9272, 9292, 21, 1228], 4.21912, 114, 4, 'Failure']","[[9272, 9268, 9275, 21, 1228], 2.4217, 154, 5, 'Failure']","[[9272, 9292, 21, 1228], 4.21912, 114, 4, 'Failure']","[[9272, 9292, 21, 1228], 4.21912, 114, 4, 'Failure']","[[9272, 9268, 9275, 9265, 21, 1228], 2.49059, 194, 6, 'Failure']"
7976,1368,14698,"[[7976, 6562, 32, 1368], 13.81964, 224, 4, 'Failure']","[[7976, 6562, 32, 1368], 13.81964, 224, 4, 'Failure']","[[7976, 2626, 6519, 21, 1368], 3.0441, 160, 5, 'Failure']","[[7976, 6562, 7035, 21, 1368], 3.0734999999999997, 150, 5, 'Failure']","[[7976, 6562, 7035, 21, 1368], 3.0734999999999997, 150, 5, 'Failure']","[[7976, 6562, 3974, 149, 9515, 21, 1368], 3.1332999999999998, 344, 7, 'Failure']"
1368,10170,13575,"[[1368, 32, 10056, 10170], 10.15241, 218, 4, 'Failure']","[[1368, 32, 10056, 10170], 10.15241, 218, 4, 'Failure']","[[1368, 21, 24, 609, 10170], 2.53924, 252, 5, 'Success']","[[1368, 21, 9515, 609, 10170], 2.5256600000000002, 154, 5, 'Success']","[[1368, 21, 9515, 609, 10170], 2.5256600000000002, 154, 5, 'Success']","[[1368, 21, 12634, 6764, 3297, 10113, 609, 10170], 2.55382, 268, 8, 'Success']"
1903,6635,6364,"[[1903, 48, 6635], 1.64276, 80, 3, 'Failure']","[[1903, 48, 6635], 1.64276, 80, 3, 'Failure']","[[1903, 48, 6635], 1.64276, 80, 3, 'Failure']","[[1903, 48, 6635], 1.64276, 80, 3, 'Failure']","[[1903, 48, 6635], 1.64276, 80, 3, 'Failure']","[[1903, 48, 10113, 609, 6635], 2.27923, 160, 5, 'Success']"
1847,1298,15249,"[[1847, 18, 1298], 2.0305, 80, 3, 'Success']","[[1847, 18, 1298], 2.0305, 80, 3, 'Success']","[[1847, 18, 1298], 2.0305, 80, 3, 'Success']","[[1847, 18, 1298], 2.0305, 80, 3, 'Success']","[[1847, 18, 1298], 2.0305, 80, 3, 'Success']","[[1847, 600, 6010, 18, 1298], 2.07625, 160, 5, 'Failure']"
11463,674,19942,"[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']","[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']","[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']","[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']","[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']","[[11463, 18, 11207, 679, 674], 3.0369800000000002, 160, 5, 'Success']"
1368,9268,12432,"[[1368, 21, 9275, 9268], 2.17829, 114, 4, 'Success']","[[1368, 21, 9275, 9268], 2.17829, 114, 4, 'Success']","[[1368, 21, 9275, 9268], 2.17829, 114, 4, 'Success']","[[1368, 21, 9275, 9268], 2.17829, 114, 4, 'Failure']","[[1368, 21, 9275, 9268], 2.17829, 114, 4, 'Failure']","[[1368, 21, 12634, 6764, 3297, 10113, 12325, 6350, 1881, 9268], 2.21658, 342, 10, 'Success']"
1755,4374,29871,"[[1755, 1609, 1139, 4374], 97.9347, 120, 4, 'Failure']","[[1755, 1778, 600, 4374], 91.67292, 120, 4, 'Failure']","[[1755, 1778, 600, 4374], 91.67292, 120, 4, 'Failure']","[[1755, 1778, 600, 4374], 91.67292, 120, 4, 'Failure']","[[1755, 1778, 600, 4374], 91.67292, 120, 4, 'Failure']","[[1755, 1369, 3642, 167, 3183, 600, 4374], 91.73384, 230, 7, 'Failure']"
704,5365,46813,"[[704, 18, 5365], 2.09362, 80, 3, 'Failure']","[[704, 18, 5365], 2.09362, 80, 3, 'Failure']","[[704, 18, 5365], 2.09362, 80, 3, 'Failure']","[[704, 175, 62, 2, 5365], 10.553090000000001, 116, 5, 'Failure']","[[704, 175, 62, 2, 5365], 10.553090000000001, 116, 5, 'Failure']","[[704, 609, 2359, 2, 5365], 7.009030000000001, 138, 5, 'Failure']"
9301,1903,35762,"[[9301, 8617, 18, 1903], 3.42915, 114, 4, 'Success']","[[9301, 8617, 18, 1903], 3.42915, 114, 4, 'Failure']","[[9301, 8617, 18, 1903], 3.42915, 114, 4, 'Failure']","[[9301, 609, 459, 18, 1903], 3.14304, 160, 5, 'Success']","[[9301, 609, 459, 18, 1903], 3.14304, 160, 5, 'Failure']","[[9301, 609, 19, 215, 137, 12325, 6722, 18, 1903], 2.14304, 302, 9, 'Failure']"
1298,10006,26219,"[[1298, 18, 5949, 10006], 3.64822, 120, 4, 'Failure']","[[1298, 18, 5949, 10006], 3.64822, 120, 4, 'Failure']","[[1298, 18, 5949, 10006], 3.64822, 120, 4, 'Failure']","[[1298, 18, 8080, 6982, 10006], 5.14067, 162, 5, 'Failure']","[[1298, 18, 8080, 6982, 10006], 5.14067, 162, 5, 'Failure']","[[1298, 18, 6722, 12325, 6982, 10006], 4.67455, 194, 6, 'Failure']"
10006,9301,59684,"[[10006, 10002, 8617, 9301], 9.62509, 114, 4, 'Failure']","[[10006, 10002, 8617, 9301], 9.62509, 114, 4, 'Failure']","[[10006, 5949, 18, 8617, 9301], 4.77591, 154, 5, 'Failure']","[[10006, 6982, 9880, 3852, 609, 9301], 16.30585, 200, 6, 'Failure']","[[10006, 6982, 9880, 3852, 609, 9301], 16.30585, 200, 6, 'Failure']","[[10006, 6982, 13034, 314, 11837, 12325, 4438, 609, 9301], 9.38824, 396, 9, 'Failure']"
