Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9268,5682,18889,"[[9268, 1881, 2223, 4822, 5682], 2.03778, 264, 5, 'Success']","[[9268, 1881, 2223, 4822, 5682], 2.03778, 264, 5, 'Failure']","[[9268, 1881, 2223, 4822, 5682], 2.03778, 264, 5, 'Failure']","[[9268, 1881, 2223, 4822, 5682], 2.03778, 264, 5, 'Failure']","[[9268, 1881, 2223, 4822, 5682], 2.03778, 264, 5, 'Failure']","[[9268, 9275, 1818, 167, 2223, 4822, 5682], 1.58558, 438, 7, 'Failure']"
568,12631,26724,"[[568, 131, 10113, 12768, 12631], 1.15345, 160, 5, 'Failure']","[[568, 131, 10113, 12768, 12631], 1.15345, 160, 5, 'Failure']","[[568, 131, 10113, 12768, 12631], 1.15345, 160, 5, 'Failure']","[[568, 131, 10113, 12768, 12631], 1.15345, 160, 5, 'Failure']","[[568, 131, 10113, 12768, 12631], 1.15345, 160, 5, 'Failure']","[[568, 11798, 855, 6876, 167, 6722, 12325, 10113, 12768, 12631], 2.24051, 354, 10, 'Success']"
4374,4239,2926,"[[4374, 600, 6157, 3083, 4239], 1.01171, 264, 5, 'Success']","[[4374, 600, 6157, 3083, 4239], 1.01171, 264, 5, 'Success']","[[4374, 600, 6157, 3083, 4239], 1.01171, 264, 5, 'Success']","[[4374, 600, 6157, 3083, 4239], 1.01171, 264, 5, 'Success']","[[4374, 600, 6157, 3083, 4239], 1.01171, 264, 5, 'Success']","[[4374, 1139, 6324, 5199, 12325, 5965, 3083, 4239], 1.01171, 378, 8, 'Success']"
9301,8512,22459,"[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']","[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']","[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']","[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']","[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']","[[9301, 609, 8512], 3.2683599999999995, 80, 3, 'Failure']"
6896,7360,38092,"[[6896, 600, 6184, 6274, 7360], 0.80474, 264, 5, 'Failure']","[[6896, 182, 3281, 6274, 7360], 1.07718, 264, 5, 'Success']","[[6896, 600, 6184, 6274, 7360], 0.80474, 264, 5, 'Failure']","[[6896, 600, 6184, 6274, 7360], 0.80474, 264, 5, 'Failure']","[[6896, 600, 6184, 6274, 7360], 0.80474, 264, 5, 'Failure']","[[6896, 600, 6184, 6274, 7360], 0.80474, 264, 5, 'Failure']"
9301,5067,9268,"[[9301, 7218, 4822, 5067], 1.00927, 328, 4, 'Failure']","[[9301, 7218, 4822, 5067], 1.00927, 328, 4, 'Failure']","[[9301, 7218, 4822, 5067], 1.00927, 328, 4, 'Failure']","[[9301, 7218, 4822, 5067], 1.00927, 328, 4, 'Failure']","[[9301, 7218, 4822, 5067], 1.00927, 328, 4, 'Failure']","[[9301, 609, 2223, 4822, 5067], 1.0185399999999998, 264, 5, 'Failure']"
10922,9610,170873,"[[10922, 10, 9603, 9610], 174.21609, 120, 4, 'Failure']","[[10922, 10, 9603, 9610], 174.21609, 120, 4, 'Failure']","[[10922, 10, 645, 21, 3896, 6886, 9610], 14.0816, 240, 7, 'Failure']","[[10922, 855, 4816, 3896, 6886, 9610], 45.232910000000004, 200, 6, 'Failure']","[[10922, 855, 4816, 3896, 6886, 9610], 45.232910000000004, 200, 6, 'Failure']","[[10922, 855, 6876, 167, 6880, 3896, 6886, 9610], 13.73502, 270, 8, 'Failure']"
10787,8111,34397,"[[10787, 18, 15, 638, 8111], 4.75531, 136, 5, 'Success']","[[10787, 36, 638, 8111], 534.06933, 152, 4, 'Failure']","[[10787, 886, 6830, 314, 6301, 638, 8111], 3.3754, 344, 7, 'Failure']","[[10787, 609, 19, 15, 638, 8111], 3.7553100000000006, 154, 6, 'Failure']","[[10787, 609, 19, 15, 638, 8111], 3.7553100000000006, 154, 6, 'Failure']","[[10787, 609, 19, 15, 638, 8111], 3.7553100000000006, 154, 6, 'Failure']"
1228,7440,15451,"[[1228, 21, 3083, 7440], 2.0309, 224, 4, 'Success']","[[1228, 21, 3083, 7440], 2.0309, 224, 4, 'Failure']","[[1228, 21, 3083, 7440], 2.0309, 224, 4, 'Failure']","[[1228, 21, 3083, 7440], 2.0309, 224, 4, 'Failure']","[[1228, 21, 3083, 7440], 2.0309, 224, 4, 'Failure']","[[1228, 21, 1577, 167, 5965, 3083, 7440], 2.12361, 334, 7, 'Failure']"
1137,13079,62326,"[[1137, 1212, 148, 13079], 93.8709, 120, 4, 'Success']","[[1137, 1212, 148, 13079], 93.8709, 120, 4, 'Success']","[[1137, 463, 12325, 4433, 13079], 2.81025, 154, 5, 'Success']","[[1137, 463, 12325, 4433, 13079], 2.81025, 154, 5, 'Success']","[[1137, 463, 12325, 4433, 13079], 2.81025, 154, 5, 'Success']","[[1137, 463, 12325, 4433, 13079], 2.81025, 154, 5, 'Success']"
