Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1001,2797,61472,"[[1001, 57, 2934, 2821, 2797], 13.90162, 160, 5, 'Failure']","[[1001, 57, 2934, 2821, 2797], 13.90162, 160, 5, 'Failure']","[[1001, 609, 858, 5899, 2898, 2764, 2797], 3.4220799999999993, 344, 7, 'Failure']","[[1001, 634, 1638, 2821, 2797], 75.75054, 160, 5, 'Failure']","[[1001, 634, 1638, 2821, 2797], 75.75054, 160, 5, 'Failure']","[[1001, 634, 1579, 8260, 167, 2920, 2821, 2797], 69.43458, 270, 8, 'Failure']"
643,394,237164,"[[643, 32, 394], 120.58212, 184, 3, 'Failure']","[[643, 32, 394], 120.58212, 184, 3, 'Failure']","[[643, 18, 4043, 2050, 394], 3.0114900000000002, 154, 5, 'Failure']","[[643, 18, 175, 394], 17.768379999999997, 120, 4, 'Failure']","[[643, 18, 175, 394], 17.768379999999997, 120, 4, 'Failure']","[[643, 18, 175, 394], 17.768379999999997, 120, 4, 'Failure']"
1903,4899,69537,"[[1903, 18, 4899], 2.13908, 80, 3, 'Failure']","[[1903, 18, 4899], 2.13908, 80, 3, 'Failure']","[[1903, 18, 4899], 2.13908, 80, 3, 'Failure']","[[1903, 48, 177, 4899], 14.0984, 120, 4, 'Success']","[[1903, 48, 177, 4899], 14.0984, 120, 4, 'Success']","[[1903, 48, 667, 11365, 4899], 10.761949999999999, 160, 5, 'Success']"
1137,203,7485,"[[1137, 968, 203], 2.66167, 80, 3, 'Success']","[[1137, 968, 203], 2.66167, 80, 3, 'Success']","[[1137, 1121, 314, 203], 1.00949, 328, 4, 'Success']","[[1137, 968, 203], 2.66167, 80, 3, 'Success']","[[1137, 968, 203], 2.66167, 80, 3, 'Success']","[[1137, 1212, 1927, 167, 8733, 203], 1.62127, 210, 6, 'Success']"
704,34,33242,"[[704, 18, 34], 2.06648, 80, 3, 'Failure']","[[704, 18, 34], 2.06648, 80, 3, 'Failure']","[[704, 18, 34], 2.06648, 80, 3, 'Failure']","[[704, 52, 34], 5.11156, 80, 3, 'Success']","[[704, 52, 34], 5.11156, 80, 3, 'Success']","[[704, 609, 19, 215, 137, 12325, 6722, 18, 34], 2.1329599999999997, 302, 9, 'Success']"
9268,8496,14027,"[[9268, 9275, 8152, 8496], 7.21819, 120, 4, 'Success']","[[9268, 9275, 8152, 8496], 7.21819, 120, 4, 'Success']","[[9268, 9275, 8702, 12325, 8496], 1.30862, 154, 5, 'Success']","[[9268, 1881, 1559, 12325, 8496], 1.60316, 154, 5, 'Success']","[[9268, 1881, 1559, 12325, 8496], 1.60316, 154, 5, 'Success']","[[9268, 9275, 8702, 12325, 3292, 8496], 1.30862, 174, 6, 'Success']"
11463,305,20432,"[[11463, 18, 305], 2.04086, 80, 3, 'Success']","[[11463, 18, 305], 2.04086, 80, 3, 'Failure']","[[11463, 18, 305], 2.04086, 80, 3, 'Success']","[[11463, 18, 305], 2.04086, 80, 3, 'Failure']","[[11463, 18, 305], 2.04086, 80, 3, 'Failure']","[[11463, 18, 6722, 12325, 8053, 305], 2.24518, 194, 6, 'Success']"
1041,19,41550,"[[1041, 21, 19], 5.1551, 184, 3, 'Failure']","[[1041, 2, 19], 8.26886, 58, 3, 'Success']","[[1041, 21, 19], 5.1551, 184, 3, 'Failure']","[[1041, 2, 19], 8.26886, 58, 3, 'Success']","[[1041, 2, 19], 8.26886, 58, 3, 'Success']","[[1041, 2, 3781, 609, 19], 4.27967, 138, 5, 'Success']"
1041,1565,36246,"[[1041, 2, 2869, 1565], 4.950950000000001, 92, 4, 'Success']","[[1041, 2, 2869, 1565], 4.950950000000001, 92, 4, 'Success']","[[1041, 2, 2869, 1565], 4.950950000000001, 92, 4, 'Success']","[[1041, 2, 2869, 1565], 4.950950000000001, 92, 4, 'Success']","[[1041, 2, 2869, 1565], 4.950950000000001, 92, 4, 'Success']","[[1041, 2, 321, 8301, 1565], 4.62471, 138, 5, 'Success']"
674,996,75058,"[[674, 285, 70, 996], 35.973290000000006, 120, 4, 'Failure']","[[674, 285, 70, 996], 35.973290000000006, 120, 4, 'Failure']","[[674, 679, 349, 167, 996], 2.12688, 150, 5, 'Failure']","[[674, 679, 349, 18, 996], 3.7505999999999995, 160, 5, 'Failure']","[[674, 679, 349, 18, 996], 3.7505999999999995, 160, 5, 'Failure']","[[674, 679, 349, 18, 996], 3.7505999999999995, 160, 5, 'Failure']"
2952,8200,193220,"[[2952, 32, 8200], 98.6101, 184, 3, 'Success']","[[2952, 32, 8200], 98.6101, 184, 3, 'Success']","[[2952, 609, 19, 233, 3456, 8200], 2.9661, 172, 6, 'Failure']","[[2952, 32, 8200], 98.6101, 184, 3, 'Success']","[[2952, 32, 8200], 98.6101, 184, 3, 'Success']","[[2952, 32, 8200], 98.6101, 184, 3, 'Success']"
10774,3544,7310,"[[10774, 855, 3544], 3.19315, 80, 3, 'Success']","[[10774, 855, 3544], 3.19315, 80, 3, 'Success']","[[10774, 855, 3544], 3.19315, 80, 3, 'Success']","[[10774, 855, 3544], 3.19315, 80, 3, 'Success']","[[10774, 855, 3544], 3.19315, 80, 3, 'Success']","[[10774, 855, 6876, 167, 6722, 12325, 3544], 1.7821799999999999, 234, 7, 'Success']"
