Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12633,6467,100000,"[[12633, 609, 2586, 6467], 11.200019999999999, 120, 4, 'Failure']","[[12633, 609, 2586, 6467], 11.200019999999999, 120, 4, 'Failure']","[[12633, 609, 3216, 2928, 6467], 3.4000000000000004, 160, 5, 'Success']","[[12633, 609, 2359, 2928, 6467], 8.300080000000001, 160, 5, 'Success']","[[12633, 609, 2359, 2928, 6467], 8.300080000000001, 160, 5, 'Success']","[[12633, 609, 459, 167, 6722, 12325, 3292, 3099, 6467], 3.4000000000000004, 294, 9, 'Success']"
5477,6345,100000,"[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']","[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']","[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']","[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']","[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']","[[5477, 4822, 21, 5141, 6345], 303.3069, 264, 5, 'Failure']"
785,9323,100000,"[[785, 723, 6299, 612, 9323], 5.10004, 154, 5, 'Failure']","[[785, 723, 6299, 612, 9323], 5.10004, 154, 5, 'Failure']","[[785, 723, 149, 8411, 612, 9323], 3.8010200000000003, 292, 6, 'Failure']","[[785, 723, 6299, 612, 9323], 5.10004, 154, 5, 'Failure']","[[785, 723, 6299, 612, 9323], 5.10004, 154, 5, 'Failure']","[[785, 723, 8204, 167, 6722, 12325, 612, 9323], 7.651140000000001, 262, 8, 'Failure']"
11111,3118,100000,"[[11111, 11057, 1121, 32, 3118], 351.05269999999996, 472, 5, 'Failure']","[[11111, 11057, 1121, 32, 3118], 351.05269999999996, 472, 5, 'Failure']","[[11111, 11057, 1121, 314, 3974, 8614, 10321, 3118], 311.03511, 592, 8, 'Failure']","[[11111, 11057, 1121, 32, 3118], 351.05269999999996, 472, 5, 'Failure']","[[11111, 11057, 1121, 32, 3118], 351.05269999999996, 472, 5, 'Failure']","[[11111, 11057, 3642, 167, 796, 8614, 10321, 3118], 311.33393, 384, 8, 'Failure']"
4352,5242,100000,"[[4352, 855, 5242], 21.10002, 80, 3, 'Failure']","[[4352, 855, 5242], 21.10002, 80, 3, 'Failure']","[[4352, 4042, 1139, 2561, 21, 5242], 3.4000000000000004, 200, 6, 'Failure']","[[4352, 4042, 4295, 21, 5242], 6.110060000000001, 160, 5, 'Failure']","[[4352, 4042, 4295, 21, 5242], 6.110060000000001, 160, 5, 'Failure']","[[4352, 855, 131, 10274, 21, 5242], 5.017010000000001, 200, 6, 'Failure']"
10302,7865,100000,"[[10302, 21, 7218, 7865], 26.10028, 224, 4, 'Failure']","[[10302, 21, 7218, 7865], 26.10028, 224, 4, 'Failure']","[[10302, 12641, 345, 2, 7218, 7865], 2.4410000000000003, 276, 6, 'Failure']","[[10302, 21, 7218, 7865], 26.10028, 224, 4, 'Failure']","[[10302, 21, 7218, 7865], 26.10028, 224, 4, 'Failure']","[[10302, 21, 7218, 7865], 26.10028, 224, 4, 'Failure']"
3427,4871,100000,"[[3427, 609, 2425, 345, 4871], 3.2, 154, 5, 'Failure']","[[3427, 609, 2425, 345, 4871], 3.2, 154, 5, 'Failure']","[[3427, 609, 2425, 345, 4871], 3.2, 154, 5, 'Failure']","[[3427, 609, 2359, 3742, 4871], 3.7, 154, 5, 'Failure']","[[3427, 609, 2359, 3742, 4871], 3.7, 154, 5, 'Failure']","[[3427, 609, 2359, 3742, 4871], 3.7, 154, 5, 'Failure']"
12327,5157,100000,"[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']","[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']","[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']","[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']","[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']","[[12327, 609, 2706, 4822, 5157], 1.2000000000000002, 264, 5, 'Failure']"
11050,6195,100000,"[[11050, 609, 6195], 21.000999999999998, 80, 3, 'Failure']","[[11050, 609, 6195], 21.000999999999998, 80, 3, 'Failure']","[[11050, 26, 4289, 254, 6195], 5.401050000000001, 148, 5, 'Failure']","[[11050, 609, 6195], 21.000999999999998, 80, 3, 'Failure']","[[11050, 609, 6195], 21.000999999999998, 80, 3, 'Failure']","[[11050, 609, 6195], 21.000999999999998, 80, 3, 'Failure']"
8938,1242,100000,"[[8938, 8768, 8688, 609, 1242], 300.1003, 264, 5, 'Failure']","[[8938, 8768, 8688, 609, 1242], 300.1003, 264, 5, 'Failure']","[[8938, 8768, 8688, 609, 1242], 300.1003, 264, 5, 'Failure']","[[8938, 8768, 692, 609, 1242], 301.2036, 264, 5, 'Failure']","[[8938, 8768, 692, 609, 1242], 301.2036, 264, 5, 'Failure']","[[8938, 8768, 692, 609, 1242], 301.2036, 264, 5, 'Failure']"
8751,11680,100000,"[[8751, 609, 11680], 10.10101, 80, 3, 'Failure']","[[8751, 609, 11680], 10.10101, 80, 3, 'Failure']","[[8751, 609, 858, 314, 11178, 11680], 1.3030000000000002, 304, 6, 'Failure']","[[8751, 609, 11178, 11680], 10.901090000000002, 120, 4, 'Success']","[[8751, 609, 11178, 11680], 10.901090000000002, 120, 4, 'Success']","[[8751, 609, 459, 167, 11178, 11680], 2.201, 190, 6, 'Success']"
5299,6033,100000,"[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']","[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']","[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']","[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']","[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']","[[5299, 5216, 2877, 6033], 26.900489999999998, 120, 4, 'Success']"
8920,11354,100000,"[[8920, 8768, 2, 62, 11354], 372.22222, 242, 5, 'Failure']","[[8920, 8768, 2, 62, 11354], 372.22222, 242, 5, 'Failure']","[[8920, 8768, 10113, 12325, 62, 11354], 362.186, 298, 6, 'Failure']","[[8920, 8768, 2, 62, 11354], 372.22222, 242, 5, 'Failure']","[[8920, 8768, 2, 62, 11354], 372.22222, 242, 5, 'Failure']","[[8920, 8768, 692, 174, 173, 62, 11354], 363.28936, 300, 7, 'Failure']"
1708,1475,100000,"[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']","[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']","[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']","[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']","[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']","[[1708, 1032, 3065, 1236, 1475], 302.20210000000003, 160, 5, 'Failure']"
9236,11949,100000,"[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']","[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']","[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']","[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']","[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']","[[9236, 8768, 21, 11949], 301.10330000000005, 224, 4, 'Failure']"
3956,278,100000,"[[3956, 6587, 18, 278], 116.10231999999999, 114, 4, 'Success']","[[3956, 6587, 18, 278], 116.10231999999999, 114, 4, 'Success']","[[3956, 6224, 855, 131, 252, 18, 278], 17.65064, 240, 7, 'Success']","[[3956, 597, 1275, 18, 278], 23.851509999999998, 160, 5, 'Success']","[[3956, 597, 1275, 18, 278], 23.851509999999998, 160, 5, 'Success']","[[3956, 597, 1275, 398, 11837, 18, 278], 15.950410000000002, 218, 7, 'Success']"
6385,713,100000,"[[6385, 609, 2706, 634, 713], 106.20021, 264, 5, 'Failure']","[[6385, 609, 2706, 634, 713], 106.20021, 264, 5, 'Failure']","[[6385, 609, 2706, 634, 713], 106.20021, 264, 5, 'Failure']","[[6385, 609, 645, 634, 713], 116.61119, 264, 5, 'Failure']","[[6385, 609, 645, 634, 713], 116.61119, 264, 5, 'Failure']","[[6385, 609, 645, 634, 713], 116.61119, 264, 5, 'Failure']"
