Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
11663,1755,195015,"[[11663, 21, 1369, 1755], 47.049369999999996, 120, 4, 'Failure']","[[11663, 21, 1369, 1755], 47.049369999999996, 120, 4, 'Failure']","[[11663, 21, 1595, 529, 1354, 1755], 8.24259, 194, 6, 'Failure']","[[11663, 5778, 8152, 1369, 1755], 66.36052, 160, 5, 'Success']","[[11663, 5778, 8152, 1369, 1755], 66.36052, 160, 5, 'Failure']","[[11663, 5778, 4998, 167, 3642, 131, 1369, 1755], 53.65485999999999, 270, 8, 'Failure']"
3343,9268,4090,"[[3343, 142, 2223, 1881, 9268], 5.15647, 160, 5, 'Success']","[[3343, 142, 2223, 1881, 9268], 5.15647, 160, 5, 'Success']","[[3343, 142, 192, 423, 9268], 5.935929999999999, 148, 5, 'Success']","[[3343, 142, 2223, 1881, 9268], 5.15647, 160, 5, 'Success']","[[3343, 142, 2223, 1881, 9268], 5.15647, 160, 5, 'Success']","[[3343, 142, 10113, 12325, 6350, 1881, 9268], 4.86177, 234, 7, 'Success']"
9042,5365,9867,"[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Success']","[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Success']","[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Success']","[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Success']","[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Success']","[[9042, 8768, 2, 5365], 30.59066, 202, 4, 'Failure']"
12257,1847,17271,"[[12257, 18, 1847], 2.03454, 80, 3, 'Success']","[[12257, 18, 1847], 2.03454, 80, 3, 'Failure']","[[12257, 18, 1847], 2.03454, 80, 3, 'Failure']","[[12257, 18, 1847], 2.03454, 80, 3, 'Failure']","[[12257, 18, 1847], 2.03454, 80, 3, 'Failure']","[[12257, 18, 441, 2, 381, 1847], 3.0690799999999996, 282, 6, 'Failure']"
3324,677,35972,"[[3324, 261, 9709, 81, 677], 50.1666, 154, 5, 'Success']","[[3324, 261, 9709, 81, 677], 50.1666, 154, 5, 'Success']","[[3324, 600, 6010, 609, 2957, 677], 1.21583, 200, 6, 'Success']","[[3324, 600, 4749, 2341, 3184, 677], 4.69798, 200, 6, 'Success']","[[3324, 600, 4749, 2341, 3184, 677], 4.69798, 200, 6, 'Success']","[[3324, 600, 6010, 1559, 12325, 10113, 5916, 3184, 677], 3.3022299999999998, 314, 9, 'Success']"
7385,9301,21693,"[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']","[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']","[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']","[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']","[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']","[[7385, 7218, 9301], 65.079, 184, 3, 'Failure']"
7638,363,6026,"[[7638, 6274, 3281, 18, 363], 19.0941, 264, 5, 'Success']","[[7638, 6274, 2, 48, 363], 19.28688, 242, 5, 'Failure']","[[7638, 6274, 3281, 18, 363], 19.0941, 264, 5, 'Success']","[[7638, 6274, 3281, 18, 363], 19.0941, 264, 5, 'Failure']","[[7638, 6274, 3281, 18, 363], 19.0941, 264, 5, 'Failure']","[[7638, 6274, 3083, 5965, 6722, 48, 363], 18.682409999999997, 448, 7, 'Failure']"
768,10787,22883,"[[768, 32, 886, 10787], 13.46541, 224, 4, 'Success']","[[768, 32, 886, 10787], 13.46541, 224, 4, 'Failure']","[[768, 32, 886, 10787], 13.46541, 224, 4, 'Success']","[[768, 32, 886, 10787], 13.46541, 224, 4, 'Failure']","[[768, 32, 886, 10787], 13.46541, 224, 4, 'Failure']","[[768, 32, 6722, 12325, 4438, 609, 10787], 15.73096, 338, 7, 'Success']"
4121,10774,25897,"[[4121, 26, 12325, 855, 10774], 5.46432, 148, 5, 'Success']","[[4121, 26, 2706, 1446, 10774], 11.411019999999999, 154, 5, 'Success']","[[4121, 26, 12325, 8089, 1446, 10774], 1.33668, 188, 6, 'Success']","[[4121, 26, 12325, 855, 10774], 5.46432, 148, 5, 'Success']","[[4121, 26, 12325, 855, 10774], 5.46432, 148, 5, 'Success']","[[4121, 26, 12325, 6755, 1446, 10774], 1.55386, 188, 6, 'Success']"
10492,453,107208,"[[10492, 21, 453], 2.21442, 80, 3, 'Success']","[[10492, 21, 453], 2.21442, 80, 3, 'Failure']","[[10492, 21, 453], 2.21442, 80, 3, 'Failure']","[[10492, 21, 453], 2.21442, 80, 3, 'Failure']","[[10492, 21, 453], 2.21442, 80, 3, 'Failure']","[[10492, 21, 453], 2.21442, 80, 3, 'Failure']"
