Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12983,11273,11030,"[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']","[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']","[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']","[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']","[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']","[[12983, 12408, 12325, 32, 11273], 7.60762, 258, 5, 'Failure']"
2364,7556,2044,"[[2364, 600, 6184, 6274, 7556], 1.5183900000000001, 264, 5, 'Success']","[[2364, 600, 6184, 6274, 7556], 1.5183900000000001, 264, 5, 'Success']","[[2364, 600, 6184, 6274, 7556], 1.5183900000000001, 264, 5, 'Success']","[[2364, 600, 6184, 6274, 7556], 1.5183900000000001, 264, 5, 'Success']","[[2364, 600, 6184, 6274, 7556], 1.5183900000000001, 264, 5, 'Success']","[[2364, 600, 6010, 609, 2223, 6274, 7556], 1.01021, 344, 7, 'Success']"
7613,895,10168,"[[7613, 7218, 36, 600, 895], 61.09951, 296, 5, 'Failure']","[[7613, 7218, 2223, 600, 895], 61.16089, 264, 5, 'Failure']","[[7613, 7218, 345, 233, 600, 895], 61.28667, 292, 6, 'Failure']","[[7613, 7218, 2223, 600, 895], 61.16089, 264, 5, 'Failure']","[[7613, 7218, 2223, 600, 895], 61.16089, 264, 5, 'Failure']","[[7613, 7218, 8301, 137, 12325, 600, 895], 61.09951, 348, 7, 'Failure']"
12431,5628,119545,"[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Success']","[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Failure']","[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Success']","[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Failure']","[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Failure']","[[12431, 12325, 32, 5628], 90.55437, 212, 4, 'Failure']"
12261,9157,293,"[[12261, 12325, 10113, 8768, 9157], 1.00029, 258, 5, 'Success']","[[12261, 12325, 10113, 8768, 9157], 1.00029, 258, 5, 'Success']","[[12261, 12325, 10113, 8768, 9157], 1.00029, 258, 5, 'Success']","[[12261, 12325, 10113, 8768, 9157], 1.00029, 258, 5, 'Success']","[[12261, 12325, 10113, 8768, 9157], 1.00029, 258, 5, 'Success']","[[12261, 12325, 167, 2223, 8768, 9157], 1.0005799999999998, 288, 6, 'Success']"
8146,7988,59307,"[[8146, 6562, 2350, 7988], 2.17793, 120, 4, 'Failure']","[[8146, 6562, 2350, 7988], 2.17793, 120, 4, 'Failure']","[[8146, 6562, 2350, 7988], 2.17793, 120, 4, 'Failure']","[[8146, 21, 12157, 2654, 7988], 3.47447, 160, 5, 'Success']","[[8146, 21, 12157, 2654, 7988], 3.47447, 160, 5, 'Success']","[[8146, 8243, 612, 2359, 2654, 7988], 4.53378, 200, 6, 'Success']"
3293,7814,33062,"[[3293, 18, 3281, 6274, 7814], 1.06712, 264, 5, 'Failure']","[[3293, 18, 3281, 6274, 7814], 1.06712, 264, 5, 'Failure']","[[3293, 18, 237, 2, 6274, 7814], 1.36368, 276, 6, 'Failure']","[[3293, 18, 6184, 6274, 7814], 1.6983700000000002, 264, 5, 'Failure']","[[3293, 18, 6184, 6274, 7814], 1.6983700000000002, 264, 5, 'Failure']","[[3293, 18, 3642, 167, 2223, 6274, 7814], 1.0661200000000002, 334, 7, 'Failure']"
5621,2335,50258,"[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Success']","[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Success']","[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Success']","[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Success']","[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Success']","[[5621, 66, 2334, 2335], 12.09059, 120, 4, 'Failure']"
4612,3074,14906,"[[4612, 3083, 8134, 6562, 3074], 47.828669999999995, 264, 5, 'Success']","[[4612, 3083, 8134, 6562, 3074], 47.828669999999995, 264, 5, 'Success']","[[4612, 3083, 36, 192, 423, 3074], 48.755720000000004, 324, 6, 'Failure']","[[4612, 3083, 8134, 6562, 3074], 47.828669999999995, 264, 5, 'Success']","[[4612, 3083, 8134, 6562, 3074], 47.828669999999995, 264, 5, 'Success']","[[4612, 3083, 5965, 3974, 6562, 3074], 46.7509, 304, 6, 'Success']"
4243,5723,7679,"[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Success']","[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Failure']","[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Failure']","[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Failure']","[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Failure']","[[4243, 3083, 4822, 5723], 1.00768, 328, 4, 'Failure']"
