Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
8576,507,277753,"[[8576, 91, 507], 297.32502999999997, 230, 3, 'Failure']","[[8576, 91, 507], 297.32502999999997, 230, 3, 'Failure']","[[8576, 3347, 3055, 12325, 167, 507], 16.44323, 184, 6, 'Failure']","[[8576, 91, 507], 297.32502999999997, 230, 3, 'Failure']","[[8576, 91, 507], 297.32502999999997, 230, 3, 'Failure']","[[8576, 91, 2702, 12325, 6722, 167, 507], 53.59824, 384, 7, 'Failure']"
3712,6724,38807,"[[3712, 3083, 3065, 6724], 118.85215000000001, 224, 4, 'Success']","[[3712, 3083, 3065, 6724], 118.85215000000001, 224, 4, 'Success']","[[3712, 3083, 6184, 3804, 6724], 118.24512, 362, 5, 'Success']","[[3712, 3083, 3065, 6724], 118.85215000000001, 224, 4, 'Success']","[[3712, 3083, 3065, 6724], 118.85215000000001, 224, 4, 'Success']","[[3712, 3083, 5965, 6722, 12325, 3292, 6724], 117.49885, 318, 7, 'Success']"
12658,5782,744,"[[12658, 55, 3281, 5782], 19.32986, 120, 4, 'Success']","[[12658, 55, 3281, 5782], 19.32986, 120, 4, 'Success']","[[12658, 55, 233, 4792, 6597, 5782], 3.4933199999999998, 188, 6, 'Success']","[[12658, 55, 167, 3281, 5782], 3.2941499999999997, 160, 5, 'Success']","[[12658, 55, 167, 3281, 5782], 3.2941499999999997, 160, 5, 'Success']","[[12658, 55, 167, 3281, 5782], 3.2941499999999997, 160, 5, 'Success']"
4164,165,19916,"[[4164, 3083, 21, 3414, 165], 61.79096, 264, 5, 'Failure']","[[4164, 3083, 21, 3414, 165], 61.79096, 264, 5, 'Failure']","[[4164, 3083, 4682, 18, 165], 62.66994, 258, 5, 'Failure']","[[4164, 3083, 21, 3414, 165], 61.79096, 264, 5, 'Failure']","[[4164, 3083, 21, 3414, 165], 61.79096, 264, 5, 'Failure']","[[4164, 3083, 5965, 6722, 12325, 4482, 149, 3414, 165], 60.80894, 522, 9, 'Failure']"
11829,12546,586468,"[[11829, 21, 12546], 61.23343, 80, 3, 'Failure']","[[11829, 21, 12546], 61.23343, 80, 3, 'Failure']","[[11829, 21, 12546], 61.23343, 80, 3, 'Failure']","[[11829, 197, 32, 855, 12546], 472.27459999999996, 264, 5, 'Failure']","[[11829, 197, 32, 855, 12546], 472.27459999999996, 264, 5, 'Failure']","[[11829, 136, 214, 45, 137, 12325, 855, 12546], 255.22794000000002, 284, 8, 'Failure']"
7208,770,6214,"[[7208, 6274, 21, 770], 20.651229999999998, 224, 4, 'Success']","[[7208, 6274, 21, 770], 20.651229999999998, 224, 4, 'Success']","[[7208, 6274, 21, 770], 20.651229999999998, 224, 4, 'Success']","[[7208, 6274, 21, 770], 20.651229999999998, 224, 4, 'Success']","[[7208, 6274, 21, 770], 20.651229999999998, 224, 4, 'Success']","[[7208, 6274, 3083, 5965, 6722, 12325, 4090, 4744, 4869, 770], 20.651229999999998, 562, 10, 'Success']"
2614,12076,450590,"[[2614, 59, 185, 9608, 12076], 136.62495, 154, 5, 'Failure']","[[2614, 59, 185, 9608, 12076], 136.62495, 154, 5, 'Failure']","[[2614, 5568, 84, 2910, 11314, 12507, 12076], 63.47913, 240, 7, 'Failure']","[[2614, 5568, 18, 174, 185, 9608, 12076], 145.75497, 234, 7, 'Failure']","[[2614, 5568, 18, 174, 185, 9608, 12076], 145.75497, 234, 7, 'Failure']","[[2614, 5568, 6935, 175, 174, 185, 9608, 12076], 137.97809, 246, 8, 'Failure']"
6942,1846,1107129,"[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']","[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']","[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']","[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']","[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']","[[6942, 32, 1846], 555.5650499999999, 184, 3, 'Failure']"
8090,10802,18903,"[[8090, 1369, 233, 10802], 6.1397900000000005, 114, 4, 'Failure']","[[8090, 1369, 233, 10802], 6.1397900000000005, 114, 4, 'Failure']","[[8090, 609, 19, 233, 10802], 1.18902, 132, 5, 'Success']","[[8090, 1369, 233, 10802], 6.1397900000000005, 114, 4, 'Failure']","[[8090, 1369, 233, 10802], 6.1397900000000005, 114, 4, 'Failure']","[[8090, 609, 19, 215, 137, 12325, 233, 10802], 1.2079199999999999, 256, 8, 'Success']"
7677,129,1051,"[[7677, 6274, 3083, 4682, 129], 3.15933, 362, 5, 'Success']","[[7677, 6274, 108, 4682, 129], 3.21204, 238, 5, 'Success']","[[7677, 6274, 4764, 233, 4682, 129], 3.62003, 292, 6, 'Success']","[[7677, 6274, 108, 4682, 129], 3.21204, 238, 5, 'Success']","[[7677, 6274, 108, 4682, 129], 3.21204, 238, 5, 'Success']","[[7677, 6274, 3083, 4682, 129], 3.15933, 362, 5, 'Success']"
7942,5002,23612,"[[7942, 600, 5002], 1.09445, 80, 3, 'Success']","[[7942, 600, 5002], 1.09445, 80, 3, 'Success']","[[7942, 600, 5002], 1.09445, 80, 3, 'Success']","[[7942, 600, 5002], 1.09445, 80, 3, 'Success']","[[7942, 600, 5002], 1.09445, 80, 3, 'Success']","[[7942, 600, 5002], 1.09445, 80, 3, 'Success']"
1464,3833,1922,"[[1464, 1236, 600, 3833], 5.76793, 120, 4, 'Success']","[[1464, 1236, 600, 3833], 5.76793, 120, 4, 'Success']","[[1464, 1236, 2, 534, 3833], 2.77088, 132, 5, 'Success']","[[1464, 1236, 124, 855, 3833], 1.82847, 160, 5, 'Success']","[[1464, 1236, 124, 855, 3833], 1.82847, 160, 5, 'Success']","[[1464, 1236, 600, 6010, 855, 3833], 0.39209, 200, 6, 'Success']"
6446,2070,189892,"[[6446, 32, 2070], 96.9461, 184, 3, 'Success']","[[6446, 32, 2070], 96.9461, 184, 3, 'Success']","[[6446, 32, 2070], 96.9461, 184, 3, 'Success']","[[6446, 32, 2070], 96.9461, 184, 3, 'Success']","[[6446, 32, 2070], 96.9461, 184, 3, 'Success']","[[6446, 32, 6184, 1579, 2070], 98.58626999999998, 264, 5, 'Success']"
4817,2731,67471,"[[4817, 21, 3258, 2731], 3.2024099999999995, 120, 4, 'Failure']","[[4817, 21, 3258, 2731], 3.2024099999999995, 120, 4, 'Failure']","[[4817, 21, 1595, 529, 2731], 2.27188, 154, 5, 'Failure']","[[4817, 21, 3258, 2731], 3.2024099999999995, 120, 4, 'Failure']","[[4817, 21, 3258, 2731], 3.2024099999999995, 120, 4, 'Failure']","[[4817, 21, 1577, 167, 796, 1865, 529, 2731], 3.74418, 274, 8, 'Failure']"
1163,3978,2712,"[[1163, 1139, 2537, 3978], 8.220320000000001, 120, 4, 'Success']","[[1163, 1139, 2537, 3978], 8.220320000000001, 120, 4, 'Success']","[[1163, 1139, 6324, 233, 3978], 0.37155, 154, 5, 'Success']","[[1163, 1139, 3832, 167, 3978], 0.040679999999999994, 150, 5, 'Success']","[[1163, 1139, 3832, 167, 3978], 0.040679999999999994, 150, 5, 'Success']","[[1163, 1139, 6324, 5199, 12325, 3978], 0.01085, 194, 6, 'Success']"
7859,627,13961,"[[7859, 7218, 3083, 2537, 627], 42.30309, 368, 5, 'Success']","[[7859, 7218, 2, 321, 627], 42.9, 242, 5, 'Success']","[[7859, 7218, 3277, 321, 627], 42.9, 264, 5, 'Success']","[[7859, 7218, 8301, 321, 627], 42.9, 264, 5, 'Success']","[[7859, 7218, 8301, 321, 627], 42.9, 264, 5, 'Success']","[[7859, 7218, 8301, 137, 12325, 6722, 2537, 627], 42.30309, 388, 8, 'Failure']"
6118,501,4357,"[[6118, 149, 3642, 167, 501], 1.0140799999999999, 254, 5, 'Success']","[[6118, 149, 11578, 167, 501], 1.03151, 244, 5, 'Success']","[[6118, 149, 233, 10485, 167, 501], 1.0445799999999998, 282, 6, 'Success']","[[6118, 149, 3642, 167, 501], 1.0140799999999999, 254, 5, 'Success']","[[6118, 149, 3642, 167, 501], 1.0140799999999999, 254, 5, 'Success']","[[6118, 149, 3642, 167, 501], 1.0140799999999999, 254, 5, 'Success']"
12452,9865,21494,"[[12452, 612, 2584, 9865], 3.3439200000000002, 120, 4, 'Success']","[[12452, 612, 2584, 9865], 3.3439200000000002, 120, 4, 'Success']","[[12452, 612, 2584, 9865], 3.3439200000000002, 120, 4, 'Success']","[[12452, 612, 2584, 9865], 3.3439200000000002, 120, 4, 'Success']","[[12452, 612, 2584, 9865], 3.3439200000000002, 120, 4, 'Success']","[[12452, 612, 1865, 529, 6007, 9865], 3.06649, 194, 6, 'Success']"
9609,5597,355847,"[[9609, 314, 6163, 5597], 1.35785, 224, 4, 'Success']","[[9609, 314, 6163, 5597], 1.35785, 224, 4, 'Failure']","[[9609, 314, 6163, 5597], 1.35785, 224, 4, 'Success']","[[9609, 32, 6163, 5597], 179.92418, 224, 4, 'Failure']","[[9609, 32, 6163, 5597], 179.92418, 224, 4, 'Failure']","[[9609, 84, 445, 3292, 6362, 5597], 28.976899999999997, 180, 6, 'Failure']"
5586,9879,212009,"[[5586, 3544, 855, 9879], 48.915150000000004, 120, 4, 'Failure']","[[5586, 3544, 855, 9879], 48.915150000000004, 120, 4, 'Failure']","[[5586, 3544, 12325, 10113, 12768, 3534, 9879], 7.72429, 234, 7, 'Failure']","[[5586, 3544, 855, 9879], 48.915150000000004, 120, 4, 'Failure']","[[5586, 3544, 855, 9879], 48.915150000000004, 120, 4, 'Failure']","[[5586, 3544, 12325, 12148, 3534, 9879], 12.812660000000001, 188, 6, 'Failure']"
3289,873,175597,"[[3289, 612, 2781, 873], 3.22919, 120, 4, 'Failure']","[[3289, 612, 2781, 873], 3.22919, 120, 4, 'Failure']","[[3289, 612, 2861, 2853, 873], 3.1268000000000002, 160, 5, 'Failure']","[[3289, 612, 2781, 873], 3.22919, 120, 4, 'Failure']","[[3289, 612, 2781, 873], 3.22919, 120, 4, 'Failure']","[[3289, 612, 2781, 873], 3.22919, 120, 4, 'Failure']"
