Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
5545,8916,1005,"[[5545, 6020, 8768, 8916], 1.0201, 224, 4, 'Success']","[[5545, 6020, 8768, 8916], 1.0201, 224, 4, 'Success']","[[5545, 6020, 8768, 8916], 1.0201, 224, 4, 'Success']","[[5545, 6020, 8768, 8916], 1.0201, 224, 4, 'Success']","[[5545, 6020, 8768, 8916], 1.0201, 224, 4, 'Success']","[[5545, 167, 2223, 8768, 8916], 1.0110499999999998, 254, 5, 'Success']"
12118,9333,795133,"[[12118, 855, 8238, 9333], 454.30658999999997, 120, 4, 'Failure']","[[12118, 855, 8238, 9333], 454.30658999999997, 120, 4, 'Failure']","[[12118, 11446, 11278, 12325, 84, 8238, 9333], 102.18889, 234, 7, 'Success']","[[12118, 855, 8238, 9333], 454.30658999999997, 120, 4, 'Failure']","[[12118, 855, 8238, 9333], 454.30658999999997, 120, 4, 'Failure']","[[12118, 11446, 8230, 12325, 612, 8238, 9333], 173.76117, 234, 7, 'Failure']"
12768,8684,35718,"[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Success']","[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Success']","[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Success']","[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Success']","[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Success']","[[12768, 3928, 3771, 8684], 1.5358800000000001, 120, 4, 'Failure']"
372,6726,2627,"[[372, 723, 2651, 6726], 6.929220000000001, 108, 4, 'Success']","[[372, 723, 2651, 6726], 6.929220000000001, 108, 4, 'Success']","[[372, 7011, 723, 2651, 6726], 1.834, 148, 5, 'Success']","[[372, 7011, 723, 2651, 6726], 1.834, 148, 5, 'Success']","[[372, 7011, 723, 2651, 6726], 1.834, 148, 5, 'Success']","[[372, 4479, 3221, 3892, 167, 6722, 12325, 9658, 2651, 6726], 1.4870499999999995, 348, 10, 'Success']"
6621,5176,804,"[[6621, 169, 4822, 5176], 0.0796, 202, 4, 'Success']","[[6621, 169, 4822, 5176], 0.0796, 202, 4, 'Success']","[[6621, 6587, 5899, 4682, 4822, 5176], 0.07638, 396, 6, 'Success']","[[6621, 169, 4822, 5176], 0.0796, 202, 4, 'Success']","[[6621, 169, 4822, 5176], 0.0796, 202, 4, 'Success']","[[6621, 3372, 4792, 167, 2223, 4822, 5176], 0.0048200000000000005, 334, 7, 'Success']"
5150,9016,10129,"[[5150, 21, 8768, 9016], 2.02026, 224, 4, 'Success']","[[5150, 21, 8768, 9016], 2.02026, 224, 4, 'Failure']","[[5150, 21, 8768, 9016], 2.02026, 224, 4, 'Failure']","[[5150, 21, 8768, 9016], 2.02026, 224, 4, 'Failure']","[[5150, 21, 8768, 9016], 2.02026, 224, 4, 'Failure']","[[5150, 609, 2223, 8768, 9016], 1.02026, 264, 5, 'Failure']"
12438,9439,4295,,,,,,
6498,2116,23190,"[[6498, 233, 600, 2081, 2116], 1.62616, 154, 5, 'Success']","[[6498, 3292, 3974, 2081, 2116], 2.1595500000000003, 140, 5, 'Failure']","[[6498, 233, 600, 2081, 2116], 1.62616, 154, 5, 'Success']","[[6498, 3292, 3974, 2081, 2116], 2.1595500000000003, 140, 5, 'Failure']","[[6498, 3292, 3974, 2081, 2116], 2.1595500000000003, 140, 5, 'Failure']","[[6498, 6249, 6722, 167, 3183, 600, 2081, 2116], 1.11695, 270, 8, 'Failure']"
8661,406,30977,"[[8661, 7993, 21, 406], 6.70866, 120, 4, 'Failure']","[[8661, 7993, 21, 406], 6.70866, 120, 4, 'Failure']","[[8661, 894, 167, 6463, 21, 406], 3.61087, 178, 6, 'Failure']","[[8661, 7993, 21, 406], 6.70866, 120, 4, 'Failure']","[[8661, 7993, 21, 406], 6.70866, 120, 4, 'Failure']","[[8661, 855, 6876, 167, 4482, 149, 9515, 21, 406], 2.34177, 414, 9, 'Failure']"
10776,11180,198761,"[[10776, 9626, 9598, 4306, 11180], 35.38869, 160, 5, 'Failure']","[[10776, 9626, 9598, 4306, 11180], 35.38869, 160, 5, 'Failure']","[[10776, 9626, 3921, 12325, 2639, 4114, 4306, 11180], 20.68384, 274, 8, 'Failure']","[[10776, 267, 167, 5585, 11180], 91.23927, 150, 5, 'Success']","[[10776, 267, 167, 5585, 11180], 91.23927, 150, 5, 'Success']","[[10776, 547, 149, 5307, 5585, 11180], 92.24038000000002, 684, 6, 'Success']"
52,12839,11687,"[[52, 92, 32, 12839], 9.73666, 224, 4, 'Success']","[[52, 44, 32, 12839], 9.84192, 208, 4, 'Success']","[[52, 82, 32, 12839], 10.299, 224, 4, 'Failure']","[[52, 149, 32, 12839], 9.73766, 328, 4, 'Success']","[[52, 149, 32, 12839], 9.73766, 328, 4, 'Success']","[[52, 177, 71, 32, 12839], 9.724969999999999, 220, 5, 'Success']"
9266,3751,53743,"[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Success']","[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Failure']","[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Failure']","[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Failure']","[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Failure']","[[9266, 314, 3751], 9.063450000000001, 184, 3, 'Failure']"
2600,4462,1073,"[[2600, 2584, 3083, 4462], 1.0214699999999999, 224, 4, 'Success']","[[2600, 2584, 3083, 4462], 1.0214699999999999, 224, 4, 'Success']","[[2600, 233, 4682, 3083, 4462], 0.47322000000000003, 252, 5, 'Success']","[[2600, 2584, 3083, 4462], 1.0214699999999999, 224, 4, 'Success']","[[2600, 2584, 3083, 4462], 1.0214699999999999, 224, 4, 'Success']","[[2600, 167, 5965, 3083, 4462], 0.0118, 254, 5, 'Failure']"
4311,7796,117525,"[[4311, 11578, 149, 7233, 7796], 17.86543, 254, 5, 'Failure']","[[4311, 11578, 149, 7233, 7796], 17.86543, 254, 5, 'Failure']","[[4311, 12325, 5899, 149, 7233, 7796], 17.86543, 402, 6, 'Failure']","[[4311, 48, 12445, 7945, 7943, 7233, 7796], 1216.68317, 242, 7, 'Success']","[[4311, 48, 12445, 7945, 7943, 7233, 7796], 1216.68317, 242, 7, 'Success']","[[4311, 1579, 6184, 12445, 7945, 7943, 7233, 7796], 1206.02258, 282, 8, 'Success']"
8841,941,15780,"[[8841, 32, 600, 941], 65.14012000000001, 224, 4, 'Failure']","[[8841, 32, 600, 941], 65.14012000000001, 224, 4, 'Failure']","[[8841, 71, 233, 600, 941], 51.492160000000005, 154, 5, 'Failure']","[[8841, 32, 600, 941], 65.14012000000001, 224, 4, 'Failure']","[[8841, 32, 600, 941], 65.14012000000001, 224, 4, 'Failure']","[[8841, 5882, 9889, 996, 9510, 167, 3183, 600, 941], 49.243170000000006, 310, 9, 'Failure']"
9818,6534,1322269,"[[9818, 18, 6499, 2152, 5861, 6534], 89.62579, 200, 6, 'Failure']","[[9818, 18, 6499, 2152, 5861, 6534], 89.62579, 200, 6, 'Failure']","[[9818, 796, 8089, 1446, 2152, 5861, 6534], 12.93365, 240, 7, 'Failure']","[[9818, 18, 1369, 2152, 5861, 6534], 365.99784, 200, 6, 'Failure']","[[9818, 18, 1369, 2152, 5861, 6534], 365.99784, 200, 6, 'Failure']","[[9818, 18, 1369, 2152, 5861, 6534], 365.99784, 200, 6, 'Failure']"
1837,7086,23134,"[[1837, 3067, 2, 6274, 7086], 3.16531, 236, 5, 'Failure']","[[1837, 3067, 2, 6274, 7086], 3.16531, 236, 5, 'Failure']","[[1837, 12151, 12325, 36, 6274, 7086], 1.53208, 330, 6, 'Failure']","[[1837, 42, 36, 6274, 7086], 3.24838, 298, 5, 'Failure']","[[1837, 42, 36, 6274, 7086], 3.24838, 298, 5, 'Failure']","[[1837, 12151, 12325, 6722, 167, 2223, 6274, 7086], 1.5552100000000002, 368, 8, 'Failure']"
11414,3314,150694,"[[11414, 32, 2, 3314], 167.51508, 202, 4, 'Failure']","[[11414, 32, 2, 3314], 167.51508, 202, 4, 'Failure']","[[11414, 12768, 6830, 314, 435, 2, 3314], 16.69953, 322, 7, 'Failure']","[[11414, 32, 634, 3314], 308.28006, 224, 4, 'Failure']","[[11414, 32, 634, 3314], 308.28006, 224, 4, 'Failure']","[[11414, 10217, 11178, 167, 4682, 634, 3314], 163.18060999999997, 224, 7, 'Failure']"
7994,1319,4783,"[[7994, 9549, 84, 1319], 2.7483, 100, 4, 'Success']","[[7994, 9549, 84, 1319], 2.7483, 100, 4, 'Success']","[[7994, 18, 137, 84, 1319], 2.6052299999999997, 254, 5, 'Success']","[[7994, 9549, 84, 1319], 2.7483, 100, 4, 'Success']","[[7994, 9549, 84, 1319], 2.7483, 100, 4, 'Success']","[[7994, 4433, 12325, 10113, 84, 1319], 1.7435100000000001, 174, 6, 'Success']"
6303,2091,334058,"[[6303, 5043, 600, 2081, 2091], 1014.231, 160, 5, 'Failure']","[[6303, 5043, 600, 2081, 2091], 1014.231, 160, 5, 'Failure']","[[6303, 4261, 4792, 167, 10522, 2081, 2091], 1004.6951799999999, 224, 7, 'Failure']","[[6303, 855, 2359, 2081, 2091], 1073.197, 160, 5, 'Failure']","[[6303, 855, 2359, 2081, 2091], 1073.197, 160, 5, 'Failure']","[[6303, 855, 6876, 167, 796, 2359, 2081, 2091], 1009.86488, 280, 8, 'Failure']"
6851,2457,34401,"[[6851, 32, 2457], 19.20052, 184, 3, 'Failure']","[[6851, 32, 2457], 19.20052, 184, 3, 'Failure']","[[6851, 5867, 795, 2457], 3.1032, 120, 4, 'Failure']","[[6851, 5867, 795, 2457], 3.1032, 120, 4, 'Failure']","[[6851, 5867, 795, 2457], 3.1032, 120, 4, 'Failure']","[[6851, 6862, 6020, 795, 2457], 4.8233, 160, 5, 'Failure']"
203,5982,580648,"[[203, 293, 2597, 5982], 623.69662, 302, 4, 'Failure']","[[203, 293, 2597, 5982], 623.69662, 302, 4, 'Failure']","[[203, 3322, 137, 2597, 5982], 622.43408, 352, 5, 'Failure']","[[203, 321, 2597, 5982], 624.1154200000001, 302, 4, 'Success']","[[203, 321, 2597, 5982], 624.1154200000001, 302, 4, 'Failure']","[[203, 2189, 321, 2597, 5982], 625.69676, 342, 5, 'Failure']"
