Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
656,238,1,"[[656, 2, 238], 0.0601, 58, 3, 'Success']","[[656, 2, 238], 0.0601, 58, 3, 'Success']","[[656, 2, 238], 0.0601, 58, 3, 'Success']","[[656, 2, 238], 0.0601, 58, 3, 'Success']","[[656, 2, 238], 0.0601, 58, 3, 'Success']","[[656, 2, 238], 0.0601, 58, 3, 'Success']"
9135,5462,48,"[[9135, 8768, 7218, 4822, 5462], 0.0, 472, 5, 'Success']","[[9135, 8768, 7218, 4822, 5462], 0.0, 472, 5, 'Success']","[[9135, 8768, 2, 194, 4822, 5462], 0.14881, 386, 6, 'Success']","[[9135, 8768, 7218, 4822, 5462], 0.0, 472, 5, 'Success']","[[9135, 8768, 7218, 4822, 5462], 0.0, 472, 5, 'Success']","[[9135, 8768, 7218, 4822, 5462], 0.0, 472, 5, 'Success']"
9759,11341,173,"[[9759, 547, 600, 11341], 0.53635, 500, 4, 'Success']","[[9759, 547, 600, 11341], 0.53635, 500, 4, 'Success']","[[9759, 547, 600, 11341], 0.53635, 500, 4, 'Success']","[[9759, 547, 600, 11341], 0.53635, 500, 4, 'Success']","[[9759, 547, 600, 11341], 0.53635, 500, 4, 'Success']","[[9759, 547, 1236, 600, 11341], 0.52247, 540, 5, 'Success']"
6355,12804,9260,"[[6355, 6178, 855, 84, 3119, 12479, 12805, 12804], 7.39912, 280, 8, 'Success']","[[6355, 6178, 855, 84, 3119, 12479, 12805, 12804], 7.39912, 280, 8, 'Success']","[[6355, 12410, 18, 137, 84, 3119, 12479, 12805, 12804], 6.56484, 434, 9, 'Success']","[[6355, 12410, 855, 84, 3119, 12479, 12805, 12804], 7.40839, 280, 8, 'Success']","[[6355, 12410, 855, 84, 3119, 12479, 12805, 12804], 7.40839, 280, 8, 'Success']","[[6355, 12410, 855, 6876, 167, 3642, 84, 3119, 12479, 12805, 12804], 5.620400000000001, 390, 11, 'Success']"
6397,12894,42971,"[[6397, 5060, 2223, 207, 12894], 53.01146, 160, 5, 'Success']","[[6397, 5060, 12325, 207, 12894], 53.26961, 154, 5, 'Failure']","[[6397, 5060, 12325, 612, 2593, 638, 12894], 5.35195, 234, 7, 'Failure']","[[6397, 5060, 3742, 15, 638, 12894], 8.69347, 170, 6, 'Failure']","[[6397, 5060, 3742, 15, 638, 12894], 8.69347, 170, 6, 'Failure']","[[6397, 5528, 233, 220, 15, 638, 12894], 5.470219999999999, 210, 7, 'Failure']"
8514,4789,108551,"[[8514, 741, 149, 4734, 4789], 3.4986699999999997, 264, 5, 'Failure']","[[8514, 741, 398, 6755, 4789], 6.04044, 160, 5, 'Failure']","[[8514, 741, 149, 4734, 4789], 3.4986699999999997, 264, 5, 'Failure']","[[8514, 741, 398, 6755, 4789], 6.04044, 160, 5, 'Failure']","[[8514, 741, 398, 6755, 4789], 6.04044, 160, 5, 'Failure']","[[8514, 741, 398, 137, 12325, 3093, 11890, 4789], 5.41117, 388, 8, 'Failure']"
9307,6913,2125955,"[[9307, 2877, 5322, 6913], 215.72177, 774, 4, 'Failure']","[[9307, 2877, 5322, 6913], 215.72177, 774, 4, 'Failure']","[[9307, 2877, 5322, 6913], 215.72177, 774, 4, 'Failure']","[[9307, 48, 293, 6913], 744.1692899999999, 780, 4, 'Failure']","[[9307, 48, 293, 6913], 744.1692899999999, 780, 4, 'Failure']","[[9307, 174, 173, 59, 6913], 331.78494, 776, 5, 'Failure']"
89,4704,14990881,"[[89, 2, 321, 4704], 2519.47068, 98, 4, 'Failure']","[[89, 321, 4704], 32995.96426, 80, 3, 'Failure']","[[89, 6057, 612, 4704], 5008.96489, 120, 4, 'Failure']","[[89, 141, 173, 4704], 5803.99543, 98, 4, 'Success']","[[89, 141, 173, 4704], 5803.99543, 98, 4, 'Success']","[[89, 141, 173, 60, 321, 4704], 5819.99249, 156, 6, 'Success']"
4621,770,7,"[[4621, 3083, 21, 770], 2.02402, 224, 4, 'Success']","[[4621, 3083, 21, 770], 2.02402, 224, 4, 'Success']","[[4621, 3083, 4682, 1139, 770], 1.04216, 258, 5, 'Success']","[[4621, 3083, 21, 770], 2.02402, 224, 4, 'Success']","[[4621, 3083, 21, 770], 2.02402, 224, 4, 'Success']","[[4621, 3083, 5965, 12325, 36, 1139, 770], 1.04207, 370, 7, 'Success']"
7959,6437,97,"[[7959, 2, 36, 1139, 6437], 0.02939, 170, 5, 'Success']","[[7959, 2, 3781, 1139, 6437], 0.02968, 138, 5, 'Success']","[[7959, 2, 194, 1139, 6437], 0.03909, 138, 5, 'Success']","[[7959, 2, 3781, 1139, 6437], 0.02968, 138, 5, 'Success']","[[7959, 2, 3781, 1139, 6437], 0.02968, 138, 5, 'Success']","[[7959, 8455, 12325, 36, 1139, 6437], 0.02939, 226, 6, 'Success']"
