Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
8594,5365,9,"[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 5365], 1.00181, 80, 3, 'Success']","[[8594, 855, 6876, 167, 8733, 9416, 2, 5365], 1.00098, 248, 8, 'Success']"
10241,8560,56,"[[10241, 7218, 8399, 9261, 9420, 8560], 0.17098, 304, 6, 'Success']","[[10241, 7218, 8399, 9261, 9420, 8560], 0.17098, 304, 6, 'Success']","[[10241, 7218, 21, 8560], 1.17106, 224, 4, 'Success']","[[10241, 7218, 21, 8560], 1.17106, 224, 4, 'Success']","[[10241, 7218, 21, 8560], 1.17106, 224, 4, 'Success']","[[10241, 7218, 21, 8560], 1.17106, 224, 4, 'Success']","[[10241, 7218, 8301, 137, 12325, 3292, 4777, 7927, 9420, 8560], 0.17081, 448, 10, 'Success']"
5433,363,692,"[[5433, 4822, 2537, 48, 363], 3.15304, 264, 5, 'Success']","[[5433, 4822, 2537, 48, 363], 3.15304, 264, 5, 'Success']","[[5433, 4822, 2537, 48, 363], 3.15304, 264, 5, 'Success']","[[5433, 4822, 4682, 18, 363], 4.11097, 258, 5, 'Failure']","[[5433, 4822, 2537, 48, 363], 3.15304, 264, 5, 'Success']","[[5433, 4822, 2537, 48, 363], 3.15304, 264, 5, 'Success']","[[5433, 4822, 10113, 12325, 48, 363], 3.1461, 298, 6, 'Success']"
12133,363,8293,"[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Success']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']","[[12133, 1608, 223, 363], 3.0248799999999996, 120, 4, 'Failure']"
11497,674,64845,"[[11497, 10, 679, 674], 70.1554, 120, 4, 'Success']","[[11497, 10, 679, 674], 70.1554, 120, 4, 'Success']","[[11497, 18, 11207, 679, 674], 5.37195, 160, 5, 'Failure']","[[11497, 18, 349, 679, 674], 5.69719, 160, 5, 'Failure']","[[11497, 18, 349, 679, 674], 5.69719, 160, 5, 'Failure']","[[11497, 18, 349, 679, 674], 5.69719, 160, 5, 'Failure']","[[11497, 855, 6876, 167, 7042, 679, 674], 5.08528, 230, 7, 'Failure']"
4022,5489,238474,"[[4022, 855, 207, 5489], 126.57195, 114, 4, 'Failure']","[[4022, 32, 612, 5489], 299.94544, 218, 4, 'Failure']","[[4022, 233, 12325, 612, 5489], 34.625569999999996, 142, 5, 'Failure']","[[4022, 233, 506, 612, 5489], 33.45611, 148, 5, 'Failure']","[[4022, 233, 12325, 612, 5489], 34.625569999999996, 142, 5, 'Failure']","[[4022, 233, 12325, 612, 5489], 34.625569999999996, 142, 5, 'Failure']","[[4022, 855, 6876, 167, 796, 612, 5489], 32.76367, 234, 7, 'Failure']"
4117,10170,6,"[[4117, 6562, 6867, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 10551, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 10551, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 10551, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 10551, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 10551, 609, 10170], 2.00068, 160, 5, 'Success']","[[4117, 6562, 8723, 12325, 4438, 609, 10170], 2.00062, 234, 7, 'Success']"
7413,5489,57,"[[7413, 6274, 3281, 73, 6788, 5489], 3.4350699999999996, 304, 6, 'Success']","[[7413, 6274, 2, 612, 5489], 1.1740599999999999, 242, 5, 'Success']","[[7413, 6274, 2, 612, 5489], 1.1740599999999999, 242, 5, 'Success']","[[7413, 6274, 3520, 612, 5489], 1.2174, 264, 5, 'Success']","[[7413, 6274, 2, 612, 5489], 1.1740599999999999, 242, 5, 'Success']","[[7413, 6274, 2, 612, 5489], 1.1740599999999999, 242, 5, 'Success']","[[7413, 6274, 3083, 5965, 612, 5489], 1.1740599999999999, 408, 6, 'Success']"
6750,10505,975,"[[6750, 855, 32, 8653, 10505], 3.9777199999999997, 264, 5, 'Failure']","[[6750, 855, 3781, 1139, 2561, 10505], 2.20107, 200, 6, 'Success']","[[6750, 855, 3781, 1139, 2561, 10505], 2.20107, 200, 6, 'Success']","[[6750, 855, 32, 2561, 10505], 3.9777199999999997, 264, 5, 'Success']","[[6750, 855, 32, 2561, 10505], 3.9777199999999997, 264, 5, 'Success']","[[6750, 855, 32, 2561, 10505], 3.9777199999999997, 264, 5, 'Success']","[[6750, 855, 6876, 167, 3642, 36, 1139, 2561, 10505], 2.00978, 342, 9, 'Success']"
8435,9268,5718,"[[8435, 600, 2223, 1881, 9268], 8.14836, 160, 5, 'Success']","[[8435, 600, 6010, 1559, 1881, 9268], 2.0857900000000003, 200, 6, 'Success']","[[8435, 600, 6010, 1559, 1881, 9268], 2.0857900000000003, 200, 6, 'Success']","[[8435, 600, 2223, 1881, 9268], 8.14836, 160, 5, 'Success']","[[8435, 600, 6010, 1559, 1881, 9268], 2.0857900000000003, 200, 6, 'Success']","[[8435, 600, 6010, 1559, 1881, 9268], 2.0857900000000003, 200, 6, 'Success']","[[8435, 600, 6010, 1559, 12325, 6350, 1881, 9268], 2.03432, 274, 8, 'Success']"
