Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
5146,11895,10,"[[5146, 736, 6309, 1579, 11895], 1.00003, 160, 5, 'Success']","[[5146, 736, 6309, 1579, 11895], 1.00003, 160, 5, 'Success']","[[5146, 736, 6309, 1579, 11895], 1.00003, 160, 5, 'Success']","[[5146, 736, 32, 855, 11895], 2.007, 264, 5, 'Success']","[[5146, 736, 6309, 1579, 11895], 1.00003, 160, 5, 'Success']","[[5146, 736, 6309, 1579, 11895], 1.00003, 160, 5, 'Success']","[[5146, 736, 2225, 167, 12194, 1579, 11895], 1.00004, 230, 7, 'Success']"
2006,1742,24,"[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 2359, 930, 1742], 1.14734, 160, 5, 'Success']","[[2006, 600, 6010, 609, 2359, 930, 1742], 1.07223, 240, 7, 'Success']"
4372,8763,816,"[[4372, 3083, 2, 651, 9516, 9532, 8763], 5.04006, 322, 7, 'Success']","[[4372, 3083, 2, 651, 9516, 9532, 8763], 5.04006, 322, 7, 'Success']","[[4372, 3083, 2, 651, 9516, 9532, 8763], 5.04006, 322, 7, 'Success']","[[4372, 3083, 60, 8763], 20.86212, 224, 4, 'Success']","[[4372, 3083, 2, 651, 9516, 9532, 8763], 5.04006, 322, 7, 'Success']","[[4372, 3083, 2, 651, 9516, 9532, 8763], 5.04006, 322, 7, 'Success']","[[4372, 3083, 5965, 12325, 3292, 6362, 9516, 9532, 8763], 4.4564699999999995, 398, 9, 'Success']"
10709,606,4517,"[[10709, 10294, 4822, 36, 159, 606], 14.77604, 440, 6, 'Success']","[[10709, 10294, 4822, 36, 159, 606], 14.77604, 440, 6, 'Success']","[[10709, 10294, 4822, 36, 159, 606], 14.77604, 440, 6, 'Success']","[[10709, 10294, 3520, 3919, 74, 606], 17.2442, 318, 6, 'Success']","[[10709, 10294, 1875, 36, 159, 606], 15.78358, 336, 6, 'Success']","[[10709, 10294, 1875, 36, 159, 606], 15.78358, 336, 6, 'Success']","[[10709, 10294, 4822, 36, 159, 606], 14.77604, 440, 6, 'Success']"
2748,4971,28253,"[[2748, 2636, 32, 4840, 4971], 46.16669, 264, 5, 'Success']","[[2748, 2636, 32, 4840, 4971], 46.16669, 264, 5, 'Success']","[[2748, 2636, 6020, 609, 4840, 4971], 31.081129999999998, 200, 6, 'Success']","[[2748, 2636, 42, 203, 4840, 4971], 34.44077, 202, 6, 'Success']","[[2748, 2636, 32, 4840, 4971], 46.16669, 264, 5, 'Success']","[[2748, 2636, 32, 4840, 4971], 46.16669, 264, 5, 'Success']","[[2748, 2636, 1984, 10113, 609, 4840, 4971], 31.209419999999998, 234, 7, 'Success']"
11746,2624,196677,"[[11746, 167, 8179, 314, 2624], 0.19868, 254, 5, 'Failure']","[[11746, 167, 796, 612, 2624], 2.59004, 160, 5, 'Success']","[[11746, 10485, 12325, 612, 2624], 1.39336, 148, 5, 'Success']","[[11746, 10485, 12325, 612, 2624], 1.39336, 148, 5, 'Success']","[[11746, 167, 796, 612, 2624], 2.59004, 160, 5, 'Failure']","[[11746, 167, 796, 612, 2624], 2.59004, 160, 5, 'Failure']","[[11746, 167, 796, 612, 2624], 2.59004, 160, 5, 'Failure']"
4687,3743,1465651,"[[4687, 21, 3743], 2.46565, 80, 3, 'Failure']","[[4687, 173, 53, 3743], 82.8608, 98, 4, 'Success']","[[4687, 173, 53, 3743], 82.8608, 98, 4, 'Success']","[[4687, 173, 53, 3743], 82.8608, 98, 4, 'Success']","[[4687, 173, 53, 3743], 82.8608, 98, 4, 'Success']","[[4687, 173, 53, 3743], 82.8608, 98, 4, 'Success']","[[4687, 56, 175, 53, 3743], 82.8608, 116, 5, 'Success']"
982,9779,11636173,"[[982, 31, 32, 9779], 5820.09231, 328, 4, 'Failure']","[[982, 91, 321, 6059, 9779], 11649.32181, 320, 5, 'Failure']","[[982, 91, 321, 6059, 9779], 11649.32181, 320, 5, 'Failure']","[[982, 31, 2, 6059, 9779], 12.63617, 242, 5, 'Failure']","[[982, 91, 321, 6059, 9779], 11649.32181, 320, 5, 'Failure']","[[982, 91, 321, 6059, 9779], 11649.32181, 320, 5, 'Failure']","[[982, 91, 321, 6059, 9779], 11649.32181, 320, 5, 'Failure']"
2127,2704,3,"[[2127, 2081, 2537, 1139, 2704], 0.018119999999999997, 160, 5, 'Success']","[[2127, 2081, 2537, 1139, 2704], 0.018119999999999997, 160, 5, 'Success']","[[2127, 2081, 2537, 1139, 2704], 0.018119999999999997, 160, 5, 'Success']","[[2127, 2081, 547, 1139, 2704], 0.01833, 540, 5, 'Success']","[[2127, 2081, 2537, 1139, 2704], 0.018119999999999997, 160, 5, 'Success']","[[2127, 2081, 2537, 1139, 2704], 0.018119999999999997, 160, 5, 'Success']","[[2127, 2081, 600, 2654, 5199, 6324, 1139, 2704], 0.01804, 280, 8, 'Success']"
6471,838,97,"[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 8411, 801, 838], 1.29207, 154, 5, 'Failure']","[[6471, 18, 570, 1236, 600, 2680, 801, 838], 1.29139, 260, 8, 'Failure']"
