Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
6366,10111,3,"[[6366, 1559, 167, 10111], 1.00003, 110, 4, 'Success']","[[6366, 1559, 167, 10111], 1.00003, 110, 4, 'Success']","[[6366, 1559, 167, 10111], 1.00003, 110, 4, 'Success']","[[6366, 32, 10111], 2.0015, 184, 3, 'Success']","[[6366, 1559, 167, 10111], 1.00003, 110, 4, 'Success']","[[6366, 1559, 167, 10111], 1.00003, 110, 4, 'Success']","[[6366, 1559, 12325, 8167, 10111], 1.0, 154, 5, 'Success']"
1115,2387,50,"[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 267, 2387], 2.005, 120, 4, 'Success']","[[1115, 21, 12634, 6764, 3297, 9510, 167, 10485, 5979, 2387], 2.00125, 338, 10, 'Success']"
4246,13020,100,"[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']","[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']","[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']","[[4246, 3083, 392, 59, 13020], 3.66369, 264, 5, 'Success']","[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']","[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']","[[4246, 3083, 5965, 167, 12099, 13020], 2.3122299999999996, 288, 6, 'Success']"
8357,3462,7102,"[[8357, 3838, 4289, 12325, 3462], 2.0223000000000004, 148, 5, 'Success']","[[8357, 3838, 11491, 12325, 3462], 2.0355100000000004, 154, 5, 'Success']","[[8357, 3838, 4289, 12325, 3462], 2.0223000000000004, 148, 5, 'Success']","[[8357, 3838, 4289, 12325, 3462], 2.0223000000000004, 148, 5, 'Success']","[[8357, 3838, 11491, 12325, 3462], 2.0355100000000004, 154, 5, 'Success']","[[8357, 3838, 11491, 12325, 3462], 2.0355100000000004, 154, 5, 'Success']","[[8357, 3838, 3782, 1579, 3596, 12325, 3462], 1.0284000000000002, 212, 7, 'Success']"
11796,111,28588,"[[11796, 314, 182, 111], 2.0591799999999996, 224, 4, 'Success']","[[11796, 11790, 18, 111], 3.6289599999999997, 224, 4, 'Success']","[[11796, 11790, 84, 111], 4.10035, 100, 4, 'Success']","[[11796, 11790, 18, 111], 3.6289599999999997, 224, 4, 'Success']","[[11796, 314, 182, 111], 2.0591799999999996, 224, 4, 'Success']","[[11796, 314, 182, 111], 2.0591799999999996, 224, 4, 'Success']","[[11796, 314, 11837, 167, 111], 1.0591799999999998, 232, 5, 'Success']"
521,2999,462649,"[[521, 18, 985, 2999], 29.684299999999997, 120, 4, 'Success']","[[521, 48, 398, 2999], 48.1904, 224, 4, 'Failure']","[[521, 18, 11837, 167, 2999], 2.38795, 128, 5, 'Success']","[[521, 18, 3642, 167, 2999], 2.38795, 150, 5, 'Success']","[[521, 48, 398, 2999], 48.1904, 224, 4, 'Failure']","[[521, 48, 398, 2999], 48.1904, 224, 4, 'Failure']","[[521, 233, 6876, 167, 2999], 4.16385, 144, 5, 'Success']"
4745,9577,2067219,"[[4745, 855, 9576, 9577], 620.70704, 120, 4, 'Failure']","[[4745, 175, 293, 11886, 9577], 2354.30241, 160, 5, 'Failure']","[[4745, 175, 50, 6980, 6764, 5984, 11886, 9577], 788.3198299999999, 252, 8, 'Failure']","[[4745, 855, 6876, 167, 8152, 9577], 224.76144, 190, 6, 'Failure']","[[4745, 175, 293, 11886, 9577], 2354.30241, 160, 5, 'Failure']","[[4745, 175, 293, 11886, 9577], 2354.30241, 160, 5, 'Failure']","[[4745, 175, 60, 321, 855, 11886, 9577], 1154.34789, 218, 7, 'Success']"
3537,445,52875634,"[[3537, 321, 445], 52930.56351, 80, 3, 'Success']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']","[[3537, 321, 445], 52930.56351, 80, 3, 'Failure']"
12237,3913,7,"[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 3913], 1.0014100000000001, 80, 3, 'Success']","[[12237, 855, 6876, 167, 29, 3913], 1.00008, 200, 6, 'Success']"
7944,6848,61,"[[7944, 1228, 1219, 314, 6848], 2.02154, 264, 5, 'Success']","[[7944, 1228, 1219, 314, 6848], 2.02154, 264, 5, 'Success']","[[7944, 1228, 1219, 855, 6848], 2.03162, 160, 5, 'Success']","[[7944, 1228, 1219, 314, 6848], 2.02154, 264, 5, 'Success']","[[7944, 1228, 1219, 314, 6848], 2.02154, 264, 5, 'Success']","[[7944, 1228, 1219, 314, 6848], 2.02154, 264, 5, 'Success']","[[7944, 1228, 609, 19, 215, 137, 12325, 167, 11654, 308, 11837, 314, 6848], 2.00242, 512, 13, 'Success']"
12517,2255,586,"[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 2255], 1.11779, 80, 3, 'Success']","[[12517, 855, 6876, 167, 8167, 2255], 1.0047000000000001, 190, 6, 'Success']"
2348,1882,7146,"[[2348, 42, 48, 11840, 1882], 1.49212, 162, 5, 'Success']","[[2348, 10192, 9488, 18, 1882], 3.2295, 160, 5, 'Success']","[[2348, 42, 48, 11840, 1882], 1.49212, 162, 5, 'Success']","[[2348, 10192, 9488, 18, 1882], 3.2295, 160, 5, 'Success']","[[2348, 42, 48, 11840, 1882], 1.49212, 162, 5, 'Success']","[[2348, 42, 48, 11840, 1882], 1.49212, 162, 5, 'Success']","[[2348, 10192, 6557, 12325, 167, 11840, 1882], 1.0790899999999999, 224, 7, 'Success']"
3535,10146,93520,"[[3535, 32, 167, 10146], 48.85362, 214, 4, 'Failure']","[[3535, 32, 2877, 10146], 49.854119999999995, 224, 4, 'Failure']","[[3535, 126, 4792, 167, 10146], 2.2805600000000004, 150, 5, 'Failure']","[[3535, 126, 4792, 167, 10146], 2.2805600000000004, 150, 5, 'Success']","[[3535, 32, 2877, 10146], 49.854119999999995, 224, 4, 'Failure']","[[3535, 32, 2877, 10146], 49.854119999999995, 224, 4, 'Failure']","[[3535, 126, 4792, 167, 137, 2877, 10146], 3.37408, 240, 7, 'Success']"
5992,9594,329814,"[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 18, 9594], 10.90501, 120, 4, 'Failure']","[[5992, 5975, 3642, 167, 9594], 10.90501, 160, 5, 'Failure']"
2176,464,6630070,"[[2176, 2177, 321, 464], 679.2684699999999, 224, 4, 'Failure']","[[2176, 2177, 321, 464], 679.2684699999999, 224, 4, 'Failure']","[[2176, 2177, 321, 3292, 233, 464], 45.540440000000004, 174, 6, 'Failure']","[[2176, 2177, 321, 137, 2877, 464], 30.520329999999998, 210, 6, 'Failure']","[[2176, 2177, 321, 464], 679.2684699999999, 224, 4, 'Failure']","[[2176, 2177, 321, 464], 679.2684699999999, 224, 4, 'Failure']","[[2176, 2177, 321, 175, 2877, 464], 397.42569000000003, 200, 6, 'Failure']"
12512,91,12570546,"[[12512, 698, 2, 91], 12585.12912, 98, 4, 'Failure']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']","[[12512, 698, 445, 91], 12598.71325, 120, 4, 'Success']"
3139,11571,4,"[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 29, 11571], 1.00081, 120, 4, 'Success']","[[3139, 855, 6876, 167, 29, 11571], 1.00003, 200, 6, 'Success']"
4161,2311,15,"[[4161, 3083, 2537, 48, 2311], 1.04667, 264, 5, 'Success']","[[4161, 3083, 2537, 48, 2311], 1.04667, 264, 5, 'Success']","[[4161, 3083, 2537, 48, 2311], 1.04667, 264, 5, 'Success']","[[4161, 3083, 162, 32, 2311], 2.0555399999999997, 368, 5, 'Success']","[[4161, 3083, 2537, 48, 2311], 1.04667, 264, 5, 'Success']","[[4161, 3083, 2537, 48, 2311], 1.04667, 264, 5, 'Success']","[[4161, 3083, 5965, 6722, 48, 2311], 1.04652, 304, 6, 'Success']"
3465,11898,948,"[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 32, 11898], 1.56705, 184, 3, 'Success']","[[3465, 314, 11837, 11654, 233, 11898], 0.21721000000000001, 276, 6, 'Success']"
1500,3647,6586,"[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 124, 3647], 2.52137, 120, 4, 'Failure']","[[1500, 1236, 600, 6010, 1559, 12325, 6755, 3647], 0.06928, 274, 8, 'Failure']"
1915,8481,40245,"[[1915, 32, 6562, 8481], 23.16329, 224, 4, 'Failure']","[[1915, 32, 6562, 8481], 23.16329, 224, 4, 'Failure']","[[1915, 607, 18, 6755, 8481], 5.09375, 160, 5, 'Success']","[[1915, 607, 18, 6980, 8481], 5.0927500000000006, 160, 5, 'Success']","[[1915, 607, 18, 6755, 8481], 5.09375, 160, 5, 'Success']","[[1915, 607, 18, 6755, 8481], 5.09375, 160, 5, 'Success']","[[1915, 607, 938, 2938, 12325, 3974, 6562, 8481], 3.90493, 274, 8, 'Success']"
10520,3453,160266,"[[10520, 8524, 18, 3453], 95.32715999999999, 120, 4, 'Failure']","[[10520, 311, 91, 3453], 217.91938, 280, 4, 'Success']","[[10520, 311, 321, 11837, 167, 3453], 58.41811, 168, 6, 'Failure']","[[10520, 311, 855, 6876, 167, 3453], 58.219370000000005, 190, 6, 'Success']","[[10520, 311, 57, 167, 3453], 68.32594, 150, 5, 'Failure']","[[10520, 311, 57, 167, 3453], 68.32594, 150, 5, 'Failure']","[[10520, 311, 321, 3642, 167, 3453], 58.41811, 190, 6, 'Failure']"
113,8508,1495537,"[[113, 182, 2124, 8508], 118.15657999999999, 120, 4, 'Failure']","[[113, 32, 2124, 8508], 862.9911099999999, 328, 4, 'Success']","[[113, 32, 445, 3292, 8508], 764.23633, 348, 5, 'Failure']","[[113, 182, 11837, 167, 8508], 6.48662, 128, 5, 'Failure']","[[113, 32, 2124, 8508], 862.9911099999999, 328, 4, 'Success']","[[113, 32, 2124, 8508], 862.9911099999999, 328, 4, 'Success']","[[113, 32, 2124, 8508], 862.9911099999999, 328, 4, 'Success']"
1889,208,12099710,"[[1889, 148, 40, 208], 2941.55894, 110, 4, 'Failure']","[[1889, 969, 1983, 12634, 208], 4538.39207, 160, 5, 'Failure']","[[1889, 969, 1983, 12634, 208], 4538.39207, 160, 5, 'Failure']","[[1889, 2053, 18, 445, 12634, 208], 2580.77082, 200, 6, 'Failure']","[[1889, 969, 1983, 12634, 208], 4538.39207, 160, 5, 'Failure']","[[1889, 969, 1983, 12634, 208], 4538.39207, 160, 5, 'Failure']","[[1889, 969, 1983, 12634, 208], 4538.39207, 160, 5, 'Failure']"
10405,10764,6,"[[10405, 10294, 124, 855, 10764], 0.02059, 264, 5, 'Success']","[[10405, 10294, 124, 855, 10764], 0.02059, 264, 5, 'Success']","[[10405, 10294, 124, 855, 10764], 0.02059, 264, 5, 'Success']","[[10405, 10294, 3520, 855, 10764], 0.021230000000000002, 264, 5, 'Success']","[[10405, 10294, 124, 855, 10764], 0.02059, 264, 5, 'Success']","[[10405, 10294, 124, 855, 10764], 0.02059, 264, 5, 'Success']","[[10405, 10294, 7218, 8301, 137, 12325, 10632, 10764], 0.018, 492, 8, 'Success']"
6805,3847,52,"[[6805, 600, 3642, 3847], 0.22382, 120, 4, 'Success']","[[6805, 600, 6010, 855, 3847], 0.06257, 160, 5, 'Success']","[[6805, 600, 3642, 3847], 0.22382, 120, 4, 'Success']","[[6805, 600, 3642, 3847], 0.22382, 120, 4, 'Success']","[[6805, 600, 3642, 3847], 0.22382, 120, 4, 'Success']","[[6805, 600, 3642, 3847], 0.22382, 120, 4, 'Success']","[[6805, 600, 6010, 855, 3847], 0.06257, 160, 5, 'Success']"
12171,6335,140,"[[12171, 59, 167, 5965, 6335], 3.25798, 150, 5, 'Success']","[[12171, 59, 167, 11654, 6335], 3.25798, 150, 5, 'Success']","[[12171, 59, 2366, 6335], 3.9578800000000003, 120, 4, 'Success']","[[12171, 59, 2366, 6335], 3.9578800000000003, 120, 4, 'Success']","[[12171, 59, 2366, 6335], 3.9578800000000003, 120, 4, 'Success']","[[12171, 59, 2366, 6335], 3.9578800000000003, 120, 4, 'Success']","[[12171, 59, 173, 3292, 6335], 3.25784, 118, 5, 'Success']"
10827,2840,3898,"[[10827, 3083, 21, 2840], 12.70091, 224, 4, 'Success']","[[10827, 3083, 21, 2840], 12.70091, 224, 4, 'Success']","[[10827, 3083, 3065, 2840], 12.90421, 224, 4, 'Success']","[[10827, 3083, 3065, 2840], 12.90421, 224, 4, 'Success']","[[10827, 3083, 21, 2840], 12.70091, 224, 4, 'Success']","[[10827, 3083, 21, 2840], 12.70091, 224, 4, 'Success']","[[10827, 3083, 5965, 167, 12194, 1579, 2840], 11.705739999999999, 334, 7, 'Success']"
6825,1369,72665,"[[6825, 612, 10801, 1369], 2.14533, 120, 4, 'Success']","[[6825, 612, 3622, 1369], 2.50866, 120, 4, 'Success']","[[6825, 612, 233, 1369], 2.58133, 114, 4, 'Success']","[[6825, 612, 3622, 1369], 2.50866, 120, 4, 'Success']","[[6825, 612, 3622, 1369], 2.50866, 120, 4, 'Success']","[[6825, 612, 3622, 1369], 2.50866, 120, 4, 'Success']","[[6825, 612, 3622, 1369], 2.50866, 120, 4, 'Success']"
6210,8359,551746,"[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']","[[6210, 855, 131, 8359], 142.04077999999998, 120, 4, 'Success']"
2003,6676,2400764,"[[2003, 177, 293, 6676], 545.3719799999999, 120, 4, 'Failure']","[[2003, 177, 293, 6676], 545.3719799999999, 120, 4, 'Failure']","[[2003, 177, 71, 293, 6676], 142.49471000000003, 138, 5, 'Failure']","[[2003, 600, 6057, 167, 293, 6676], 20.20617, 200, 6, 'Failure']","[[2003, 177, 293, 6676], 545.3719799999999, 120, 4, 'Failure']","[[2003, 177, 293, 6676], 545.3719799999999, 120, 4, 'Failure']","[[2003, 177, 71, 293, 6676], 142.49471000000003, 138, 5, 'Failure']"
12868,796,50233346,"[[12868, 3412, 167, 796], 2616.1390699999997, 120, 4, 'Failure']","[[12868, 12315, 32, 796], 75377.16175999999, 328, 4, 'Failure']","[[12868, 12315, 321, 2359, 796], 50588.33361, 264, 5, 'Success']","[[12868, 3412, 459, 167, 796], 203.9337, 160, 5, 'Failure']","[[12868, 12315, 32, 796], 75377.16175999999, 328, 4, 'Success']","[[12868, 12315, 32, 796], 75377.16175999999, 328, 4, 'Success']","[[12868, 12315, 321, 175, 177, 796], 53103.76886, 282, 6, 'Failure']"
