Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
3884,4292,50,"[[3884, 21, 8705, 4292], 2.0001500000000005, 120, 4, 'Success']","[[3884, 21, 8705, 4292], 2.0001500000000005, 120, 4, 'Success']","[[3884, 21, 24, 609, 4292], 2.0002000000000004, 258, 5, 'Success']","[[3884, 21, 8705, 4292], 2.0001500000000005, 120, 4, 'Success']","[[3884, 21, 8705, 4292], 2.0001500000000005, 120, 4, 'Success']","[[3884, 21, 9515, 609, 4292], 2.0001500000000005, 160, 5, 'Success']"
1298,9301,29,"[[1298, 609, 9301], 0.0058, 80, 3, 'Success']","[[1298, 609, 9301], 0.0058, 80, 3, 'Success']","[[1298, 609, 9301], 0.0058, 80, 3, 'Success']","[[1298, 609, 9301], 0.0058, 80, 3, 'Success']","[[1298, 609, 9301], 0.0058, 80, 3, 'Success']","[[1298, 609, 9301], 0.0058, 80, 3, 'Success']"
5550,1803,4,"[[5550, 21, 1803], 2.0, 80, 3, 'Success']","[[5550, 21, 1803], 2.0, 80, 3, 'Success']","[[5550, 32, 1803], 2.0020100000000003, 184, 3, 'Success']","[[5550, 21, 1803], 2.0, 80, 3, 'Success']","[[5550, 21, 1803], 2.0, 80, 3, 'Success']","[[5550, 21, 1803], 2.0, 80, 3, 'Success']"
683,2940,3,"[[683, 21, 2916, 452, 2940], 2.00151, 160, 5, 'Success']","[[683, 21, 2916, 452, 2940], 2.00151, 160, 5, 'Success']","[[683, 21, 26, 452, 2940], 2.00191, 154, 5, 'Success']","[[683, 21, 2916, 452, 2940], 2.00151, 160, 5, 'Success']","[[683, 21, 2916, 452, 2940], 2.00151, 160, 5, 'Success']","[[683, 686, 1782, 4734, 12325, 1559, 2752, 2940], 0.54224, 274, 8, 'Success']"
12051,7188,203,"[[12051, 167, 9600, 4302, 7188], 1.02576, 144, 5, 'Success']","[[12051, 167, 9600, 4302, 7188], 1.02576, 144, 5, 'Success']","[[12051, 167, 9600, 4302, 7188], 1.02576, 144, 5, 'Success']","[[12051, 167, 9600, 4302, 7188], 1.02576, 144, 5, 'Success']","[[12051, 167, 9600, 4302, 7188], 1.02576, 144, 5, 'Success']","[[12051, 167, 6722, 12325, 3093, 12157, 4302, 7188], 1.0207, 274, 8, 'Success']"
643,7188,469,"[[643, 2, 2910, 4302, 7188], 1.1411799999999999, 138, 5, 'Success']","[[643, 2, 2910, 4302, 7188], 1.1411799999999999, 138, 5, 'Success']","[[643, 2, 6935, 6724, 3742, 4302, 7188], 1.22141, 200, 7, 'Success']","[[643, 2, 2910, 4302, 7188], 1.1411799999999999, 138, 5, 'Success']","[[643, 2, 2910, 4302, 7188], 1.1411799999999999, 138, 5, 'Success']","[[643, 2, 3781, 609, 19, 215, 137, 12325, 3093, 12157, 4302, 7188], 1.04972, 400, 12, 'Success']"
1461,9921,127007,"[[1461, 175, 8688, 9921], 49.37571, 120, 4, 'Failure']","[[1461, 175, 8688, 9921], 49.37571, 120, 4, 'Failure']","[[1461, 5949, 11178, 9791, 9921], 6.175210000000001, 160, 5, 'Failure']","[[1461, 175, 18, 2022, 9921], 37.89237, 160, 5, 'Success']","[[1461, 175, 18, 2022, 9921], 37.89237, 160, 5, 'Failure']","[[1461, 175, 18, 2022, 9921], 37.89237, 160, 5, 'Failure']"
1106,1883,239,"[[1106, 18, 1883], 2.00048, 80, 3, 'Success']","[[1106, 18, 1883], 2.00048, 80, 3, 'Success']","[[1106, 18, 1883], 2.00048, 80, 3, 'Success']","[[1106, 18, 1883], 2.00048, 80, 3, 'Success']","[[1106, 18, 1883], 2.00048, 80, 3, 'Success']","[[1106, 2, 3781, 609, 1883], 1.0012, 138, 5, 'Success']"
650,3714,1682,"[[650, 149, 855, 3714], 1.34076, 224, 4, 'Success']","[[650, 149, 855, 3714], 1.34076, 224, 4, 'Success']","[[650, 26, 4289, 254, 3714], 1.0918199999999998, 148, 5, 'Success']","[[650, 149, 855, 3714], 1.34076, 224, 4, 'Success']","[[650, 149, 855, 3714], 1.34076, 224, 4, 'Failure']","[[650, 149, 11578, 609, 3714], 1.00772, 254, 5, 'Success']"
1238,453,180488,"[[1238, 21, 453], 2.36098, 80, 3, 'Failure']","[[1238, 21, 453], 2.36098, 80, 3, 'Failure']","[[1238, 21, 453], 2.36098, 80, 3, 'Failure']","[[1238, 21, 453], 2.36098, 80, 3, 'Failure']","[[1238, 21, 453], 2.36098, 80, 3, 'Failure']","[[1238, 21, 453], 2.36098, 80, 3, 'Failure']"
