Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
646,2106,36433,"[[646, 634, 547, 2081, 2106], 152.60945999999998, 540, 5, 'Failure']","[[646, 634, 1875, 2081, 2106], 152.91546, 160, 5, 'Failure']","[[646, 634, 233, 600, 2081, 2106], 151.95103, 298, 6, 'Failure']","[[646, 634, 547, 2081, 2106], 152.60945999999998, 540, 5, 'Failure']","[[646, 634, 547, 2081, 2106], 152.60945999999998, 540, 5, 'Failure']","[[646, 634, 215, 600, 2081, 2106], 151.91446, 304, 6, 'Failure']"
11177,3285,4875,"[[11177, 48, 3292, 3285], 0.51188, 100, 4, 'Success']","[[11177, 48, 3292, 3285], 0.51188, 100, 4, 'Success']","[[11177, 48, 3086, 3133, 3285], 0.67278, 148, 5, 'Success']","[[11177, 48, 3292, 3285], 0.51188, 100, 4, 'Success']","[[11177, 48, 3292, 3285], 0.51188, 100, 4, 'Success']","[[11177, 18, 6722, 12325, 3292, 3285], 1.02926, 174, 6, 'Success']"
473,11354,2188,"[[473, 392, 62, 11354], 20.087000000000003, 120, 4, 'Success']","[[473, 392, 62, 11354], 20.087000000000003, 120, 4, 'Success']","[[473, 149, 233, 12325, 62, 11354], 20.01228, 292, 6, 'Success']","[[473, 392, 62, 11354], 20.087000000000003, 120, 4, 'Success']","[[473, 392, 62, 11354], 20.087000000000003, 120, 4, 'Success']","[[473, 149, 177, 62, 11354], 19.968140000000002, 242, 5, 'Success']"
3304,2547,9299,"[[3304, 18, 5967, 423, 2547], 3.11159, 154, 5, 'Success']","[[3304, 18, 5967, 423, 2547], 3.11159, 154, 5, 'Success']","[[3304, 364, 10801, 423, 2547], 3.4508, 154, 5, 'Success']","[[3304, 18, 5967, 423, 2547], 3.11159, 154, 5, 'Success']","[[3304, 18, 5967, 423, 2547], 3.11159, 154, 5, 'Success']","[[3304, 2, 3781, 609, 19, 215, 137, 12325, 3974, 3352, 423, 2547], 2.28829, 394, 12, 'Success']"
8668,12358,93,"[[8668, 739, 855, 6958, 3468, 12358], 3.0236899999999993, 200, 6, 'Success']","[[8668, 739, 855, 6958, 3468, 12358], 3.0236899999999993, 200, 6, 'Success']","[[8668, 8202, 233, 4792, 6119, 3468, 12358], 3.08791, 234, 7, 'Success']","[[8668, 739, 855, 6958, 3468, 12358], 3.0236899999999993, 200, 6, 'Success']","[[8668, 739, 855, 6958, 3468, 12358], 3.0236899999999993, 200, 6, 'Success']","[[8668, 8202, 6780, 2757, 1139, 6324, 5199, 2654, 2802, 6958, 3468, 12358], 2.0052499999999998, 450, 12, 'Success']"
9686,12483,44005,"[[9686, 63, 12483], 38.406240000000004, 80, 3, 'Failure']","[[9686, 63, 12483], 38.406240000000004, 80, 3, 'Failure']","[[9686, 6906, 3414, 149, 233, 1369, 12483], 3.4410700000000003, 338, 7, 'Failure']","[[9686, 63, 12483], 38.406240000000004, 80, 3, 'Failure']","[[9686, 63, 12483], 38.406240000000004, 80, 3, 'Failure']","[[9686, 63, 177, 61, 620, 12483], 6.7583400000000005, 156, 6, 'Failure']"
5550,1569,111,"[[5550, 21, 1569], 2.00022, 80, 3, 'Success']","[[5550, 21, 1569], 2.00022, 80, 3, 'Success']","[[5550, 21, 1569], 2.00022, 80, 3, 'Success']","[[5550, 21, 1569], 2.00022, 80, 3, 'Success']","[[5550, 21, 1569], 2.00022, 80, 3, 'Success']","[[5550, 21, 1569], 2.00022, 80, 3, 'Success']"
3630,8220,2,"[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']","[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']","[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']","[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']","[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']","[[3630, 609, 196, 8220], 1.003, 120, 4, 'Success']"
799,4419,34,"[[799, 609, 4419], 6e-05, 80, 3, 'Success']","[[799, 609, 4419], 6e-05, 80, 3, 'Success']","[[799, 609, 4419], 6e-05, 80, 3, 'Success']","[[799, 609, 4419], 6e-05, 80, 3, 'Success']","[[799, 609, 4419], 6e-05, 80, 3, 'Success']","[[799, 609, 4419], 6e-05, 80, 3, 'Success']"
1468,4947,1061,"[[1468, 320, 2706, 4822, 4947], 2.00212, 264, 5, 'Success']","[[1468, 320, 2706, 4822, 4947], 2.00212, 264, 5, 'Success']","[[1468, 320, 194, 4822, 4947], 2.10822, 264, 5, 'Success']","[[1468, 320, 2706, 4822, 4947], 2.00212, 264, 5, 'Success']","[[1468, 320, 2706, 4822, 4947], 2.00212, 264, 5, 'Success']","[[1468, 320, 2706, 4822, 4947], 2.00212, 264, 5, 'Success']"
6268,9955,27,"[[6268, 11527, 855, 9955], 2.01234, 120, 4, 'Success']","[[6268, 11527, 855, 9955], 2.01234, 120, 4, 'Success']","[[6268, 11527, 855, 9955], 2.01234, 120, 4, 'Success']","[[6268, 11527, 855, 9955], 2.01234, 120, 4, 'Success']","[[6268, 11527, 855, 9955], 2.01234, 120, 4, 'Success']","[[6268, 11527, 91, 2047, 167, 6722, 12325, 855, 9955], 1.6353, 474, 9, 'Success']"
12522,9238,4527,"[[12522, 2923, 2223, 8768, 9238], 8.04168, 264, 5, 'Success']","[[12522, 2923, 2223, 8768, 9238], 8.04168, 264, 5, 'Failure']","[[12522, 6983, 58, 10113, 8768, 9238], 1.85563, 298, 6, 'Failure']","[[12522, 6983, 167, 2223, 8768, 9238], 1.05433, 294, 6, 'Failure']","[[12522, 6983, 167, 2223, 8768, 9238], 1.05433, 294, 6, 'Failure']","[[12522, 6983, 167, 2223, 8768, 9238], 1.05433, 294, 6, 'Failure']"
