Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9512,2584,8,"[[9512, 8688, 167, 2584], 1.00173, 120, 4, 'Success']","[[9512, 8688, 167, 2584], 1.00173, 120, 4, 'Success']","[[9512, 8688, 894, 2584], 1.00285, 114, 4, 'Success']","[[9512, 8688, 167, 2584], 1.00173, 120, 4, 'Success']","[[9512, 8688, 167, 2584], 1.00173, 120, 4, 'Success']","[[9512, 8688, 5043, 3221, 3892, 167, 2584], 1.00008, 240, 7, 'Success']"
3283,6274,9,"[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']","[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']","[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']","[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']","[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']","[[3283, 3083, 6274], 1.00001, 184, 3, 'Success']"
1041,177,17197,"[[1041, 55, 177], 1.7025, 58, 3, 'Failure']","[[1041, 55, 177], 1.7025, 58, 3, 'Failure']","[[1041, 55, 177], 1.7025, 58, 3, 'Failure']","[[1041, 50, 177], 1.7025, 58, 3, 'Success']","[[1041, 50, 177], 1.7025, 58, 3, 'Success']","[[1041, 2, 3781, 609, 19, 62, 177], 1.7712999999999999, 174, 7, 'Success']"
7971,207,951,"[[7971, 6622, 855, 207], 0.63631, 120, 4, 'Success']","[[7971, 6622, 855, 207], 0.63631, 120, 4, 'Success']","[[7971, 463, 194, 207], 0.76001, 120, 4, 'Failure']","[[7971, 6622, 855, 207], 0.63631, 120, 4, 'Success']","[[7971, 6622, 855, 207], 0.63631, 120, 4, 'Success']","[[7971, 4744, 4869, 6911, 9281, 609, 19, 215, 137, 12325, 207], 0.08463999999999999, 382, 11, 'Success']"
12108,32,73,"[[12108, 609, 2425, 32], 1.00014, 120, 4, 'Success']","[[12108, 609, 2425, 32], 1.00014, 120, 4, 'Success']","[[12108, 609, 1104, 32], 1.00912, 114, 4, 'Success']","[[12108, 609, 3549, 32], 1.00014, 120, 4, 'Success']","[[12108, 609, 3549, 32], 1.00014, 120, 4, 'Success']","[[12108, 609, 19, 215, 32], 1.00021, 138, 5, 'Success']"
10774,12315,843,"[[10774, 855, 12315], 1.25292, 80, 3, 'Success']","[[10774, 855, 12315], 1.25292, 80, 3, 'Success']","[[10774, 855, 12315], 1.25292, 80, 3, 'Success']","[[10774, 855, 12315], 1.25292, 80, 3, 'Success']","[[10774, 855, 12315], 1.25292, 80, 3, 'Success']","[[10774, 855, 6876, 167, 5965, 12315], 1.0902, 190, 6, 'Success']"
11187,1983,3,"[[11187, 795, 4343, 1983], 1.0015, 224, 4, 'Success']","[[11187, 795, 4343, 1983], 1.0015, 224, 4, 'Success']","[[11187, 795, 4343, 1983], 1.0015, 224, 4, 'Success']","[[11187, 795, 4343, 1983], 1.0015, 224, 4, 'Success']","[[11187, 795, 4343, 1983], 1.0015, 224, 4, 'Success']","[[11187, 11323, 12054, 7035, 4789, 12768, 10113, 1983], 0.00023, 270, 8, 'Success']"
8118,91,192,"[[8118, 609, 254, 91], 1.00844, 120, 4, 'Success']","[[8118, 609, 254, 91], 1.00844, 120, 4, 'Success']","[[8118, 18, 137, 91], 2.00038, 234, 4, 'Success']","[[8118, 609, 254, 91], 1.00844, 120, 4, 'Success']","[[8118, 609, 254, 91], 1.00844, 120, 4, 'Success']","[[8118, 609, 19, 215, 91], 1.00057, 138, 5, 'Success']"
9861,148,16,"[[9861, 48, 148], 0.0016200000000000001, 80, 3, 'Success']","[[9861, 48, 148], 0.0016200000000000001, 80, 3, 'Success']","[[9861, 48, 148], 0.0016200000000000001, 80, 3, 'Success']","[[9861, 48, 148], 0.0016200000000000001, 80, 3, 'Success']","[[9861, 48, 148], 0.0016200000000000001, 80, 3, 'Success']","[[9861, 167, 10541, 148], 4e-05, 120, 4, 'Success']"
669,3083,23,"[[669, 3083], 0.00023, 144, 2, 'Success']","[[669, 3083], 0.00023, 144, 2, 'Success']","[[669, 3083], 0.00023, 144, 2, 'Success']","[[669, 3083], 0.00023, 144, 2, 'Success']","[[669, 3083], 0.00023, 144, 2, 'Success']","[[669, 3083], 0.00023, 144, 2, 'Success']"
