Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
58,9574,552904,"[[58, 18, 9574], 72.94408999999999, 74, 3, 'Success']","[[58, 18, 9574], 72.94408999999999, 74, 3, 'Success']","[[58, 10632, 18, 9574], 7.73686, 114, 4, 'Failure']","[[58, 18, 9574], 72.94408999999999, 74, 3, 'Success']","[[58, 18, 9574], 72.94408999999999, 74, 3, 'Success']","[[58, 8160, 18, 9574], 8.24078, 114, 4, 'Success']"
2764,9791,480195,"[[2764, 6848, 855, 9791], 266.62131999999997, 120, 4, 'Success']","[[2764, 6848, 855, 9791], 266.62131999999997, 120, 4, 'Success']","[[2764, 1609, 6953, 12325, 6035, 3221, 9791], 4.4406, 228, 7, 'Failure']","[[2764, 6848, 855, 9791], 266.62131999999997, 120, 4, 'Failure']","[[2764, 6848, 855, 9791], 266.62131999999997, 120, 4, 'Failure']","[[2764, 6848, 174, 175, 78, 11178, 9791], 137.75278, 196, 7, 'Failure']"
2639,11752,173842,"[[2639, 32, 11752], 88.92108999999999, 184, 3, 'Failure']","[[2639, 32, 11752], 88.92108999999999, 184, 3, 'Failure']","[[2639, 12325, 5899, 6830, 314, 11752], 1.8633600000000001, 402, 6, 'Failure']","[[2639, 32, 11752], 88.92108999999999, 184, 3, 'Failure']","[[2639, 32, 11752], 88.92108999999999, 184, 3, 'Failure']","[[2639, 12325, 6722, 167, 8152, 9577, 11752], 3.69536, 224, 7, 'Failure']"
1572,2223,684606,"[[1572, 1369, 2223], 146.45201, 80, 3, 'Failure']","[[1572, 1369, 2223], 146.45201, 80, 3, 'Failure']","[[1572, 1369, 10113, 314, 2223], 3.37122, 264, 5, 'Failure']","[[1572, 1369, 2223], 146.45201, 80, 3, 'Failure']","[[1572, 1369, 2223], 146.45201, 80, 3, 'Failure']","[[1572, 1393, 4848, 131, 2223], 38.28427, 160, 5, 'Success']"
11300,6683,574251,"[[11300, 855, 5919, 6683], 229.72912, 120, 4, 'Failure']","[[11300, 855, 5919, 6683], 229.72912, 120, 4, 'Failure']","[[11300, 251, 623, 11837, 149, 5919, 6683], 117.00578, 322, 7, 'Failure']","[[11300, 855, 5919, 6683], 229.72912, 120, 4, 'Failure']","[[11300, 855, 5919, 6683], 229.72912, 120, 4, 'Failure']","[[11300, 173, 175, 67, 445, 1659, 149, 5919, 6683], 150.84624, 380, 9, 'Failure']"
5782,176,1061991,"[[5782, 6214, 167, 88, 176], 104.20378, 150, 5, 'Failure']","[[5782, 10, 139, 176], 2678.79491, 90, 4, 'Failure']","[[5782, 10, 17, 360, 333, 176], 27.12591, 194, 6, 'Failure']","[[5782, 9634, 167, 1832, 333, 176], 111.87301, 178, 6, 'Failure']","[[5782, 9634, 167, 1832, 333, 176], 111.87301, 178, 6, 'Failure']","[[5782, 9634, 167, 1832, 333, 176], 111.87301, 178, 6, 'Failure']"
6962,5308,678092,"[[6962, 321, 351, 5308], 70.48736000000001, 218, 4, 'Failure']","[[6962, 321, 351, 5308], 70.48736000000001, 218, 4, 'Failure']","[[6962, 321, 6228, 351, 5308], 3.35618, 154, 5, 'Failure']","[[6962, 321, 351, 5308], 70.48736000000001, 218, 4, 'Failure']","[[6962, 321, 351, 5308], 70.48736000000001, 218, 4, 'Failure']","[[6962, 321, 3642, 167, 351, 5308], 4.03427, 184, 6, 'Failure']"
336,11468,10568,"[[336, 84, 12325, 11468], 2.02114, 114, 4, 'Success']","[[336, 84, 12325, 11468], 2.02114, 114, 4, 'Success']","[[336, 21, 26, 12325, 11468], 2.12682, 148, 5, 'Success']","[[336, 84, 12325, 11468], 2.02114, 114, 4, 'Success']","[[336, 84, 12325, 11468], 2.02114, 114, 4, 'Success']","[[336, 84, 10113, 12325, 11468], 2.02114, 154, 5, 'Success']"
3906,2611,75411,"[[3906, 2584, 18, 2611], 38.89618, 120, 4, 'Success']","[[3906, 2584, 18, 2611], 38.89618, 120, 4, 'Failure']","[[3906, 2584, 489, 18, 2611], 4.206589999999999, 160, 5, 'Success']","[[3906, 2584, 18, 2611], 38.89618, 120, 4, 'Failure']","[[3906, 2584, 18, 2611], 38.89618, 120, 4, 'Failure']","[[3906, 2584, 167, 4480, 2611], 5.5443500000000006, 150, 5, 'Success']"
6740,1064,352695,"[[6740, 5660, 48, 1064], 112.10659000000001, 120, 4, 'Failure']","[[6740, 5660, 48, 1064], 112.10659000000001, 120, 4, 'Failure']","[[6740, 12445, 1067, 233, 3190, 167, 1064], 4.11719, 330, 7, 'Failure']","[[6740, 4722, 2597, 1064], 439.23575, 302, 4, 'Failure']","[[6740, 4722, 2597, 1064], 439.23575, 302, 4, 'Failure']","[[6740, 12445, 1067, 233, 2597, 1064], 357.96025, 378, 6, 'Failure']"
