Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1452,11174,15858,"[[1452, 21, 2602, 32, 11174], 14.72341, 242, 5, 'Success']","[[1452, 21, 2602, 32, 11174], 14.72341, 242, 5, 'Success']","[[1452, 21, 435, 32, 11174], 14.76414, 264, 5, 'Success']","[[1452, 21, 5372, 32, 11174], 14.73828, 264, 5, 'Success']","[[1452, 21, 5372, 32, 11174], 14.73828, 264, 5, 'Success']","[[1452, 21, 1577, 167, 32, 11174], 14.81761, 294, 6, 'Success']"
4572,4029,752,,,,,,
6336,9903,243449,"[[6336, 6335, 855, 9903], 74.28309, 120, 4, 'Failure']","[[6336, 6335, 855, 9903], 74.28309, 120, 4, 'Failure']","[[6336, 5552, 5899, 6830, 314, 9728, 9903], 3.6287000000000003, 448, 7, 'Failure']","[[6336, 6320, 855, 9903], 74.28309, 120, 4, 'Failure']","[[6336, 6320, 855, 9903], 74.28309, 120, 4, 'Failure']","[[6336, 5552, 2938, 131, 506, 5059, 9903], 18.094019999999997, 240, 7, 'Success']"
3476,7224,6598,"[[3476, 3642, 6274, 7224], 0.37609000000000004, 224, 4, 'Failure']","[[3476, 3642, 6274, 7224], 0.37609000000000004, 224, 4, 'Failure']","[[3476, 3642, 6274, 7224], 0.37609000000000004, 224, 4, 'Failure']","[[3476, 3642, 6274, 7224], 0.37609000000000004, 224, 4, 'Failure']","[[3476, 3642, 6274, 7224], 0.37609000000000004, 224, 4, 'Failure']","[[3476, 6228, 11178, 167, 2223, 6274, 7224], 0.0132, 334, 7, 'Failure']"
6432,8160,226552,"[[6432, 6688, 12325, 8160], 5.984170000000001, 114, 4, 'Success']","[[6432, 6688, 12325, 8160], 5.984170000000001, 114, 4, 'Success']","[[6432, 6688, 12325, 8160], 5.984170000000001, 114, 4, 'Success']","[[6432, 55, 175, 8160], 15.93693, 98, 4, 'Success']","[[6432, 55, 175, 8160], 15.93693, 98, 4, 'Success']","[[6432, 55, 175, 8160], 15.93693, 98, 4, 'Success']"
4486,6307,23796,"[[4486, 9706, 609, 6307], 27.2028, 120, 4, 'Failure']","[[4486, 9706, 609, 6307], 27.2028, 120, 4, 'Failure']","[[4486, 12325, 5899, 4682, 609, 6307], 3.80797, 292, 6, 'Failure']","[[4486, 12325, 4438, 609, 6307], 3.4034, 154, 5, 'Failure']","[[4486, 12325, 4438, 609, 6307], 3.4034, 154, 5, 'Failure']","[[4486, 12325, 4438, 609, 6307], 3.4034, 154, 5, 'Failure']"
257,7388,24028,"[[257, 2, 6274, 7388], 1.02403, 202, 4, 'Failure']","[[257, 2, 6274, 7388], 1.02403, 202, 4, 'Failure']","[[257, 345, 2, 6274, 7388], 1.18906, 236, 5, 'Success']","[[257, 21, 6274, 7388], 2.04806, 224, 4, 'Failure']","[[257, 21, 6274, 7388], 2.04806, 224, 4, 'Failure']","[[257, 345, 233, 3190, 167, 2223, 6274, 7388], 1.27715, 466, 8, 'Failure']"
5018,7586,20586,"[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Success']","[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Failure']","[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Failure']","[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Failure']","[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Failure']","[[5018, 167, 2223, 7218, 7586], 0.02059, 254, 5, 'Failure']"
13098,11632,24351,"[[13098, 221, 1065, 855, 11632], 7.943279999999999, 160, 5, 'Failure']","[[13098, 221, 543, 855, 11632], 8.45593, 160, 5, 'Failure']","[[13098, 221, 8851, 12325, 855, 11632], 7.067629999999999, 194, 6, 'Failure']","[[13098, 221, 321, 855, 11632], 9.136759999999999, 160, 5, 'Failure']","[[13098, 221, 321, 855, 11632], 9.136759999999999, 160, 5, 'Failure']","[[13098, 221, 8851, 12325, 855, 11632], 7.067629999999999, 194, 6, 'Failure']"
12874,6795,33533,"[[12874, 153, 58, 4261, 6795], 12.597190000000001, 142, 5, 'Failure']","[[12874, 153, 58, 4261, 6795], 12.597190000000001, 142, 5, 'Failure']","[[12874, 153, 154, 12325, 4261, 6795], 6.35645, 176, 6, 'Failure']","[[12874, 153, 58, 4261, 6795], 12.597190000000001, 142, 5, 'Failure']","[[12874, 153, 58, 4261, 6795], 12.597190000000001, 142, 5, 'Failure']","[[12874, 153, 308, 11837, 12325, 4261, 6795], 5.1857, 178, 7, 'Failure']"
