Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
11351,11172,8,"[[11351, 108, 612, 11172], 2.00047, 100, 4, 'Success']","[[11351, 108, 612, 11172], 2.00047, 100, 4, 'Success']","[[11351, 108, 32, 11172], 2.0084999999999997, 204, 4, 'Success']","[[11351, 108, 612, 11172], 2.00047, 100, 4, 'Success']","[[11351, 108, 612, 11172], 2.00047, 100, 4, 'Success']","[[11351, 108, 570, 29, 167, 11172], 1.00044, 152, 6, 'Success']"
6099,366,14,,,,,,
6309,5222,1525,"[[6309, 12325, 10113, 4822, 5222], 0.00152, 258, 5, 'Success']","[[6309, 12325, 10113, 4822, 5222], 0.00152, 258, 5, 'Success']","[[6309, 12325, 5899, 4682, 4822, 5222], 0.02441, 396, 6, 'Success']","[[6309, 12325, 10113, 4822, 5222], 0.00152, 258, 5, 'Success']","[[6309, 12325, 10113, 4822, 5222], 0.00152, 258, 5, 'Success']","[[6309, 12325, 10113, 4822, 5222], 0.00152, 258, 5, 'Success']"
9541,11086,18,"[[9541, 53, 124, 11057, 11086], 3.2551499999999995, 264, 5, 'Success']","[[9541, 53, 124, 11057, 11086], 3.2551499999999995, 264, 5, 'Success']","[[9541, 53, 233, 3642, 11057, 11086], 3.2525199999999996, 298, 6, 'Success']","[[9541, 53, 124, 11057, 11086], 3.2551499999999995, 264, 5, 'Success']","[[9541, 53, 124, 11057, 11086], 3.2551499999999995, 264, 5, 'Success']","[[9541, 53, 177, 73, 4822, 11057, 11086], 3.25101, 404, 7, 'Success']"
2781,4766,237,"[[2781, 12073, 463, 4766], 0.1434, 120, 4, 'Success']","[[2781, 12073, 463, 4766], 0.1434, 120, 4, 'Success']","[[2781, 233, 12325, 463, 4766], 0.12797999999999998, 148, 5, 'Success']","[[2781, 12073, 463, 4766], 0.1434, 120, 4, 'Success']","[[2781, 12073, 463, 4766], 0.1434, 120, 4, 'Success']","[[2781, 167, 11178, 463, 4766], 0.11993, 150, 5, 'Success']"
11433,10305,41,"[[11433, 638, 36, 10305], 2.10396, 162, 4, 'Success']","[[11433, 638, 36, 10305], 2.10396, 162, 4, 'Success']","[[11433, 2017, 12325, 12148, 1415, 10305], 1.09463, 182, 6, 'Success']","[[11433, 2017, 12325, 167, 10305], 1.08208, 144, 5, 'Success']","[[11433, 2017, 12325, 167, 10305], 1.08208, 144, 5, 'Success']","[[11433, 2017, 850, 3221, 3892, 167, 10305], 1.00242, 230, 7, 'Success']"
2997,1160,5,"[[2997, 32, 1160], 1.80153, 184, 3, 'Success']","[[2997, 32, 1160], 1.80153, 184, 3, 'Success']","[[2997, 32, 1160], 1.80153, 184, 3, 'Success']","[[2997, 32, 1160], 1.80153, 184, 3, 'Success']","[[2997, 32, 1160], 1.80153, 184, 3, 'Success']","[[2997, 32, 1160], 1.80153, 184, 3, 'Success']"
1843,6773,4955,"[[1843, 1809, 32, 9709, 6773], 5.48246, 264, 5, 'Success']","[[1843, 1809, 32, 9709, 6773], 5.48246, 264, 5, 'Success']","[[1843, 1809, 9809, 5899, 12325, 9709, 6773], 3.06443, 338, 7, 'Success']","[[1843, 1809, 32, 9709, 6773], 5.48246, 264, 5, 'Success']","[[1843, 1809, 32, 9709, 6773], 5.48246, 264, 5, 'Success']","[[1843, 1809, 600, 6010, 1559, 12325, 9709, 6773], 2.0247800000000002, 274, 8, 'Success']"
4249,557,7355,"[[4249, 3083, 2537, 48, 557], 23.88387, 264, 5, 'Success']","[[4249, 3083, 2537, 48, 557], 23.88387, 264, 5, 'Success']","[[4249, 3083, 194, 48, 557], 24.547860000000004, 264, 5, 'Success']","[[4249, 3083, 2537, 48, 557], 23.88387, 264, 5, 'Success']","[[4249, 3083, 2537, 48, 557], 23.88387, 264, 5, 'Success']","[[4249, 3083, 5965, 6722, 48, 557], 23.81009, 304, 6, 'Success']"
1695,7887,2,"[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']","[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']","[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']","[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']","[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']","[[1695, 1672, 36, 6274, 7887], 0.006, 296, 5, 'Success']"
