Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
856,6858,106,"[[856, 32, 855, 6858], 1.67421, 224, 4, 'Success']","[[856, 32, 855, 6858], 1.67421, 224, 4, 'Success']","[[856, 8539, 6597, 855, 6858], 1.1452, 148, 5, 'Success']","[[856, 32, 855, 6858], 1.67421, 224, 4, 'Success']","[[856, 32, 855, 6858], 1.67421, 224, 4, 'Success']","[[856, 167, 6722, 12325, 855, 6858], 0.82142, 194, 6, 'Success']"
6710,9949,1,"[[6710, 12445, 1067, 9949], 1.001, 226, 4, 'Success']","[[6710, 12445, 1067, 9949], 1.001, 226, 4, 'Success']","[[6710, 12445, 1067, 9949], 1.001, 226, 4, 'Success']","[[6710, 12445, 1067, 9949], 1.001, 226, 4, 'Success']","[[6710, 12445, 1067, 9949], 1.001, 226, 4, 'Success']","[[6710, 12445, 547, 1236, 600, 6010, 1559, 12325, 167, 6503, 9753, 8716, 9949], 1.00005, 840, 13, 'Success']"
2545,10431,802,"[[2545, 1297, 18, 10431], 7.150519999999999, 120, 4, 'Failure']","[[2545, 1297, 18, 10431], 7.150519999999999, 120, 4, 'Failure']","[[2545, 1297, 9472, 12325, 855, 10431], 2.0203699999999998, 194, 6, 'Success']","[[2545, 1297, 2919, 855, 10431], 4.10922, 160, 5, 'Success']","[[2545, 1297, 2919, 855, 10431], 4.10922, 160, 5, 'Failure']","[[2545, 1297, 9472, 12325, 855, 10431], 2.0203699999999998, 194, 6, 'Failure']"
8598,1468,3,"[[8598, 6621, 12611, 320, 1468], 3.00006, 160, 5, 'Success']","[[8598, 6621, 12611, 320, 1468], 3.00006, 160, 5, 'Success']","[[8598, 6621, 6587, 529, 320, 1468], 2.0016, 188, 6, 'Success']","[[8598, 6621, 12611, 320, 1468], 3.00006, 160, 5, 'Success']","[[8598, 6621, 12611, 320, 1468], 3.00006, 160, 5, 'Success']","[[8598, 6621, 3372, 12157, 4816, 2362, 8160, 36, 320, 1468], 2.0, 392, 10, 'Success']"
11108,7971,6,"[[11108, 11057, 3642, 463, 7971], 0.02161, 264, 5, 'Success']","[[11108, 11057, 3642, 463, 7971], 0.02161, 264, 5, 'Success']","[[11108, 11057, 3642, 463, 7971], 0.02161, 264, 5, 'Success']","[[11108, 11057, 3642, 463, 7971], 0.02161, 264, 5, 'Success']","[[11108, 11057, 3642, 463, 7971], 0.02161, 264, 5, 'Success']","[[11108, 11057, 3642, 167, 6722, 12325, 4090, 4744, 7971], 0.018009999999999998, 418, 9, 'Success']"
7071,2212,36,"[[7071, 6274, 36, 320, 2212], 2.11104, 296, 5, 'Success']","[[7071, 6274, 36, 320, 2212], 2.11104, 296, 5, 'Success']","[[7071, 6274, 4764, 233, 4896, 2212], 1.49234, 298, 6, 'Success']","[[7071, 6274, 6105, 314, 4896, 2212], 1.11943, 408, 6, 'Success']","[[7071, 6274, 6105, 314, 4896, 2212], 1.11943, 408, 6, 'Success']","[[7071, 6274, 3083, 4822, 4896, 2212], 1.1084, 512, 6, 'Success']"
9743,9501,59,"[[9743, 609, 63, 9501], 19.03374, 120, 4, 'Success']","[[9743, 609, 63, 9501], 19.03374, 120, 4, 'Success']","[[9743, 609, 63, 9501], 19.03374, 120, 4, 'Success']","[[9743, 609, 63, 9501], 19.03374, 120, 4, 'Success']","[[9743, 609, 63, 9501], 19.03374, 120, 4, 'Success']","[[9743, 609, 19, 62, 175, 63, 9501], 19.026120000000002, 174, 7, 'Success']"
3523,11807,142,"[[3523, 3646, 855, 11807], 0.04331, 120, 4, 'Success']","[[3523, 3646, 855, 11807], 0.04331, 120, 4, 'Success']","[[3523, 3646, 855, 11807], 0.04331, 120, 4, 'Success']","[[3523, 3646, 855, 11807], 0.04331, 120, 4, 'Success']","[[3523, 3646, 855, 11807], 0.04331, 120, 4, 'Success']","[[3523, 3414, 1358, 2861, 9359, 12325, 855, 11807], 0.0426, 274, 8, 'Success']"
11857,12225,6,"[[11857, 84, 855, 12126, 12225], 2.0018200000000004, 160, 5, 'Success']","[[11857, 84, 855, 12126, 12225], 2.0018200000000004, 160, 5, 'Success']","[[11857, 84, 4289, 77, 12225], 3.00109, 148, 5, 'Success']","[[11857, 84, 855, 12126, 12225], 2.0018200000000004, 160, 5, 'Success']","[[11857, 84, 855, 12126, 12225], 2.0018200000000004, 160, 5, 'Success']","[[11857, 84, 3642, 167, 12126, 12225], 2.00063, 190, 6, 'Success']"
10300,6403,712,"[[10300, 10301, 1340, 855, 5311, 6403], 2.14311, 200, 6, 'Success']","[[10300, 10301, 1340, 855, 5311, 6403], 2.14311, 200, 6, 'Success']","[[10300, 10301, 1340, 855, 5311, 6403], 2.14311, 200, 6, 'Success']","[[10300, 10301, 1340, 855, 5311, 6403], 2.14311, 200, 6, 'Success']","[[10300, 10301, 1340, 855, 5311, 6403], 2.14311, 200, 6, 'Success']","[[10300, 3021, 1139, 6324, 3297, 9510, 167, 5311, 6403], 2.00427, 310, 9, 'Success']"
