Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10005,2983,529,"[[10005, 609, 2983], 0.00818, 80, 3, 'Success']","[[10005, 609, 2983], 0.00818, 80, 3, 'Success']","[[10005, 609, 2983], 0.00818, 80, 3, 'Success']","[[10005, 609, 2983], 0.00818, 80, 3, 'Success']","[[10005, 609, 2983], 0.00818, 80, 3, 'Success']","[[10005, 167, 5965, 609, 2983], 0.008709999999999999, 150, 5, 'Success']"
12835,3925,623,"[[12835, 2073, 609, 2537, 3070, 3925], 2.04734, 190, 6, 'Success']","[[12835, 2073, 609, 2537, 3070, 3925], 2.04734, 190, 6, 'Success']","[[12835, 2073, 609, 194, 4261, 3925], 2.1725700000000003, 200, 6, 'Success']","[[12835, 2073, 609, 2537, 3070, 3925], 2.04734, 190, 6, 'Success']","[[12835, 2073, 609, 2537, 3070, 3925], 2.04734, 190, 6, 'Success']","[[12835, 2073, 609, 19, 215, 137, 12325, 4090, 3070, 3925], 2.0292700000000004, 332, 10, 'Success']"
6552,2516,2,,,,,,
8638,7067,2196,"[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']","[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']","[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']","[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']","[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']","[[8638, 48, 6621, 7067], 1.2218, 120, 4, 'Success']"
5282,5248,1,"[[5282, 21, 9306, 454, 5248], 3.0002, 160, 5, 'Success']","[[5282, 21, 9306, 454, 5248], 3.0002, 160, 5, 'Success']","[[5282, 21, 233, 166, 5248], 3.0002, 258, 5, 'Success']","[[5282, 21, 233, 166, 5248], 3.0002, 258, 5, 'Success']","[[5282, 21, 233, 166, 5248], 3.0002, 258, 5, 'Success']","[[5282, 21, 12634, 6764, 3297, 9510, 167, 8733, 454, 5248], 3.0, 344, 10, 'Success']"
3733,11973,16693,"[[3733, 609, 9522, 11973], 3.7027900000000002, 120, 4, 'Failure']","[[3733, 609, 9522, 11973], 3.7027900000000002, 120, 4, 'Failure']","[[3733, 26, 12325, 167, 11973], 1.20031, 138, 5, 'Success']","[[3733, 26, 12325, 167, 11973], 1.20031, 138, 5, 'Success']","[[3733, 26, 12325, 167, 11973], 1.20031, 138, 5, 'Success']","[[3733, 609, 19, 215, 137, 12325, 6722, 167, 11973], 1.0667600000000002, 292, 9, 'Failure']"
10300,12240,15,"[[10300, 3021, 1139, 1609, 12240], 3.0480599999999995, 160, 5, 'Success']","[[10300, 3021, 1139, 1609, 12240], 3.0480599999999995, 160, 5, 'Success']","[[10300, 3021, 1139, 1609, 12240], 3.0480599999999995, 160, 5, 'Success']","[[10300, 3021, 1139, 1609, 12240], 3.0480599999999995, 160, 5, 'Success']","[[10300, 3021, 1139, 1609, 12240], 3.0480599999999995, 160, 5, 'Success']","[[10300, 3021, 1139, 6324, 5199, 12325, 9709, 1609, 12240], 3.0001100000000003, 314, 9, 'Success']"
3562,8562,50,"[[3562, 600, 8562], 1.15005, 80, 3, 'Success']","[[3562, 600, 8562], 1.15005, 80, 3, 'Success']","[[3562, 600, 8562], 1.15005, 80, 3, 'Success']","[[3562, 600, 8562], 1.15005, 80, 3, 'Success']","[[3562, 600, 8562], 1.15005, 80, 3, 'Success']","[[3562, 600, 8562], 1.15005, 80, 3, 'Success']"
2743,7731,29,"[[2743, 18, 3281, 6274, 7731], 2.00109, 264, 5, 'Success']","[[2743, 18, 3281, 6274, 7731], 2.00109, 264, 5, 'Success']","[[2743, 18, 368, 4764, 6274, 7731], 2.40836, 298, 6, 'Success']","[[2743, 18, 3281, 6274, 7731], 2.00109, 264, 5, 'Success']","[[2743, 18, 3281, 6274, 7731], 2.00109, 264, 5, 'Success']","[[2743, 18, 11837, 167, 2223, 6274, 7731], 2.00009, 312, 7, 'Success']"
7873,4429,3372,"[[7873, 7218, 64, 4429], 12.558769999999999, 224, 4, 'Success']","[[7873, 7218, 64, 4429], 12.558769999999999, 224, 4, 'Success']","[[7873, 7218, 345, 233, 10485, 12654, 4429], 10.90054, 320, 7, 'Success']","[[7873, 7218, 64, 4429], 12.558769999999999, 224, 4, 'Success']","[[7873, 7218, 64, 4429], 12.558769999999999, 224, 4, 'Success']","[[7873, 7218, 8301, 137, 12325, 6760, 12654, 4429], 10.72039, 382, 8, 'Success']"
