Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12117,398,521,"[[12117, 3017, 42, 398], 1.2466300000000001, 122, 4, 'Success']","[[12117, 3017, 42, 398], 1.2466300000000001, 122, 4, 'Success']","[[12117, 3017, 42, 398], 1.2466300000000001, 122, 4, 'Success']","[[12117, 3017, 42, 398], 1.2466300000000001, 122, 4, 'Success']","[[12117, 3017, 42, 398], 1.2466300000000001, 122, 4, 'Success']","[[12117, 3017, 600, 6010, 1559, 12325, 398], 1.1062800000000002, 234, 7, 'Success']"
6364,175,4,"[[6364, 609, 19, 175], 1.004, 98, 4, 'Success']","[[6364, 609, 19, 175], 1.004, 98, 4, 'Success']","[[6364, 609, 194, 175], 1.0048, 120, 4, 'Success']","[[6364, 609, 19, 175], 1.004, 98, 4, 'Success']","[[6364, 609, 19, 175], 1.004, 98, 4, 'Success']","[[6364, 609, 19, 62, 175], 1.004, 116, 5, 'Success']"
7108,383,7,"[[7108, 6274, 3642, 383], 1.02276, 224, 4, 'Success']","[[7108, 6274, 3642, 383], 1.02276, 224, 4, 'Success']","[[7108, 6274, 3642, 383], 1.02276, 224, 4, 'Success']","[[7108, 6274, 3642, 383], 1.02276, 224, 4, 'Success']","[[7108, 6274, 3642, 383], 1.02276, 224, 4, 'Success']","[[7108, 6274, 3642, 167, 383], 1.02101, 254, 5, 'Success']"
7491,84,2432,"[[7491, 6274, 3642, 84], 7.296, 224, 4, 'Success']","[[7491, 6274, 3642, 84], 7.296, 224, 4, 'Success']","[[7491, 6274, 3642, 84], 7.296, 224, 4, 'Success']","[[7491, 6274, 3642, 84], 7.296, 224, 4, 'Success']","[[7491, 6274, 3642, 84], 7.296, 224, 4, 'Success']","[[7491, 6274, 3520, 84], 7.30087, 224, 4, 'Success']"
12984,91,1713,"[[12984, 12325, 91], 1.01713, 68, 3, 'Success']","[[12984, 12325, 91], 1.01713, 68, 3, 'Success']","[[12984, 12325, 91], 1.01713, 68, 3, 'Success']","[[12984, 12325, 91], 1.01713, 68, 3, 'Success']","[[12984, 12325, 91], 1.01713, 68, 3, 'Success']","[[12984, 12325, 91], 1.01713, 68, 3, 'Success']"
11728,177,141,"[[11728, 3812, 445, 177], 2.0428800000000003, 114, 4, 'Success']","[[11728, 3812, 445, 177], 2.0428800000000003, 114, 4, 'Success']","[[11728, 3812, 6463, 4682, 137, 177], 1.37128, 192, 6, 'Success']","[[11728, 3812, 445, 177], 2.0428800000000003, 114, 4, 'Success']","[[11728, 3812, 445, 177], 2.0428800000000003, 114, 4, 'Success']","[[11728, 3812, 8555, 308, 11837, 12325, 175, 177], 1.00014, 196, 8, 'Success']"
11684,2584,2693557,"[[11684, 11933, 5899, 2584], 9.080680000000001, 224, 4, 'Failure']","[[11684, 11935, 167, 2584], 61.25636, 120, 4, 'Failure']","[[11684, 667, 12325, 3292, 2584], 6.38712, 134, 5, 'Failure']","[[11684, 57, 167, 2584], 156.78305, 120, 4, 'Failure']","[[11684, 57, 167, 2584], 156.78305, 120, 4, 'Failure']","[[11684, 57, 321, 445, 2584], 428.15422, 264, 5, 'Success']"
7308,1983,945,"[[7308, 6274, 3642, 1983], 2.88239, 224, 4, 'Success']","[[7308, 6274, 3642, 1983], 2.88239, 224, 4, 'Success']","[[7308, 6274, 3642, 1983], 2.88239, 224, 4, 'Success']","[[7308, 6274, 3642, 1983], 2.88239, 224, 4, 'Success']","[[7308, 6274, 3642, 1983], 2.88239, 224, 4, 'Success']","[[7308, 6274, 3083, 5965, 12325, 1983], 2.835, 402, 6, 'Success']"
4235,634,668,"[[4235, 3083, 2706, 634], 3.00467, 224, 4, 'Success']","[[4235, 3083, 4682, 634], 3.00601, 218, 4, 'Success']","[[4235, 3083, 4682, 634], 3.00601, 218, 4, 'Success']","[[4235, 3083, 4682, 634], 3.00601, 218, 4, 'Success']","[[4235, 3083, 4682, 634], 3.00601, 218, 4, 'Success']","[[4235, 3083, 4682, 634], 3.00601, 218, 4, 'Success']"
688,894,42581,"[[688, 18, 894], 6.2582, 80, 3, 'Success']","[[688, 18, 894], 6.2582, 80, 3, 'Success']","[[688, 18, 894], 6.2582, 80, 3, 'Success']","[[688, 18, 894], 6.2582, 80, 3, 'Success']","[[688, 18, 894], 6.2582, 80, 3, 'Success']","[[688, 18, 894], 6.2582, 80, 3, 'Success']"
