Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
164,6177,7299,"[[164, 18, 29, 6177], 1.1292, 224, 4, 'Success']","[[164, 18, 29, 6177], 1.1292, 224, 4, 'Success']","[[164, 18, 237, 167, 6177], 1.19489, 248, 5, 'Success']","[[164, 18, 600, 6177], 1.1365, 224, 4, 'Success']","[[164, 18, 600, 6177], 1.1365, 224, 4, 'Success']","[[164, 18, 570, 1236, 600, 6177], 1.1365, 284, 6, 'Success']"
2588,10922,157662,"[[2588, 207, 10922], 50.47308, 80, 3, 'Failure']","[[2588, 207, 10922], 50.47308, 80, 3, 'Failure']","[[2588, 84, 12325, 167, 6320, 10922], 18.87096, 184, 6, 'Failure']","[[2588, 84, 855, 10922], 33.47956, 120, 4, 'Failure']","[[2588, 84, 855, 10922], 33.47956, 120, 4, 'Failure']","[[2588, 84, 855, 10922], 33.47956, 120, 4, 'Failure']"
5940,10006,34902,"[[5940, 5949, 10006], 0.3349, 80, 3, 'Failure']","[[5940, 5949, 10006], 0.3349, 80, 3, 'Failure']","[[5940, 5949, 10006], 0.3349, 80, 3, 'Failure']","[[5940, 5949, 10006], 0.3349, 80, 3, 'Failure']","[[5940, 5949, 10006], 0.3349, 80, 3, 'Failure']","[[5940, 855, 6876, 167, 6722, 12325, 6982, 10006], 1.6141199999999998, 274, 8, 'Failure']"
565,1137,121105,"[[565, 392, 609, 1137], 2.36332, 120, 4, 'Failure']","[[565, 392, 609, 1137], 2.36332, 120, 4, 'Failure']","[[565, 137, 12325, 167, 1121, 1137], 1.24221, 298, 6, 'Failure']","[[565, 137, 12325, 463, 1137], 61.67367, 164, 5, 'Failure']","[[565, 137, 12325, 463, 1137], 61.67367, 164, 5, 'Failure']","[[565, 137, 12325, 6035, 1306, 1212, 1137], 14.352739999999999, 238, 7, 'Failure']"
5829,10505,32113,"[[5829, 175, 53, 10505], 16.38615, 98, 4, 'Success']","[[5829, 32, 8653, 10505], 18.37832, 224, 4, 'Success']","[[5829, 3681, 1139, 2561, 10505], 1.3853600000000001, 160, 5, 'Failure']","[[5829, 32, 2561, 10505], 18.37832, 224, 4, 'Success']","[[5829, 32, 2561, 10505], 18.37832, 224, 4, 'Failure']","[[5829, 5099, 3642, 167, 4482, 149, 9515, 21, 2561, 10505], 3.3542799999999997, 454, 10, 'Failure']"
1339,674,17649,"[[1339, 878, 634, 674], 28.70249, 224, 4, 'Failure']","[[1339, 878, 634, 674], 28.70249, 224, 4, 'Failure']","[[1339, 407, 314, 2594, 679, 674], 2.5406299999999997, 304, 6, 'Success']","[[1339, 855, 11207, 679, 674], 11.473790000000001, 160, 5, 'Success']","[[1339, 855, 11207, 679, 674], 11.473790000000001, 160, 5, 'Success']","[[1339, 407, 3322, 137, 12325, 10113, 12768, 11207, 679, 674], 1.81494, 364, 10, 'Success']"
2874,7976,6941,"[[2874, 32, 6562, 7976], 6.99199, 224, 4, 'Success']","[[2874, 32, 6562, 7976], 6.99199, 224, 4, 'Failure']","[[2874, 11178, 12148, 3086, 6562, 7976], 2.96497, 188, 6, 'Failure']","[[2874, 32, 6562, 7976], 6.99199, 224, 4, 'Failure']","[[2874, 32, 6562, 7976], 6.99199, 224, 4, 'Failure']","[[2874, 11178, 11317, 12325, 3974, 6562, 7976], 2.52759, 234, 7, 'Failure']"
8,9301,297913,"[[8, 576, 8617, 9301], 95.35461000000001, 92, 4, 'Failure']","[[8, 576, 8617, 9301], 95.35461000000001, 92, 4, 'Failure']","[[8, 6935, 9338, 12325, 9554, 8617, 9301], 60.09854, 234, 7, 'Failure']","[[8, 63, 609, 9301], 138.51862, 98, 4, 'Failure']","[[8, 63, 609, 9301], 138.51862, 98, 4, 'Failure']","[[8, 45, 692, 609, 9301], 88.90243000000001, 160, 5, 'Failure']"
3852,8560,3424,"[[3852, 609, 6327, 8560], 1.3699, 120, 4, 'Success']","[[3852, 609, 6327, 8560], 1.3699, 120, 4, 'Success']","[[3852, 2, 345, 21, 8560], 1.7198699999999998, 132, 5, 'Success']","[[3852, 855, 6487, 8560], 2.56168, 120, 4, 'Success']","[[3852, 855, 6487, 8560], 2.56168, 120, 4, 'Success']","[[3852, 609, 19, 215, 137, 12325, 167, 11654, 308, 11837, 314, 5007, 7927, 9420, 8560], 0.07389, 592, 15, 'Success']"
12215,10922,191201,"[[12215, 10, 10922], 193.39239, 80, 3, 'Failure']","[[12215, 855, 10922], 39.43144, 80, 3, 'Failure']","[[12215, 855, 6876, 167, 6320, 10922], 22.649870000000004, 190, 6, 'Failure']","[[12215, 855, 10922], 39.43144, 80, 3, 'Failure']","[[12215, 855, 10922], 39.43144, 80, 3, 'Failure']","[[12215, 855, 10922], 39.43144, 80, 3, 'Failure']"
5046,3178,12019,"[[5046, 626, 10113, 609, 3178], 2.03606, 160, 5, 'Success']","[[5046, 626, 10113, 609, 3178], 2.03606, 160, 5, 'Failure']","[[5046, 626, 10113, 609, 3178], 2.03606, 160, 5, 'Failure']","[[5046, 626, 10113, 609, 3178], 2.03606, 160, 5, 'Failure']","[[5046, 626, 10113, 609, 3178], 2.03606, 160, 5, 'Failure']","[[5046, 6912, 6911, 9281, 609, 3178], 2.03606, 200, 6, 'Failure']"
6760,7971,18211,"[[6760, 855, 6622, 7971], 3.6604099999999997, 120, 4, 'Success']","[[6760, 855, 6622, 7971], 3.6604099999999997, 120, 4, 'Success']","[[6760, 12325, 4090, 4744, 7971], 0.01821, 154, 5, 'Success']","[[6760, 855, 6622, 7971], 3.6604099999999997, 120, 4, 'Success']","[[6760, 855, 6622, 7971], 3.6604099999999997, 120, 4, 'Success']","[[6760, 12325, 4090, 4744, 7971], 0.01821, 154, 5, 'Failure']"
1969,7976,38873,"[[1969, 21, 5908, 2626, 7976], 3.1555, 160, 5, 'Failure']","[[1969, 21, 7035, 6562, 7976], 2.2332399999999994, 150, 5, 'Failure']","[[1969, 18, 3086, 6562, 7976], 2.97185, 154, 5, 'Failure']","[[1969, 18, 3315, 6562, 7976], 4.0603299999999996, 160, 5, 'Failure']","[[1969, 18, 3315, 6562, 7976], 4.0603299999999996, 160, 5, 'Failure']","[[1969, 18, 3315, 6562, 7976], 4.0603299999999996, 160, 5, 'Failure']"
2217,9854,193908,"[[2217, 21, 9854], 1.88782, 80, 3, 'Failure']","[[2217, 21, 9854], 1.88782, 80, 3, 'Failure']","[[2217, 21, 9854], 1.88782, 80, 3, 'Failure']","[[2217, 600, 4749, 21, 9854], 26.045199999999998, 160, 5, 'Failure']","[[2217, 600, 4749, 21, 9854], 26.045199999999998, 160, 5, 'Failure']","[[2217, 2296, 233, 131, 10274, 21, 9854], 26.38662, 234, 7, 'Failure']"
5888,453,156583,"[[5888, 9573, 21, 453], 1.3131599999999999, 120, 4, 'Failure']","[[5888, 9573, 21, 453], 1.3131599999999999, 120, 4, 'Failure']","[[5888, 9573, 21, 453], 1.3131599999999999, 120, 4, 'Failure']","[[5888, 4379, 21, 453], 10.34243, 120, 4, 'Failure']","[[5888, 4379, 21, 453], 10.34243, 120, 4, 'Failure']","[[5888, 131, 10274, 21, 453], 11.2424, 160, 5, 'Failure']"
9447,11463,113398,"[[9447, 18, 11463], 19.37447, 74, 3, 'Success']","[[9447, 18, 11463], 19.37447, 74, 3, 'Failure']","[[9447, 65, 282, 18, 11463], 5.12041, 148, 5, 'Failure']","[[9447, 18, 11463], 19.37447, 74, 3, 'Failure']","[[9447, 18, 11463], 19.37447, 74, 3, 'Failure']","[[9447, 991, 167, 6722, 18, 11463], 3.7878, 188, 6, 'Failure']"
3249,1847,27659,"[[3249, 6228, 18, 1847], 2.05532, 120, 4, 'Failure']","[[3249, 6228, 18, 1847], 2.05532, 120, 4, 'Failure']","[[3249, 6228, 18, 1847], 2.05532, 120, 4, 'Failure']","[[3249, 50, 71, 1847], 16.11265, 98, 4, 'Failure']","[[3249, 50, 71, 1847], 16.11265, 98, 4, 'Failure']","[[3249, 11729, 3093, 12325, 3292, 489, 2, 381, 1847], 2.3595800000000002, 272, 9, 'Success']"
2886,6153,4475,"[[2886, 18, 6153], 2.00896, 80, 3, 'Success']","[[2886, 18, 6153], 2.00896, 80, 3, 'Success']","[[2886, 18, 6153], 2.00896, 80, 3, 'Success']","[[2886, 18, 6153], 2.00896, 80, 3, 'Success']","[[2886, 18, 6153], 2.00896, 80, 3, 'Success']","[[2886, 167, 29, 6153], 1.01791, 120, 4, 'Success']"
