Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
233,7650,64,"[[233, 5043, 6274, 7650], 0.00231, 218, 4, 'Success']","[[233, 5043, 6274, 7650], 0.00231, 218, 4, 'Success']","[[233, 869, 10494, 6274, 7650], 0.031549999999999995, 246, 5, 'Success']","[[233, 5043, 6274, 7650], 0.00231, 218, 4, 'Success']","[[233, 5043, 6274, 7650], 0.00231, 218, 4, 'Success']","[[233, 6876, 167, 2223, 6274, 7650], 0.00051, 288, 6, 'Success']"
148,6922,9,"[[148, 169, 6922], 1.00383, 58, 3, 'Success']","[[148, 169, 6922], 1.00383, 58, 3, 'Success']","[[148, 351, 3742, 6724, 6922], 1.00941, 142, 5, 'Success']","[[148, 169, 6922], 1.00383, 58, 3, 'Success']","[[148, 169, 6922], 1.00383, 58, 3, 'Success']","[[148, 600, 6010, 1559, 12325, 3093, 12157, 4816, 3896, 6922], 1.0000600000000002, 354, 10, 'Success']"
207,6760,488,"[[207, 855, 6760], 10.38846, 80, 3, 'Success']","[[207, 855, 6760], 10.38846, 80, 3, 'Success']","[[207, 237, 723, 233, 12325, 6760], 0.12614, 176, 6, 'Success']","[[207, 167, 9756, 6760], 0.07443, 104, 4, 'Success']","[[207, 167, 9756, 6760], 0.07443, 104, 4, 'Success']","[[207, 1566, 1573, 12325, 6760], 0.00976, 144, 5, 'Success']"
148,10168,160,"[[148, 2698, 1139, 10168], 1.48754, 120, 4, 'Success']","[[148, 2698, 1139, 10168], 1.48754, 120, 4, 'Success']","[[148, 137, 4682, 1139, 10168], 1.81897, 164, 5, 'Success']","[[148, 2698, 1139, 10168], 1.48754, 120, 4, 'Success']","[[148, 2698, 1139, 10168], 1.48754, 120, 4, 'Success']","[[148, 600, 2654, 5199, 6324, 1139, 10168], 1.4808, 240, 7, 'Success']"
48,5325,19268,"[[48, 2, 5325], 1.9268, 58, 3, 'Success']","[[48, 2, 5325], 1.9268, 58, 3, 'Failure']","[[48, 2, 5325], 1.9268, 58, 3, 'Success']","[[48, 600, 5325], 1.98461, 80, 3, 'Success']","[[48, 600, 5325], 1.98461, 80, 3, 'Success']","[[48, 11837, 314, 5325], 1.9288, 202, 4, 'Success']"
634,853,1415134,"[[634, 1224, 853], 1422.5515500000001, 184, 3, 'Failure']","[[634, 1224, 853], 1422.5515500000001, 184, 3, 'Failure']","[[634, 1358, 314, 5319, 853], 1420.136, 368, 5, 'Failure']","[[634, 64, 177, 853], 1500.29645, 202, 4, 'Success']","[[634, 64, 177, 853], 1500.29645, 202, 4, 'Success']","[[634, 215, 600, 61, 177, 853], 1505.96297, 282, 6, 'Success']"
10294,800,9679,"[[10294, 1875, 320, 800], 31.06242, 224, 4, 'Success']","[[10294, 1875, 320, 800], 31.06242, 224, 4, 'Success']","[[10294, 7218, 345, 320, 800], 30.206860000000002, 362, 5, 'Success']","[[10294, 1875, 320, 800], 31.06242, 224, 4, 'Success']","[[10294, 1875, 320, 800], 31.06242, 224, 4, 'Failure']","[[10294, 7218, 8301, 137, 12325, 29, 570, 320, 800], 30.069129999999998, 512, 9, 'Failure']"
612,10763,665,"[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']","[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']","[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']","[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']","[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']","[[612, 2223, 10294, 10763], 1.00066, 224, 4, 'Success']"
634,7606,1,"[[634, 8688, 3083, 7606], 5.001, 224, 4, 'Success']","[[634, 8688, 3083, 7606], 5.001, 224, 4, 'Success']","[[634, 4682, 3083, 7606], 5.00107, 218, 4, 'Success']","[[634, 36, 3083, 7606], 5.001, 256, 4, 'Success']","[[634, 36, 3083, 7606], 5.001, 256, 4, 'Success']","[[634, 6467, 3099, 12325, 5965, 3083, 7606], 5.001, 338, 7, 'Success']"
855,4009,322192,"[[855, 4009], 64.4384, 40, 2, 'Failure']","[[855, 4009], 64.4384, 40, 2, 'Failure']","[[855, 12261, 12325, 398, 686, 4009], 5.2887699999999995, 298, 6, 'Success']","[[855, 4009], 64.4384, 40, 2, 'Failure']","[[855, 4009], 64.4384, 40, 2, 'Failure']","[[855, 6876, 167, 57, 175, 4009], 22.226039999999994, 168, 6, 'Success']"
