Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4792,12325,184,"[[4792, 29, 12325], 0.00166, 80, 3, 'Success']","[[4792, 29, 12325], 0.00166, 80, 3, 'Success']","[[4792, 4289, 12325], 0.01866, 74, 3, 'Success']","[[4792, 29, 12325], 0.00166, 80, 3, 'Success']","[[4792, 29, 12325], 0.00166, 80, 3, 'Success']","[[4792, 167, 6722, 12325], 0.00018, 120, 4, 'Success']"
32,1236,97,"[[32, 2, 1236], 1.0484, 162, 3, 'Success']","[[32, 2, 1236], 1.0484, 162, 3, 'Success']","[[32, 750, 1236], 1.04888, 184, 3, 'Success']","[[32, 1659, 1236], 1.0484, 184, 3, 'Success']","[[32, 1659, 1236], 1.0484, 184, 3, 'Success']","[[32, 1659, 1236], 1.0484, 184, 3, 'Success']"
894,4822,453955,"[[894, 36, 4822], 27.69126, 106, 3, 'Failure']","[[894, 36, 4822], 27.69126, 106, 3, 'Failure']","[[894, 167, 2706, 4822], 22.697779999999998, 104, 4, 'Failure']","[[894, 2584, 4822], 69.54799, 74, 3, 'Success']","[[894, 2584, 4822], 69.54799, 74, 3, 'Success']","[[894, 575, 321, 6184, 4822], 28.82969, 154, 5, 'Success']"
12325,314,6884,"[[12325, 10113, 314], 0.0, 74, 3, 'Success']","[[12325, 10113, 314], 0.0, 74, 3, 'Success']","[[12325, 5454, 314], 0.36585, 74, 3, 'Success']","[[12325, 6478, 314], 0.00688, 74, 3, 'Success']","[[12325, 6478, 314], 0.00688, 74, 3, 'Success']","[[12325, 167, 11654, 308, 11837, 314], 0.00688, 140, 6, 'Success']"
10294,634,64,"[[10294, 124, 634], 0.20676, 184, 3, 'Success']","[[10294, 124, 634], 0.20676, 184, 3, 'Success']","[[10294, 124, 634], 0.20676, 184, 3, 'Success']","[[10294, 124, 634], 0.20676, 184, 3, 'Success']","[[10294, 124, 634], 0.20676, 184, 3, 'Success']","[[10294, 4822, 4682, 634], 0.19213, 322, 4, 'Success']"
177,148,10790,"[[177, 148], 2.84345, 40, 2, 'Success']","[[177, 148], 2.84345, 40, 2, 'Success']","[[177, 233, 148], 2.8866099999999997, 74, 3, 'Success']","[[177, 148], 2.84345, 40, 2, 'Success']","[[177, 148], 2.84345, 40, 2, 'Success']","[[177, 148], 2.84345, 40, 2, 'Success']"
3083,207,83909,"[[3083, 3642, 207], 251.727, 184, 3, 'Success']","[[3083, 3642, 207], 251.727, 184, 3, 'Success']","[[3083, 3642, 207], 251.727, 184, 3, 'Success']","[[3083, 2223, 207], 252.48445, 184, 3, 'Success']","[[3083, 2223, 207], 252.48445, 184, 3, 'Success']","[[3083, 5965, 6722, 12325, 207], 251.727, 258, 5, 'Success']"
10294,177,571971,"[[10294, 124, 177], 1847.86099, 184, 3, 'Failure']","[[10294, 124, 177], 1847.86099, 184, 3, 'Failure']","[[10294, 4822, 19, 177], 1715.913, 306, 4, 'Success']","[[10294, 1875, 321, 177], 1719.06637, 224, 4, 'Success']","[[10294, 1875, 321, 177], 1719.06637, 224, 4, 'Success']","[[10294, 2223, 600, 61, 177], 1721.07619, 242, 5, 'Success']"
609,6274,1224146,"[[609, 2223, 6274], 1.22415, 80, 3, 'Failure']","[[609, 2223, 6274], 1.22415, 80, 3, 'Failure']","[[609, 2223, 6274], 1.22415, 80, 3, 'Failure']","[[609, 3065, 6274], 129.03599, 80, 3, 'Success']","[[609, 3065, 6274], 129.03599, 80, 3, 'Failure']","[[609, 2359, 301, 445, 321, 6184, 3065, 6274], 28.258969999999998, 280, 8, 'Failure']"
855,7218,274,"[[855, 8301, 7218], 0.0548, 80, 3, 'Success']","[[855, 8301, 7218], 0.0548, 80, 3, 'Success']","[[855, 6000, 7218], 0.06795, 80, 3, 'Success']","[[855, 2223, 7218], 0.0548, 80, 3, 'Success']","[[855, 2223, 7218], 0.0548, 80, 3, 'Success']","[[855, 6876, 167, 2223, 7218], 0.00191, 150, 5, 'Success']"
6980,12315,3957,"[[6980, 5199, 12315], 0.19785, 80, 3, 'Success']","[[6980, 5199, 12315], 0.19785, 80, 3, 'Success']","[[6980, 5199, 12315], 0.19785, 80, 3, 'Success']","[[6980, 5199, 12315], 0.19785, 80, 3, 'Success']","[[6980, 5199, 12315], 0.19785, 80, 3, 'Success']","[[6980, 11317, 12325, 12315], 0.19785, 114, 4, 'Success']"
600,10,13,"[[600, 6079, 10], 5e-05, 80, 3, 'Success']","[[600, 6079, 10], 5e-05, 80, 3, 'Success']","[[600, 6079, 10], 5e-05, 80, 3, 'Success']","[[600, 6079, 10], 5e-05, 80, 3, 'Success']","[[600, 6079, 10], 5e-05, 80, 3, 'Success']","[[600, 6010, 1559, 12325, 10], 4e-05, 154, 5, 'Success']"
383,4792,106,"[[383, 167, 4792], 0.009970000000000001, 80, 3, 'Success']","[[383, 167, 4792], 0.009970000000000001, 80, 3, 'Success']","[[383, 233, 4792], 0.03286, 74, 3, 'Success']","[[383, 167, 4792], 0.009970000000000001, 80, 3, 'Success']","[[383, 167, 4792], 0.009970000000000001, 80, 3, 'Success']","[[383, 167, 4792], 0.009970000000000001, 80, 3, 'Success']"
1139,6980,17099,"[[1139, 6184, 6980], 43.798930000000006, 80, 3, 'Success']","[[1139, 3160, 6980], 52.017309999999995, 80, 3, 'Success']","[[1139, 3905, 12186, 6980], 1.0341999999999998, 120, 4, 'Success']","[[1139, 6324, 3885, 6980], 1.0683999999999998, 120, 4, 'Success']","[[1139, 6324, 3885, 6980], 1.0683999999999998, 120, 4, 'Success']","[[1139, 6324, 5199, 12325, 4261, 6980], 0.0513, 194, 6, 'Success']"
12315,6980,4280501,"[[12315, 8475, 6980], 4284.78578, 184, 3, 'Failure']","[[12315, 8475, 6980], 4284.78578, 184, 3, 'Failure']","[[12315, 12325, 4261, 6980], 4280.501, 218, 4, 'Failure']","[[12315, 2877, 6980], 4285.786779999999, 184, 3, 'Success']","[[12315, 2877, 6980], 4285.786779999999, 184, 3, 'Success']","[[12315, 321, 2359, 796, 6980], 4313.49752, 264, 5, 'Success']"
167,207,28,"[[167, 207], 3e-05, 30, 2, 'Success']","[[167, 207], 3e-05, 30, 2, 'Success']","[[167, 207], 3e-05, 30, 2, 'Success']","[[167, 207], 3e-05, 30, 2, 'Success']","[[167, 207], 3e-05, 30, 2, 'Success']","[[167, 3642, 207], 3e-05, 70, 3, 'Success']"
26,57,2702681,"[[26, 3041, 57], 31.219530000000002, 74, 3, 'Failure']","[[26, 3041, 57], 31.219530000000002, 74, 3, 'Failure']","[[26, 12325, 177, 57], 27.02681, 86, 4, 'Success']","[[26, 321, 57], 31.219530000000002, 74, 3, 'Success']","[[26, 321, 57], 31.219530000000002, 74, 3, 'Success']","[[26, 321, 57], 31.219530000000002, 74, 3, 'Success']"
177,12315,1175,"[[177, 12315], 2.31462, 40, 2, 'Success']","[[177, 12315], 2.31462, 40, 2, 'Success']","[[177, 12315], 2.31462, 40, 2, 'Success']","[[177, 12315], 2.31462, 40, 2, 'Success']","[[177, 12315], 2.31462, 40, 2, 'Success']","[[177, 12315], 2.31462, 40, 2, 'Success']"
445,12315,337818226,"[[445, 12315], 338.81823, 40, 2, 'Failure']","[[445, 12315], 338.81823, 40, 2, 'Failure']","[[445, 12315], 338.81823, 40, 2, 'Failure']","[[445, 321, 12315], 677.63679, 80, 3, 'Failure']","[[445, 321, 12315], 677.63679, 80, 3, 'Failure']","[[445, 321, 12315], 677.63679, 80, 3, 'Failure']"
131,634,2281,"[[131, 6020, 634], 1.00228, 80, 3, 'Success']","[[131, 6020, 634], 1.00228, 80, 3, 'Success']","[[131, 185, 4682, 634], 1.2349400000000001, 108, 4, 'Success']","[[131, 6020, 634], 1.00228, 80, 3, 'Success']","[[131, 6020, 634], 1.00228, 80, 3, 'Success']","[[131, 10113, 12325, 36, 634], 1.00228, 186, 5, 'Success']"
445,2537,47,"[[445, 3997, 2537], 1.00005, 80, 3, 'Success']","[[445, 3997, 2537], 1.00005, 80, 3, 'Success']","[[445, 3086, 2537], 1.00339, 74, 3, 'Success']","[[445, 6722, 2537], 1.00005, 80, 3, 'Success']","[[445, 6722, 2537], 1.00005, 80, 3, 'Success']","[[445, 6722, 2537], 1.00005, 80, 3, 'Success']"
600,10294,232,"[[600, 2223, 10294], 0.232, 80, 3, 'Success']","[[600, 2223, 10294], 0.232, 80, 3, 'Success']","[[600, 2223, 10294], 0.232, 80, 3, 'Success']","[[600, 2223, 10294], 0.232, 80, 3, 'Success']","[[600, 2223, 10294], 0.232, 80, 3, 'Success']","[[600, 6010, 609, 2223, 10294], 0.00093, 160, 5, 'Success']"
207,57,97147,"[[207, 167, 57], 6.92745, 70, 3, 'Success']","[[207, 167, 57], 6.92745, 70, 3, 'Success']","[[207, 1839, 167, 57], 3.1372600000000004, 110, 4, 'Success']","[[207, 167, 57], 6.92745, 70, 3, 'Success']","[[207, 167, 57], 6.92745, 70, 3, 'Success']","[[207, 1566, 1573, 78, 173, 57], 1.94294, 146, 6, 'Success']"
855,84,135,"[[855, 84], 0.027, 40, 2, 'Success']","[[855, 84], 0.027, 40, 2, 'Success']","[[855, 84], 0.027, 40, 2, 'Success']","[[855, 84], 0.027, 40, 2, 'Success']","[[855, 84], 0.027, 40, 2, 'Success']","[[855, 6876, 167, 3642, 84], 0.0009599999999999999, 150, 5, 'Success']"
6980,21,20,"[[6980, 5355, 21], 0.001, 80, 3, 'Success']","[[6980, 5355, 21], 0.001, 80, 3, 'Success']","[[6980, 3086, 10211, 21], 0.00954, 108, 4, 'Success']","[[6980, 12157, 21], 0.001, 80, 3, 'Success']","[[6980, 12157, 21], 0.001, 80, 3, 'Success']","[[6980, 3642, 167, 9515, 21], 0.00102, 150, 5, 'Success']"
894,1983,9,"[[894, 1983], 0.00045, 34, 2, 'Success']","[[894, 1983], 0.00045, 34, 2, 'Success']","[[894, 1983], 0.00045, 34, 2, 'Success']","[[894, 1983], 0.00045, 34, 2, 'Success']","[[894, 1983], 0.00045, 34, 2, 'Success']","[[894, 1983], 0.00045, 34, 2, 'Success']"
3941,321,3,"[[3941, 301, 321], 69.42921, 61, 3, 'Success']","[[3941, 4784, 124, 321], 7.97269, 205, 4, 'Success']","[[3941, 4784, 137, 321], 8.07578, 215, 4, 'Success']","[[3941, 4784, 124, 321], 7.97269, 205, 4, 'Success']","[[3941, 4784, 124, 321], 7.97269, 205, 4, 'Success']","[[3941, 4784, 137, 12325, 321], 7.972, 249, 5, 'Success']"
314,84,2844,"[[314, 3974, 84], 0.002, 184, 3, 'Success']","[[314, 570, 84], 0.00769, 166, 3, 'Success']","[[314, 5454, 84], 0.00769, 184, 3, 'Success']","[[314, 10113, 84], 0.00769, 184, 3, 'Success']","[[314, 10113, 84], 0.00769, 184, 3, 'Success']","[[314, 11837, 12325, 10113, 84], 0.002, 236, 5, 'Success']"
91,855,566672,"[[91, 855], 567.172, 200, 2, 'Success']","[[91, 855], 567.172, 200, 2, 'Success']","[[91, 2047, 454, 855], 58.900749999999995, 280, 4, 'Failure']","[[91, 2702, 855], 69.80196000000001, 240, 3, 'Success']","[[91, 2702, 855], 69.80196000000001, 240, 3, 'Success']","[[91, 2702, 12325, 855], 69.80196000000001, 274, 4, 'Success']"
894,233,56162,"[[894, 233], 12.01867, 34, 2, 'Success']","[[894, 233], 12.01867, 34, 2, 'Success']","[[894, 167, 10485, 233], 2.86426, 98, 4, 'Success']","[[894, 233], 12.01867, 34, 2, 'Success']","[[894, 233], 12.01867, 34, 2, 'Success']","[[894, 167, 6722, 12325, 233], 2.8081, 148, 5, 'Success']"
4792,600,468,"[[4792, 12305, 600], 0.03744, 80, 3, 'Success']","[[4792, 233, 600], 0.040720000000000006, 74, 3, 'Success']","[[4792, 233, 600], 0.040720000000000006, 74, 3, 'Success']","[[4792, 12305, 600], 0.03744, 80, 3, 'Success']","[[4792, 12305, 600], 0.03744, 80, 3, 'Success']","[[4792, 167, 6722, 12325, 600], 0.00047, 154, 5, 'Success']"
4792,182,3248,"[[4792, 6020, 182], 0.20138, 80, 3, 'Success']","[[4792, 6020, 182], 0.20138, 80, 3, 'Success']","[[4792, 4289, 12325, 182], 0.31281, 108, 4, 'Success']","[[4792, 6020, 182], 0.20138, 80, 3, 'Success']","[[4792, 6020, 182], 0.20138, 80, 3, 'Success']","[[4792, 167, 6722, 12325, 182], 0.00325, 154, 5, 'Success']"
182,6980,52213,"[[182, 769, 6980], 2.10442, 80, 3, 'Success']","[[182, 769, 6980], 2.10442, 80, 3, 'Success']","[[182, 12325, 4261, 6980], 1.05221, 114, 4, 'Success']","[[182, 769, 6980], 2.10442, 80, 3, 'Success']","[[182, 769, 6980], 2.10442, 80, 3, 'Success']","[[182, 11837, 12325, 4261, 6980], 1.05221, 132, 5, 'Success']"
173,3083,1038,"[[173, 2, 3083], 2.30709, 58, 3, 'Success']","[[173, 2, 3083], 2.30709, 58, 3, 'Success']","[[173, 4682, 3083], 2.3849400000000003, 74, 3, 'Success']","[[173, 2, 3083], 2.30709, 58, 3, 'Success']","[[173, 2, 3083], 2.30709, 58, 3, 'Success']","[[173, 60, 3083], 2.30709, 58, 3, 'Success']"
3941,57,1,"[[3941, 32, 57], 70.42564, 165, 3, 'Success']","[[3941, 4784, 5585, 57], 7.95725, 205, 4, 'Success']","[[3941, 4784, 1577, 57], 7.95775, 205, 4, 'Success']","[[3941, 4784, 5585, 57], 7.95725, 205, 4, 'Success']","[[3941, 4784, 5585, 57], 7.95725, 205, 4, 'Success']","[[3941, 4784, 137, 12325, 175, 57], 7.9567499999999995, 267, 6, 'Success']"
2,6274,234,"[[2, 6274], 0.0, 18, 2, 'Success']","[[2, 6274], 0.0, 18, 2, 'Success']","[[2, 6274], 0.0, 18, 2, 'Success']","[[2, 6274], 0.0, 18, 2, 'Success']","[[2, 6274], 0.0, 18, 2, 'Success']","[[2, 6274], 0.0, 18, 2, 'Success']"
207,2597,5373,"[[207, 124, 2597], 1.34327, 80, 3, 'Success']","[[207, 124, 2597], 1.34327, 80, 3, 'Success']","[[207, 237, 2, 194, 2597], 0.99719, 132, 5, 'Failure']","[[207, 124, 2597], 1.34327, 80, 3, 'Success']","[[207, 124, 2597], 1.34327, 80, 3, 'Success']","[[207, 1566, 1573, 12325, 2597], 0.10746, 144, 5, 'Success']"
48,18,15072034,"[[48, 11837, 18], 1507.2034, 58, 3, 'Failure']","[[48, 11837, 18], 1507.2034, 58, 3, 'Failure']","[[48, 351, 18], 1507.2034, 74, 3, 'Failure']","[[48, 175, 18], 2338.49839, 80, 3, 'Failure']","[[48, 175, 18], 2338.49839, 80, 3, 'Failure']","[[48, 175, 18], 2338.49839, 80, 3, 'Failure']"
175,6274,2,"[[175, 5043, 6274], 2.25017, 80, 3, 'Success']","[[175, 108, 6274], 2.25021, 60, 3, 'Success']","[[175, 233, 869, 10494, 6274], 2.25109, 142, 5, 'Success']","[[175, 108, 6274], 2.25021, 60, 3, 'Success']","[[175, 108, 6274], 2.25021, 60, 3, 'Success']","[[175, 64, 2223, 6274], 2.25011, 98, 4, 'Success']"
4822,383,24081,"[[4822, 19, 383], 72.243, 162, 3, 'Success']","[[4822, 19, 383], 72.243, 162, 3, 'Success']","[[4822, 19, 383], 72.243, 162, 3, 'Success']","[[4822, 19, 383], 72.243, 162, 3, 'Success']","[[4822, 19, 383], 72.243, 162, 3, 'Success']","[[4822, 10113, 12325, 383], 72.243, 218, 4, 'Success']"
7218,1236,95,"[[7218, 2, 1236], 0.285, 162, 3, 'Success']","[[7218, 2, 1236], 0.285, 162, 3, 'Success']","[[7218, 2, 194, 1236], 0.29453, 202, 4, 'Success']","[[7218, 36, 1236], 0.285, 216, 3, 'Success']","[[7218, 36, 1236], 0.285, 216, 3, 'Success']","[[7218, 36, 1236], 0.285, 216, 3, 'Success']"
