Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9709,8728,7,"[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 81, 2, 8728], 0.01006, 92, 4, 'Success']","[[9709, 12325, 1573, 1566, 2, 8728], 0.0007, 162, 6, 'Success']"
10539,9949,90,"[[10539, 3921, 9598, 9949], 0.01261, 120, 4, 'Success']","[[10539, 3921, 9598, 9949], 0.01261, 120, 4, 'Success']","[[10539, 3921, 9598, 9949], 0.01261, 120, 4, 'Success']","[[10539, 8080, 6982, 9949], 0.64552, 122, 4, 'Success']","[[10539, 3921, 9598, 9949], 0.01261, 120, 4, 'Success']","[[10539, 3921, 9598, 9949], 0.01261, 120, 4, 'Success']","[[10539, 12768, 4792, 167, 6503, 9753, 8716, 9949], 0.00099, 264, 8, 'Success']"
6304,1515,983,"[[6304, 6184, 18, 1515], 1.5059, 120, 4, 'Failure']","[[6304, 855, 2573, 2, 1515], 0.29491999999999996, 138, 5, 'Success']","[[6304, 855, 237, 2, 1515], 0.30474999999999997, 132, 5, 'Success']","[[6304, 32, 2, 1515], 1.58887, 202, 4, 'Success']","[[6304, 6184, 18, 1515], 1.5059, 120, 4, 'Failure']","[[6304, 6184, 18, 1515], 1.5059, 120, 4, 'Failure']","[[6304, 855, 6876, 167, 8733, 9416, 2, 1515], 0.10517999999999998, 248, 8, 'Success']"
5944,1368,7863,"[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']","[[5944, 21, 1368], 1.00786, 80, 3, 'Success']"
2919,10505,67555,"[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']","[[2919, 18, 53, 10505], 24.92968, 120, 4, 'Failure']","[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']","[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']","[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']","[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']","[[2919, 21, 2561, 10505], 2.13512, 120, 4, 'Failure']"
9916,643,132079,"[[9916, 2223, 609, 4, 643], 31.248170000000002, 264, 5, 'Failure']","[[9916, 2223, 609, 4, 643], 31.248170000000002, 264, 5, 'Failure']","[[9916, 2223, 131, 10113, 4, 643], 4.37745, 304, 6, 'Failure']","[[9916, 2223, 131, 10113, 4, 643], 4.37745, 304, 6, 'Failure']","[[9916, 2223, 609, 4, 643], 31.248170000000002, 264, 5, 'Failure']","[[9916, 2223, 609, 4, 643], 31.248170000000002, 264, 5, 'Failure']","[[9916, 1067, 233, 131, 10113, 4, 643], 4.9812, 338, 7, 'Failure']"
6781,1228,6,"[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']","[[6781, 609, 1228], 1e-05, 80, 3, 'Success']"
628,10774,37,"[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 10169, 855, 10774], 0.047549999999999995, 108, 4, 'Success']","[[628, 2409, 233, 10485, 12325, 855, 10774], 0.00766, 216, 7, 'Success']"
12211,1041,852,"[[12211, 32, 1041], 1.42515, 184, 3, 'Failure']","[[12211, 9996, 855, 1041], 0.23602, 120, 4, 'Success']","[[12211, 9996, 855, 1041], 0.23602, 120, 4, 'Success']","[[12211, 32, 1041], 1.42515, 184, 3, 'Failure']","[[12211, 32, 1041], 1.42515, 184, 3, 'Failure']","[[12211, 32, 1041], 1.42515, 184, 3, 'Failure']","[[12211, 12496, 12009, 6391, 167, 8733, 9416, 2, 1041], 0.08605, 288, 9, 'Success']"
3836,10774,5311,"[[3836, 148, 2640, 855, 10774], 2.10469, 160, 5, 'Failure']","[[3836, 148, 2640, 855, 10774], 2.10469, 160, 5, 'Failure']","[[3836, 148, 2640, 855, 10774], 2.10469, 160, 5, 'Failure']","[[3836, 175, 12325, 855, 10774], 3.60436, 154, 5, 'Success']","[[3836, 148, 2640, 855, 10774], 2.10469, 160, 5, 'Failure']","[[3836, 148, 2640, 855, 10774], 2.10469, 160, 5, 'Failure']","[[3836, 148, 600, 6010, 855, 10774], 2.08345, 200, 6, 'Success']"
