Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
11267,3675,9,"[[11267, 8688, 1369, 3675], 1.00194, 120, 4, 'Success']","[[11267, 8688, 1369, 3675], 1.00194, 120, 4, 'Success']","[[11267, 233, 1369, 3675], 1.00195, 114, 4, 'Success']","[[11267, 233, 1369, 3675], 1.00195, 114, 4, 'Success']","[[11267, 233, 1369, 3675], 1.00195, 114, 4, 'Success']","[[11267, 233, 1369, 3675], 1.00195, 114, 4, 'Success']","[[11267, 8167, 12325, 9709, 1609, 3675], 1.00001, 194, 6, 'Success']"
6147,1112,96,"[[6147, 10129, 233, 600, 1112], 0.28848, 154, 5, 'Success']","[[6147, 10129, 233, 600, 1112], 0.28848, 154, 5, 'Success']","[[6147, 10129, 233, 600, 1112], 0.28848, 154, 5, 'Success']","[[6147, 32, 600, 1112], 1.33605, 224, 4, 'Success']","[[6147, 32, 600, 1112], 1.33605, 224, 4, 'Success']","[[6147, 32, 600, 1112], 1.33605, 224, 4, 'Success']","[[6147, 10777, 8160, 36, 600, 1112], 0.288, 232, 6, 'Success']"
2822,5771,134,"[[2822, 89, 36, 170, 2636, 5771], 0.11553, 232, 6, 'Success']","[[2822, 89, 36, 170, 2636, 5771], 0.11553, 232, 6, 'Success']","[[2822, 89, 576, 4805, 5771], 1.0273700000000001, 160, 5, 'Success']","[[2822, 154, 32, 2636, 5771], 2.12066, 258, 5, 'Success']","[[2822, 89, 576, 4805, 5771], 1.0273700000000001, 160, 5, 'Success']","[[2822, 89, 576, 4805, 5771], 1.0273700000000001, 160, 5, 'Success']","[[2822, 89, 29, 12325, 3292, 5100, 622, 2627, 2628, 2648, 2636, 5771], 0.06217, 414, 12, 'Success']"
5560,6516,6855,"[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']","[[5560, 233, 84, 6516], 1.0205700000000002, 114, 4, 'Success']"
6466,9579,11605,"[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']","[[6466, 21, 9579], 1.01161, 80, 3, 'Success']"
1556,11470,175984,"[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Success']","[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Failure']","[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Failure']","[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Failure']","[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Failure']","[[1556, 445, 4261, 11470], 14.3748, 120, 4, 'Failure']","[[1556, 445, 6228, 3534, 6147, 11470], 3.52796, 200, 6, 'Success']"
4777,6407,2736779,"[[4777, 2877, 6407], 3.73678, 80, 3, 'Failure']","[[4777, 137, 2877, 6407], 3.73678, 130, 4, 'Success']","[[4777, 2877, 6407], 3.73678, 80, 3, 'Failure']","[[4777, 2877, 6407], 3.73678, 80, 3, 'Failure']","[[4777, 137, 2877, 6407], 3.73678, 130, 4, 'Failure']","[[4777, 137, 2877, 6407], 3.73678, 130, 4, 'Failure']","[[4777, 70, 175, 2877, 6407], 156.50983000000002, 138, 5, 'Failure']"
6855,8314,12708000,"[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 56, 175, 8314], 701.19, 98, 4, 'Failure']","[[6855, 167, 57, 175, 8314], 713.8987000000001, 128, 5, 'Failure']"
8716,11602,9,"[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']","[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']","[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']","[[8716, 32, 12325, 10469, 11602], 1.00449, 258, 5, 'Success']","[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']","[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']","[[8716, 8702, 12325, 10469, 11602], 0.0, 154, 5, 'Success']"
4260,10807,89,"[[4260, 167, 6030, 855, 10807], 0.01789, 150, 5, 'Success']","[[4260, 167, 5965, 855, 10807], 0.01789, 150, 5, 'Success']","[[4260, 32, 10807], 1.04441, 184, 3, 'Success']","[[4260, 32, 10807], 1.04441, 184, 3, 'Success']","[[4260, 32, 10807], 1.04441, 184, 3, 'Success']","[[4260, 32, 10807], 1.04441, 184, 3, 'Success']","[[4260, 167, 6722, 12325, 855, 10807], 0.01789, 194, 6, 'Success']"
11251,2479,325,"[[11251, 855, 2359, 966, 2479], 2.04203, 160, 5, 'Success']","[[11251, 855, 2359, 966, 2479], 2.04203, 160, 5, 'Success']","[[11251, 855, 2359, 966, 2479], 2.04203, 160, 5, 'Success']","[[11251, 383, 2359, 966, 2479], 2.20061, 160, 5, 'Success']","[[11251, 855, 2359, 966, 2479], 2.04203, 160, 5, 'Success']","[[11251, 855, 2359, 966, 2479], 2.04203, 160, 5, 'Success']","[[11251, 314, 11837, 12325, 5965, 2359, 966, 2479], 1.97863, 356, 8, 'Success']"
2444,683,8760,"[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 6490, 21, 683], 2.01752, 120, 4, 'Success']","[[2444, 3099, 12325, 29, 567, 1782, 686, 683], 0.36791999999999997, 274, 8, 'Success']"
4506,6957,84396,"[[4506, 4394, 612, 6792, 6957], 25.267840000000003, 160, 5, 'Success']","[[4506, 351, 6910, 6792, 6957], 29.5149, 154, 5, 'Success']","[[4506, 4394, 612, 6792, 6957], 25.267840000000003, 160, 5, 'Success']","[[4506, 351, 6910, 6792, 6957], 29.5149, 154, 5, 'Success']","[[4506, 4394, 612, 6792, 6957], 25.267840000000003, 160, 5, 'Success']","[[4506, 4394, 612, 6792, 6957], 25.267840000000003, 160, 5, 'Success']","[[4506, 351, 2909, 137, 12325, 3292, 6792, 6957], 23.436680000000003, 278, 8, 'Success']"
0,8434,315858,"[[0, 320, 8434], 1.31586, 80, 3, 'Failure']","[[0, 3919, 148, 8546, 8434], 58.171640000000004, 154, 5, 'Failure']","[[0, 233, 148, 8546, 8434], 50.90576, 154, 5, 'Failure']","[[0, 320, 8434], 1.31586, 80, 3, 'Failure']","[[0, 3919, 148, 8546, 8434], 58.171640000000004, 154, 5, 'Failure']","[[0, 3919, 148, 8546, 8434], 58.171640000000004, 154, 5, 'Failure']","[[0, 3919, 3642, 167, 148, 8546, 8434], 58.22395, 234, 7, 'Failure']"
10065,12183,3441329,"[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']","[[10065, 612, 12183], 4.44133, 80, 3, 'Failure']"
