Source,Target,Amount,LND1,LND2,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4982,4406,4,"[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 3769, 4406], 0.00021, 110, 4, 'Success']","[[4982, 167, 351, 6698, 4406], 2e-05, 144, 5, 'Success']"
4998,6255,24,"[[4998, 4480, 855, 6255], 0.005639999999999999, 120, 4, 'Success']","[[4998, 2255, 855, 6255], 0.005039999999999999, 120, 4, 'Success']","[[4998, 2255, 855, 6255], 0.005039999999999999, 120, 4, 'Success']","[[4998, 3086, 81, 6255], 0.03262, 108, 4, 'Success']","[[4998, 2255, 855, 6255], 0.005039999999999999, 120, 4, 'Success']","[[4998, 2255, 855, 6255], 0.005039999999999999, 120, 4, 'Success']","[[4998, 11837, 12325, 855, 6255], 0.0048, 132, 5, 'Success']"
710,6972,568,"[[710, 5052, 5100, 6972], 0.06873, 114, 4, 'Success']","[[710, 5052, 5100, 6972], 0.06873, 114, 4, 'Success']","[[710, 233, 6669, 6972], 0.07214, 108, 4, 'Success']","[[710, 233, 8851, 6972], 0.23294, 108, 4, 'Success']","[[710, 5052, 5100, 6972], 0.06873, 114, 4, 'Success']","[[710, 5052, 5100, 6972], 0.06873, 114, 4, 'Success']","[[710, 5052, 12325, 6669, 6972], 0.00057, 148, 5, 'Success']"
5338,8496,1984,"[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5060, 12325, 8496], 0.0496, 114, 4, 'Success']","[[5338, 5528, 233, 3190, 167, 6722, 12325, 8496], 0.00695, 372, 8, 'Success']"
6383,855,55197,"[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']","[[6383, 12325, 855], 0.0, 74, 3, 'Success']"
185,5783,779224,"[[185, 32, 5783], 389.83278, 178, 3, 'Failure']","[[185, 32, 5783], 389.83278, 178, 3, 'Failure']","[[185, 174, 175, 5783], 45.10732, 92, 4, 'Failure']","[[185, 445, 796, 8614, 6145, 5783], 6.116910000000001, 194, 6, 'Success']","[[185, 174, 175, 5783], 45.10732, 92, 4, 'Failure']","[[185, 174, 175, 5783], 45.10732, 92, 4, 'Failure']","[[185, 174, 175, 5783], 45.10732, 92, 4, 'Failure']"
53,10489,3011914,"[[53, 313, 10489], 904.5742, 80, 3, 'Success']","[[53, 32, 10489], 1503.94509, 184, 3, 'Failure']","[[53, 313, 10489], 904.5742, 80, 3, 'Success']","[[53, 18, 10489], 4.01191, 80, 3, 'Failure']","[[53, 313, 10489], 904.5742, 80, 3, 'Success']","[[53, 313, 10489], 904.5742, 80, 3, 'Failure']","[[53, 313, 10489], 904.5742, 80, 3, 'Failure']"
5530,3384,14577436,"[[5530, 507, 32, 3384], 10178.49808, 224, 4, 'Failure']","[[5530, 507, 174, 173, 59, 3384], 819.58722, 156, 6, 'Failure']","[[5530, 507, 174, 173, 59, 3384], 819.58722, 156, 6, 'Failure']","[[5530, 507, 2189, 612, 8343, 12736, 2589, 3384], 149.77487000000002, 280, 8, 'Failure']","[[5530, 507, 174, 173, 59, 3384], 819.58722, 156, 6, 'Failure']","[[5530, 507, 174, 173, 59, 3384], 819.58722, 156, 6, 'Failure']","[[5530, 507, 174, 173, 59, 3384], 819.58722, 156, 6, 'Failure']"
11576,8723,4,"[[11576, 12325, 8723], 0.0, 74, 3, 'Success']","[[11576, 12325, 8723], 0.0, 74, 3, 'Success']","[[11576, 167, 8723], 0.0, 70, 3, 'Success']","[[11576, 12325, 8723], 0.0, 74, 3, 'Success']","[[11576, 12325, 8723], 0.0, 74, 3, 'Success']","[[11576, 12325, 8723], 0.0, 74, 3, 'Success']","[[11576, 12325, 8723], 0.0, 74, 3, 'Success']"
8539,1,56,"[[8539, 855, 254, 1], 0.01355, 114, 4, 'Success']","[[8539, 855, 254, 1], 0.01355, 114, 4, 'Success']","[[8539, 855, 254, 1], 0.01355, 114, 4, 'Success']","[[8539, 32, 1], 1.02794, 178, 3, 'Success']","[[8539, 32, 1], 1.02794, 178, 3, 'Success']","[[8539, 32, 1], 1.02794, 178, 3, 'Success']","[[8539, 167, 3642, 36, 1], 6e-05, 176, 5, 'Success']"
