,amount,LDKfee,LDKdly,LDKpthlnt,LDKtp,Eclair_case1fee,Eclair_case1dly,Eclair_case1pthlnt,Eclair_case1tp,CLNfee,CLNdly,CLNpthlnt,CLNtp,Eclair_case2fee,Eclair_case2dly,Eclair_case2pthlnt,Eclair_case2tp,Eclair_case3fee,Eclair_case3dly,Eclair_case3pthlnt,Eclair_case3tp,LNDfee,LNDdly,LNDpthlnt,LNDtp
0,8,2.0084999999999997,204,4,Success,2.00047,100,4,Success,2.00047,100,4,Success,2.00047,100,4,Success,1.00044,152,6,Success,2.00047,100,4,Success
2,1525,0.02441,396,6,Success,0.00152,258,5,Success,0.00152,258,5,Success,0.00152,258,5,Success,0.00152,258,5,Success,0.00152,258,5,Success
3,18,3.2525199999999996,298,6,Success,3.2551499999999995,264,5,Success,3.2551499999999995,264,5,Success,3.2551499999999995,264,5,Success,3.25101,404,7,Success,3.2551499999999995,264,5,Success
4,237,0.12797999999999998,148,5,Success,0.1434,120,4,Success,0.1434,120,4,Success,0.1434,120,4,Success,0.11993,150,5,Success,0.1434,120,4,Success
5,41,1.09463,182,6,Success,1.08208,144,5,Success,2.10396,162,4,Success,1.08208,144,5,Success,1.00242,230,7,Success,2.10396,162,4,Success
6,5,1.80153,184,3,Success,1.80153,184,3,Success,1.80153,184,3,Success,1.80153,184,3,Success,1.80153,184,3,Success,1.80153,184,3,Success
7,4955,3.06443,338,7,Success,5.48246,264,5,Success,5.48246,264,5,Success,5.48246,264,5,Success,2.0247800000000002,274,8,Success,5.48246,264,5,Success
8,7355,24.547860000000004,264,5,Success,23.88387,264,5,Success,23.88387,264,5,Success,23.88387,264,5,Success,23.81009,304,6,Success,23.88387,264,5,Success
9,2,0.006,296,5,Success,0.006,296,5,Success,0.006,296,5,Success,0.006,296,5,Success,0.006,296,5,Success,0.006,296,5,Success
10,104,1.34767,604,4,Success,1.34767,604,4,Success,1.34767,604,4,Success,1.34767,604,4,Success,1.31262,338,7,Success,1.34767,604,4,Success
11,666,0.0,328,4,Success,0.0,328,4,Success,0.0,328,4,Success,0.0,328,4,Success,0.0,328,4,Success,0.0,328,4,Success
12,110,2.6054299999999997,298,6,Success,2.6040799999999997,242,5,Success,2.6040799999999997,242,5,Success,2.6040799999999997,242,5,Success,2.59282,260,6,Success,2.6040799999999997,242,5,Success
13,19549,1.71204,280,5,Success,1.71204,280,5,Failure,1.71204,280,5,Failure,1.71204,280,5,Failure,1.4969999999999999,278,6,Failure,1.71204,280,5,Success
14,1,2.0008999999999997,184,3,Success,2.0008999999999997,184,3,Success,2.0008999999999997,184,3,Success,2.0008999999999997,184,3,Success,1.00062,314,9,Success,2.0008999999999997,184,3,Success
15,2982,3.491,184,3,Success,3.491,184,3,Success,3.491,184,3,Success,3.491,184,3,Success,3.491,298,6,Success,3.491,184,3,Success
