Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
669,247,15015,"[[669, 967, 21, 247], 2.6668000000000003, 224, 4, 'Success']","[[669, 967, 21, 247], 2.6668000000000003, 224, 4, 'Success']","[[669, 967, 21, 247], 2.6668000000000003, 224, 4, 'Success']","[[669, 967, 21, 247], 2.6668000000000003, 224, 4, 'Success']","[[669, 967, 21, 247], 2.6668000000000003, 224, 4, 'Failure']","[[669, 967, 108, 570, 29, 12325, 4482, 149, 9515, 21, 247], 1.97706, 564, 11, 'Failure']"
3266,8247,26252,"[[3266, 1139, 8146, 8247], 79.81166, 120, 4, 'Success']","[[3266, 1139, 8146, 8247], 79.81166, 120, 4, 'Success']","[[3266, 1139, 6324, 233, 12325, 5899, 8247], 0.6563, 332, 7, 'Success']","[[3266, 600, 3974, 5899, 8247], 3.6538700000000004, 264, 5, 'Success']","[[3266, 600, 3974, 5899, 8247], 3.6538700000000004, 264, 5, 'Success']","[[3266, 1609, 9709, 12325, 5899, 8247], 2.0787500000000003, 298, 6, 'Failure']"
8354,4003,38774,"[[8354, 609, 4003], 1.07754, 80, 3, 'Failure']","[[8354, 609, 4003], 1.07754, 80, 3, 'Failure']","[[8354, 609, 4003], 1.07754, 80, 3, 'Failure']","[[8354, 855, 4438, 609, 4003], 8.832360000000001, 160, 5, 'Success']","[[8354, 855, 4438, 609, 4003], 8.832360000000001, 160, 5, 'Success']","[[8354, 855, 6876, 167, 6722, 12325, 4438, 609, 4003], 1.3489499999999999, 314, 9, 'Failure']"
11327,1913,8566,"[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']","[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']","[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']","[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']","[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']","[[11327, 21, 5867, 1913], 3.02571, 120, 4, 'Success']"
6998,2211,81612,"[[6998, 167, 11840, 3544, 2211], 3.2035199999999997, 150, 5, 'Failure']","[[6998, 167, 11840, 3544, 2211], 3.2035199999999997, 150, 5, 'Failure']","[[6998, 167, 137, 12325, 3544, 2211], 3.2035199999999997, 194, 6, 'Failure']","[[6998, 8052, 855, 3544, 2211], 22.4855, 160, 5, 'Failure']","[[6998, 8052, 855, 3544, 2211], 22.4855, 160, 5, 'Failure']","[[6998, 8052, 4792, 167, 6722, 12325, 3544, 2211], 6.24388, 274, 8, 'Success']"
6998,11200,7249,"[[6998, 600, 2223, 10449, 11200], 10.730480000000002, 160, 5, 'Failure']","[[6998, 167, 459, 8237, 11200], 3.029, 160, 5, 'Success']","[[6998, 167, 10339, 10449, 11200], 3.47175, 144, 5, 'Failure']","[[6998, 167, 11654, 10503, 10552, 11200], 2.3842499999999998, 190, 6, 'Failure']","[[6998, 167, 11654, 10503, 10552, 11200], 2.3842499999999998, 190, 6, 'Failure']","[[6998, 600, 6010, 1559, 12325, 167, 11654, 10503, 10552, 11200], 2.4059999999999997, 344, 10, 'Failure']"
12268,674,22012,"[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Success']","[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Success']","[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Failure']","[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Failure']","[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Failure']","[[12268, 9571, 3934, 679, 674], 5.006359999999999, 154, 5, 'Failure']"
895,669,17175,"[[895, 600, 967, 669], 54.26488, 120, 4, 'Failure']","[[895, 600, 967, 669], 54.26488, 120, 4, 'Failure']","[[895, 600, 2654, 3065, 967, 669], 3.38927, 200, 6, 'Success']","[[895, 600, 3974, 148, 669], 5.31865, 160, 5, 'Failure']","[[895, 600, 3974, 148, 669], 5.31865, 160, 5, 'Failure']","[[895, 600, 6010, 1559, 12325, 3292, 8496, 967, 669], 2.87209, 294, 9, 'Failure']"
1238,6529,157713,"[[1238, 21, 6614, 6529], 24.07986, 120, 4, 'Failure']","[[1238, 21, 6614, 6529], 24.07986, 120, 4, 'Failure']","[[1238, 21, 5355, 6770, 6529], 3.3808500000000006, 160, 5, 'Failure']","[[1238, 21, 7522, 7000, 6529], 25.97322, 160, 5, 'Failure']","[[1238, 21, 7522, 7000, 6529], 25.97322, 160, 5, 'Failure']","[[1238, 21, 12720, 612, 5101, 6770, 6529], 7.942850000000001, 240, 7, 'Success']"
8728,10787,29514,"[[8728, 18, 10787], 2.05903, 80, 3, 'Failure']","[[8728, 18, 10787], 2.05903, 80, 3, 'Failure']","[[8728, 18, 10787], 2.05903, 80, 3, 'Failure']","[[8728, 2, 3781, 609, 10787], 4.06947, 138, 5, 'Success']","[[8728, 2, 3781, 609, 10787], 4.06947, 138, 5, 'Success']","[[8728, 2, 3781, 609, 10787], 4.06947, 138, 5, 'Success']"
