Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
253,1125,5731,"[[253, 36, 600, 1125], 19.342640000000003, 256, 4, 'Success']","[[253, 36, 600, 1125], 19.342640000000003, 256, 4, 'Success']","[[253, 24, 11844, 10485, 12325, 600, 1125], 19.36089, 320, 7, 'Success']","[[253, 36, 600, 1125], 19.342640000000003, 256, 4, 'Success']","[[253, 36, 600, 1125], 19.342640000000003, 256, 4, 'Success']","[[253, 36, 600, 1125], 19.342640000000003, 256, 4, 'Success']"
1007,12850,22795,"[[1007, 61, 167, 12850], 3.55133, 120, 4, 'Failure']","[[1007, 61, 167, 12850], 3.55133, 120, 4, 'Failure']","[[1007, 18, 237, 167, 12850], 1.29835, 154, 5, 'Failure']","[[1007, 172, 8534, 207, 12850], 53.57798, 160, 5, 'Success']","[[1007, 172, 8534, 207, 12850], 53.57798, 160, 5, 'Failure']","[[1007, 172, 173, 60, 570, 207, 12850], 53.55413, 176, 7, 'Failure']"
7020,7703,61808,"[[7020, 600, 6145, 7703], 2.30905, 120, 4, 'Failure']","[[7020, 600, 6145, 7703], 2.30905, 120, 4, 'Failure']","[[7020, 600, 6145, 7703], 2.30905, 120, 4, 'Failure']","[[7020, 609, 6814, 7703], 10.33333, 120, 4, 'Failure']","[[7020, 609, 6814, 7703], 10.33333, 120, 4, 'Failure']","[[7020, 609, 19, 215, 137, 12325, 3093, 6145, 7703], 2.2472399999999997, 302, 9, 'Failure']"
12522,8631,42362,"[[12522, 6983, 32, 8631], 23.60486, 224, 4, 'Success']","[[12522, 6983, 32, 8631], 23.60486, 224, 4, 'Success']","[[12522, 715, 6309, 314, 8631], 2.2138, 264, 5, 'Failure']","[[12522, 715, 6309, 314, 8631], 2.2138, 264, 5, 'Failure']","[[12522, 715, 6309, 314, 8631], 2.2138, 264, 5, 'Failure']","[[12522, 6983, 11361, 855, 6876, 167, 11654, 308, 11837, 314, 8631], 1.84923, 450, 11, 'Failure']"
12268,3544,54774,"[[12268, 7, 18, 3544], 7.58706, 110, 4, 'Failure']","[[12268, 7, 18, 3544], 7.58706, 110, 4, 'Failure']","[[12268, 7, 377, 179, 233, 10485, 12325, 3544], 4.5055700000000005, 460, 8, 'Failure']","[[12268, 7, 18, 3544], 7.58706, 110, 4, 'Failure']","[[12268, 7, 18, 3544], 7.58706, 110, 4, 'Failure']","[[12268, 9571, 81, 9563, 12325, 3544], 9.26389, 182, 6, 'Success']"
1913,10195,29652,"[[1913, 5867, 21, 10195], 3.0889499999999996, 120, 4, 'Success']","[[1913, 5867, 21, 10195], 3.0889499999999996, 120, 4, 'Success']","[[1913, 5867, 21, 10195], 3.0889499999999996, 120, 4, 'Success']","[[1913, 5867, 21, 10195], 3.0889499999999996, 120, 4, 'Success']","[[1913, 5867, 21, 10195], 3.0889499999999996, 120, 4, 'Success']","[[1913, 5867, 612, 3642, 576, 10195], 4.118609999999999, 200, 6, 'Success']"
9272,4395,101101,"[[9272, 9292, 9265, 18, 4395], 5.08292, 154, 5, 'Failure']","[[9272, 9292, 9265, 18, 4395], 5.08292, 154, 5, 'Failure']","[[9272, 9268, 423, 5967, 18, 4395], 4.429329999999999, 188, 6, 'Failure']","[[9272, 9292, 9265, 18, 4395], 5.08292, 154, 5, 'Failure']","[[9272, 9292, 9265, 18, 4395], 5.08292, 154, 5, 'Failure']","[[9272, 9292, 9265, 18, 4395], 5.08292, 154, 5, 'Failure']"
6896,11888,80561,"[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']","[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']","[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']","[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']","[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']","[[6896, 18, 11888], 1.08056, 80, 3, 'Failure']"
10009,1578,161711,"[[10009, 609, 2938, 1578], 33.63777, 120, 4, 'Failure']","[[10009, 609, 2938, 1578], 33.63777, 120, 4, 'Failure']","[[10009, 8368, 10, 645, 12325, 131, 1578], 12.37945, 234, 7, 'Success']","[[10009, 8368, 8359, 131, 1578], 18.49516, 160, 5, 'Success']","[[10009, 8368, 8359, 131, 1578], 18.49516, 160, 5, 'Success']","[[10009, 8368, 8359, 131, 1578], 18.49516, 160, 5, 'Success']"
568,1561,64629,"[[568, 551, 32, 1561], 40.88076, 224, 4, 'Failure']","[[568, 551, 32, 1561], 40.88076, 224, 4, 'Failure']","[[568, 131, 10113, 609, 1561], 1.29389, 160, 5, 'Failure']","[[568, 11798, 84, 32, 1561], 36.44385000000001, 264, 5, 'Failure']","[[568, 11798, 84, 32, 1561], 36.44385000000001, 264, 5, 'Failure']","[[568, 11798, 855, 6876, 167, 2938, 609, 1561], 2.7755599999999996, 270, 8, 'Failure']"
