Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
3524,634,10600,"[[3524, 423, 537, 634], 3.12721, 114, 4, 'Success']","[[3524, 423, 537, 634], 3.12721, 114, 4, 'Success']","[[3524, 423, 537, 634], 3.12721, 114, 4, 'Success']","[[3524, 173, 4682, 634], 3.8648, 114, 4, 'Success']","[[3524, 173, 4682, 634], 3.8648, 114, 4, 'Success']","[[3524, 423, 3352, 3928, 12768, 4792, 167, 4682, 634], 2.2014, 298, 9, 'Success']"
7976,6980,14,"[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']","[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']","[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']","[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']","[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']","[[7976, 6562, 2261, 6980], 2.0000299999999998, 120, 4, 'Success']"
10787,50,1,"[[10787, 392, 50], 1.10001, 80, 3, 'Success']","[[10787, 392, 50], 1.10001, 80, 3, 'Success']","[[10787, 886, 678, 50], 1.5, 114, 4, 'Success']","[[10787, 392, 50], 1.10001, 80, 3, 'Success']","[[10787, 392, 50], 1.10001, 80, 3, 'Success']","[[10787, 609, 19, 62, 175, 50], 1.0, 134, 6, 'Success']"
2610,3083,89061,"[[2610, 18, 3728, 3083], 2.17812, 114, 4, 'Failure']","[[2610, 2869, 2, 3083], 2.9796699999999996, 92, 4, 'Failure']","[[2610, 18, 3728, 3083], 2.17812, 114, 4, 'Failure']","[[2610, 18, 5965, 3083], 2.17812, 120, 4, 'Failure']","[[2610, 18, 5965, 3083], 2.17812, 120, 4, 'Failure']","[[2610, 18, 6184, 3083], 3.12342, 120, 4, 'Failure']"
253,3941,45,"[[253, 36, 3941], 1.009, 216, 3, 'Success']","[[253, 36, 3941], 1.009, 216, 3, 'Success']","[[253, 24, 261, 137, 3941], 1.16053, 268, 5, 'Success']","[[253, 36, 3941], 1.009, 216, 3, 'Success']","[[253, 36, 3941], 1.009, 216, 3, 'Success']","[[253, 24, 609, 19, 215, 137, 12325, 3941], 1.00914, 360, 8, 'Success']"
8247,84,772,"[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']","[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']","[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']","[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']","[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']","[[8247, 5899, 84], 1.0015399999999999, 184, 3, 'Success']"
5550,131,7694,"[[5550, 855, 131], 2.01539, 80, 3, 'Success']","[[5550, 855, 131], 2.01539, 80, 3, 'Success']","[[5550, 21, 233, 131], 2.0384700000000002, 218, 4, 'Success']","[[5550, 855, 131], 2.01539, 80, 3, 'Success']","[[5550, 855, 131], 2.01539, 80, 3, 'Success']","[[5550, 855, 6876, 167, 3642, 131], 1.06154, 190, 6, 'Success']"
6896,463,23,"[[6896, 18, 463], 1.00002, 80, 3, 'Success']","[[6896, 18, 463], 1.00002, 80, 3, 'Success']","[[6896, 48, 12325, 463], 0.0023, 114, 4, 'Success']","[[6896, 182, 463], 1.00002, 80, 3, 'Success']","[[6896, 182, 463], 1.00002, 80, 3, 'Success']","[[6896, 8353, 4433, 12325, 463], 0.0, 154, 5, 'Success']"
618,148,43270,"[[618, 1229, 148], 1.9086699999999999, 80, 3, 'Success']","[[618, 1229, 148], 1.9086699999999999, 80, 3, 'Success']","[[618, 1229, 148], 1.9086699999999999, 80, 3, 'Success']","[[618, 1229, 148], 1.9086699999999999, 80, 3, 'Success']","[[618, 1229, 148], 1.9086699999999999, 80, 3, 'Success']","[[618, 21, 1577, 167, 6722, 12325, 148], 2.7356, 234, 7, 'Failure']"
6809,91,9228,"[[6809, 167, 6035, 91], 1.0184600000000001, 104, 4, 'Failure']","[[6809, 167, 6035, 91], 1.0184600000000001, 104, 4, 'Failure']","[[6809, 167, 137, 91], 1.0184600000000001, 120, 4, 'Failure']","[[6809, 167, 137, 91], 1.0184600000000001, 120, 4, 'Failure']","[[6809, 167, 137, 91], 1.0184600000000001, 120, 4, 'Failure']","[[6809, 167, 137, 91], 1.0184600000000001, 120, 4, 'Failure']"
12346,84,7,"[[12346, 1609, 2223, 84], 2.00155, 120, 4, 'Success']","[[12346, 1609, 2223, 84], 2.00155, 120, 4, 'Success']","[[12346, 1609, 12206, 12325, 84], 2.0001, 148, 5, 'Success']","[[12346, 1609, 2223, 84], 2.00155, 120, 4, 'Success']","[[12346, 1609, 2223, 84], 2.00155, 120, 4, 'Success']","[[12346, 1609, 9709, 12325, 10113, 84], 2.00002, 194, 6, 'Success']"
887,3083,8,"[[887, 1585, 12315, 3083], 1.0096100000000001, 224, 4, 'Success']","[[887, 1585, 12315, 3083], 1.0096100000000001, 224, 4, 'Success']","[[887, 18, 137, 4682, 3083], 2.10262, 268, 5, 'Success']","[[887, 1585, 12315, 3083], 1.0096100000000001, 224, 4, 'Success']","[[887, 1585, 12315, 3083], 1.0096100000000001, 224, 4, 'Success']","[[887, 1585, 609, 2223, 3083], 1.00003, 160, 5, 'Success']"
3252,2,113,"[[3252, 609, 1394, 2], 1.00587, 120, 4, 'Success']","[[3252, 609, 1394, 2], 1.00587, 120, 4, 'Success']","[[3252, 18, 237, 2], 2.00694, 114, 4, 'Success']","[[3252, 609, 2537, 2], 1.00915, 120, 4, 'Success']","[[3252, 609, 2537, 2], 1.00915, 120, 4, 'Success']","[[3252, 609, 19, 215, 137, 12325, 1573, 1566, 2], 1.00587, 292, 9, 'Success']"
2663,634,45,"[[2663, 36, 634], 1.00004, 112, 3, 'Success']","[[2663, 36, 634], 1.00004, 112, 3, 'Success']","[[2663, 36, 634], 1.00004, 112, 3, 'Success']","[[2663, 36, 634], 1.00004, 112, 3, 'Success']","[[2663, 36, 634], 1.00004, 112, 3, 'Success']","[[2663, 36, 634], 1.00004, 112, 3, 'Success']"
1456,894,39,"[[1456, 1601, 167, 894], 1.39508, 110, 4, 'Success']","[[1456, 1601, 167, 894], 1.39508, 110, 4, 'Success']","[[1456, 1368, 21, 233, 894], 2.14358, 252, 5, 'Success']","[[1456, 1601, 167, 894], 1.39508, 110, 4, 'Success']","[[1456, 1601, 167, 894], 1.39508, 110, 4, 'Success']","[[1456, 1601, 167, 894], 1.39508, 110, 4, 'Success']"
9825,177,16,"[[9825, 575, 177], 2.00004, 80, 3, 'Success']","[[9825, 575, 177], 2.00004, 80, 3, 'Success']","[[9825, 570, 137, 177], 1.1258199999999998, 112, 4, 'Success']","[[9825, 575, 177], 2.00004, 80, 3, 'Success']","[[9825, 575, 177], 2.00004, 80, 3, 'Success']","[[9825, 570, 29, 66, 177], 1.0000499999999999, 120, 5, 'Success']"
1462,463,5688,"[[1462, 2310, 12325, 463], 1.81339, 114, 4, 'Success']","[[1462, 2310, 12325, 463], 1.81339, 114, 4, 'Success']","[[1462, 2310, 12325, 463], 1.81339, 114, 4, 'Success']","[[1462, 2310, 12325, 463], 1.81339, 114, 4, 'Success']","[[1462, 2310, 12325, 463], 1.81339, 114, 4, 'Success']","[[1462, 2310, 233, 3190, 167, 11178, 463], 1.26266, 328, 7, 'Success']"
682,57,1,"[[682, 52, 177, 57], 1.0, 76, 4, 'Success']","[[682, 52, 177, 57], 1.0, 76, 4, 'Success']","[[682, 711, 894, 47, 57], 2.00055, 148, 5, 'Success']","[[682, 52, 177, 57], 1.0, 76, 4, 'Success']","[[682, 52, 177, 57], 1.0, 76, 4, 'Success']","[[682, 52, 177, 57], 1.0, 76, 4, 'Success']"
11668,321,19979,"[[11668, 18, 321], 2.03996, 80, 3, 'Failure']","[[11668, 18, 321], 2.03996, 80, 3, 'Failure']","[[11668, 18, 321], 2.03996, 80, 3, 'Failure']","[[11668, 48, 321], 3.01788, 80, 3, 'Failure']","[[11668, 48, 321], 3.01788, 80, 3, 'Failure']","[[11668, 48, 321], 3.01788, 80, 3, 'Failure']"
4786,894,11139,"[[4786, 48, 894], 2.12504, 80, 3, 'Failure']","[[4786, 48, 894], 2.12504, 80, 3, 'Failure']","[[4786, 723, 149, 233, 894], 1.881, 252, 5, 'Success']","[[4786, 48, 894], 2.12504, 80, 3, 'Failure']","[[4786, 48, 894], 2.12504, 80, 3, 'Failure']","[[4786, 855, 6876, 167, 6722, 12325, 894], 1.0891199999999999, 234, 7, 'Success']"
5149,12325,6889,"[[5149, 600, 12325], 21.673910000000003, 80, 3, 'Success']","[[5149, 600, 12325], 21.673910000000003, 80, 3, 'Success']","[[5149, 609, 19, 233, 12325], 1.1515600000000001, 132, 5, 'Success']","[[5149, 609, 11317, 12325], 1.6957900000000001, 120, 4, 'Success']","[[5149, 609, 11317, 12325], 1.6957900000000001, 120, 4, 'Success']","[[5149, 609, 19, 215, 137, 12325], 1.02067, 188, 6, 'Success']"
11471,26,1164,"[[11471, 21, 26], 2.0023299999999997, 80, 3, 'Success']","[[11471, 21, 26], 2.0023299999999997, 80, 3, 'Success']","[[11471, 21, 26], 2.0023299999999997, 80, 3, 'Success']","[[11471, 21, 26], 2.0023299999999997, 80, 3, 'Success']","[[11471, 21, 26], 2.0023299999999997, 80, 3, 'Success']","[[11471, 11440, 609, 19, 215, 137, 12325, 26], 2.00465, 262, 8, 'Success']"
4181,2597,2178,"[[4181, 1139, 5868, 2597], 3.09336, 120, 4, 'Success']","[[4181, 141, 12325, 2597], 3.37197, 114, 4, 'Success']","[[4181, 141, 233, 2597], 3.87636, 114, 4, 'Success']","[[4181, 1139, 6324, 3292, 2597], 1.11761, 134, 5, 'Success']","[[4181, 1139, 6324, 3292, 2597], 1.11761, 134, 5, 'Success']","[[4181, 1139, 6324, 5199, 12325, 2597], 1.00871, 194, 6, 'Success']"
8247,173,15349,"[[8247, 8192, 12325, 173], 1.0307, 114, 4, 'Success']","[[8247, 8192, 12325, 173], 1.0307, 114, 4, 'Success']","[[8247, 5899, 12325, 173], 1.0307, 218, 4, 'Success']","[[8247, 5899, 174, 173], 1.0307, 202, 4, 'Success']","[[8247, 5899, 174, 173], 1.0307, 202, 4, 'Success']","[[8247, 5899, 174, 173], 1.0307, 202, 4, 'Success']"
