Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12542,8763,57295,"[[12542, 67, 173, 60, 8763], 71.97890000000001, 110, 5, 'Failure']","[[12542, 67, 173, 60, 8763], 71.97890000000001, 110, 5, 'Failure']","[[12542, 12574, 11178, 12325, 5899, 6362, 9516, 9532, 8763], 4.07406, 412, 9, 'Failure']","[[12542, 58, 1453, 9516, 9532, 8763], 38.66167, 188, 6, 'Failure']","[[12542, 58, 1453, 9516, 9532, 8763], 38.66167, 188, 6, 'Failure']","[[12542, 12574, 11268, 167, 4792, 398, 9516, 9532, 8763], 4.016780000000001, 314, 9, 'Failure']"
11868,10431,6037,"[[11868, 9886, 12325, 855, 10431], 3.2194800000000003, 154, 5, 'Success']","[[11868, 9886, 12325, 855, 10431], 3.2194800000000003, 154, 5, 'Failure']","[[11868, 9886, 12325, 855, 10431], 3.2194800000000003, 154, 5, 'Failure']","[[11868, 9886, 12325, 855, 10431], 3.2194800000000003, 154, 5, 'Failure']","[[11868, 9886, 12325, 855, 10431], 3.2194800000000003, 154, 5, 'Failure']","[[11868, 9886, 12325, 3292, 3642, 576, 10431], 3.01812, 214, 7, 'Success']"
11964,3276,1011,"[[11964, 609, 3276], 1.10211, 80, 3, 'Success']","[[11964, 609, 3276], 1.10211, 80, 3, 'Success']","[[11964, 609, 3276], 1.10211, 80, 3, 'Success']","[[11964, 609, 3276], 1.10211, 80, 3, 'Success']","[[11964, 609, 3276], 1.10211, 80, 3, 'Success']","[[11964, 167, 6035, 45, 3276], 1.03325, 144, 5, 'Success']"
1559,618,3,"[[1559, 167, 1229, 618], 0.00048, 110, 4, 'Success']","[[1559, 167, 1229, 618], 0.00048, 110, 4, 'Success']","[[1559, 12325, 32, 618], 1.0015, 218, 4, 'Success']","[[1559, 167, 1229, 618], 0.00048, 110, 4, 'Success']","[[1559, 167, 1229, 618], 0.00048, 110, 4, 'Success']","[[1559, 12325, 167, 1229, 618], 0.00045, 144, 5, 'Success']"
4990,6635,1136,"[[4990, 57, 167, 6635], 3.3147599999999997, 110, 4, 'Success']","[[4990, 57, 167, 6635], 3.3147599999999997, 110, 4, 'Success']","[[4990, 57, 233, 2622, 6635], 3.59991, 154, 5, 'Success']","[[4990, 57, 1560, 6635], 3.3249799999999996, 120, 4, 'Success']","[[4990, 57, 1560, 6635], 3.3249799999999996, 120, 4, 'Success']","[[4990, 57, 1560, 6635], 3.3249799999999996, 120, 4, 'Success']"
426,5489,24978,"[[426, 32, 612, 5489], 15.5145, 224, 4, 'Success']","[[426, 32, 612, 5489], 15.5145, 224, 4, 'Success']","[[426, 50, 233, 12325, 612, 5489], 6.1734100000000005, 188, 6, 'Success']","[[426, 91, 2702, 612, 5489], 5.22244, 320, 5, 'Success']","[[426, 91, 2702, 612, 5489], 5.22244, 320, 5, 'Success']","[[426, 91, 2702, 612, 5489], 5.22244, 320, 5, 'Success']"
5783,12295,5353,"[[5783, 314, 9968, 12295], 0.87993, 224, 4, 'Success']","[[5783, 314, 9968, 12295], 0.87993, 224, 4, 'Success']","[[5783, 314, 9968, 12295], 0.87993, 224, 4, 'Success']","[[5783, 314, 9968, 12295], 0.87993, 224, 4, 'Success']","[[5783, 314, 9968, 12295], 0.87993, 224, 4, 'Success']","[[5783, 314, 11837, 12325, 10113, 5916, 12295], 0.38742000000000004, 316, 7, 'Success']"
1794,1361,59,"[[1794, 1236, 19, 609, 1361], 1.17712, 138, 5, 'Success']","[[1794, 1236, 19, 609, 1361], 1.17712, 138, 5, 'Success']","[[1794, 1236, 1104, 609, 1361], 1.1844, 154, 5, 'Success']","[[1794, 1236, 645, 609, 1361], 1.17742, 160, 5, 'Success']","[[1794, 1236, 645, 609, 1361], 1.17742, 160, 5, 'Success']","[[1794, 1236, 600, 6010, 609, 1361], 1.0003, 200, 6, 'Success']"
2576,5550,2,"[[2576, 21, 5550], 2.0, 80, 3, 'Success']","[[2576, 21, 5550], 2.0, 80, 3, 'Success']","[[2576, 21, 5550], 2.0, 80, 3, 'Success']","[[2576, 21, 5550], 2.0, 80, 3, 'Success']","[[2576, 21, 5550], 2.0, 80, 3, 'Success']","[[2576, 21, 5550], 2.0, 80, 3, 'Success']"
4128,1295,2259,"[[4128, 3083, 2, 1295], 8.00585, 202, 4, 'Success']","[[4128, 3083, 2, 1295], 8.00585, 202, 4, 'Success']","[[4128, 3083, 2, 1295], 8.00585, 202, 4, 'Success']","[[4128, 3083, 2, 1295], 8.00585, 202, 4, 'Success']","[[4128, 3083, 2, 1295], 8.00585, 202, 4, 'Success']","[[4128, 3083, 5965, 609, 1295], 7.78154, 264, 5, 'Success']"
5886,9378,16706,"[[5886, 61, 177, 3885, 9378], 5.20231, 138, 5, 'Success']","[[5886, 5892, 5929, 3885, 9378], 5.2798799999999995, 160, 5, 'Success']","[[5886, 5892, 5199, 6324, 3885, 9378], 2.3942699999999997, 200, 6, 'Failure']","[[5886, 5892, 5929, 3885, 9378], 5.2798799999999995, 160, 5, 'Failure']","[[5886, 5892, 5929, 3885, 9378], 5.2798799999999995, 160, 5, 'Failure']","[[5886, 5907, 5847, 6134, 12325, 4090, 4402, 6228, 3885, 9378], 2.06684, 458, 10, 'Failure']"
4428,895,31,"[[4428, 83, 254, 600, 895], 0.64359, 154, 5, 'Success']","[[4428, 83, 254, 600, 895], 0.64359, 154, 5, 'Success']","[[4428, 83, 9387, 600, 895], 0.67778, 148, 5, 'Success']","[[4428, 83, 254, 600, 895], 0.64359, 154, 5, 'Success']","[[4428, 83, 254, 600, 895], 0.64359, 154, 5, 'Success']","[[4428, 4490, 10556, 855, 6876, 167, 6722, 12325, 600, 895], 0.107, 354, 10, 'Success']"
8985,1883,10,"[[8985, 8768, 21, 1883], 1.03301, 224, 4, 'Success']","[[8985, 8768, 21, 1883], 1.03301, 224, 4, 'Success']","[[8985, 8768, 2, 194, 609, 1883], 0.03101, 282, 6, 'Success']","[[8985, 8768, 21, 1883], 1.03301, 224, 4, 'Success']","[[8985, 8768, 21, 1883], 1.03301, 224, 4, 'Success']","[[8985, 8768, 36, 609, 1883], 0.03001, 296, 5, 'Success']"
5097,7188,76,"[[5097, 21, 4302, 7188], 2.00776, 120, 4, 'Success']","[[5097, 21, 4302, 7188], 2.00776, 120, 4, 'Success']","[[5097, 12325, 5899, 4302, 7188], 1.00776, 258, 5, 'Success']","[[5097, 600, 5002, 4302, 7188], 0.02683, 160, 5, 'Success']","[[5097, 600, 5002, 4302, 7188], 0.02683, 160, 5, 'Success']","[[5097, 600, 6010, 1559, 12325, 3093, 12157, 4302, 7188], 0.00783, 314, 9, 'Success']"
204,5657,889,"[[204, 32, 1139, 5657], 2.4534000000000002, 218, 4, 'Success']","[[204, 32, 1139, 5657], 2.4534000000000002, 218, 4, 'Success']","[[204, 4289, 3804, 4302, 5657], 1.15057, 142, 5, 'Success']","[[204, 188, 36, 1139, 5657], 0.5017799999999999, 180, 5, 'Success']","[[204, 188, 36, 1139, 5657], 0.5017799999999999, 180, 5, 'Success']","[[204, 188, 36, 1139, 5657], 0.5017799999999999, 180, 5, 'Failure']"
4339,2434,1454,"[[4339, 10345, 609, 2434], 1.0029, 120, 4, 'Success']","[[4339, 8411, 83, 2434], 1.01072, 108, 4, 'Success']","[[4339, 8411, 83, 2434], 1.01072, 108, 4, 'Success']","[[4339, 4792, 167, 2434], 1.0029, 120, 4, 'Success']","[[4339, 4792, 167, 2434], 1.0029, 120, 4, 'Success']","[[4339, 314, 11837, 167, 2434], 0.0049, 242, 5, 'Success']"
2539,3524,95,"[[2539, 398, 1385, 423, 3524], 152.01314, 258, 5, 'Success']","[[2539, 398, 1385, 423, 3524], 152.01314, 258, 5, 'Success']","[[2539, 398, 1385, 423, 3524], 152.01314, 258, 5, 'Success']","[[2539, 398, 1385, 423, 3524], 152.01314, 258, 5, 'Success']","[[2539, 398, 1385, 423, 3524], 152.01314, 258, 5, 'Success']","[[2539, 398, 3974, 3352, 423, 3524], 152.01074, 194, 6, 'Success']"
5908,1238,1,"[[5908, 21, 1238], 2.0, 80, 3, 'Success']","[[5908, 21, 1238], 2.0, 80, 3, 'Success']","[[5908, 21, 1238], 2.0, 80, 3, 'Success']","[[5908, 21, 1238], 2.0, 80, 3, 'Success']","[[5908, 21, 1238], 2.0, 80, 3, 'Success']","[[5908, 21, 1238], 2.0, 80, 3, 'Success']"
