Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10485,12005,1354,"[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']","[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']","[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']","[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']","[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']","[[10485, 12325, 855, 12005], 0.27215, 108, 4, 'Success']"
4164,5642,5936,"[[4164, 3083, 60, 5642], 29.150800000000004, 224, 4, 'Success']","[[4164, 3083, 60, 5642], 29.150800000000004, 224, 4, 'Success']","[[4164, 3083, 2633, 314, 5642], 18.99457, 368, 5, 'Success']","[[4164, 3083, 5965, 167, 5642], 18.819909999999997, 254, 5, 'Success']","[[4164, 3083, 5965, 167, 5642], 18.819909999999997, 254, 5, 'Success']","[[4164, 3083, 5965, 167, 5642], 18.819909999999997, 254, 5, 'Success']"
5823,8543,70514,"[[5823, 32, 1887, 8543], 214.63067999999998, 224, 4, 'Failure']","[[5823, 32, 1887, 8543], 214.63067999999998, 224, 4, 'Failure']","[[5823, 32, 1368, 21, 8543], 38.53971, 258, 5, 'Failure']","[[5823, 32, 71, 177, 8543], 43.38837, 242, 5, 'Success']","[[5823, 32, 71, 177, 8543], 43.38837, 242, 5, 'Success']","[[5823, 32, 71, 177, 8543], 43.38837, 242, 5, 'Success']"
1632,1581,388,"[[1632, 1236, 233, 1581], 1.35858, 114, 4, 'Success']","[[1632, 1236, 233, 1581], 1.35858, 114, 4, 'Success']","[[1632, 1236, 233, 1581], 1.35858, 114, 4, 'Success']","[[1632, 1236, 233, 1581], 1.35858, 114, 4, 'Success']","[[1632, 1236, 233, 1581], 1.35858, 114, 4, 'Success']","[[1632, 1236, 600, 2654, 5199, 5355, 1581], 0.00233, 240, 7, 'Success']"
12036,8542,11,"[[12036, 173, 8542], 3.25062, 80, 3, 'Success']","[[12036, 173, 8542], 3.25062, 80, 3, 'Success']","[[12036, 45, 11840, 8542], 1.01023, 120, 4, 'Success']","[[12036, 45, 11840, 8542], 1.01023, 120, 4, 'Success']","[[12036, 45, 11840, 8542], 1.01023, 120, 4, 'Success']","[[12036, 3221, 3892, 167, 11840, 8542], 1.00004, 190, 6, 'Success']"
2188,10015,109817,"[[2188, 855, 6666, 8713, 10015], 110.9536, 160, 5, 'Success']","[[2188, 855, 6666, 8713, 10015], 110.9536, 160, 5, 'Success']","[[2188, 167, 8411, 612, 6666, 8713, 10015], 79.31259, 224, 7, 'Failure']","[[2188, 855, 6666, 8713, 10015], 110.9536, 160, 5, 'Success']","[[2188, 855, 6666, 8713, 10015], 110.9536, 160, 5, 'Success']","[[2188, 167, 6722, 12325, 612, 6666, 8713, 10015], 79.20269, 274, 8, 'Success']"
10989,11474,156,"[[10989, 10294, 21, 26, 11474], 1.9642, 258, 5, 'Success']","[[10989, 10294, 21, 26, 11474], 1.9642, 258, 5, 'Success']","[[10989, 10294, 21, 26, 11474], 1.9642, 258, 5, 'Success']","[[10989, 10294, 1875, 26, 11474], 1.9642, 258, 5, 'Success']","[[10989, 10294, 1875, 26, 11474], 1.9642, 258, 5, 'Success']","[[10989, 10294, 4822, 10113, 26, 11474], 0.96103, 402, 6, 'Success']"
12985,8156,1,"[[12985, 21, 26, 295, 8156], 3.0008, 148, 5, 'Success']","[[12985, 21, 26, 295, 8156], 3.0008, 148, 5, 'Success']","[[12985, 1139, 233, 894, 295, 8156], 1.00629, 182, 6, 'Success']","[[12985, 21, 26, 295, 8156], 3.0008, 148, 5, 'Success']","[[12985, 21, 26, 295, 8156], 3.0008, 148, 5, 'Success']","[[12985, 1139, 6324, 5199, 12325, 5965, 295, 8156], 1.00001, 268, 8, 'Success']"
7163,7443,628,"[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']","[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']","[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']","[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']","[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']","[[7163, 6274, 3083, 4822, 7443], 1.0, 472, 5, 'Success']"
10424,380,690,"[[10424, 10294, 2223, 207, 380], 2.15476, 264, 5, 'Success']","[[10424, 10294, 2223, 207, 380], 2.15476, 264, 5, 'Success']","[[10424, 10294, 2223, 207, 380], 2.15476, 264, 5, 'Success']","[[10424, 10294, 2223, 207, 380], 2.15476, 264, 5, 'Success']","[[10424, 10294, 2223, 207, 380], 2.15476, 264, 5, 'Success']","[[10424, 10294, 7218, 8301, 137, 12325, 207, 380], 2.14853, 492, 8, 'Success']"
9488,1590,1,"[[9488, 6020, 609, 1590], 1.00006, 120, 4, 'Success']","[[9488, 6020, 609, 1590], 1.00006, 120, 4, 'Success']","[[9488, 233, 1104, 609, 1590], 1.00027, 148, 5, 'Success']","[[9488, 5979, 609, 1590], 1.0000799999999999, 120, 4, 'Success']","[[9488, 5979, 609, 1590], 1.0000799999999999, 120, 4, 'Success']","[[9488, 1579, 3778, 12325, 4438, 609, 1590], 1.00004, 234, 7, 'Success']"
11870,1073,176,"[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']","[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']","[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']","[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']","[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']","[[11870, 12325, 32, 1073], 2.088, 218, 4, 'Success']"
5675,5329,39,"[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']","[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']","[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']","[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']","[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']","[[5675, 4822, 5329], 1.00004, 184, 3, 'Success']"
3132,9864,2732,"[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Success']","[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Success']","[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Success']","[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Success']","[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Success']","[[3132, 634, 3601, 9864], 9.73847, 120, 4, 'Failure']"
