Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
8274,32,1117263,"[[8274, 612, 32], 282.43354, 80, 3, 'Failure']","[[8274, 612, 32], 282.43354, 80, 3, 'Failure']","[[8274, 5003, 3414, 32], 114.84377, 120, 4, 'Failure']","[[8274, 8751, 32], 291.50726, 80, 3, 'Failure']","[[8274, 8751, 32], 291.50726, 80, 3, 'Failure']","[[8274, 6109, 137, 2877, 32], 182.63146999999998, 170, 5, 'Failure']"
2236,175,23311,"[[2236, 609, 19, 175], 1.0466199999999999, 98, 4, 'Success']","[[2236, 609, 19, 175], 1.0466199999999999, 98, 4, 'Success']","[[2236, 609, 19, 175], 1.0466199999999999, 98, 4, 'Success']","[[2236, 609, 392, 175], 1.37973, 120, 4, 'Success']","[[2236, 609, 392, 175], 1.37973, 120, 4, 'Success']","[[2236, 609, 19, 62, 175], 1.0466199999999999, 116, 5, 'Success']"
11100,6980,8099,"[[11100, 11057, 3642, 6980], 30.79564, 224, 4, 'Success']","[[11100, 11057, 3642, 6980], 30.79564, 224, 4, 'Success']","[[11100, 11057, 21, 233, 3921, 6980], 25.55373, 402, 6, 'Success']","[[11100, 11057, 21, 9265, 6980], 25.35376, 264, 5, 'Success']","[[11100, 11057, 21, 9265, 6980], 25.35376, 264, 5, 'Success']","[[11100, 11057, 3642, 167, 6722, 12325, 4261, 6980], 24.30512, 378, 8, 'Success']"
10764,609,1345742,"[[10764, 10632, 36, 609], 33.64455, 152, 4, 'Failure']","[[10764, 9490, 9265, 609], 61.91094, 120, 4, 'Failure']","[[10764, 12148, 12325, 5454, 609], 20.18713, 148, 5, 'Failure']","[[10764, 12148, 10113, 609], 106.31591, 114, 4, 'Success']","[[10764, 12148, 10113, 609], 106.31591, 114, 4, 'Success']","[[10764, 12148, 167, 57, 175, 63, 609], 108.56665000000001, 180, 7, 'Success']"
8261,167,182422,"[[8261, 8490, 167], 10.30353, 80, 3, 'Failure']","[[8261, 8490, 167], 10.30353, 80, 3, 'Failure']","[[8261, 8490, 167], 10.30353, 80, 3, 'Failure']","[[8261, 8746, 12325, 167], 11.30358, 114, 4, 'Failure']","[[8261, 8746, 12325, 167], 11.30358, 114, 4, 'Failure']","[[8261, 1292, 6184, 1579, 8260, 167], 12.89819, 200, 6, 'Success']"
3876,2537,1813594,"[[3876, 3086, 2537], 131.57889, 74, 3, 'Failure']","[[3876, 3086, 2537], 131.57889, 74, 3, 'Failure']","[[3876, 459, 609, 2537], 7.440790000000001, 120, 4, 'Failure']","[[3876, 459, 398, 2537], 8.44079, 224, 4, 'Failure']","[[3876, 459, 398, 2537], 8.44079, 224, 4, 'Failure']","[[3876, 459, 301, 445, 3292, 2537], 49.34001000000001, 180, 6, 'Success']"
7860,4822,8598,"[[7860, 7218, 4822], 0.0, 184, 3, 'Success']","[[7860, 7218, 4822], 0.0, 184, 3, 'Success']","[[7860, 7218, 4822], 0.0, 184, 3, 'Success']","[[7860, 7218, 4822], 0.0, 184, 3, 'Success']","[[7860, 7218, 4822], 0.0, 184, 3, 'Success']","[[7860, 7218, 4822], 0.0, 184, 3, 'Success']"
8436,1139,13677,"[[8436, 21, 2757, 1139], 2.02736, 120, 4, 'Failure']","[[8436, 21, 2757, 1139], 2.02736, 120, 4, 'Failure']","[[8436, 21, 513, 1139], 2.0410399999999997, 120, 4, 'Failure']","[[8436, 21, 3395, 1139], 2.0410399999999997, 120, 4, 'Failure']","[[8436, 21, 3395, 1139], 2.0410399999999997, 120, 4, 'Failure']","[[8436, 78, 175, 70, 1139], 4.0159199999999995, 116, 5, 'Success']"
12544,26,3092,"[[12544, 21, 26], 2.00618, 80, 3, 'Success']","[[12544, 21, 26], 2.00618, 80, 3, 'Success']","[[12544, 21, 26], 2.00618, 80, 3, 'Success']","[[12544, 21, 26], 2.00618, 80, 3, 'Success']","[[12544, 21, 26], 2.00618, 80, 3, 'Success']","[[12544, 21, 26], 2.00618, 80, 3, 'Success']"
5892,91,1591526,"[[5892, 3883, 1955, 91], 13.15071, 120, 4, 'Failure']","[[5892, 6893, 2, 91], 62.079910000000005, 98, 4, 'Failure']","[[5892, 3883, 1955, 91], 13.15071, 120, 4, 'Failure']","[[5892, 5199, 12325, 91], 33.43205, 114, 4, 'Success']","[[5892, 5199, 12325, 91], 33.43205, 114, 4, 'Failure']","[[5892, 5199, 12325, 137, 91], 33.43205, 164, 5, 'Success']"
8708,10,383983,"[[8708, 561, 207, 2640, 10], 29.060840000000002, 160, 5, 'Failure']","[[8708, 561, 207, 2640, 10], 29.060840000000002, 160, 5, 'Failure']","[[8708, 561, 560, 21, 6584, 10], 2.76796, 200, 6, 'Failure']","[[8708, 561, 207, 3616, 10], 52.768010000000004, 160, 5, 'Failure']","[[8708, 561, 207, 3616, 10], 52.768010000000004, 160, 5, 'Failure']","[[8708, 561, 207, 1566, 1573, 321, 6722, 12325, 10], 10.44766, 304, 9, 'Failure']"
5380,3941,939,"[[5380, 4822, 6020, 3941], 3.81794, 224, 4, 'Success']","[[5380, 4822, 6020, 3941], 3.81794, 224, 4, 'Success']","[[5380, 4822, 4682, 3941], 4.3773800000000005, 218, 4, 'Success']","[[5380, 4822, 6020, 3941], 3.81794, 224, 4, 'Success']","[[5380, 4822, 6020, 3941], 3.81794, 224, 4, 'Success']","[[5380, 4822, 10113, 12325, 3941], 3.81794, 258, 5, 'Success']"
10568,463,10811,"[[10568, 10294, 21, 463], 33.44684, 224, 4, 'Success']","[[10568, 10294, 21, 463], 33.44684, 224, 4, 'Success']","[[10568, 10294, 11532, 12325, 463], 32.541430000000005, 258, 5, 'Success']","[[10568, 10294, 21, 463], 33.44684, 224, 4, 'Success']","[[10568, 10294, 21, 463], 33.44684, 224, 4, 'Success']","[[10568, 10294, 7218, 8301, 137, 12325, 10113, 463], 32.433, 492, 8, 'Success']"
10330,314,152690,"[[10330, 3810, 175, 545, 314], 15.007439999999999, 160, 5, 'Success']","[[10330, 3810, 36, 314], 32800.04488, 152, 4, 'Failure']","[[10330, 3810, 5043, 3221, 480, 3253, 314], 4.5119, 240, 7, 'Failure']","[[10330, 3810, 6755, 7234, 314], 32.06814, 160, 5, 'Success']","[[10330, 3810, 6755, 7234, 314], 32.06814, 160, 5, 'Success']","[[10330, 3810, 7021, 167, 11837, 314], 6.1227, 178, 6, 'Success']"
1725,175,7944,"[[1725, 1672, 2359, 175], 3.61264, 120, 4, 'Success']","[[1725, 1672, 2359, 175], 3.61264, 120, 4, 'Success']","[[1725, 1672, 2359, 3067, 175], 2.06456, 154, 5, 'Success']","[[1725, 1672, 2359, 175], 3.61264, 120, 4, 'Success']","[[1725, 1672, 2359, 175], 3.61264, 120, 4, 'Success']","[[1725, 1672, 2359, 3067, 175], 2.06456, 154, 5, 'Success']"
