Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9582,401,40568,"[[9582, 466, 167, 401], 9.168890000000001, 110, 4, 'Success']","[[9582, 466, 167, 401], 9.168890000000001, 110, 4, 'Success']","[[9582, 12163, 6503, 167, 401], 4.46256, 144, 5, 'Success']","[[9582, 466, 167, 401], 9.168890000000001, 110, 4, 'Success']","[[9582, 466, 167, 401], 9.168890000000001, 110, 4, 'Success']","[[9582, 12163, 1806, 167, 401], 4.46256, 150, 5, 'Success']"
11904,3819,121,"[[11904, 8660, 18, 3819], 2.0240299999999998, 105, 4, 'Success']","[[11904, 8660, 18, 3819], 2.0240299999999998, 105, 4, 'Success']","[[11904, 124, 233, 3086, 81, 3819], 1.27474, 182, 6, 'Success']","[[11904, 8660, 18, 3819], 2.0240299999999998, 105, 4, 'Success']","[[11904, 8660, 18, 3819], 2.0240299999999998, 105, 4, 'Success']","[[11904, 5589, 167, 6722, 12325, 6669, 3819], 1.0106499999999998, 219, 7, 'Success']"
11415,12693,1205,"[[11415, 6676, 21, 11267, 12693], 3.00362, 160, 5, 'Success']","[[11415, 6676, 21, 11267, 12693], 3.00362, 160, 5, 'Success']","[[11415, 6676, 21, 435, 32, 12693], 3.6161299999999996, 304, 6, 'Success']","[[11415, 6676, 293, 11188, 12768, 12693], 1.12533, 200, 6, 'Success']","[[11415, 6676, 293, 11188, 12768, 12693], 1.12533, 200, 6, 'Success']","[[11415, 6676, 293, 7122, 12325, 10113, 12768, 12693], 1.03254, 274, 8, 'Success']"
7564,2646,131,"[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']","[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']","[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']","[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']","[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']","[[7564, 7218, 2, 2646], 0.40614, 202, 4, 'Success']"
9982,12386,22,"[[9982, 7218, 3083, 2584, 12386], 1.09107, 368, 5, 'Success']","[[9982, 7218, 3083, 2584, 12386], 1.09107, 368, 5, 'Success']","[[9982, 7218, 124, 233, 8547, 12386], 0.0827, 288, 6, 'Success']","[[9982, 7218, 254, 855, 8547, 12386], 0.07453000000000001, 294, 6, 'Success']","[[9982, 7218, 254, 855, 8547, 12386], 0.07453000000000001, 294, 6, 'Success']","[[9982, 7218, 8301, 137, 12325, 3974, 916, 5799, 8547, 12386], 0.06943, 458, 10, 'Success']"
5259,7942,6,"[[5259, 18, 600, 7942], 1.01801, 120, 4, 'Success']","[[5259, 18, 600, 7942], 1.01801, 120, 4, 'Success']","[[5259, 32, 600, 7942], 1.021, 324, 4, 'Success']","[[5259, 18, 600, 7942], 1.01801, 120, 4, 'Success']","[[5259, 18, 600, 7942], 1.01801, 120, 4, 'Success']","[[5259, 858, 4090, 12325, 600, 7942], 0.018009999999999998, 194, 6, 'Success']"
11201,8549,6573,"[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']","[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']","[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']","[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']","[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']","[[11201, 233, 600, 8549], 20.738780000000002, 114, 4, 'Success']"
7239,8165,9,"[[7239, 6274, 21, 11267, 8165], 2.03302, 264, 5, 'Success']","[[7239, 6274, 21, 11267, 8165], 2.03302, 264, 5, 'Success']","[[7239, 6274, 4764, 233, 11267, 8165], 1.23144, 298, 6, 'Success']","[[7239, 6274, 21, 11267, 8165], 2.03302, 264, 5, 'Success']","[[7239, 6274, 21, 11267, 8165], 2.03302, 264, 5, 'Success']","[[7239, 6274, 3642, 167, 11267, 8165], 1.0300200000000002, 294, 6, 'Success']"
9762,2393,17,"[[9762, 21, 8060, 8637, 2393], 3.0013199999999998, 160, 5, 'Success']","[[9762, 21, 8060, 8637, 2393], 3.0013199999999998, 160, 5, 'Success']","[[9762, 21, 233, 4792, 9799, 8637, 2393], 2.0081299999999995, 332, 7, 'Success']","[[9762, 21, 8060, 8637, 2393], 3.0013199999999998, 160, 5, 'Success']","[[9762, 21, 8060, 8637, 2393], 3.0013199999999998, 160, 5, 'Success']","[[9762, 21, 12634, 6764, 3297, 9510, 167, 4312, 8737, 8637, 2393], 2.00146, 384, 11, 'Success']"
6330,5920,110,"[[6330, 21, 5920], 2.00022, 80, 3, 'Success']","[[6330, 21, 5920], 2.00022, 80, 3, 'Success']","[[6330, 1139, 32, 5920], 1.3880500000000002, 224, 4, 'Success']","[[6330, 21, 5920], 2.00022, 80, 3, 'Success']","[[6330, 21, 5920], 2.00022, 80, 3, 'Success']","[[6330, 1139, 6324, 5199, 12325, 2721, 2909, 5920], 0.05533, 274, 8, 'Success']"
3011,4232,325,"[[3011, 3221, 2781, 3083, 4232], 0.01821, 264, 5, 'Success']","[[3011, 3221, 2781, 3083, 4232], 0.01821, 264, 5, 'Success']","[[3011, 185, 4682, 3083, 4232], 0.07312, 252, 5, 'Success']","[[3011, 3221, 2781, 3083, 4232], 0.01821, 264, 5, 'Success']","[[3011, 3221, 2781, 3083, 4232], 0.01821, 264, 5, 'Success']","[[3011, 3221, 3892, 167, 5965, 3083, 4232], 0.017230000000000002, 334, 7, 'Success']"
