Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1983,10160,3372,"[[1983, 18, 10160], 2.61051, 80, 3, 'Success']","[[1983, 18, 10160], 2.61051, 80, 3, 'Success']","[[1983, 12325, 29, 10160], 0.6137, 114, 4, 'Success']","[[1983, 18, 10160], 2.61051, 80, 3, 'Success']","[[1983, 18, 10160], 2.61051, 80, 3, 'Success']","[[1983, 12634, 6764, 3297, 10113, 12325, 29, 10160], 0.18308, 268, 8, 'Success']"
609,11050,70092,"[[609, 11050], 7.0092, 40, 2, 'Failure']","[[609, 11050], 7.0092, 40, 2, 'Failure']","[[609, 3360, 26, 11050], 1.3311, 114, 4, 'Success']","[[609, 11050], 7.0092, 40, 2, 'Failure']","[[609, 11050], 7.0092, 40, 2, 'Failure']","[[609, 19, 215, 137, 12325, 26, 11050], 1.3311, 216, 7, 'Failure']"
463,7006,40135,"[[463, 21, 7006], 21.10816, 80, 3, 'Success']","[[463, 21, 7006], 21.10816, 80, 3, 'Success']","[[463, 12325, 8089, 1446, 7006], 2.12042, 154, 5, 'Failure']","[[463, 21, 7006], 21.10816, 80, 3, 'Success']","[[463, 21, 7006], 21.10816, 80, 3, 'Failure']","[[463, 12325, 4482, 149, 9515, 21, 7006], 2.16156, 338, 7, 'Failure']"
233,10121,18254,"[[233, 12236, 10121], 9.43758, 74, 3, 'Failure']","[[233, 12236, 10121], 9.43758, 74, 3, 'Failure']","[[233, 600, 6010, 10121], 0.09127, 114, 4, 'Failure']","[[233, 600, 6010, 10121], 0.09127, 114, 4, 'Failure']","[[233, 600, 6010, 10121], 0.09127, 114, 4, 'Failure']","[[233, 3190, 167, 12194, 6010, 10121], 0.055760000000000004, 288, 6, 'Failure']"
2537,9835,7549,"[[2537, 609, 11167, 9835], 1.9890700000000001, 120, 4, 'Success']","[[2537, 609, 11167, 9835], 1.9890700000000001, 120, 4, 'Failure']","[[2537, 609, 11167, 9835], 1.9890700000000001, 120, 4, 'Failure']","[[2537, 9472, 463, 9835], 4.01619, 120, 4, 'Success']","[[2537, 9472, 463, 9835], 4.01619, 120, 4, 'Failure']","[[2537, 3778, 12325, 167, 12194, 1579, 4692, 10012, 9835], 2.7780800000000005, 304, 9, 'Success']"
173,1106,2420,"[[173, 2, 1106], 2.62511, 58, 3, 'Success']","[[173, 2, 1106], 2.62511, 58, 3, 'Failure']","[[173, 2, 1106], 2.62511, 58, 3, 'Failure']","[[173, 2, 1106], 2.62511, 58, 3, 'Failure']","[[173, 2, 1106], 2.62511, 58, 3, 'Failure']","[[173, 62, 2, 1106], 2.62511, 76, 4, 'Failure']"
207,9536,50351,"[[207, 1566, 21, 9536], 2.05739, 110, 4, 'Success']","[[207, 1566, 21, 9536], 2.05739, 110, 4, 'Success']","[[207, 1566, 21, 9536], 2.05739, 110, 4, 'Failure']","[[207, 1566, 21, 9536], 2.05739, 110, 4, 'Failure']","[[207, 1566, 21, 9536], 2.05739, 110, 4, 'Failure']","[[207, 1566, 1573, 321, 10274, 21, 9536], 3.4765299999999995, 230, 7, 'Failure']"
293,3630,26085,"[[293, 855, 3630], 20.558049999999998, 80, 3, 'Failure']","[[293, 855, 3630], 20.558049999999998, 80, 3, 'Failure']","[[293, 9281, 609, 3630], 0.20868, 120, 4, 'Failure']","[[293, 11607, 609, 3630], 0.23477, 120, 4, 'Failure']","[[293, 11607, 609, 3630], 0.23477, 120, 4, 'Failure']","[[293, 167, 6722, 12325, 4438, 609, 3630], 0.10433999999999999, 234, 7, 'Failure']"
293,11683,46042,"[[293, 12325, 63, 11683], 5.33487, 114, 4, 'Success']","[[293, 12325, 63, 11683], 5.33487, 114, 4, 'Failure']","[[293, 12325, 5899, 6830, 314, 10480, 11683], 1.90469, 442, 7, 'Failure']","[[293, 12325, 63, 11683], 5.33487, 114, 4, 'Failure']","[[293, 12325, 63, 11683], 5.33487, 114, 4, 'Failure']","[[293, 167, 57, 175, 63, 11683], 4.92045, 146, 6, 'Failure']"
2877,12615,116428,"[[2877, 383, 12615], 16.60136, 80, 3, 'Success']","[[2877, 383, 12615], 16.60136, 80, 3, 'Success']","[[2877, 12857, 333, 12615], 2.59929, 120, 4, 'Failure']","[[2877, 383, 12615], 16.60136, 80, 3, 'Failure']","[[2877, 383, 12615], 16.60136, 80, 3, 'Failure']","[[2877, 383, 12615], 16.60136, 80, 3, 'Failure']"
2584,887,37792,"[[2584, 18, 887], 19.951690000000003, 80, 3, 'Success']","[[2584, 18, 887], 19.951690000000003, 80, 3, 'Failure']","[[2584, 489, 18, 887], 2.56689, 120, 4, 'Failure']","[[2584, 18, 887], 19.951690000000003, 80, 3, 'Failure']","[[2584, 18, 887], 19.951690000000003, 80, 3, 'Failure']","[[2584, 167, 6722, 18, 887], 2.45351, 160, 5, 'Failure']"
