Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2597,408,3292476,"[[2597, 32, 408], 4939.06547, 366, 3, 'Success']","[[2597, 32, 408], 4939.06547, 366, 3, 'Failure']","[[2597, 12325, 182, 408], 3297.77277, 296, 4, 'Failure']","[[2597, 32, 408], 4939.06547, 366, 3, 'Failure']","[[2597, 32, 408], 4939.06547, 366, 3, 'Failure']","[[2597, 321, 26, 302, 408], 3334.51678, 336, 5, 'Failure']"
398,7542,802,"[[398, 3386, 3083, 7542], 1.0015999999999998, 224, 4, 'Success']","[[398, 3386, 3083, 7542], 1.0015999999999998, 224, 4, 'Success']","[[398, 5899, 4682, 3083, 7542], 1.06175, 362, 5, 'Success']","[[398, 2223, 3083, 7542], 1.0008, 328, 4, 'Success']","[[398, 2223, 3083, 7542], 1.0008, 328, 4, 'Success']","[[398, 12325, 5965, 3083, 7542], 1.0008, 258, 5, 'Success']"
600,4704,14223198,"[[600, 3974, 84, 4704], 30.44641, 120, 4, 'Failure']","[[600, 12325, 4704], 42694.669, 74, 3, 'Failure']","[[600, 3974, 84, 4704], 30.44641, 120, 4, 'Failure']","[[600, 61, 173, 4704], 827.19784, 98, 4, 'Failure']","[[600, 61, 173, 4704], 827.19784, 98, 4, 'Failure']","[[600, 61, 173, 60, 321, 4704], 842.4219200000001, 156, 6, 'Failure']"
600,5401,10473,"[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Success']","[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Success']","[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Success']","[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Success']","[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Success']","[[600, 6079, 4822, 5401], 0.04189, 224, 4, 'Failure']"
7218,933,1822950,"[[7218, 21, 3414, 933], 5471.68142, 224, 4, 'Failure']","[[7218, 21, 3414, 933], 5471.68142, 224, 4, 'Failure']","[[7218, 21, 3414, 933], 5471.68142, 224, 4, 'Failure']","[[7218, 301, 445, 10484, 933], 5658.358090000001, 258, 5, 'Success']","[[7218, 301, 445, 10484, 933], 5658.358090000001, 258, 5, 'Failure']","[[7218, 301, 445, 10484, 933], 5658.358090000001, 258, 5, 'Failure']"
177,3999,147035,"[[177, 141, 32, 3999], 84.71148, 202, 4, 'Success']","[[177, 4834, 32, 3999], 85.35861999999999, 202, 4, 'Failure']","[[177, 12325, 32, 3999], 84.71148, 218, 4, 'Failure']","[[177, 321, 32, 3999], 85.85865, 224, 4, 'Failure']","[[177, 321, 32, 3999], 85.85865, 224, 4, 'Failure']","[[177, 71, 32, 3999], 84.71148, 202, 4, 'Failure']"
131,5150,251660,"[[131, 11584, 21, 5150], 3.5033200000000004, 120, 4, 'Failure']","[[131, 32, 5150], 2646.44412, 184, 3, 'Success']","[[131, 137, 12325, 182, 5150], 2.50332, 164, 5, 'Failure']","[[131, 4975, 32, 5150], 129.08192, 224, 4, 'Failure']","[[131, 4975, 32, 5150], 129.08192, 224, 4, 'Failure']","[[131, 2938, 609, 5150], 26.92106, 120, 4, 'Failure']"
12325,2168,441034,"[[12325, 855, 2168], 88.2068, 74, 3, 'Success']","[[12325, 855, 2168], 88.2068, 74, 3, 'Success']","[[12325, 4289, 18, 2168], 1.88307, 108, 4, 'Failure']","[[12325, 855, 2168], 88.2068, 74, 3, 'Failure']","[[12325, 855, 2168], 88.2068, 74, 3, 'Failure']","[[12325, 855, 2168], 88.2068, 74, 3, 'Failure']"
177,4120,861,"[[177, 12325, 855, 4120], 2.46956, 114, 4, 'Success']","[[177, 12325, 855, 4120], 2.46956, 114, 4, 'Success']","[[177, 233, 12325, 855, 4120], 2.48679, 148, 5, 'Success']","[[177, 12325, 855, 4120], 2.46956, 114, 4, 'Success']","[[177, 12325, 855, 4120], 2.46956, 114, 4, 'Success']","[[177, 173, 855, 4120], 2.46956, 98, 4, 'Success']"
21,3656,1409,"[[21, 2757, 1139, 3656], 5.22841, 120, 4, 'Success']","[[21, 2757, 1139, 3656], 5.22841, 120, 4, 'Success']","[[21, 233, 2375, 1139, 3656], 5.46018, 258, 5, 'Success']","[[21, 3395, 1139, 3656], 5.22982, 120, 4, 'Success']","[[21, 3395, 1139, 3656], 5.22982, 120, 4, 'Success']","[[21, 12634, 6764, 3297, 6324, 1139, 3656], 5.23223, 234, 7, 'Success']"
