Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
609,10294,713743,"[[609, 2223, 10294], 0.71374, 80, 3, 'Failure']","[[609, 2223, 10294], 0.71374, 80, 3, 'Failure']","[[609, 2223, 10294], 0.71374, 80, 3, 'Failure']","[[609, 2223, 10294], 0.71374, 80, 3, 'Failure']","[[609, 2223, 10294], 0.71374, 80, 3, 'Failure']","[[609, 2359, 301, 445, 3520, 10294], 39.40116999999999, 200, 6, 'Success']"
1236,48,8516996,"[[1236, 30, 48], 10.517, 80, 3, 'Failure']","[[1236, 30, 48], 10.517, 80, 3, 'Failure']","[[1236, 8179, 314, 11837, 48], 1.002, 242, 5, 'Failure']","[[1236, 60, 48], 471.68478, 80, 3, 'Success']","[[1236, 60, 48], 471.68478, 80, 3, 'Success']","[[1236, 60, 175, 48], 471.68478, 98, 4, 'Success']"
57,8768,3807809,"[[57, 2, 8768], 211.6795, 58, 3, 'Failure']","[[57, 2, 8768], 211.6795, 58, 3, 'Failure']","[[57, 2, 8768], 211.6795, 58, 3, 'Failure']","[[57, 173, 174, 692, 8768], 216.48756999999998, 116, 5, 'Success']","[[57, 173, 174, 692, 8768], 216.48756999999998, 116, 5, 'Failure']","[[57, 173, 174, 692, 8768], 216.48756999999998, 116, 5, 'Failure']"
4792,2597,13641674,"[[4792, 4081, 2597], 286.47515, 80, 3, 'Failure']","[[4792, 4081, 2597], 286.47515, 80, 3, 'Failure']","[[4792, 167, 137, 2597], 13.64167, 120, 4, 'Failure']","[[4792, 3292, 2597], 2059.89277, 60, 3, 'Failure']","[[4792, 3292, 2597], 2059.89277, 60, 3, 'Failure']","[[4792, 3292, 2597], 2059.89277, 60, 3, 'Failure']"
1139,32,11394471,"[[1139, 2561, 32], 23.78895, 80, 3, 'Failure']","[[1139, 32], 34183.413, 40, 2, 'Failure']","[[1139, 2561, 32], 23.78895, 80, 3, 'Failure']","[[1139, 70, 796, 32], 675.5264, 120, 4, 'Success']","[[1139, 70, 796, 32], 675.5264, 120, 4, 'Success']","[[1139, 70, 177, 71, 32], 663.13121, 116, 5, 'Success']"
2877,148,27715636,"[[2877, 148], 28.71564, 40, 2, 'Failure']","[[2877, 148], 28.71564, 40, 2, 'Failure']","[[2877, 148], 28.71564, 40, 2, 'Failure']","[[2877, 175, 177, 148], 1555.3271399999999, 98, 4, 'Success']","[[2877, 175, 177, 148], 1555.3271399999999, 98, 4, 'Success']","[[2877, 175, 177, 148], 1555.3271399999999, 98, 4, 'Success']"
3941,91,35974209,"[[3941, 254, 91], 29805.422599999998, 61, 3, 'Failure']","[[3941, 254, 91], 29805.422599999998, 61, 3, 'Failure']","[[3941, 84, 137, 91], 2392.90048, 111, 4, 'Failure']","[[3941, 174, 175, 91], 122390.75809, 79, 4, 'Success']","[[3941, 174, 175, 91], 122390.75809, 79, 4, 'Failure']","[[3941, 301, 445, 91], 92561.30135, 101, 4, 'Failure']"
207,48,7342373,"[[207, 48], 4415.4218, 40, 2, 'Success']","[[207, 48], 4415.4218, 40, 2, 'Failure']","[[207, 12325, 48], 57.34237, 74, 3, 'Failure']","[[207, 48], 4415.4218, 40, 2, 'Failure']","[[207, 48], 4415.4218, 40, 2, 'Failure']","[[207, 6184, 1139, 70, 175, 48], 522.66571, 178, 6, 'Failure']"
57,6980,4827577,"[[57, 12573, 6980], 273.59464, 80, 3, 'Failure']","[[57, 12573, 6980], 273.59464, 80, 3, 'Failure']","[[57, 175, 4261, 6980], 267.76674, 98, 4, 'Failure']","[[57, 321, 796, 6980], 279.42254, 120, 4, 'Failure']","[[57, 321, 796, 6980], 279.42254, 120, 4, 'Failure']","[[57, 177, 796, 6980], 273.59464, 98, 4, 'Success']"
1139,233,9652919,"[[1139, 6324, 233], 28.95876, 80, 3, 'Failure']","[[1139, 233], 28958.757, 40, 2, 'Failure']","[[1139, 3905, 2727, 233], 20.30585, 120, 4, 'Failure']","[[1139, 70, 3292, 233], 562.12091, 100, 4, 'Success']","[[1139, 70, 3292, 233], 562.12091, 100, 4, 'Failure']","[[1139, 70, 175, 233], 562.12091, 98, 4, 'Failure']"
6274,48,1156798,"[[6274, 4418, 48], 3472.5572700000002, 184, 3, 'Failure']","[[6274, 4418, 48], 3472.5572700000002, 184, 3, 'Failure']","[[6274, 8768, 10113, 12325, 48], 3470.394, 362, 5, 'Failure']","[[6274, 3065, 48], 3655.87967, 184, 3, 'Failure']","[[6274, 3065, 48], 3655.87967, 184, 3, 'Failure']","[[6274, 3065, 60, 175, 48], 3549.07186, 242, 5, 'Failure']"
