Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
4374,8670,9,"[[4374, 600, 6079, 21, 8670], 2.0000600000000004, 160, 5, 'Success']","[[4374, 600, 6079, 21, 8670], 2.0000600000000004, 160, 5, 'Success']","[[4374, 600, 4764, 21, 8670], 2.0300700000000003, 160, 5, 'Success']","[[4374, 600, 6079, 21, 8670], 2.0000600000000004, 160, 5, 'Success']","[[4374, 600, 6079, 21, 8670], 2.0000600000000004, 160, 5, 'Success']","[[4374, 1139, 6324, 5199, 12325, 8167, 244, 8670], 2.00005, 274, 8, 'Success']"
6634,6177,16,"[[6634, 11840, 167, 6177], 1.0000399999999998, 110, 4, 'Success']","[[6634, 11840, 167, 6177], 1.0000399999999998, 110, 4, 'Success']","[[6634, 11840, 167, 6177], 1.0000399999999998, 110, 4, 'Success']","[[6634, 11840, 167, 6177], 1.0000399999999998, 110, 4, 'Success']","[[6634, 11840, 167, 6177], 1.0000399999999998, 110, 4, 'Success']","[[6634, 11840, 12325, 600, 6177], 1.00007, 154, 5, 'Success']"
3283,2940,298,"[[3283, 18, 452, 2940], 3.0304, 120, 4, 'Success']","[[3283, 18, 452, 2940], 3.0304, 120, 4, 'Success']","[[3283, 18, 452, 2940], 3.0304, 120, 4, 'Success']","[[3283, 18, 452, 2940], 3.0304, 120, 4, 'Success']","[[3283, 18, 452, 2940], 3.0304, 120, 4, 'Success']","[[3283, 3083, 5965, 12325, 1559, 2752, 2940], 2.4471999999999996, 338, 7, 'Success']"
10552,6750,1425,"[[10552, 855, 6750], 1.28643, 80, 3, 'Success']","[[10552, 855, 6750], 1.28643, 80, 3, 'Success']","[[10552, 855, 6750], 1.28643, 80, 3, 'Success']","[[10552, 855, 6750], 1.28643, 80, 3, 'Success']","[[10552, 855, 6750], 1.28643, 80, 3, 'Success']","[[10552, 10503, 12325, 855, 6750], 1.35769, 154, 5, 'Success']"
6998,9531,93839,"[[6998, 167, 4000, 9531], 2.2815199999999995, 110, 4, 'Failure']","[[6998, 167, 4000, 9531], 2.2815199999999995, 110, 4, 'Failure']","[[6998, 167, 4000, 9531], 2.2815199999999995, 110, 4, 'Failure']","[[6998, 8052, 855, 51, 9531], 502.51140999999996, 264, 5, 'Success']","[[6998, 8052, 855, 51, 9531], 502.51140999999996, 264, 5, 'Failure']","[[6998, 8052, 4792, 167, 11837, 314, 9726, 9531], 6.81723, 362, 8, 'Failure']"
11985,2610,343208,"[[11985, 8057, 18, 2610], 61.18886, 120, 4, 'Failure']","[[11985, 8057, 18, 2610], 61.18886, 120, 4, 'Failure']","[[11985, 11429, 3079, 10295, 2610], 4.3738399999999995, 154, 5, 'Failure']","[[11985, 8057, 18, 2610], 61.18886, 120, 4, 'Failure']","[[11985, 8057, 18, 2610], 61.18886, 120, 4, 'Failure']","[[11985, 8057, 18, 2610], 61.18886, 120, 4, 'Failure']"
6858,11887,5715555,"[[6858, 855, 11887], 1149.8277, 80, 3, 'Failure']","[[6858, 855, 11887], 1149.8277, 80, 3, 'Failure']","[[6858, 21, 11827, 167, 11887], 19.14669, 150, 5, 'Failure']","[[6858, 855, 11887], 1149.8277, 80, 3, 'Failure']","[[6858, 855, 11887], 1149.8277, 80, 3, 'Failure']","[[6858, 855, 11887], 1149.8277, 80, 3, 'Failure']"
12108,11735,2,"[[12108, 609, 1969, 855, 11735], 1.0004, 160, 5, 'Success']","[[12108, 609, 1969, 855, 11735], 1.0004, 160, 5, 'Success']","[[12108, 609, 1104, 855, 11735], 1.00065, 154, 5, 'Success']","[[12108, 609, 1969, 855, 11735], 1.0004, 160, 5, 'Success']","[[12108, 609, 1969, 855, 11735], 1.0004, 160, 5, 'Success']","[[12108, 609, 19, 215, 137, 12325, 855, 11735], 1.0004, 262, 8, 'Success']"
8423,11231,89,"[[8423, 18, 11231], 2.00018, 80, 3, 'Success']","[[8423, 18, 11231], 2.00018, 80, 3, 'Success']","[[8423, 18, 11231], 2.00018, 80, 3, 'Success']","[[8423, 18, 11231], 2.00018, 80, 3, 'Success']","[[8423, 18, 11231], 2.00018, 80, 3, 'Success']","[[8423, 18, 11231], 2.00018, 80, 3, 'Success']"
4181,11046,413,"[[4181, 1139, 3905, 11045, 11046], 1.00701, 154, 5, 'Success']","[[4181, 1139, 3905, 11045, 11046], 1.00701, 154, 5, 'Success']","[[4181, 1139, 3905, 11045, 11046], 1.00701, 154, 5, 'Success']","[[4181, 1139, 3905, 11045, 11046], 1.00701, 154, 5, 'Success']","[[4181, 1139, 3905, 11045, 11046], 1.00701, 154, 5, 'Success']","[[4181, 1139, 6324, 5199, 12325, 3093, 12157, 3372, 11045, 11046], 1.0057800000000001, 348, 10, 'Success']"
