Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9536,11604,9,"[[9536, 609, 10113, 12768, 11604], 0.5099, 264, 5, 'Success']","[[9536, 609, 10113, 12768, 11604], 0.5099, 264, 5, 'Success']","[[9536, 609, 8751, 12768, 11604], 0.51649, 264, 5, 'Success']","[[9536, 609, 10113, 12768, 11604], 0.5099, 264, 5, 'Success']","[[9536, 609, 10113, 12768, 11604], 0.5099, 264, 5, 'Success']","[[9536, 609, 19, 215, 137, 12325, 10113, 12768, 11604], 0.50902, 406, 9, 'Success']"
2015,10599,63,"[[2015, 32, 3520, 10294, 10599], 2.03421, 368, 5, 'Success']","[[2015, 32, 3520, 10294, 10599], 2.03421, 368, 5, 'Success']","[[2015, 32, 3520, 10294, 10599], 2.03421, 368, 5, 'Success']","[[2015, 5995, 3083, 7218, 10294, 10599], 1.00321, 512, 6, 'Success']","[[2015, 5995, 3083, 7218, 10294, 10599], 1.00321, 512, 6, 'Success']","[[2015, 5995, 3083, 7218, 10294, 10599], 1.00321, 512, 6, 'Success']"
2646,5497,630,"[[2646, 2, 4822, 5497], 1.00063, 202, 4, 'Success']","[[2646, 2, 4822, 5497], 1.00063, 202, 4, 'Success']","[[2646, 2, 194, 4822, 5497], 1.0636299999999999, 242, 5, 'Success']","[[2646, 2, 4822, 5497], 1.00063, 202, 4, 'Success']","[[2646, 2, 4822, 5497], 1.00063, 202, 4, 'Success']","[[2646, 2, 4822, 5497], 1.00063, 202, 4, 'Success']"
9301,6791,1272,"[[9301, 609, 6791], 1.12847, 80, 3, 'Success']","[[9301, 609, 6791], 1.12847, 80, 3, 'Success']","[[9301, 609, 6791], 1.12847, 80, 3, 'Success']","[[9301, 609, 6791], 1.12847, 80, 3, 'Success']","[[9301, 609, 6791], 1.12847, 80, 3, 'Success']","[[9301, 609, 6791], 1.12847, 80, 3, 'Success']"
10227,5688,33437,"[[10227, 612, 2, 4822, 5688], 8.72105, 242, 5, 'Success']","[[10227, 612, 2, 4822, 5688], 8.72105, 242, 5, 'Success']","[[10227, 612, 4682, 4822, 5688], 9.18926, 258, 5, 'Failure']","[[10227, 612, 2223, 4822, 5688], 8.72105, 264, 5, 'Failure']","[[10227, 612, 2223, 4822, 5688], 8.72105, 264, 5, 'Failure']","[[10227, 612, 2223, 4822, 5688], 8.72105, 264, 5, 'Failure']"
3304,10697,951225,"[[3304, 21, 10294, 10697], 3.90245, 224, 4, 'Failure']","[[3304, 21, 10294, 10697], 3.90245, 224, 4, 'Failure']","[[3304, 2, 7218, 10294, 10697], 1.95122, 346, 5, 'Failure']","[[3304, 21, 10294, 10697], 3.90245, 224, 4, 'Failure']","[[3304, 21, 10294, 10697], 3.90245, 224, 4, 'Failure']","[[3304, 21, 10294, 10697], 3.90245, 224, 4, 'Failure']"
12706,5299,4136711,"[[12706, 12717, 175, 60, 5299], 929.35169, 138, 5, 'Failure']","[[12706, 12717, 175, 60, 5299], 929.35169, 138, 5, 'Failure']","[[12706, 12573, 314, 5319, 12325, 4355, 5299], 506.68174, 338, 7, 'Failure']","[[12706, 12573, 57, 5002, 5299], 1274.27969, 160, 5, 'Failure']","[[12706, 12573, 57, 5002, 5299], 1274.27969, 160, 5, 'Failure']","[[12706, 12573, 57, 5002, 5299], 1274.27969, 160, 5, 'Failure']"
7955,5326,10,"[[7955, 1369, 855, 5326], 2.00411, 120, 4, 'Success']","[[7955, 1369, 855, 5326], 2.00411, 120, 4, 'Success']","[[7955, 130, 233, 3477, 5326], 2.00164, 154, 5, 'Success']","[[7955, 1369, 855, 5326], 2.00411, 120, 4, 'Success']","[[7955, 1369, 855, 5326], 2.00411, 120, 4, 'Success']","[[7955, 130, 87, 5018, 167, 6722, 12325, 3093, 2290, 3477, 5326], 1.10108, 394, 11, 'Success']"
5601,4979,48,,,,,,
11683,10021,864,"[[11683, 10480, 609, 8688, 10021], 1.20838, 160, 5, 'Success']","[[11683, 10480, 609, 8688, 10021], 1.20838, 160, 5, 'Success']","[[11683, 10480, 609, 8688, 10021], 1.20838, 160, 5, 'Success']","[[11683, 10480, 609, 8688, 10021], 1.20838, 160, 5, 'Success']","[[11683, 10480, 609, 8688, 10021], 1.20838, 160, 5, 'Success']","[[11683, 10480, 314, 11837, 149, 8688, 10021], 1.12582, 426, 7, 'Success']"
