Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
9378,1236,2,"[[9378, 57, 2, 1236], 3.25011, 98, 4, 'Success']","[[9378, 57, 2, 1236], 3.25011, 98, 4, 'Success']","[[9378, 57, 233, 1104, 1236], 3.2503699999999998, 148, 5, 'Success']","[[9378, 3885, 4792, 6020, 1236], 2.00002, 160, 5, 'Success']","[[9378, 3885, 4792, 6020, 1236], 2.00002, 160, 5, 'Success']","[[9378, 3885, 8723, 12325, 3974, 1236], 2.0, 194, 6, 'Success']"
6363,609,63,"[[6363, 2081, 19, 609], 1.18906, 98, 4, 'Success']","[[6363, 2081, 19, 609], 1.18906, 98, 4, 'Success']","[[6363, 2081, 1104, 609], 1.1968299999999998, 114, 4, 'Success']","[[6363, 2081, 19, 609], 1.18906, 98, 4, 'Success']","[[6363, 2081, 19, 609], 1.18906, 98, 4, 'Success']","[[6363, 2081, 19, 609], 1.18906, 98, 4, 'Success']"
11327,32,989,"[[11327, 18, 32], 2.00198, 80, 3, 'Success']","[[11327, 18, 32], 2.00198, 80, 3, 'Success']","[[11327, 207, 237, 167, 32], 1.1111, 144, 5, 'Success']","[[11327, 18, 32], 2.00198, 80, 3, 'Success']","[[11327, 18, 32], 2.00198, 80, 3, 'Success']","[[11327, 1139, 6324, 5199, 12325, 32], 1.00396, 194, 6, 'Success']"
247,609,7171,"[[247, 18, 2425, 609], 2.01434, 120, 4, 'Failure']","[[247, 18, 11578, 609], 2.0215099999999997, 110, 4, 'Failure']","[[247, 21, 24, 609], 2.0215099999999997, 218, 4, 'Success']","[[247, 21, 9515, 609], 2.01434, 120, 4, 'Success']","[[247, 21, 9515, 609], 2.01434, 120, 4, 'Success']","[[247, 1960, 1945, 600, 6010, 609], 1.03585, 200, 6, 'Failure']"
7955,36,46975,"[[7955, 1369, 36], 11.911740000000002, 80, 3, 'Success']","[[7955, 1369, 36], 11.911740000000002, 80, 3, 'Success']","[[7955, 1369, 9634, 12325, 36], 2.23588, 148, 5, 'Success']","[[7955, 50, 29, 36], 5.97456, 120, 4, 'Success']","[[7955, 50, 29, 36], 5.97456, 120, 4, 'Success']","[[7955, 50, 173, 62, 36], 5.880599999999999, 116, 5, 'Success']"
3283,50,690887,"[[3283, 18, 50], 3.38178, 80, 3, 'Failure']","[[3283, 18, 50], 3.38178, 80, 3, 'Failure']","[[3283, 67, 175, 50], 1.69089, 76, 4, 'Failure']","[[3283, 18, 50], 3.38178, 80, 3, 'Failure']","[[3283, 18, 50], 3.38178, 80, 3, 'Failure']","[[3283, 67, 175, 50], 1.69089, 76, 4, 'Failure']"
6579,894,2268045,"[[6579, 9423, 124, 894], 528.1874899999999, 120, 4, 'Failure']","[[6579, 9423, 124, 894], 528.1874899999999, 120, 4, 'Failure']","[[6579, 9518, 12189, 12325, 894], 3.26804, 154, 5, 'Failure']","[[6579, 634, 42, 11837, 894], 2368.4401900000003, 266, 5, 'Failure']","[[6579, 634, 42, 11837, 894], 2368.4401900000003, 266, 5, 'Failure']","[[6579, 2011, 32, 321, 175, 894], 1268.61873, 304, 6, 'Failure']"
8628,148,8,"[[8628, 1609, 2223, 148], 1.50794, 120, 4, 'Success']","[[8628, 1609, 2223, 148], 1.50794, 120, 4, 'Success']","[[8628, 1609, 26, 148], 1.99187, 114, 4, 'Success']","[[8628, 1609, 2223, 148], 1.50794, 120, 4, 'Success']","[[8628, 1609, 2223, 148], 1.50794, 120, 4, 'Success']","[[8628, 1609, 9709, 12325, 148], 1.5000200000000001, 154, 5, 'Success']"
253,463,39,"[[253, 21, 463], 2.0080400000000003, 184, 3, 'Success']","[[253, 21, 463], 2.0080400000000003, 184, 3, 'Success']","[[253, 24, 261, 194, 463], 1.04705, 258, 5, 'Success']","[[253, 21, 463], 2.0080400000000003, 184, 3, 'Success']","[[253, 21, 463], 2.0080400000000003, 184, 3, 'Success']","[[253, 24, 609, 19, 215, 463], 1.00792, 276, 6, 'Success']"
12014,2877,561,"[[12014, 855, 6876, 2877], 1.00673, 120, 4, 'Success']","[[12014, 855, 6876, 2877], 1.00673, 120, 4, 'Success']","[[12014, 184, 194, 2877], 1.05822, 114, 4, 'Success']","[[12014, 855, 6876, 2877], 1.00673, 120, 4, 'Success']","[[12014, 855, 6876, 2877], 1.00673, 120, 4, 'Success']","[[12014, 184, 9928, 12325, 137, 2877], 1.0077299999999998, 198, 6, 'Success']"
