Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
10950,2591,10000,"[[10950, 10294, 2223, 1609, 2591], 34.86509, 264, 5, 'Failure']","[[10950, 10294, 2223, 1609, 2591], 34.86509, 264, 5, 'Failure']","[[10950, 10294, 4822, 8617, 6236, 2591], 30.200599999999998, 402, 6, 'Success']","[[10950, 10294, 21, 8617, 6236, 2591], 31.213630000000002, 298, 6, 'Success']","[[10950, 10294, 21, 8617, 6236, 2591], 31.213630000000002, 298, 6, 'Success']","[[10950, 10294, 7218, 8301, 137, 12325, 167, 10485, 6236, 2591], 30.22066, 556, 10, 'Success']"
10313,943,10000,"[[10313, 71, 1659, 600, 943], 33.81168, 160, 5, 'Success']","[[10313, 71, 233, 600, 943], 33.83174, 154, 5, 'Failure']","[[10313, 71, 233, 600, 943], 33.83174, 154, 5, 'Failure']","[[10313, 71, 1659, 600, 943], 33.81168, 160, 5, 'Failure']","[[10313, 71, 1659, 600, 943], 33.81168, 160, 5, 'Failure']","[[10313, 71, 177, 61, 600, 943], 33.81168, 156, 6, 'Failure']"
2181,6414,10000,"[[2181, 18, 53, 6414], 12.700019999999999, 120, 4, 'Success']","[[2181, 18, 53, 6414], 12.700019999999999, 120, 4, 'Success']","[[2181, 84, 53, 6414], 13.390229999999999, 100, 4, 'Success']","[[2181, 18, 53, 6414], 12.700019999999999, 120, 4, 'Success']","[[2181, 18, 53, 6414], 12.700019999999999, 120, 4, 'Success']","[[2181, 855, 6876, 167, 57, 175, 53, 6414], 11.760089999999998, 226, 8, 'Success']"
3551,334,10000,"[[3551, 8411, 321, 334], 3.22004, 218, 4, 'Failure']","[[3551, 8411, 321, 334], 3.22004, 218, 4, 'Failure']","[[3551, 8411, 321, 334], 3.22004, 218, 4, 'Failure']","[[3551, 8411, 321, 334], 3.22004, 218, 4, 'Failure']","[[3551, 8411, 321, 334], 3.22004, 218, 4, 'Failure']","[[3551, 6876, 167, 6722, 12325, 4090, 6785, 6548, 6197, 334], 1.47, 354, 10, 'Success']"
1177,12019,10000,"[[1177, 1139, 6184, 18, 12019], 1.6000100000000002, 160, 5, 'Failure']","[[1177, 1139, 6184, 18, 12019], 1.6000100000000002, 160, 5, 'Failure']","[[1177, 1139, 6219, 314, 8756, 12019], 1.082, 304, 6, 'Failure']","[[1177, 1139, 5949, 11178, 12768, 12019], 1.1400000000000001, 200, 6, 'Failure']","[[1177, 1139, 5949, 11178, 12768, 12019], 1.1400000000000001, 200, 6, 'Failure']","[[1177, 1139, 6324, 3297, 10113, 12768, 12019], 0.051, 240, 7, 'Failure']"
1762,11059,10000,"[[1762, 2508, 173, 11059], 13.31012, 114, 4, 'Success']","[[1762, 2508, 173, 11059], 13.31012, 114, 4, 'Success']","[[1762, 182, 2, 184, 11059], 3.0309999999999997, 236, 5, 'Success']","[[1762, 1213, 2, 184, 11059], 3.0309999999999997, 136, 5, 'Success']","[[1762, 1213, 2, 184, 11059], 3.0309999999999997, 136, 5, 'Success']","[[1762, 494, 15, 251, 600, 6010, 1559, 12325, 167, 2810, 184, 11059], 1.62701, 394, 12, 'Success']"
9007,3110,10000,"[[9007, 8768, 10113, 12325, 3110], 30.0, 258, 5, 'Success']","[[9007, 8768, 10113, 12325, 3110], 30.0, 258, 5, 'Success']","[[9007, 8768, 10113, 12325, 3110], 30.0, 258, 5, 'Success']","[[9007, 8768, 10113, 12325, 3110], 30.0, 258, 5, 'Success']","[[9007, 8768, 10113, 12325, 3110], 30.0, 258, 5, 'Success']","[[9007, 8768, 7218, 8301, 137, 12325, 3110], 30.0, 452, 7, 'Success']"
5634,955,10000,"[[5634, 233, 600, 955], 31.02306, 114, 4, 'Success']","[[5634, 233, 600, 955], 31.02306, 114, 4, 'Failure']","[[5634, 233, 600, 955], 31.02306, 114, 4, 'Failure']","[[5634, 233, 600, 955], 31.02306, 114, 4, 'Failure']","[[5634, 233, 600, 955], 31.02306, 114, 4, 'Failure']","[[5634, 149, 1659, 600, 955], 31.021060000000002, 264, 5, 'Failure']"
728,10143,10000,"[[728, 600, 10143], 30.01003, 80, 3, 'Success']","[[728, 600, 10143], 30.01003, 80, 3, 'Success']","[[728, 600, 6157, 52, 10143], 2.8400099999999995, 160, 5, 'Success']","[[728, 600, 6157, 52, 10143], 2.8400099999999995, 160, 5, 'Success']","[[728, 600, 6157, 52, 10143], 2.8400099999999995, 160, 5, 'Success']","[[728, 600, 61, 177, 52, 10143], 2.8400099999999995, 156, 6, 'Success']"
3869,6779,10000,"[[3869, 18, 1767, 6779], 4.26025, 120, 4, 'Success']","[[3869, 18, 1767, 6779], 4.26025, 120, 4, 'Success']","[[3869, 18, 1767, 6779], 4.26025, 120, 4, 'Success']","[[3869, 18, 1767, 6779], 4.26025, 120, 4, 'Success']","[[3869, 18, 1767, 6779], 4.26025, 120, 4, 'Success']","[[3869, 600, 6010, 1559, 12325, 131, 1767, 6779], 3.15003, 274, 8, 'Success']"
