Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
8408,1903,2,"[[8408, 32, 1903], 2.0010010009980004, 184, 3, 'Success']","[[8408, 32, 1903], 2.0010010009980004, 184, 3, 'Success']","[[8408, 32, 1903], 2.0010010009980004, 184, 3, 'Success']","[[8408, 32, 1903], 2.0010010009980004, 184, 3, 'Success']","[[8408, 32, 1903], 2.0010010009980004, 184, 3, 'Success']","[[8408, 6557, 12325, 48, 1903], 1.00030001, 154, 5, 'Failure']"
11631,2033,54,"[[11631, 2877, 2615, 2033], 3.0001650001630003, 120, 4, 'Success']","[[11631, 2877, 2615, 2033], 3.0001650001630003, 120, 4, 'Success']","[[11631, 2366, 723, 1369, 2033], 2.288608165543119, 154, 5, 'Success']","[[11631, 2877, 2615, 2033], 3.0001650001630003, 120, 4, 'Success']","[[11631, 2877, 2615, 2033], 3.0001650001630003, 120, 4, 'Success']","[[11631, 4339, 314, 11837, 12325, 29, 7396, 2615, 2033], 2.0148694426434366, 396, 9, 'Success']"
4262,9536,166,"[[4262, 93, 2425, 609, 9536], 0.5681256440498, 160, 5, 'Success']","[[4262, 93, 2425, 609, 9536], 0.5681256440498, 160, 5, 'Success']","[[4262, 93, 233, 1104, 609, 9536], 0.5890502816000664, 188, 6, 'Success']","[[4262, 93, 36, 609, 9536], 0.5681256440498, 192, 5, 'Success']","[[4262, 93, 36, 609, 9536], 0.5681256440498, 192, 5, 'Success']","[[4262, 93, 9550, 1981, 12325, 9709, 108, 9536], 0.559989130787971, 254, 8, 'Success']"
9930,3884,5622,"[[9930, 18, 560, 21, 3884], 3.0168690168670054, 160, 5, 'Success']","[[9930, 18, 560, 21, 3884], 3.0168690168670054, 160, 5, 'Success']","[[9930, 18, 560, 21, 3884], 3.0168690168670054, 160, 5, 'Success']","[[9930, 18, 9515, 21, 3884], 3.0168690168670054, 160, 5, 'Success']","[[9930, 18, 9515, 21, 3884], 3.0168690168670054, 160, 5, 'Success']","[[9930, 18, 9515, 21, 3884], 3.0168690168670054, 160, 5, 'Success']"
8183,558,48277,"[[8183, 6342, 5060, 18, 97, 558], 3.886229869002772, 200, 6, 'Failure']","[[8183, 6342, 5060, 18, 97, 558], 3.886229869002772, 200, 6, 'Failure']","[[8183, 6342, 5060, 18, 97, 558], 3.886229869002772, 200, 6, 'Failure']","[[8183, 6342, 5060, 29, 67, 558], 22.47324910516223, 200, 6, 'Failure']","[[8183, 6342, 5060, 29, 67, 558], 22.47324910516223, 200, 6, 'Failure']","[[8183, 6342, 5060, 29, 67, 558], 22.47324910516223, 200, 6, 'Failure']"
12553,6177,336802,"[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']","[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']","[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']","[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']","[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']","[[12553, 3892, 167, 6177], 2.010407010406337, 110, 4, 'Failure']"
12163,1462,8883880,"[[12163, 1806, 855, 2310, 1462], 6228.701240741909, 200, 5, 'Failure']","[[12163, 1806, 855, 2310, 1462], 6228.701240741909, 200, 5, 'Failure']","[[12163, 11314, 2910, 11840, 12325, 4261, 11628, 472, 1389, 1462], 38.53557930331954, 354, 10, 'Failure']","[[12163, 1806, 124, 1067, 1462], 11107.112766194772, 304, 5, 'Failure']","[[12163, 1806, 124, 1067, 1462], 11107.112766194772, 304, 5, 'Failure']","[[12163, 1806, 124, 1067, 1462], 11107.112766194772, 304, 5, 'Failure']"
488,10548,2,"[[488, 18, 177, 10548], 12.001159027049026, 114, 4, 'Success']","[[488, 32, 8653, 10505, 10548], 5.0146410590303105, 258, 5, 'Success']","[[488, 32, 8653, 10505, 10548], 5.0146410590303105, 258, 5, 'Success']","[[488, 32, 2561, 10505, 10548], 5.0146410590303105, 258, 5, 'Success']","[[488, 32, 2561, 10505, 10548], 5.0146410590303105, 258, 5, 'Success']","[[488, 2, 3781, 1139, 2561, 10505, 10548], 4.000305001525003, 212, 7, 'Success']"
3815,568,28,"[[3815, 2969, 233, 131, 568], 2.30594502899904, 154, 5, 'Success']","[[3815, 2969, 233, 131, 568], 2.30594502899904, 154, 5, 'Success']","[[3815, 2969, 233, 131, 568], 2.30594502899904, 154, 5, 'Success']","[[3815, 2969, 233, 131, 568], 2.30594502899904, 154, 5, 'Success']","[[3815, 2969, 233, 131, 568], 2.30594502899904, 154, 5, 'Success']","[[3815, 3814, 600, 6010, 1559, 12325, 167, 1273, 568], 1.4992021945159888, 314, 9, 'Success']"
10386,12725,318,"[[10386, 10294, 2223, 609, 12725], 1.0238547215526, 264, 5, 'Success']","[[10386, 10294, 2223, 609, 12725], 1.0238547215526, 264, 5, 'Success']","[[10386, 10294, 2223, 609, 12725], 1.0238547215526, 264, 5, 'Success']","[[10386, 10294, 2223, 609, 12725], 1.0238547215526, 264, 5, 'Success']","[[10386, 10294, 2223, 609, 12725], 1.0238547215526, 264, 5, 'Success']","[[10386, 10294, 4822, 19, 609, 12725], 0.9858954, 386, 6, 'Success']"
246,5657,2211,"[[246, 5289, 576, 5657], 3.3005675653152293, 120, 4, 'Failure']","[[246, 5289, 576, 5657], 3.3005675653152293, 120, 4, 'Failure']","[[246, 8411, 4682, 1139, 5657], 1.2994890405041923, 148, 5, 'Success']","[[246, 233, 3832, 1139, 5657], 1.050853338283533, 154, 5, 'Success']","[[246, 233, 3832, 1139, 5657], 1.050853338283533, 154, 5, 'Success']","[[246, 8737, 12325, 36, 1139, 5657], 1.004422002211, 226, 6, 'Success']"
6217,8763,90626,"[[6217, 18, 60, 8763], 58.966123875440005, 224, 4, 'Failure']","[[6217, 18, 60, 8763], 58.966123875440005, 224, 4, 'Failure']","[[6217, 18, 6362, 9516, 9532, 8763], 3.3625095437603623, 200, 6, 'Failure']","[[6217, 18, 6362, 9516, 9532, 8763], 3.3625095437603623, 200, 6, 'Failure']","[[6217, 18, 6362, 9516, 9532, 8763], 3.3625095437603623, 200, 6, 'Failure']","[[6217, 18, 11837, 398, 9516, 9532, 8763], 4.362510543760362, 218, 7, 'Failure']"
12923,8730,850024,"[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']","[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']","[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']","[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']","[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']","[[12923, 21, 8730], 3.700049850024, 80, 3, 'Failure']"
2844,709,5956026,"[[2844, 2839, 182, 855, 709], 1212.0768724872587, 160, 5, 'Failure']","[[2844, 2839, 182, 855, 709], 1212.0768724872587, 160, 5, 'Failure']","[[2844, 2839, 182, 12325, 10113, 12768, 6228, 6221, 5955, 709], 467.57138897527506, 354, 10, 'Failure']","[[2844, 2839, 182, 855, 709], 1212.0768724872587, 160, 5, 'Failure']","[[2844, 2839, 182, 855, 709], 1212.0768724872587, 160, 5, 'Failure']","[[2844, 2839, 182, 855, 709], 1212.0768724872587, 160, 5, 'Failure']"
12803,3858,9,"[[12803, 32, 5150, 3858], 3.0072000042918985, 328, 4, 'Success']","[[12803, 32, 5150, 3858], 3.0072000042918985, 328, 4, 'Success']","[[12803, 32, 4682, 609, 3858], 2.0075366424702583, 362, 5, 'Success']","[[12803, 32, 5150, 3858], 3.0072000042918985, 328, 4, 'Success']","[[12803, 32, 5150, 3858], 3.0072000042918985, 328, 4, 'Success']","[[12803, 32, 5965, 609, 3858], 2.00739252738982, 368, 5, 'Success']"
1063,12725,56,"[[1063, 192, 2665, 609, 12725], 2.006217062160056, 154, 5, 'Success']","[[1063, 192, 2665, 609, 12725], 2.006217062160056, 154, 5, 'Success']","[[1063, 192, 2, 194, 609, 12725], 2.011817683766272, 172, 6, 'Success']","[[1063, 192, 36, 609, 12725], 2.006217062160056, 186, 5, 'Success']","[[1063, 192, 36, 609, 12725], 2.006217062160056, 186, 5, 'Success']","[[1063, 485, 1236, 600, 6010, 609, 12725], 2.0058810283920394, 240, 7, 'Success']"
11160,704,701,"[[11160, 855, 10, 704], 2.14180328130114, 120, 4, 'Success']","[[11160, 855, 10, 704], 2.14180328130114, 120, 4, 'Success']","[[11160, 855, 10, 704], 2.14180328130114, 120, 4, 'Success']","[[11160, 855, 10, 704], 2.14180328130114, 120, 4, 'Success']","[[11160, 855, 10, 704], 2.14180328130114, 120, 4, 'Success']","[[11160, 855, 6876, 6781, 609, 704], 1.0750074984117748, 200, 6, 'Success']"
8446,10170,9872,"[[8446, 32, 10056, 10170], 6.648143607344, 328, 4, 'Failure']","[[8446, 32, 10056, 10170], 6.648143607344, 328, 4, 'Failure']","[[8446, 6734, 8688, 609, 10170], 1.9980729872, 264, 5, 'Success']","[[8446, 32, 10056, 10170], 6.648143607344, 328, 4, 'Failure']","[[8446, 32, 10056, 10170], 6.648143607344, 328, 4, 'Failure']","[[8446, 6734, 886, 3778, 12325, 4438, 609, 10170], 2.008945985272987, 378, 8, 'Success']"
8144,9625,99566,"[[8144, 612, 12325, 177, 9625], 9.924278551833726, 154, 5, 'Failure']","[[8144, 612, 12325, 9625], 10001.218131109566, 114, 4, 'Success']","[[8144, 612, 12325, 177, 9625], 9.924278551833726, 154, 5, 'Failure']","[[8144, 612, 6184, 609, 9625], 13.15263479153652, 160, 5, 'Failure']","[[8144, 612, 6184, 609, 9625], 13.15263479153652, 160, 5, 'Failure']","[[8144, 612, 5965, 609, 9625], 12.154753012775958, 160, 5, 'Failure']"
9420,7955,591284,"[[9420, 8560, 21, 1369, 7955], 9.68773452242133, 160, 5, 'Failure']","[[9420, 8560, 21, 1369, 7955], 9.68773452242133, 160, 5, 'Failure']","[[9420, 7927, 4289, 12325, 10113, 1369, 7955], 8.096431426979912, 228, 7, 'Failure']","[[9420, 9261, 18, 50, 7955], 46.41442631600444, 160, 5, 'Failure']","[[9420, 9261, 18, 50, 7955], 46.41442631600444, 160, 5, 'Failure']","[[9420, 9261, 18, 50, 7955], 46.41442631600444, 160, 5, 'Failure']"
12000,3173,4678806,"[[12000, 855, 6876, 18, 3173], 619.6224594345348, 160, 5, 'Failure']","[[12000, 855, 11837, 18, 3173], 1176.4285138182881, 138, 5, 'Failure']","[[12000, 855, 131, 351, 18, 3173], 251.97758685817553, 194, 6, 'Failure']","[[12000, 855, 28, 50, 3173], 2672.598516508409, 154, 5, 'Failure']","[[12000, 855, 28, 50, 3173], 2672.598516508409, 154, 5, 'Failure']","[[12000, 855, 28, 50, 3173], 2672.598516508409, 154, 5, 'Failure']"
