Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
2808,3932,3,"[[2808, 18, 9287, 3932], 2.000039000064, 120, 4, 'Success']","[[2808, 18, 9287, 3932], 2.000039000064, 120, 4, 'Success']","[[2808, 18, 288, 314, 3932], 1.0023072046034025, 264, 5, 'Failure']","[[2808, 18, 9287, 3932], 2.000039000064, 120, 4, 'Success']","[[2808, 18, 9287, 3932], 2.000039000064, 120, 4, 'Success']","[[2808, 18, 11837, 12325, 293, 407, 3322, 3932], 1.0001810003509999, 252, 8, 'Failure']"
11593,6694,16,"[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']","[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']","[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']","[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']","[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']","[[11593, 612, 8339, 6694], 2.0016330032160017, 120, 4, 'Success']"
4547,5443,349,"[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']","[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']","[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']","[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']","[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']","[[4547, 3083, 4822, 5443], 1.000349, 328, 4, 'Success']"
4156,11736,5174,,,,,,
1500,8100,58167,"[[1500, 1236, 2, 32, 8100], 31.083531025333, 242, 5, 'Failure']","[[1500, 1236, 2, 32, 8100], 31.083531025333, 242, 5, 'Failure']","[[1500, 1236, 2, 32, 8100], 31.083531025333, 242, 5, 'Failure']","[[1500, 1236, 6057, 32, 8100], 32.14172910886303, 264, 5, 'Failure']","[[1500, 1236, 6057, 32, 8100], 32.14172910886303, 264, 5, 'Failure']","[[1500, 1236, 570, 29, 32, 8100], 31.19992519239305, 286, 6, 'Failure']"
7330,6292,598336,"[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']","[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']","[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']","[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']","[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']","[[7330, 3083, 6274, 6292], 0.0, 328, 4, 'Failure']"
10645,1350,2317011,"[[10645, 10294, 1875, 1236, 1350], 13926.253032919098, 264, 5, 'Failure']","[[10645, 10294, 1875, 1236, 1350], 13926.253032919098, 264, 5, 'Failure']","[[10645, 10294, 4822, 19, 1236, 1350], 13922.919098999999, 386, 6, 'Failure']","[[10645, 10294, 1875, 1236, 1350], 13926.253032919098, 264, 5, 'Failure']","[[10645, 10294, 1875, 1236, 1350], 13926.253032919098, 264, 5, 'Failure']","[[10645, 10294, 1875, 1236, 1350], 13926.253032919098, 264, 5, 'Failure']"
4241,11801,2,"[[4241, 3083, 2, 612, 11801], 2.009005015002006, 242, 5, 'Success']","[[4241, 3083, 2, 612, 11801], 2.009005015002006, 242, 5, 'Success']","[[4241, 3083, 4682, 612, 11801], 2.010398184323952, 258, 5, 'Success']","[[4241, 3083, 5965, 612, 11801], 2.009005015002006, 264, 5, 'Success']","[[4241, 3083, 5965, 612, 11801], 2.009005015002006, 264, 5, 'Success']","[[4241, 3083, 5965, 612, 11801], 2.009005015002006, 264, 5, 'Success']"
6706,7945,82,"[[6706, 57, 2496, 12445, 7945], 4.074640994519015, 162, 5, 'Success']","[[6706, 57, 2496, 12445, 7945], 4.074640994519015, 162, 5, 'Success']","[[6706, 57, 233, 12445, 7945], 4.114396781360598, 156, 5, 'Success']","[[6706, 57, 582, 12445, 7945], 4.076628783861095, 156, 5, 'Success']","[[6706, 57, 582, 12445, 7945], 4.076628783861095, 156, 5, 'Success']","[[6706, 57, 177, 149, 7233, 7943, 7945], 3.2679774262267953, 322, 7, 'Success']"
7681,7642,870,"[[7681, 6274, 5043, 233, 7642], 2.9756434156992, 258, 5, 'Success']","[[7681, 6274, 5043, 233, 7642], 2.9756434156992, 258, 5, 'Success']","[[7681, 6274, 4764, 233, 7642], 2.99048305190055, 258, 5, 'Success']","[[7681, 6274, 5043, 233, 7642], 2.9756434156992, 258, 5, 'Success']","[[7681, 6274, 5043, 233, 7642], 2.9756434156992, 258, 5, 'Success']","[[7681, 6274, 3083, 5965, 233, 7642], 2.9197765500000004, 402, 6, 'Success']"
