Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
1957,7218,2,"[[1957, 1945, 1875, 7218], 1.009, 120, 4, 'Success']","[[1957, 1945, 1875, 7218], 1.009, 120, 4, 'Success']","[[1957, 1945, 87, 40, 233, 6000, 7218], 0.20762, 224, 7, 'Success']","[[1957, 1945, 600, 2223, 7218], 0.002, 160, 5, 'Success']","[[1957, 1945, 600, 2223, 7218], 0.002, 160, 5, 'Success']","[[1957, 1945, 600, 6010, 609, 2223, 7218], 1e-05, 240, 7, 'Success']"
12183,32,41,"[[12183, 32], 0.0, 40, 2, 'Success']","[[12183, 32], 0.0, 40, 2, 'Success']","[[12183, 32], 0.0, 40, 2, 'Success']","[[12183, 32], 0.0, 40, 2, 'Success']","[[12183, 32], 0.0, 40, 2, 'Success']","[[12183, 32], 0.0, 40, 2, 'Success']"
6607,167,394,"[[6607, 1314, 2362, 167], 1.16688, 120, 4, 'Success']","[[6607, 1314, 2362, 167], 1.16688, 120, 4, 'Success']","[[6607, 9403, 26, 12325, 167], 0.04295, 148, 5, 'Success']","[[6607, 1314, 2362, 167], 1.16688, 120, 4, 'Success']","[[6607, 1314, 2362, 167], 1.16688, 120, 4, 'Success']","[[6607, 9403, 26, 12325, 167], 0.04295, 148, 5, 'Success']"
10611,48,7297,"[[10611, 10294, 11532, 48], 22.01542, 224, 4, 'Success']","[[10611, 10294, 11532, 48], 22.01542, 224, 4, 'Success']","[[10611, 10294, 11532, 48], 22.01542, 224, 4, 'Success']","[[10611, 10294, 11532, 48], 22.01542, 224, 4, 'Success']","[[10611, 10294, 11532, 48], 22.01542, 224, 4, 'Failure']","[[10611, 10294, 7218, 8301, 137, 12325, 6722, 48], 21.891, 492, 8, 'Success']"
2083,4822,57254,"[[2083, 2081, 36, 4822], 1.1145100000000001, 152, 4, 'Failure']","[[2083, 2081, 36, 4822], 1.1145100000000001, 152, 4, 'Failure']","[[2083, 2081, 36, 4822], 1.1145100000000001, 152, 4, 'Failure']","[[2083, 2081, 36, 4822], 1.1145100000000001, 152, 4, 'Failure']","[[2083, 2081, 36, 4822], 1.1145100000000001, 152, 4, 'Failure']","[[2083, 2081, 2680, 600, 6184, 4822], 2.07254, 200, 6, 'Failure']"
1820,32,394489,"[[1820, 32], 1.39449, 40, 2, 'Failure']","[[1820, 32], 1.39449, 40, 2, 'Failure']","[[1820, 32], 1.39449, 40, 2, 'Failure']","[[1820, 1236, 6057, 32], 3.7889800000000005, 120, 4, 'Failure']","[[1820, 1236, 6057, 32], 3.7889800000000005, 120, 4, 'Failure']","[[1820, 1236, 692, 3292, 3642, 167, 796, 32], 5.57796, 260, 8, 'Failure']"
7838,173,5210069,"[[7838, 7218, 64, 173], 15630.207, 202, 4, 'Failure']","[[7838, 7218, 64, 173], 15630.207, 202, 4, 'Failure']","[[7838, 7218, 64, 173], 15630.207, 202, 4, 'Failure']","[[7838, 7218, 3065, 60, 173], 15683.466989999999, 242, 5, 'Failure']","[[7838, 7218, 3065, 60, 173], 15683.466989999999, 242, 5, 'Failure']","[[7838, 7218, 3065, 60, 173], 15683.466989999999, 242, 5, 'Failure']"
3230,3083,7,"[[3230, 609, 2223, 3083], 0.00031, 120, 4, 'Success']","[[3230, 609, 2223, 3083], 0.00031, 120, 4, 'Success']","[[3230, 103, 65, 4682, 3083], 0.17509, 148, 5, 'Success']","[[3230, 609, 2223, 3083], 0.00031, 120, 4, 'Success']","[[3230, 609, 2223, 3083], 0.00031, 120, 4, 'Success']","[[3230, 609, 2223, 3083], 0.00031, 120, 4, 'Success']"
2765,612,96,"[[2765, 2537, 612], 1.05569, 80, 3, 'Success']","[[2765, 2537, 612], 1.05569, 80, 3, 'Success']","[[2765, 628, 4682, 612], 2.05511, 108, 4, 'Success']","[[2765, 2537, 612], 1.05569, 80, 3, 'Success']","[[2765, 2537, 612], 1.05569, 80, 3, 'Success']","[[2765, 989, 2666, 2190, 4479, 3221, 3892, 167, 4312, 612], 0.23976, 350, 10, 'Success']"
5508,463,246,"[[5508, 18, 463], 1.7128800000000002, 74, 3, 'Success']","[[5508, 18, 463], 1.7128800000000002, 74, 3, 'Success']","[[5508, 6935, 4792, 463], 0.25809, 108, 4, 'Success']","[[5508, 167, 11178, 463], 0.01497, 104, 4, 'Success']","[[5508, 167, 11178, 463], 0.01497, 104, 4, 'Success']","[[5508, 167, 11178, 463], 0.01497, 104, 4, 'Success']"
