Source,Target,Amount,LND,CLN,LDK,Eclair_case1,Eclair_case2,Eclair_case3
12926,10728,7,"[[12926, 966, 2359, 7218, 10294, 10728], 2.02405, 408, 6, 'Success']","[[12926, 966, 2359, 7218, 10294, 10728], 2.02405, 408, 6, 'Success']","[[12926, 966, 2359, 7218, 10294, 10728], 2.02405, 408, 6, 'Success']","[[12926, 966, 2359, 7218, 10294, 10728], 2.02405, 408, 6, 'Success']","[[12926, 966, 2359, 7218, 10294, 10728], 2.02405, 408, 6, 'Success']","[[12926, 966, 2359, 609, 2223, 10294, 10728], 2.0240600000000004, 344, 7, 'Success']"
7448,2492,33,"[[7448, 4822, 2223, 2492], 0.11099, 224, 4, 'Success']","[[7448, 4822, 2223, 2492], 0.11099, 224, 4, 'Success']","[[7448, 4822, 2223, 2492], 0.11099, 224, 4, 'Success']","[[7448, 4822, 2223, 2492], 0.11099, 224, 4, 'Success']","[[7448, 4822, 2223, 2492], 0.11099, 224, 4, 'Success']","[[7448, 4822, 10113, 12325, 167, 1815, 2558, 2492], 0.10132000000000001, 368, 8, 'Success']"
13126,3482,813,"[[13126, 50, 6693, 855, 3482], 3.4581399999999998, 160, 5, 'Success']","[[13126, 50, 6693, 855, 3482], 3.4581399999999998, 160, 5, 'Success']","[[13126, 50, 115, 11844, 855, 3482], 3.4670799999999997, 188, 6, 'Failure']","[[13126, 50, 29, 855, 3482], 3.45977, 160, 5, 'Failure']","[[13126, 50, 29, 855, 3482], 3.45977, 160, 5, 'Failure']","[[13126, 50, 173, 855, 3482], 3.4581399999999998, 138, 5, 'Failure']"
5785,12792,5875,"[[5785, 4822, 3159, 855, 12792], 19.86835, 264, 5, 'Success']","[[5785, 4822, 3159, 855, 12792], 19.86835, 264, 5, 'Success']","[[5785, 4822, 4764, 855, 12792], 20.66991, 264, 5, 'Success']","[[5785, 4822, 3159, 855, 12792], 19.86835, 264, 5, 'Success']","[[5785, 4822, 3159, 855, 12792], 19.86835, 264, 5, 'Success']","[[5785, 4822, 10113, 12325, 167, 2296, 3100, 12792], 19.63857, 368, 8, 'Success']"
6307,1244,75258,"[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']","[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']","[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']","[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']","[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']","[[6307, 609, 19, 1236, 1244], 226.92496, 138, 5, 'Failure']"
1430,4920,384695,"[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']","[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']","[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']","[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']","[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']","[[1430, 2, 4822, 4920], 1.3847, 202, 4, 'Failure']"
2819,5856,8598943,"[[2819, 1139, 5650, 18, 5856], 38.39582, 160, 5, 'Failure']","[[2819, 1139, 233, 5856], 26677.55333, 114, 4, 'Failure']","[[2819, 1139, 5650, 18, 5856], 38.39582, 160, 5, 'Failure']","[[2819, 1139, 233, 5856], 26677.55333, 114, 4, 'Failure']","[[2819, 1139, 233, 5856], 26677.55333, 114, 4, 'Failure']","[[2819, 1139, 233, 5856], 26677.55333, 114, 4, 'Failure']"
3729,10523,9,"[[3729, 167, 8688, 10523], 0.00451, 110, 4, 'Success']","[[3729, 167, 8688, 10523], 0.00451, 110, 4, 'Success']","[[3729, 233, 894, 8688, 10523], 0.02657, 148, 5, 'Success']","[[3729, 167, 8688, 10523], 0.00451, 110, 4, 'Success']","[[3729, 167, 8688, 10523], 0.00451, 110, 4, 'Success']","[[3729, 2731, 6088, 6134, 12325, 10113, 12768, 10164, 9498, 10523], 0.00317, 354, 10, 'Success']"
6883,5551,41,"[[6883, 2584, 2537, 5551], 1.0065700000000002, 120, 4, 'Success']","[[6883, 2584, 2537, 5551], 1.0065700000000002, 120, 4, 'Success']","[[6883, 2584, 4682, 6935, 5508, 5551], 1.30799, 182, 6, 'Success']","[[6883, 2584, 2537, 5551], 1.0065700000000002, 120, 4, 'Success']","[[6883, 2584, 2537, 5551], 1.0065700000000002, 120, 4, 'Success']","[[6883, 2584, 167, 6043, 5551], 1.0012800000000002, 150, 5, 'Success']"
6724,2530,965,"[[6724, 6629, 21, 2530], 1.24055, 114, 4, 'Success']","[[6724, 5355, 21, 2530], 1.29077, 114, 4, 'Success']","[[6724, 6629, 21, 2530], 1.24055, 114, 4, 'Success']","[[6724, 7522, 21, 2530], 1.24248, 114, 4, 'Success']","[[6724, 7522, 21, 2530], 1.24248, 114, 4, 'Success']","[[6724, 3642, 167, 9515, 21, 2530], 1.0792199999999998, 184, 6, 'Success']"
